Date,Open,High,Low,Close,Volume,Currency
2013-04-29,0.12,0.125,0.12,0.125,1930000,MYR
2013-04-30,0.125,0.125,0.12,0.12,2148500,MYR
2013-05-02,0.12,0.125,0.12,0.12,1300100,MYR
2013-05-03,0.115,0.12,0.115,0.115,947000,MYR
2013-05-06,0.12,0.12,0.12,0.12,950000,MYR
2013-05-07,0.115,0.125,0.115,0.115,3430900,MYR
2013-05-10,0.12,0.12,0.12,0.12,840500,MYR
2013-05-13,0.12,0.125,0.12,0.125,199200,MYR
2013-05-14,0.12,0.12,0.12,0.12,1777500,MYR
2013-05-15,0.12,0.125,0.12,0.12,3503800,MYR
2013-05-16,0.12,0.135,0.12,0.13,6464000,MYR
2013-05-17,0.125,0.135,0.125,0.13,2284100,MYR
2013-05-20,0.135,0.135,0.13,0.135,3015000,MYR
2013-05-21,0.13,0.135,0.13,0.13,3620000,MYR
2013-05-22,0.135,0.135,0.13,0.135,4312000,MYR
2013-05-23,0.135,0.14,0.13,0.135,1881300,MYR
2013-05-27,0.135,0.135,0.135,0.135,865000,MYR
2013-05-28,0.135,0.135,0.135,0.135,550000,MYR
2013-05-29,0.135,0.135,0.13,0.135,1334300,MYR
2013-05-30,0.135,0.135,0.135,0.135,500000,MYR
2013-05-31,0.135,0.135,0.13,0.13,843400,MYR
2013-06-03,0.13,0.13,0.13,0.13,1710200,MYR
2013-06-04,0.13,0.135,0.13,0.13,1013300,MYR
2013-06-05,0.135,0.135,0.135,0.135,30000,MYR
2013-06-06,0.135,0.135,0.13,0.13,532000,MYR
2013-06-07,0.13,0.13,0.13,0.13,42000,MYR
2013-06-10,0.13,0.13,0.13,0.13,65100,MYR
2013-06-11,0.13,0.13,0.13,0.13,2379200,MYR
2013-06-12,0.13,0.13,0.125,0.125,322000,MYR
2013-06-13,0.13,0.13,0.125,0.125,910000,MYR
2013-06-14,0.125,0.125,0.125,0.125,1549000,MYR
2013-06-17,0.13,0.13,0.125,0.125,401600,MYR
2013-06-18,0.125,0.125,0.125,0.125,1609000,MYR
2013-06-19,0.13,0.13,0.125,0.125,120000,MYR
2013-06-20,0.125,0.125,0.125,0.125,1008000,MYR
2013-06-24,0.12,0.12,0.12,0.12,30000,MYR
2013-06-25,0.125,0.125,0.12,0.12,210000,MYR
2013-06-26,0.125,0.125,0.125,0.125,146000,MYR
2013-06-27,0.13,0.13,0.125,0.125,364100,MYR
2013-06-28,0.125,0.13,0.125,0.13,130100,MYR
2013-07-01,0.13,0.145,0.13,0.14,8041000,MYR
2013-07-02,0.14,0.145,0.14,0.14,2712000,MYR
2013-07-03,0.14,0.14,0.135,0.135,574000,MYR
2013-07-04,0.135,0.14,0.135,0.14,1568100,MYR
2013-07-05,0.14,0.14,0.135,0.14,2722700,MYR
2013-07-08,0.135,0.135,0.13,0.13,4720000,MYR
2013-07-09,0.135,0.135,0.135,0.135,230000,MYR
2013-07-10,0.135,0.135,0.135,0.135,786700,MYR
2013-07-11,0.135,0.135,0.135,0.135,1170000,MYR
2013-07-12,0.135,0.135,0.135,0.135,1769600,MYR
2013-07-15,0.135,0.135,0.13,0.135,330000,MYR
2013-07-16,0.135,0.135,0.135,0.135,1210000,MYR
2013-07-17,0.135,0.14,0.135,0.14,1113500,MYR
2013-07-18,0.135,0.135,0.135,0.135,3390000,MYR
2013-07-19,0.14,0.145,0.14,0.145,5595500,MYR
2013-07-22,0.145,0.15,0.14,0.145,3754800,MYR
2013-07-23,0.145,0.16,0.145,0.155,13273700,MYR
2013-07-24,0.16,0.16,0.155,0.16,6334000,MYR
2013-07-25,0.16,0.16,0.155,0.155,1227800,MYR
