Date,Open,High,Low,Close,Volume,Currency
2013-01-30,0.41,0.41,0.41,0.41,3300,MYR
2013-02-04,0.41,0.41,0.41,0.41,5000,MYR
2013-02-05,0.41,0.45,0.41,0.45,11300,MYR
2013-02-13,0.42,0.42,0.42,0.42,2000,MYR
2013-02-14,0.41,0.41,0.41,0.41,25000,MYR
2013-02-22,0.41,0.43,0.41,0.43,15000,MYR
2013-02-25,0.41,0.41,0.41,0.41,4000,MYR
2013-02-26,0.4,0.42,0.38,0.42,11700,MYR
2013-03-01,0.44,0.44,0.44,0.44,25000,MYR
2013-03-07,0.415,0.415,0.415,0.415,1600,MYR
2013-03-08,0.415,0.415,0.415,0.415,1600,MYR
2013-03-11,0.41,0.41,0.41,0.41,6300,MYR
2013-03-12,0.41,0.41,0.41,0.41,1700,MYR
2013-03-13,0.41,0.41,0.41,0.41,15000,MYR
2013-03-14,0.4,0.4,0.4,0.4,2000,MYR
2013-03-15,0.4,0.4,0.4,0.4,1800,MYR
2013-03-18,0.365,0.365,0.33,0.33,11600,MYR
2013-03-19,0.37,0.37,0.37,0.37,1000,MYR
2013-03-22,0.38,0.38,0.38,0.38,2600,MYR
2013-03-25,0.37,0.37,0.37,0.37,4900,MYR
2013-03-27,0.41,0.41,0.41,0.41,30000,MYR
2013-03-28,0.41,0.41,0.41,0.41,25000,MYR
2013-04-02,0.38,0.38,0.38,0.38,1600,MYR
2013-04-03,0.38,0.385,0.38,0.38,3600,MYR
2013-04-05,0.41,0.41,0.41,0.41,11500,MYR
2013-04-08,0.38,0.38,0.38,0.38,3600,MYR
2013-04-09,0.385,0.385,0.385,0.385,6900,MYR
2013-04-11,0.41,0.41,0.41,0.41,3000,MYR
2013-04-15,0.38,0.42,0.38,0.42,1800,MYR
2013-05-03,0.355,0.39,0.35,0.39,2000,MYR
2013-05-07,0.39,0.42,0.39,0.42,2400,MYR
2013-05-09,0.4,0.41,0.4,0.4,5500,MYR
2013-05-13,0.4,0.4,0.4,0.4,600,MYR
2013-05-14,0.4,0.4,0.36,0.36,11600,MYR
2013-05-17,0.4,0.4,0.38,0.38,40000,MYR
2013-05-23,0.385,0.385,0.385,0.385,18000,MYR
2013-05-27,0.39,0.39,0.39,0.39,2100,MYR
2013-06-07,0.38,0.38,0.38,0.38,7500,MYR
2013-06-11,0.38,0.38,0.38,0.38,8000,MYR
2013-06-14,0.36,0.36,0.36,0.36,1600,MYR
2013-06-17,0.4,0.4,0.4,0.4,27000,MYR
2013-06-19,0.38,0.38,0.38,0.38,10000,MYR
2013-06-24,0.37,0.42,0.37,0.42,11600,MYR
2013-07-08,0.38,0.44,0.38,0.44,2800,MYR
2013-07-11,0.47,0.47,0.375,0.375,13800,MYR
2013-07-12,0.385,0.385,0.385,0.385,1400,MYR
2013-07-15,0.375,0.385,0.375,0.385,3200,MYR
2013-07-16,0.385,0.4,0.385,0.4,3200,MYR
2013-07-17,0.415,0.42,0.415,0.42,18600,MYR
2013-07-18,0.41,0.42,0.41,0.42,13300,MYR
2013-07-19,0.43,0.45,0.43,0.45,43500,MYR
2013-07-22,0.45,0.53,0.415,0.455,35400,MYR
2013-07-23,0.455,0.455,0.455,0.455,12000,MYR
2013-07-24,0.5,0.5,0.455,0.5,1200,MYR
2013-07-25,0.45,0.485,0.45,0.455,10200,MYR
2013-07-26,0.5,0.5,0.45,0.455,6900,MYR
2013-07-29,0.46,0.46,0.4,0.4,5100,MYR
2013-07-30,0.49,0.49,0.42,0.48,6900,MYR
2013-08-14,0.46,0.46,0.46,0.46,8000,MYR
2013-08-16,0.5,0.5,0.5,0.5,37500,MYR
2013-08-19,0.54,0.54,0.54,0.54,300,MYR
2013-08-20,0.53,0.53,0.41,0.45,11400,MYR
2013-08-21,0.55,0.55,0.54,0.54,5100,MYR
2013-08-22,0.47,0.47,0.46,0.46,10000,MYR
2013-08-27,0.43,0.43,0.415,0.415,30000,MYR
2013-08-29,0.49,0.49,0.425,0.425,200,MYR
2013-09-05,0.5,0.5,0.5,0.5,100,MYR
2013-09-09,0.48,0.49,0.45,0.45,29300,MYR
2013-09-10,0.45,0.45,0.44,0.45,35000,MYR
2013-09-11,0.55,0.55,0.455,0.48,9900,MYR
2013-09-12,0.55,0.55,0.55,0.55,100,MYR
2013-09-25,0.45,0.49,0.45,0.49,3600,MYR
2013-09-26,0.665,0.665,0.46,0.46,3100,MYR
2013-09-27,0.52,0.76,0.46,0.55,8300,MYR
2013-10-01,0.46,0.46,0.46,0.46,6600,MYR
2013-10-03,0.43,0.43,0.43,0.43,3000,MYR
2013-10-04,0.5,0.5,0.45,0.45,900,MYR
2013-10-08,0.55,0.55,0.55,0.55,100,MYR
2013-10-09,0.42,0.42,0.42,0.42,1600,MYR
2013-10-10,0.5,0.5,0.435,0.5,300,MYR
2013-10-11,0.65,0.65,0.6,0.6,1100,MYR
2013-10-16,0.6,0.65,0.5,0.5,3200,MYR
2013-10-17,0.44,0.44,0.44,0.44,5000,MYR
2013-10-21,0.65,0.65,0.445,0.465,36400,MYR
2013-10-23,0.43,0.465,0.43,0.465,28000,MYR
2013-10-24,0.465,0.465,0.465,0.465,25000,MYR
2013-10-25,0.465,0.48,0.465,0.48,25000,MYR
2013-11-01,0.44,0.44,0.44,0.44,4000,MYR
2013-11-11,0.46,0.46,0.44,0.44,6000,MYR
2013-11-12,0.44,0.5,0.44,0.45,17400,MYR
2013-11-13,0.45,0.45,0.45,0.45,2300,MYR
2013-11-19,0.45,0.45,0.45,0.45,8000,MYR
2013-11-20,0.45,0.45,0.45,0.45,21600,MYR
2013-11-21,0.445,0.445,0.445,0.445,29000,MYR
2013-11-22,0.445,0.445,0.445,0.445,20000,MYR
2013-11-25,0.445,0.445,0.445,0.445,600,MYR
2013-11-26,0.45,0.45,0.445,0.45,444000,MYR
2013-11-28,0.455,0.48,0.455,0.47,101400,MYR
2013-11-29,0.47,0.47,0.47,0.47,5000,MYR
2013-12-04,0.47,0.48,0.45,0.45,16000,MYR
2013-12-05,0.49,0.5,0.455,0.455,8000,MYR
2013-12-06,0.46,0.46,0.46,0.46,2000,MYR
2013-12-10,0.46,0.49,0.46,0.48,38200,MYR
2013-12-11,0.48,0.52,0.48,0.52,26700,MYR
2013-12-13,0.58,0.58,0.58,0.58,3000,MYR
2013-12-16,0.6,0.6,0.55,0.57,7400,MYR
2013-12-18,0.48,0.57,0.48,0.5,117400,MYR
2013-12-19,0.48,0.53,0.45,0.495,31100,MYR
2013-12-20,0.5,0.53,0.48,0.52,24800,MYR
2013-12-23,0.47,0.5,0.47,0.48,12500,MYR
2013-12-24,0.52,0.53,0.48,0.52,18200,MYR
2013-12-26,0.58,0.58,0.485,0.5,107800,MYR
2013-12-27,0.475,0.51,0.46,0.49,68400,MYR
2013-12-30,0.52,0.52,0.485,0.485,49000,MYR
2013-12-31,0.52,0.53,0.485,0.52,16900,MYR
2014-01-02,0.52,0.53,0.52,0.53,500,MYR
2014-01-03,0.5,0.5,0.46,0.46,5200,MYR
2014-01-06,0.53,0.53,0.53,0.53,100,MYR
2014-01-07,0.5,0.5,0.5,0.5,13500,MYR
2014-01-08,0.53,0.53,0.495,0.525,18000,MYR
2014-01-09,0.5,0.5,0.5,0.5,25000,MYR
2014-01-10,0.54,0.54,0.5,0.5,13000,MYR
2014-01-13,0.57,0.57,0.53,0.56,24600,MYR
2014-01-15,0.53,0.53,0.5,0.5,215000,MYR
2014-01-16,0.51,0.51,0.51,0.51,5000,MYR
2014-01-21,0.55,0.58,0.55,0.58,2600,MYR
2014-01-22,0.5,0.51,0.5,0.51,5000,MYR
2014-01-23,0.56,0.56,0.56,0.56,100,MYR
2014-02-13,0.51,0.51,0.51,0.51,1000,MYR
2014-02-14,0.49,0.49,0.46,0.465,28300,MYR
2014-02-17,0.465,0.465,0.465,0.465,7300,MYR
2014-02-18,0.4,0.52,0.4,0.52,800,MYR
2014-02-19,0.56,0.56,0.56,0.56,100,MYR
2014-02-20,0.425,0.425,0.425,0.425,1600,MYR
2014-02-21,0.44,0.525,0.44,0.475,17600,MYR
2014-02-25,0.53,0.53,0.53,0.53,1500,MYR
2014-02-26,0.47,0.47,0.46,0.46,20100,MYR
2014-02-28,0.46,0.46,0.4,0.425,33400,MYR
2014-03-03,0.38,0.415,0.38,0.415,3100,MYR
2014-03-06,0.42,0.42,0.41,0.41,10100,MYR
2014-03-12,0.425,0.425,0.425,0.425,15900,MYR
2014-03-18,0.415,0.5,0.415,0.45,10800,MYR
2014-03-20,0.42,0.42,0.42,0.42,1600,MYR
2014-03-21,0.46,0.46,0.46,0.46,11900,MYR
2014-03-26,0.47,0.51,0.47,0.485,80700,MYR
2014-04-07,0.47,0.47,0.44,0.44,1600,MYR
2014-04-11,0.44,0.44,0.44,0.44,1600,MYR
2014-04-16,0.47,0.49,0.47,0.475,42000,MYR
2014-04-24,0.475,0.475,0.475,0.475,3000,MYR
2014-04-28,0.475,0.48,0.475,0.48,2200,MYR
2014-04-29,0.44,0.44,0.44,0.44,1600,MYR
2014-04-30,0.425,0.425,0.425,0.425,1000,MYR
2014-05-26,0.455,0.465,0.455,0.465,6000,MYR
2014-05-27,0.47,0.49,0.47,0.49,10000,MYR
2014-06-02,0.495,0.52,0.495,0.505,250300,MYR
2014-06-03,0.52,0.595,0.515,0.565,1009600,MYR
2014-06-04,0.565,0.57,0.54,0.56,179900,MYR
2014-06-05,0.54,0.555,0.54,0.555,170400,MYR
2014-06-06,0.54,0.55,0.54,0.55,57800,MYR
2014-06-09,0.57,0.655,0.55,0.65,721300,MYR
2014-06-10,0.655,0.72,0.65,0.705,1393800,MYR
2014-06-11,0.71,0.715,0.675,0.69,246300,MYR
2014-06-12,0.68,0.77,0.67,0.745,1573900,MYR
2014-06-13,0.75,0.785,0.745,0.75,1191700,MYR
2014-06-16,0.755,0.755,0.71,0.73,201300,MYR
2014-06-17,0.72,0.785,0.72,0.77,1334800,MYR
2014-06-18,0.775,0.78,0.755,0.765,218400,MYR
2014-06-19,0.75,0.775,0.7,0.74,720900,MYR
2014-06-20,0.735,0.74,0.73,0.73,17600,MYR
2014-06-23,0.71,0.745,0.71,0.72,276700,MYR
2014-06-24,0.72,0.74,0.715,0.725,109400,MYR
2014-06-25,0.72,0.725,0.7,0.725,207400,MYR
2014-06-26,0.715,0.735,0.715,0.715,100700,MYR
2014-06-27,0.72,0.765,0.72,0.75,504600,MYR
2014-06-30,0.75,0.76,0.74,0.745,192000,MYR
2014-07-01,0.73,0.76,0.73,0.735,141500,MYR
2014-07-02,0.735,0.75,0.735,0.74,61000,MYR
2014-07-03,0.745,0.745,0.73,0.74,197300,MYR
2014-07-04,0.73,0.74,0.72,0.72,76100,MYR
2014-07-07,0.72,0.725,0.71,0.72,135700,MYR
2014-07-08,0.705,0.71,0.69,0.7,66000,MYR
2014-07-09,0.685,0.7,0.68,0.69,99300,MYR
2014-07-10,0.7,0.72,0.69,0.705,121700,MYR
2014-07-11,0.705,0.705,0.69,0.695,157000,MYR
2014-07-14,0.705,0.705,0.695,0.695,55000,MYR
2014-07-16,0.685,0.685,0.68,0.68,17000,MYR
2014-07-17,0.68,0.71,0.68,0.71,120100,MYR
2014-07-18,0.7,0.71,0.69,0.71,46000,MYR
2014-07-21,0.69,0.71,0.69,0.705,21100,MYR
2014-07-24,0.685,0.72,0.675,0.68,108800,MYR
2014-07-25,0.68,0.71,0.635,0.71,37300,MYR
2014-07-30,0.68,0.69,0.68,0.68,50000,MYR
2014-07-31,0.67,0.68,0.67,0.68,63100,MYR
2014-08-01,0.71,0.71,0.68,0.68,48900,MYR
2014-08-05,0.67,0.68,0.67,0.67,15100,MYR
2014-08-06,0.67,0.69,0.67,0.69,159000,MYR
2014-08-07,0.68,0.7,0.66,0.7,132100,MYR
2014-08-08,0.65,0.65,0.65,0.65,25000,MYR
2014-08-12,0.66,0.68,0.66,0.66,55800,MYR
2014-08-14,0.66,0.66,0.66,0.66,19000,MYR
2014-08-15,0.65,0.65,0.645,0.645,49000,MYR
2014-08-18,0.665,0.68,0.66,0.68,71000,MYR
2014-08-19,0.68,0.78,0.68,0.765,1089500,MYR
2014-08-20,0.77,0.81,0.745,0.745,2023000,MYR
2014-08-21,0.76,0.785,0.76,0.76,281800,MYR
2014-08-22,0.765,0.765,0.745,0.745,311900,MYR
2014-08-25,0.74,0.74,0.71,0.71,221000,MYR
2014-08-26,0.7,0.71,0.69,0.69,215700,MYR
2014-08-27,0.69,0.7,0.685,0.7,29900,MYR
2014-08-28,0.725,0.755,0.71,0.735,213800,MYR
2014-08-29,0.64,0.67,0.605,0.62,1050800,MYR
2014-09-02,0.635,0.65,0.605,0.605,595200,MYR
2014-09-03,0.605,0.605,0.575,0.59,146600,MYR
2014-09-04,0.59,0.59,0.55,0.56,215000,MYR
2014-09-05,0.56,0.56,0.54,0.54,91700,MYR
2014-09-08,0.54,0.585,0.54,0.585,168100,MYR
2014-09-09,0.585,0.59,0.58,0.59,75000,MYR
2014-09-10,0.58,0.58,0.57,0.58,52800,MYR
2014-09-11,0.57,0.57,0.57,0.57,66200,MYR
2014-09-12,0.56,0.565,0.56,0.56,40000,MYR
2014-09-17,0.54,0.59,0.525,0.585,136400,MYR
2014-09-19,0.54,0.54,0.54,0.54,5300,MYR
2014-09-22,0.54,0.57,0.54,0.55,145100,MYR
2014-09-23,0.55,0.55,0.53,0.53,7500,MYR
2014-09-24,0.525,0.55,0.525,0.53,34800,MYR
2014-09-25,0.53,0.55,0.53,0.55,21600,MYR
2014-09-26,0.535,0.56,0.525,0.525,10500,MYR
2014-09-29,0.525,0.53,0.525,0.53,60000,MYR
2014-09-30,0.58,0.61,0.53,0.61,3100,MYR
2014-10-01,0.6,0.6,0.53,0.53,10100,MYR
2014-10-02,0.53,0.53,0.515,0.515,3500,MYR
2014-10-08,0.515,0.515,0.515,0.515,11000,MYR
2014-10-09,0.51,0.51,0.51,0.51,10000,MYR
2014-10-13,0.5,0.5,0.5,0.5,5000,MYR
2014-10-14,0.5,0.58,0.5,0.58,10000,MYR
2014-10-29,0.58,0.63,0.58,0.63,2000,MYR
2014-11-06,0.55,0.615,0.51,0.615,26500,MYR
2014-11-19,0.55,0.55,0.55,0.55,5000,MYR
2014-11-20,0.52,0.52,0.52,0.52,4000,MYR
2014-11-21,0.6,0.6,0.6,0.6,9500,MYR
2014-11-24,0.53,0.55,0.49,0.55,129000,MYR
2014-11-27,0.59,0.59,0.59,0.59,6000,MYR
2014-11-28,0.535,0.535,0.535,0.535,4000,MYR
2014-12-01,0.46,0.47,0.41,0.465,84900,MYR
2014-12-02,0.47,0.47,0.43,0.43,18000,MYR
2014-12-04,0.4,0.455,0.4,0.455,27000,MYR
2014-12-05,0.39,0.46,0.39,0.4,15200,MYR
2014-12-08,0.405,0.445,0.405,0.445,53000,MYR
2014-12-09,0.44,0.45,0.44,0.45,33100,MYR
2014-12-10,0.45,0.45,0.42,0.42,5200,MYR
2014-12-11,0.385,0.385,0.385,0.385,10000,MYR
2014-12-12,0.455,0.455,0.455,0.455,10000,MYR
2014-12-15,0.47,0.47,0.39,0.39,28900,MYR
2014-12-16,0.34,0.45,0.34,0.45,22700,MYR
2014-12-17,0.455,0.455,0.45,0.45,10000,MYR
2014-12-18,0.38,0.45,0.38,0.45,18000,MYR
2014-12-19,0.445,0.445,0.435,0.44,24800,MYR
2014-12-26,0.4,0.4,0.4,0.4,2500,MYR
2014-12-31,0.405,0.45,0.405,0.45,20200,MYR
2015-01-02,0.42,0.42,0.4,0.4,4000,MYR
2015-01-05,0.45,0.5,0.45,0.5,35100,MYR
2015-01-09,0.43,0.43,0.43,0.43,36000,MYR
2015-01-12,0.4,0.44,0.4,0.41,61000,MYR
2015-01-13,0.415,0.415,0.415,0.415,100,MYR
2015-01-14,0.445,0.445,0.415,0.415,11100,MYR
2015-01-15,0.45,0.48,0.42,0.48,15800,MYR
2015-01-16,0.48,0.5,0.48,0.5,33800,MYR
2015-01-20,0.43,0.5,0.43,0.5,9900,MYR
2015-01-21,0.495,0.495,0.495,0.495,5000,MYR
2015-01-22,0.55,0.55,0.55,0.55,200,MYR
2015-01-26,0.49,0.5,0.475,0.48,150100,MYR
2015-01-27,0.445,0.59,0.445,0.54,245900,MYR
2015-01-28,0.505,0.57,0.5,0.52,67200,MYR
2015-01-29,0.545,0.545,0.515,0.525,103500,MYR
2015-01-30,0.52,0.54,0.52,0.52,41600,MYR
2015-02-04,0.52,0.54,0.52,0.54,60000,MYR
2015-02-05,0.47,0.54,0.47,0.54,3100,MYR
2015-02-06,0.55,0.55,0.55,0.55,3000,MYR
2015-02-16,0.475,0.525,0.475,0.525,4000,MYR
2015-02-17,0.46,0.535,0.46,0.535,6500,MYR
2015-02-23,0.53,0.53,0.46,0.46,79000,MYR
2015-02-24,0.42,0.5,0.42,0.5,6200,MYR
2015-02-25,0.54,0.54,0.535,0.535,6700,MYR
2015-02-26,0.485,0.49,0.485,0.49,23500,MYR
2015-02-27,0.49,0.525,0.455,0.525,10300,MYR
2015-03-02,0.48,0.5,0.48,0.5,2000,MYR
2015-03-03,0.475,0.53,0.475,0.53,48600,MYR
2015-03-04,0.525,0.525,0.525,0.525,5000,MYR
2015-03-05,0.48,0.525,0.48,0.525,10100,MYR
2015-03-06,0.45,0.45,0.45,0.45,200,MYR
2015-03-10,0.52,0.52,0.435,0.515,13900,MYR
2015-03-11,0.44,0.51,0.44,0.51,4000,MYR
2015-03-12,0.51,0.51,0.51,0.51,3000,MYR
2015-03-17,0.45,0.51,0.45,0.51,6000,MYR
2015-03-18,0.505,0.505,0.505,0.505,5000,MYR
