Date,Open,High,Low,Close,Volume,Currency
2011-07-12,7.12,7.12,7.05,7.07,14912600,MYR
2011-07-13,7.07,7.07,7.05,7.06,13368800,MYR
2011-07-14,7.05,7.07,7.05,7.07,21815000,MYR
2011-07-15,7.09,7.09,7.05,7.06,7058200,MYR
2011-07-18,7.06,7.08,7.05,7.06,7028900,MYR
2011-07-19,7.05,7.09,7.05,7.08,10463400,MYR
2011-07-20,7.09,7.12,7.09,7.1,9118800,MYR
2011-07-21,7.1,7.11,7.08,7.09,13651700,MYR
2011-07-22,7.1,7.1,7.04,7.04,16005500,MYR
2011-07-25,7.06,7.06,6.99,7.01,10939700,MYR
2011-07-26,7.01,7.03,6.99,7.01,9935400,MYR
2011-07-27,7.01,7.01,6.92,6.92,19890300,MYR
2011-07-28,6.9,6.9,6.81,6.83,23226200,MYR
2011-07-29,6.84,6.92,6.82,6.85,16219700,MYR
2011-08-01,6.89,7.01,6.86,6.98,10288500,MYR
2011-08-02,7.0,7.03,6.97,7.0,17730500,MYR
2011-08-03,6.8,6.84,6.74,6.79,9497300,MYR
2011-08-04,6.82,6.97,6.8,6.91,7693400,MYR
2011-08-05,6.73,6.74,6.56,6.59,34134000,MYR
2011-08-08,6.49,6.49,6.12,6.43,32960200,MYR
2011-08-09,6.12,6.46,6.03,6.32,33777600,MYR
2011-08-10,6.51,6.52,6.18,6.19,32218300,MYR
2011-08-11,6.1,6.22,6.06,6.15,21736700,MYR
2011-08-12,6.21,6.37,6.21,6.33,13434000,MYR
2011-08-15,6.38,6.53,6.37,6.53,8944900,MYR
2011-08-16,6.6,6.69,6.44,6.51,9830000,MYR
2011-08-17,6.55,6.65,6.5,6.59,23678200,MYR
2011-08-18,6.65,6.65,6.57,6.58,16236300,MYR
2011-08-19,6.4,6.47,6.35,6.4,30031500,MYR
2011-08-22,6.38,6.41,6.23,6.24,22320000,MYR
2011-08-23,6.28,6.29,6.14,6.23,18866400,MYR
2011-08-24,6.29,6.34,6.24,6.3,15092600,MYR
2011-08-25,6.35,6.35,6.25,6.3,7753100,MYR
2011-08-26,6.27,6.27,5.99,6.03,38448900,MYR
2011-08-29,6.1,6.24,6.06,6.22,27006700,MYR
2011-09-02,6.37,6.45,6.3,6.3,21813200,MYR
2011-09-05,6.25,6.35,6.2,6.33,7466100,MYR
2011-09-06,6.33,6.33,6.21,6.3,11961700,MYR
2011-09-07,6.3,6.4,6.27,6.32,6625100,MYR
2011-09-08,6.34,6.44,6.34,6.38,7925100,MYR
2011-09-09,6.42,6.43,6.38,6.4,4770900,MYR
2011-09-12,6.3,6.35,6.18,6.24,9028500,MYR
2011-09-13,6.25,6.3,6.25,6.25,4533900,MYR
2011-09-14,6.28,6.3,6.2,6.25,3138300,MYR
2011-09-15,6.29,6.29,6.16,6.16,11550600,MYR
2011-09-19,6.18,6.22,6.03,6.05,12735700,MYR
2011-09-20,6.01,6.01,5.74,5.78,35413300,MYR
2011-09-21,5.82,5.85,5.77,5.81,12772200,MYR
2011-09-22,5.75,5.76,5.52,5.54,28048400,MYR
2011-09-23,5.43,5.54,5.34,5.46,20053400,MYR
