Date,Open,High,Low,Close,Volume,Currency
2017-12-19,0.45,0.51,0.36,0.36,38304800,MYR
2017-12-20,0.37,0.39,0.36,0.36,9125400,MYR
2017-12-21,0.32,0.34,0.285,0.31,36881100,MYR
2017-12-22,0.31,0.345,0.31,0.325,24116800,MYR
2017-12-26,0.33,0.33,0.315,0.32,6970500,MYR
2017-12-27,0.325,0.34,0.315,0.325,15211600,MYR
2017-12-28,0.32,0.325,0.315,0.32,8106400,MYR
2017-12-29,0.32,0.33,0.315,0.325,11974100,MYR
2018-01-02,0.32,0.33,0.315,0.32,9992800,MYR
2018-01-03,0.325,0.34,0.32,0.325,15352900,MYR
2018-01-04,0.33,0.34,0.33,0.335,9760200,MYR
2018-01-05,0.335,0.445,0.335,0.44,91999504,MYR
2018-01-08,0.445,0.535,0.44,0.51,70581904,MYR
2018-01-09,0.53,0.545,0.485,0.52,39313200,MYR
2018-01-10,0.54,0.565,0.51,0.525,40066400,MYR
2018-01-11,0.53,0.53,0.495,0.515,16175000,MYR
2018-01-12,0.515,0.54,0.51,0.54,19310100,MYR
2018-01-15,0.55,0.555,0.505,0.515,22656300,MYR
2018-01-16,0.515,0.52,0.465,0.49,14801900,MYR
2018-01-17,0.49,0.495,0.455,0.465,8005900,MYR
2018-01-18,0.47,0.48,0.435,0.455,9025300,MYR
2018-01-19,0.45,0.48,0.445,0.475,10680200,MYR
2018-01-22,0.47,0.48,0.445,0.455,6529500,MYR
2018-01-23,0.46,0.475,0.45,0.46,5432200,MYR
2018-01-24,0.465,0.465,0.44,0.44,3932100,MYR
2018-01-25,0.45,0.48,0.445,0.455,10560300,MYR
2018-01-26,0.455,0.46,0.44,0.445,5436300,MYR
2018-01-29,0.45,0.455,0.42,0.425,6967700,MYR
2018-01-30,0.41,0.425,0.385,0.39,5852100,MYR
2018-02-02,0.395,0.4,0.37,0.38,5242200,MYR
2018-02-05,0.36,0.37,0.35,0.36,5922500,MYR
2018-02-06,0.34,0.355,0.32,0.345,10088000,MYR
2018-02-07,0.355,0.36,0.315,0.315,11310400,MYR
2018-02-08,0.315,0.34,0.315,0.32,6766100,MYR
2018-02-09,0.305,0.32,0.305,0.31,4298200,MYR
2018-02-12,0.305,0.315,0.295,0.3,7144300,MYR
2018-02-13,0.305,0.305,0.285,0.29,4558400,MYR
2018-02-14,0.295,0.32,0.29,0.31,15236300,MYR
2018-02-15,0.315,0.325,0.31,0.315,5196500,MYR
2018-02-19,0.32,0.345,0.32,0.34,14970100,MYR
2018-02-20,0.345,0.355,0.32,0.325,13898700,MYR
2018-02-21,0.325,0.34,0.315,0.325,11083100,MYR
2018-02-22,0.325,0.33,0.315,0.325,1997400,MYR
2018-02-23,0.32,0.34,0.315,0.335,17763200,MYR
2018-02-26,0.335,0.34,0.32,0.33,5825300,MYR
2018-02-27,0.325,0.33,0.315,0.32,2873700,MYR
2018-02-28,0.32,0.32,0.3,0.305,3015200,MYR
2018-03-01,0.305,0.305,0.29,0.295,7431600,MYR
2018-03-02,0.295,0.295,0.285,0.29,4646800,MYR
2018-03-05,0.29,0.29,0.27,0.275,4321800,MYR
2018-03-06,0.28,0.285,0.27,0.275,2366400,MYR
2018-03-07,0.275,0.275,0.25,0.265,6055000,MYR
2018-03-08,0.26,0.27,0.25,0.26,2327800,MYR
2018-03-09,0.255,0.255,0.24,0.25,2354300,MYR
2018-03-12,0.255,0.255,0.24,0.245,1889100,MYR
2018-03-13,0.245,0.275,0.245,0.255,7068200,MYR
2018-03-14,0.255,0.26,0.245,0.255,2035000,MYR
2018-03-15,0.25,0.28,0.245,0.275,11591100,MYR
2018-03-16,0.275,0.28,0.265,0.27,3925400,MYR
2018-03-19,0.265,0.27,0.255,0.26,1632100,MYR
2018-03-20,0.26,0.26,0.25,0.255,1528500,MYR
2018-03-21,0.255,0.27,0.255,0.27,3303400,MYR
2018-03-22,0.275,0.295,0.265,0.27,11164200,MYR
2018-03-23,0.255,0.265,0.255,0.26,2871300,MYR
2018-03-26,0.265,0.28,0.265,0.27,2492400,MYR
2018-03-27,0.275,0.275,0.265,0.265,2489000,MYR
2018-03-28,0.26,0.26,0.25,0.255,2390500,MYR
2018-03-29,0.255,0.26,0.25,0.26,794500,MYR
2018-03-30,0.26,0.265,0.26,0.26,3090600,MYR
2018-04-02,0.26,0.265,0.255,0.255,2204100,MYR
2018-04-03,0.255,0.255,0.245,0.245,1537900,MYR
2018-04-04,0.245,0.245,0.215,0.22,2792600,MYR
2018-04-05,0.22,0.23,0.22,0.22,1363200,MYR
2018-04-06,0.22,0.22,0.205,0.215,2019700,MYR
2018-04-09,0.21,0.22,0.2,0.215,2560300,MYR
2018-04-10,0.21,0.245,0.21,0.24,5229100,MYR
2018-04-11,0.25,0.295,0.24,0.27,19636700,MYR
2018-04-12,0.275,0.29,0.265,0.265,10134100,MYR
2018-04-13,0.275,0.29,0.265,0.28,6717100,MYR
2018-04-16,0.28,0.3,0.275,0.275,14872100,MYR
2018-04-17,0.285,0.285,0.27,0.275,2315600,MYR
2018-04-18,0.275,0.275,0.25,0.26,3351200,MYR
2018-04-19,0.27,0.28,0.265,0.27,6544800,MYR
2018-04-20,0.275,0.275,0.255,0.26,2241700,MYR
2018-04-23,0.26,0.26,0.24,0.25,2467200,MYR
2018-04-24,0.25,0.26,0.245,0.25,1376500,MYR
2018-04-25,0.24,0.245,0.24,0.24,1670900,MYR
2018-04-26,0.24,0.25,0.24,0.24,1272800,MYR
2018-04-27,0.24,0.24,0.235,0.24,561000,MYR
2018-04-30,0.235,0.235,0.23,0.235,1236000,MYR
2018-05-02,0.235,0.25,0.225,0.245,3651900,MYR
2018-05-03,0.245,0.245,0.235,0.24,794900,MYR
2018-05-04,0.235,0.235,0.23,0.235,1092100,MYR
2018-05-07,0.235,0.235,0.22,0.225,1679400,MYR
2018-05-08,0.225,0.235,0.225,0.23,1430000,MYR
2018-05-14,0.24,0.27,0.23,0.27,4308700,MYR
2018-05-15,0.275,0.275,0.25,0.265,1775200,MYR
2018-05-16,0.25,0.265,0.25,0.26,1324200,MYR
2018-05-17,0.255,0.26,0.245,0.25,1840600,MYR
2018-05-18,0.25,0.25,0.215,0.225,4433400,MYR
2018-05-21,0.215,0.22,0.2,0.215,3072200,MYR
2018-05-22,0.22,0.225,0.215,0.215,1524200,MYR
2018-05-23,0.215,0.215,0.205,0.215,1794900,MYR
2018-05-24,0.2,0.21,0.195,0.205,2900700,MYR
2018-05-25,0.2,0.21,0.2,0.21,1438100,MYR
2018-05-28,0.205,0.205,0.195,0.195,759400,MYR
2018-05-30,0.195,0.195,0.185,0.195,833700,MYR
2018-05-31,0.195,0.2,0.185,0.19,1353900,MYR
2018-06-01,0.19,0.195,0.18,0.185,943500,MYR
2018-06-04,0.185,0.19,0.18,0.19,1833600,MYR
2018-06-05,0.185,0.19,0.185,0.19,878000,MYR
2018-06-06,0.19,0.21,0.19,0.2,8048000,MYR
2018-06-07,0.205,0.235,0.2,0.235,10453000,MYR
2018-06-08,0.235,0.235,0.215,0.22,3336500,MYR
2018-06-11,0.215,0.22,0.205,0.21,2816500,MYR
2018-06-12,0.21,0.21,0.205,0.205,1340000,MYR
2018-06-13,0.205,0.21,0.205,0.205,1338100,MYR
