Date,Open,High,Low,Close,Volume,Currency
2013-04-30,0.35,0.35,0.35,0.35,732800,MYR
2013-05-02,0.35,0.35,0.35,0.35,712000,MYR
2013-05-03,0.35,0.355,0.345,0.35,662100,MYR
2013-05-06,0.35,0.375,0.35,0.37,562400,MYR
2013-05-07,0.37,0.405,0.355,0.405,3261500,MYR
2013-05-08,0.41,0.425,0.405,0.415,12002400,MYR
2013-05-09,0.42,0.42,0.405,0.405,7111500,MYR
2013-05-10,0.405,0.465,0.405,0.46,17800200,MYR
2013-05-13,0.47,0.475,0.415,0.415,18560700,MYR
2013-05-14,0.42,0.43,0.41,0.43,12606400,MYR
2013-05-15,0.435,0.44,0.425,0.425,3840600,MYR
2013-05-16,0.43,0.435,0.415,0.42,4694300,MYR
2013-05-17,0.425,0.43,0.42,0.42,3655400,MYR
2013-05-20,0.425,0.44,0.42,0.43,6793700,MYR
2013-05-21,0.44,0.445,0.425,0.43,3563900,MYR
2013-05-22,0.43,0.455,0.425,0.43,14394400,MYR
2013-05-23,0.425,0.43,0.4,0.405,4048100,MYR
2013-05-27,0.4,0.415,0.4,0.41,4293600,MYR
2013-05-28,0.41,0.415,0.4,0.41,2205500,MYR
2013-05-29,0.41,0.425,0.4,0.405,6253800,MYR
2013-05-30,0.405,0.405,0.395,0.4,2321900,MYR
2013-05-31,0.405,0.41,0.385,0.385,2317400,MYR
2013-06-03,0.385,0.395,0.38,0.39,2039100,MYR
2013-06-04,0.39,0.39,0.38,0.385,3621700,MYR
2013-06-05,0.38,0.385,0.375,0.38,1355800,MYR
2013-06-06,0.38,0.38,0.375,0.375,1471000,MYR
2013-06-07,0.38,0.385,0.375,0.385,1383600,MYR
2013-06-10,0.38,0.39,0.38,0.38,2875600,MYR
2013-06-11,0.385,0.39,0.375,0.385,1882600,MYR
2013-06-12,0.38,0.385,0.38,0.38,665900,MYR
2013-06-13,0.375,0.375,0.365,0.365,1310200,MYR
2013-06-14,0.37,0.4,0.37,0.39,3936000,MYR
2013-06-17,0.385,0.39,0.38,0.38,358000,MYR
2013-06-18,0.38,0.395,0.38,0.385,1189100,MYR
2013-06-19,0.39,0.395,0.38,0.385,832600,MYR
2013-06-20,0.38,0.39,0.38,0.39,1534900,MYR
2013-06-21,0.38,0.385,0.375,0.38,777600,MYR
2013-06-24,0.385,0.39,0.38,0.38,3171500,MYR
2013-06-25,0.38,0.39,0.38,0.38,2472000,MYR
2013-06-26,0.385,0.39,0.385,0.385,1521200,MYR
2013-06-27,0.39,0.4,0.39,0.39,2441900,MYR
