Date,Open,High,Low,Close,Volume,Currency
2013-05-02,3.04,3.04,3.02,3.04,42100,MYR
2013-05-03,3.01,3.02,2.99,3.0,58400,MYR
2013-05-06,3.01,3.06,3.0,3.06,22600,MYR
2013-05-07,3.06,3.08,3.06,3.08,4700,MYR
2013-05-08,3.08,3.08,3.08,3.08,2400,MYR
2013-05-09,3.1,3.1,3.08,3.08,4500,MYR
2013-05-10,3.1,3.13,3.1,3.13,14500,MYR
2013-05-13,3.18,3.2,3.13,3.18,71800,MYR
2013-05-14,3.18,3.2,3.18,3.2,15000,MYR
2013-05-15,3.21,3.21,3.16,3.18,21000,MYR
2013-05-16,3.18,3.23,3.18,3.23,4500,MYR
2013-05-17,3.18,3.24,3.16,3.24,2400,MYR
2013-05-20,3.2,3.25,3.2,3.25,40700,MYR
2013-05-21,3.25,3.32,3.25,3.29,28500,MYR
2013-05-22,3.29,3.33,3.29,3.3,55900,MYR
2013-05-23,3.3,3.35,3.3,3.35,46900,MYR
2013-05-27,3.33,3.43,3.33,3.41,57100,MYR
2013-05-28,3.41,3.6,3.41,3.59,138300,MYR
2013-05-29,3.62,3.75,3.62,3.75,274300,MYR
2013-05-30,3.7,3.81,3.7,3.81,119400,MYR
2013-05-31,3.81,3.82,3.75,3.75,60800,MYR
2013-06-03,3.72,3.73,3.58,3.65,68700,MYR
2013-06-04,3.64,3.64,3.55,3.61,30600,MYR
2013-06-05,3.59,3.63,3.57,3.63,12600,MYR
2013-06-06,3.63,3.63,3.61,3.62,23000,MYR
2013-06-07,3.62,3.62,3.62,3.62,13400,MYR
2013-06-10,3.62,3.65,3.62,3.62,34300,MYR
2013-06-11,3.63,3.65,3.6,3.64,36900,MYR
2013-06-12,3.59,3.62,3.56,3.62,43400,MYR
2013-06-13,3.62,3.62,3.53,3.55,60600,MYR
2013-06-14,3.54,3.57,3.54,3.55,23300,MYR
2013-06-17,3.55,3.6,3.55,3.56,6200,MYR
2013-06-18,3.56,3.6,3.55,3.6,27200,MYR
2013-06-19,3.59,3.6,3.59,3.59,8200,MYR
2013-06-20,3.59,3.62,3.57,3.62,26900,MYR
2013-06-21,3.61,3.65,3.61,3.63,14400,MYR
2013-06-24,3.6,3.61,3.51,3.56,37600,MYR
2013-06-25,3.56,3.62,3.56,3.59,9300,MYR
2013-06-26,3.62,3.65,3.56,3.65,33800,MYR
2013-06-27,3.65,3.66,3.64,3.65,19700,MYR
2013-06-28,3.65,3.68,3.64,3.68,48200,MYR
2013-07-01,3.67,3.69,3.66,3.69,13800,MYR
2013-07-02,3.66,3.7,3.66,3.7,13700,MYR
2013-07-03,3.75,3.82,3.75,3.78,236500,MYR
2013-07-04,3.79,3.79,3.75,3.78,97700,MYR
2013-07-05,3.8,3.84,3.8,3.83,97500,MYR
2013-07-08,3.87,3.87,3.81,3.81,119500,MYR
2013-07-09,3.83,3.84,3.82,3.82,52400,MYR
2013-07-10,3.83,3.83,3.78,3.78,59800,MYR
2013-07-11,3.78,3.8,3.77,3.8,80200,MYR
2013-07-12,3.8,3.81,3.78,3.81,39000,MYR
2013-07-15,3.84,3.84,3.82,3.82,83500,MYR
2013-07-16,3.85,3.88,3.84,3.88,106900,MYR
2013-07-17,3.88,3.91,3.87,3.91,73200,MYR
2013-07-18,3.91,3.92,3.85,3.85,127300,MYR
2013-07-19,3.9,3.92,3.88,3.92,138000,MYR
2013-07-22,3.92,3.95,3.92,3.94,99900,MYR
2013-07-23,3.95,3.97,3.93,3.97,119400,MYR
2013-07-24,3.97,4.0,3.97,4.0,185000,MYR
2013-07-25,4.02,4.03,3.95,3.97,189000,MYR
2013-07-26,3.98,3.98,3.9,3.92,256000,MYR
2013-07-29,3.78,3.78,3.64,3.64,134600,MYR
2013-07-30,3.63,3.64,3.54,3.58,83000,MYR
2013-07-31,3.54,3.59,3.53,3.54,44300,MYR
2013-08-01,3.59,3.6,3.55,3.55,46800,MYR
2013-08-02,3.58,3.59,3.56,3.56,43200,MYR
2013-08-05,3.6,3.62,3.59,3.62,34000,MYR
2013-08-06,3.64,3.64,3.61,3.61,18500,MYR
2013-08-07,3.62,3.63,3.61,3.63,11000,MYR
2013-08-12,3.61,3.61,3.58,3.59,29500,MYR
2013-08-13,3.59,3.64,3.59,3.62,28500,MYR
2013-08-14,3.62,3.65,3.6,3.63,13200,MYR
2013-08-15,3.63,3.63,3.62,3.63,32500,MYR
2013-08-16,3.62,3.62,3.6,3.6,46000,MYR
2013-08-19,3.62,3.62,3.6,3.6,10500,MYR
