Date,Open,High,Low,Close,Volume,Currency
2013-04-29,0.158,0.158,0.158,0.158,10000,MYR
2013-04-30,0.158,0.158,0.154,0.154,91100,MYR
2013-05-02,0.154,0.154,0.154,0.154,142000,MYR
2013-05-03,0.158,0.161,0.15,0.158,406200,MYR
2013-05-06,0.165,0.169,0.161,0.161,169200,MYR
2013-05-07,0.165,0.169,0.165,0.169,71200,MYR
2013-05-08,0.161,0.169,0.161,0.165,111400,MYR
2013-05-09,0.165,0.173,0.161,0.173,43800,MYR
2013-05-10,0.169,0.18,0.169,0.176,870000,MYR
2013-05-13,0.18,0.191,0.18,0.188,1816200,MYR
2013-05-14,0.191,0.195,0.176,0.188,772700,MYR
2013-05-15,0.188,0.199,0.188,0.191,885200,MYR
2013-05-16,0.195,0.199,0.18,0.199,434300,MYR
2013-05-17,0.195,0.199,0.188,0.195,256200,MYR
2013-05-20,0.195,0.21,0.195,0.21,2284500,MYR
2013-05-21,0.214,0.214,0.203,0.206,1121800,MYR
2013-05-22,0.206,0.214,0.206,0.21,1630500,MYR
2013-05-23,0.21,0.233,0.21,0.225,5229000,MYR
2013-05-27,0.225,0.293,0.225,0.285,15603600,MYR
2013-05-28,0.293,0.293,0.266,0.274,7461000,MYR
2013-05-29,0.274,0.285,0.266,0.281,5562300,MYR
2013-05-30,0.278,0.278,0.266,0.274,1647900,MYR
2013-05-31,0.27,0.274,0.259,0.266,6618700,MYR
2013-06-03,0.259,0.263,0.229,0.248,2985800,MYR
2013-06-04,0.24,0.24,0.229,0.236,3630200,MYR
2013-06-05,0.236,0.236,0.221,0.221,2375700,MYR
2013-06-06,0.218,0.218,0.206,0.206,3638400,MYR
2013-06-07,0.21,0.248,0.21,0.244,6078300,MYR
2013-06-10,0.255,0.266,0.251,0.251,4555800,MYR
2013-06-11,0.251,0.251,0.24,0.244,1648600,MYR
2013-06-12,0.251,0.259,0.244,0.251,3124100,MYR
2013-06-13,0.244,0.244,0.225,0.233,2751000,MYR
2013-06-14,0.24,0.244,0.233,0.24,1515100,MYR
2013-06-17,0.248,0.255,0.244,0.248,1754300,MYR
2013-06-18,0.24,0.24,0.229,0.233,1057400,MYR
2013-06-19,0.236,0.236,0.225,0.233,1296600,MYR
2013-06-20,0.225,0.229,0.218,0.218,2618300,MYR
2013-06-21,0.214,0.229,0.214,0.218,1022600,MYR
2013-06-24,0.221,0.221,0.21,0.21,538100,MYR
2013-06-25,0.21,0.221,0.21,0.214,630100,MYR
2013-06-26,0.221,0.221,0.214,0.218,641800,MYR
2013-06-27,0.218,0.221,0.218,0.221,612000,MYR
2013-06-28,0.225,0.225,0.214,0.218,1164500,MYR
2013-07-01,0.221,0.221,0.218,0.218,462000,MYR
2013-07-02,0.221,0.229,0.218,0.218,817500,MYR
2013-07-03,0.221,0.221,0.218,0.221,376400,MYR
2013-07-04,0.221,0.248,0.221,0.24,3087300,MYR
2013-07-05,0.24,0.251,0.236,0.24,3580200,MYR
2013-07-08,0.24,0.244,0.236,0.244,910200,MYR
2013-07-09,0.244,0.244,0.236,0.244,647700,MYR
2013-07-10,0.24,0.251,0.24,0.24,1829800,MYR
2013-07-11,0.24,0.244,0.236,0.236,819700,MYR
2013-07-12,0.24,0.24,0.229,0.229,1422000,MYR
2013-07-15,0.233,0.233,0.229,0.233,190500,MYR
2013-07-16,0.233,0.244,0.233,0.244,2730500,MYR
2013-07-17,0.244,0.248,0.24,0.244,847200,MYR
2013-07-18,0.24,0.244,0.236,0.244,1248800,MYR
2013-07-19,0.244,0.259,0.244,0.255,4655100,MYR
2013-07-22,0.255,0.263,0.251,0.251,2290800,MYR
2013-07-23,0.255,0.255,0.248,0.251,972900,MYR
2013-07-24,0.251,0.251,0.244,0.244,617000,MYR
2013-07-25,0.244,0.244,0.236,0.24,826000,MYR
2013-07-26,0.236,0.24,0.236,0.236,1038000,MYR
2013-07-29,0.236,0.24,0.236,0.236,210800,MYR
2013-07-30,0.233,0.236,0.229,0.233,379200,MYR
2013-07-31,0.244,0.251,0.236,0.244,3208800,MYR
2013-08-01,0.244,0.244,0.236,0.236,409900,MYR
2013-08-02,0.24,0.24,0.236,0.236,332700,MYR
2013-08-05,0.236,0.244,0.233,0.244,1019200,MYR
2013-08-06,0.24,0.259,0.24,0.255,3248800,MYR
2013-08-07,0.255,0.259,0.255,0.255,578100,MYR
2013-08-12,0.259,0.281,0.259,0.278,16761500,MYR
2013-08-13,0.278,0.278,0.263,0.263,2572200,MYR
2013-08-14,0.266,0.27,0.266,0.266,1923200,MYR
2013-08-15,0.27,0.285,0.27,0.285,7561700,MYR
2013-08-16,0.281,0.285,0.278,0.278,2451500,MYR
2013-08-19,0.285,0.296,0.274,0.289,6559000,MYR
2013-08-20,0.281,0.285,0.274,0.274,3327800,MYR
2013-08-21,0.274,0.289,0.274,0.285,4878600,MYR
2013-08-22,0.281,0.281,0.274,0.278,3609500,MYR
2013-08-23,0.278,0.304,0.278,0.278,26315300,MYR
2013-08-26,0.281,0.293,0.281,0.289,18496600,MYR
2013-08-27,0.293,0.293,0.27,0.289,8664700,MYR
2013-08-28,0.278,0.289,0.27,0.285,4643000,MYR
2013-08-29,0.289,0.311,0.285,0.304,20970200,MYR
2013-08-30,0.308,0.349,0.308,0.341,18714700,MYR
2013-09-02,0.341,0.349,0.326,0.338,45402900,MYR
2013-09-03,0.338,0.36,0.334,0.338,43045500,MYR
2013-09-04,0.338,0.349,0.315,0.341,18146100,MYR
2013-09-05,0.345,0.36,0.345,0.353,20128400,MYR
2013-09-06,0.356,0.371,0.353,0.364,17110500,MYR
2013-09-09,0.368,0.375,0.36,0.36,8348700,MYR
2013-09-10,0.364,0.368,0.356,0.356,8222800,MYR
2013-09-11,0.356,0.379,0.356,0.379,20701900,MYR
2013-09-12,0.39,0.405,0.356,0.356,80750896,MYR
2013-09-13,0.341,0.349,0.334,0.338,13641500,MYR
2013-09-17,0.345,0.349,0.338,0.341,3836700,MYR
2013-09-18,0.341,0.356,0.334,0.341,16123300,MYR
2013-09-19,0.338,0.345,0.334,0.338,13535100,MYR
2013-09-20,0.338,0.345,0.334,0.338,4611700,MYR
2013-09-23,0.334,0.338,0.326,0.334,3001200,MYR
2013-09-24,0.334,0.334,0.323,0.326,5010800,MYR
2013-09-25,0.326,0.345,0.326,0.334,26307400,MYR
2013-09-26,0.33,0.338,0.33,0.334,3343800,MYR
2013-09-27,0.33,0.33,0.323,0.33,1617400,MYR
2013-09-30,0.33,0.33,0.319,0.319,1697200,MYR
2013-10-01,0.323,0.334,0.315,0.33,6966400,MYR
2013-10-02,0.334,0.334,0.326,0.326,1606400,MYR
2013-10-03,0.323,0.326,0.323,0.326,786600,MYR
2013-10-04,0.323,0.323,0.323,0.323,1547400,MYR
2013-10-07,0.323,0.323,0.315,0.323,2214000,MYR
2013-10-08,0.319,0.338,0.319,0.33,11222600,MYR
2013-10-09,0.326,0.338,0.323,0.33,6080100,MYR
2013-10-10,0.334,0.341,0.33,0.33,4752100,MYR
2013-10-11,0.334,0.334,0.326,0.326,714300,MYR
2013-10-14,0.326,0.326,0.323,0.323,2768700,MYR
2013-10-16,0.323,0.326,0.323,0.323,1263100,MYR
2013-10-17,0.323,0.326,0.319,0.326,1271500,MYR
2013-10-18,0.323,0.326,0.323,0.326,555400,MYR
2013-10-21,0.323,0.341,0.323,0.334,5192300,MYR
2013-10-22,0.334,0.334,0.326,0.33,999700,MYR
2013-10-23,0.326,0.33,0.326,0.326,1183400,MYR
2013-10-24,0.326,0.326,0.323,0.326,984000,MYR
2013-10-25,0.326,0.338,0.323,0.326,2592800,MYR
2013-10-28,0.326,0.326,0.323,0.326,785100,MYR
2013-10-29,0.326,0.33,0.326,0.33,508600,MYR
2013-10-30,0.33,0.341,0.33,0.334,3983400,MYR
2013-10-31,0.334,0.334,0.323,0.33,966800,MYR
2013-11-01,0.33,0.33,0.326,0.326,505300,MYR
2013-11-04,0.326,0.33,0.323,0.323,1776100,MYR
2013-11-06,0.323,0.326,0.323,0.323,2193700,MYR
2013-11-07,0.326,0.326,0.323,0.323,1346800,MYR
2013-11-08,0.323,0.334,0.323,0.33,6452300,MYR
2013-11-11,0.33,0.341,0.326,0.341,11400200,MYR
2013-11-12,0.341,0.353,0.33,0.341,26484200,MYR
2013-11-13,0.341,0.345,0.33,0.334,5888800,MYR
2013-11-14,0.334,0.341,0.326,0.334,8264700,MYR
2013-11-15,0.334,0.334,0.323,0.323,1387300,MYR
2013-11-18,0.323,0.323,0.323,0.323,3878600,MYR
2013-11-19,0.323,0.334,0.323,0.33,2320600,MYR
2013-11-20,0.334,0.338,0.334,0.334,2336700,MYR
2013-11-21,0.334,0.338,0.334,0.338,1453600,MYR
2013-11-22,0.338,0.338,0.334,0.334,1513000,MYR
2013-11-25,0.341,0.36,0.341,0.353,19026100,MYR
2013-11-26,0.353,0.353,0.345,0.349,1807700,MYR
2013-11-27,0.349,0.364,0.349,0.353,22019200,MYR
2013-11-28,0.353,0.36,0.349,0.353,1954500,MYR
2013-11-29,0.349,0.349,0.341,0.341,2095200,MYR
2013-12-02,0.345,0.375,0.345,0.371,15236300,MYR
2013-12-03,0.364,0.375,0.36,0.371,13991000,MYR
2013-12-04,0.371,0.371,0.364,0.364,1954000,MYR
2013-12-05,0.364,0.375,0.364,0.364,7241800,MYR
2013-12-06,0.364,0.368,0.36,0.364,2720100,MYR
2013-12-09,0.364,0.371,0.364,0.368,8644100,MYR
2013-12-10,0.368,0.371,0.364,0.368,9136400,MYR
2013-12-11,0.368,0.368,0.36,0.36,2554800,MYR
2013-12-12,0.36,0.36,0.356,0.36,868500,MYR
2013-12-13,0.36,0.368,0.36,0.364,880600,MYR
2013-12-16,0.368,0.371,0.36,0.364,1446500,MYR
2013-12-17,0.364,0.364,0.356,0.36,1218900,MYR
2013-12-18,0.36,0.36,0.356,0.36,413500,MYR
2013-12-19,0.36,0.36,0.356,0.36,844800,MYR
2013-12-20,0.36,0.364,0.356,0.36,1278000,MYR
2013-12-23,0.36,0.36,0.356,0.356,281000,MYR
2013-12-24,0.36,0.36,0.356,0.356,320700,MYR
2013-12-26,0.356,0.356,0.353,0.353,475300,MYR
2013-12-27,0.353,0.356,0.349,0.356,412100,MYR
2013-12-30,0.356,0.364,0.356,0.364,224700,MYR
2013-12-31,0.364,0.364,0.356,0.356,484300,MYR
2014-01-02,0.36,0.368,0.36,0.368,410600,MYR
