Date,Open,High,Low,Close,Volume,Currency
2014-07-22,0.943,0.968,0.915,0.965,2191200,MYR
2014-07-23,0.973,1.01,0.973,1.0,2360400,MYR
2014-07-24,1.01,1.01,0.99,1.0,527200,MYR
2014-07-25,0.985,0.995,0.968,0.983,270400,MYR
2014-07-30,0.983,0.983,0.968,0.968,288000,MYR
2014-07-31,0.968,0.98,0.965,0.975,820800,MYR
2014-08-01,0.958,0.968,0.945,0.95,1025200,MYR
2014-08-04,0.968,0.97,0.953,0.953,940400,MYR
2014-08-05,0.97,0.97,0.93,0.945,725200,MYR
2014-08-06,0.94,0.955,0.925,0.938,664400,MYR
2014-08-07,0.94,0.95,0.94,0.945,632800,MYR
2014-08-08,0.955,0.955,0.945,0.95,1520800,MYR
2014-08-11,0.953,1.0,0.953,1.0,2033600,MYR
2014-08-12,1.005,1.07,1.005,1.045,3792800,MYR
2014-08-13,1.05,1.052,1.008,1.035,640000,MYR
2014-08-14,1.035,1.038,1.008,1.025,411600,MYR
2014-08-15,1.015,1.018,1.0,1.015,503600,MYR
2014-08-18,1.005,1.02,0.998,1.005,522000,MYR
2014-08-19,1.008,1.008,0.993,1.0,769200,MYR
2014-08-20,1.0,1.0,0.97,0.995,80000,MYR
2014-08-21,0.998,1.0,0.985,0.998,127600,MYR
2014-08-22,0.998,1.0,0.998,1.0,129600,MYR
2014-08-25,1.01,1.01,0.978,0.978,341200,MYR
2014-08-26,0.978,0.988,0.968,0.968,277200,MYR
2014-08-27,0.965,0.965,0.95,0.955,989200,MYR
2014-08-28,0.95,0.95,0.943,0.948,929200,MYR
2014-08-29,0.948,0.988,0.948,0.978,1746800,MYR
2014-09-02,0.993,1.005,0.99,1.0,1184800,MYR
2014-09-03,1.01,1.015,1.0,1.005,1917600,MYR
2014-09-04,1.01,1.015,1.0,1.012,969200,MYR
2014-09-05,1.022,1.022,1.012,1.018,132400,MYR
2014-09-08,1.0,1.018,1.0,1.018,154000,MYR
2014-09-09,1.002,1.002,1.0,1.0,251600,MYR
2014-09-10,1.012,1.012,1.005,1.005,56000,MYR
2014-09-11,1.01,1.012,0.995,0.995,71200,MYR
2014-09-12,1.008,1.028,1.008,1.025,861200,MYR
2014-09-15,1.028,1.028,1.0,1.0,297200,MYR
2014-09-17,1.02,1.022,1.0,1.0,472000,MYR
2014-09-18,1.018,1.022,1.005,1.018,344800,MYR
2014-09-19,1.022,1.025,1.01,1.018,236000,MYR
2014-09-22,1.018,1.025,1.018,1.02,94000,MYR
2014-09-23,1.002,1.02,1.0,1.02,194000,MYR
2014-09-24,1.02,1.02,1.002,1.015,238000,MYR
2014-09-25,1.012,1.02,1.01,1.02,461200,MYR
2014-09-26,1.02,1.022,1.015,1.015,154000,MYR
2014-09-29,1.015,1.02,1.008,1.008,499200,MYR
2014-09-30,1.012,1.012,0.998,1.008,588800,MYR
2014-10-01,0.998,1.0,0.998,1.0,30000,MYR
2014-10-02,0.998,1.005,0.975,1.005,218000,MYR
2014-10-03,1.002,1.002,1.0,1.0,216000,MYR
2014-10-07,1.005,1.005,0.983,0.998,142800,MYR
2014-10-08,0.998,0.998,0.975,0.975,71200,MYR
2014-10-09,0.995,0.998,0.988,0.998,120000,MYR
2014-10-10,0.995,1.0,0.963,0.998,346400,MYR
