Date,Open,High,Low,Close,Volume,Currency
2011-09-19,17.46,17.46,17.14,17.2,422100,MYR
2011-09-20,17.4,17.4,16.9,17.04,66000,MYR
2011-09-21,17.04,17.04,16.8,16.92,224400,MYR
2011-09-22,16.68,16.68,16.38,16.4,1113300,MYR
2011-09-23,16.3,16.3,16.0,16.1,2190600,MYR
2011-09-26,16.1,16.1,15.62,15.9,863600,MYR
2011-09-27,15.9,15.92,15.7,15.9,507300,MYR
2011-09-28,15.8,16.0,15.5,15.86,490200,MYR
2011-09-29,15.8,15.96,15.5,15.9,314700,MYR
2011-09-30,15.94,16.52,15.88,15.96,574400,MYR
2011-10-03,16.28,16.4,16.04,16.08,763800,MYR
2011-10-04,16.08,16.12,16.06,16.08,324700,MYR
2011-10-05,17.98,17.98,15.8,15.88,100800,MYR
2011-10-06,16.08,16.2,15.96,16.0,618400,MYR
2011-10-07,16.2,16.32,16.08,16.1,306400,MYR
2011-10-10,16.0,16.2,16.0,16.08,988300,MYR
2011-10-11,16.1,16.18,16.08,16.1,735800,MYR
2011-10-12,16.1,16.5,16.0,16.24,951000,MYR
2011-10-13,16.48,16.48,16.14,16.18,207900,MYR
2011-10-14,16.28,16.4,16.24,16.32,1335200,MYR
2011-10-17,16.56,16.8,16.0,16.0,243300,MYR
2011-10-18,16.54,16.54,15.96,16.1,650300,MYR
2011-10-19,16.14,16.26,16.08,16.2,489000,MYR
2011-10-20,16.1,16.28,15.82,16.28,404000,MYR
2011-10-21,16.28,16.48,15.98,16.2,365500,MYR
2011-10-24,16.32,16.4,16.16,16.16,127100,MYR
2011-10-25,16.16,16.22,16.04,16.1,828100,MYR
2011-10-27,16.08,16.2,16.08,16.1,891200,MYR
2011-10-28,16.38,16.38,16.2,16.32,806000,MYR
2011-10-31,16.38,16.38,16.14,16.3,1255500,MYR
2011-11-01,16.12,16.28,16.0,16.02,787800,MYR
2011-11-02,15.9,16.2,15.9,16.2,646300,MYR
2011-11-03,16.02,16.1,15.76,16.04,182400,MYR
2011-11-04,16.08,16.12,16.0,16.08,292500,MYR
2011-11-08,16.2,16.34,16.16,16.2,1035100,MYR
2011-11-09,16.2,16.38,16.2,16.28,536300,MYR
2011-11-10,16.08,16.32,16.08,16.22,149800,MYR
2011-11-11,16.22,16.22,16.1,16.1,540800,MYR
2011-11-14,16.36,16.36,16.08,16.14,966700,MYR
2011-11-15,16.32,16.32,16.18,16.2,75200,MYR
2011-11-16,16.18,16.32,16.08,16.2,73200,MYR
2011-11-17,16.32,16.32,16.2,16.24,353700,MYR
2011-11-18,16.24,16.24,16.06,16.18,341600,MYR
2011-11-21,16.3,16.38,16.06,16.24,698200,MYR
2011-11-22,16.26,16.32,16.22,16.24,365700,MYR
2011-11-23,16.18,16.36,16.18,16.36,423900,MYR
2011-11-24,16.2,16.42,16.2,16.36,353900,MYR
2011-11-25,16.46,16.52,16.36,16.42,408000,MYR
2011-11-29,16.44,16.7,16.44,16.56,624200,MYR
2011-11-30,16.56,16.58,16.5,16.5,1046100,MYR
2011-12-01,16.6,16.78,16.5,16.62,827900,MYR
2011-12-02,16.78,17.3,16.74,17.3,570100,MYR
2011-12-05,17.2,17.26,17.12,17.2,153200,MYR
2011-12-06,16.82,17.2,16.82,17.16,64000,MYR
2011-12-07,17.0,17.1,17.0,17.08,998700,MYR
2011-12-08,17.08,17.18,16.66,17.18,85300,MYR
2011-12-09,16.72,17.2,16.72,17.2,91100,MYR
2011-12-12,17.08,17.28,17.08,17.18,286300,MYR
2011-12-13,17.0,17.5,17.0,17.38,135000,MYR
2011-12-14,17.34,17.34,17.18,17.18,336900,MYR
2011-12-15,17.0,17.22,16.86,17.2,248200,MYR
2011-12-16,17.0,17.26,17.0,17.2,358100,MYR
2011-12-19,17.1,17.3,17.0,17.3,104600,MYR
2011-12-20,17.5,17.5,16.98,17.0,166900,MYR
2011-12-21,16.94,17.12,16.94,16.96,686800,MYR
2011-12-22,16.96,17.08,16.96,17.02,591100,MYR
2011-12-23,17.0,17.3,17.0,17.3,242700,MYR
2011-12-27,17.28,17.28,17.18,17.2,454600,MYR
2011-12-28,17.2,17.22,17.18,17.2,455300,MYR
2011-12-29,17.18,17.4,17.18,17.3,382100,MYR
2011-12-30,17.3,17.8,17.16,17.8,370500,MYR
2012-01-03,17.42,17.52,17.42,17.44,141200,MYR
2012-01-04,17.58,17.58,16.98,17.0,559700,MYR
2012-01-05,17.02,17.16,16.82,17.02,750700,MYR
2012-01-06,17.2,17.2,17.0,17.12,2033200,MYR
2012-01-09,17.08,17.2,17.08,17.14,1098900,MYR
2012-01-10,17.1,17.74,17.1,17.4,961900,MYR
2012-01-11,17.44,17.46,17.28,17.3,877100,MYR
2012-01-12,17.2,17.5,17.2,17.36,1022300,MYR
2012-01-13,17.5,17.5,17.38,17.4,333800,MYR
2012-01-16,17.3,17.3,17.2,17.22,200000,MYR
2012-01-17,17.3,17.5,17.3,17.5,1429900,MYR
2012-01-18,17.16,17.46,17.16,17.4,670900,MYR
2012-01-19,17.24,17.56,17.24,17.5,1400200,MYR
2012-01-20,17.7,17.82,17.38,17.6,453600,MYR
2012-01-25,17.6,17.6,17.5,17.5,173000,MYR
2012-01-26,17.8,17.8,17.5,17.56,627500,MYR
