Date,Open,High,Low,Close,Volume,Currency
2013-05-02,3.731,3.731,3.691,3.691,60720,MYR
2013-05-03,3.675,3.723,3.65,3.715,106320,MYR
2013-05-06,3.764,3.804,3.748,3.772,32640,MYR
2013-05-07,3.82,3.845,3.78,3.82,111600,MYR
2013-05-08,3.82,3.853,3.82,3.82,109800,MYR
2013-05-09,3.82,3.869,3.804,3.804,106200,MYR
2013-05-10,3.804,3.828,3.804,3.804,212040,MYR
2013-05-13,3.82,3.998,3.82,3.998,301680,MYR
2013-05-14,3.998,3.998,3.958,3.966,53280,MYR
2013-05-15,3.982,3.99,3.934,3.934,94680,MYR
2013-05-16,3.934,3.934,3.917,3.926,113040,MYR
2013-05-17,3.926,3.95,3.926,3.95,104880,MYR
2013-05-20,3.974,4.047,3.974,4.039,217200,MYR
2013-05-21,4.039,4.047,4.015,4.023,65160,MYR
2013-05-22,4.031,4.031,4.006,4.006,120840,MYR
2013-05-23,4.015,4.015,3.95,3.95,268560,MYR
2013-05-27,3.739,3.739,3.626,3.642,40560,MYR
2013-05-28,3.61,3.642,3.586,3.61,121800,MYR
2013-05-29,3.61,3.61,3.586,3.602,64920,MYR
2013-05-30,3.602,3.618,3.594,3.618,27000,MYR
2013-05-31,3.61,3.675,3.61,3.675,104760,MYR
2013-06-03,3.788,3.788,3.642,3.642,19800,MYR
2013-06-04,3.667,3.667,3.561,3.618,8400,MYR
2013-06-05,3.61,3.642,3.61,3.642,27600,MYR
2013-06-06,3.642,3.642,3.61,3.61,11880,MYR
2013-06-07,3.642,3.642,3.61,3.61,4320,MYR
2013-06-10,3.634,3.642,3.634,3.634,28800,MYR
2013-06-11,3.65,3.659,3.634,3.634,29520,MYR
2013-06-12,3.618,3.65,3.618,3.65,1920,MYR
2013-06-13,3.634,3.634,3.569,3.578,23400,MYR
2013-06-14,3.634,3.634,3.586,3.586,16800,MYR
2013-06-17,3.61,3.61,3.586,3.586,43680,MYR
2013-06-19,3.586,3.586,3.578,3.578,28920,MYR
2013-06-20,3.578,3.586,3.561,3.561,17160,MYR
2013-06-21,3.561,3.561,3.545,3.561,28800,MYR
2013-06-24,3.561,3.561,3.545,3.545,31800,MYR
2013-06-25,3.529,3.561,3.529,3.529,21000,MYR
2013-06-26,3.545,3.561,3.545,3.561,17160,MYR
2013-06-27,3.561,3.561,3.529,3.545,28080,MYR
2013-06-28,3.545,3.569,3.545,3.553,14400,MYR
2013-07-01,3.553,3.553,3.545,3.553,10200,MYR
2013-07-02,3.553,3.602,3.545,3.602,45480,MYR
2013-07-03,3.602,3.642,3.586,3.642,13200,MYR
2013-07-04,3.634,3.634,3.634,3.634,3960,MYR
2013-07-05,3.634,3.634,3.634,3.634,1200,MYR
2013-07-08,3.61,3.642,3.61,3.634,15960,MYR
2013-07-09,3.578,3.61,3.578,3.61,2400,MYR
2013-07-10,3.61,3.659,3.61,3.659,26160,MYR
2013-07-11,3.659,3.659,3.659,3.659,3600,MYR
2013-07-12,3.659,3.659,3.634,3.634,8400,MYR
2013-07-15,3.667,3.667,3.667,3.667,3600,MYR
2013-07-16,3.642,3.659,3.642,3.659,19080,MYR
2013-07-17,3.659,3.683,3.65,3.683,72600,MYR
2013-07-18,3.659,3.683,3.65,3.65,21000,MYR
2013-07-19,3.65,3.691,3.65,3.691,6000,MYR
2013-07-22,3.691,3.772,3.691,3.764,57720,MYR
2013-07-23,3.731,3.764,3.731,3.764,2760,MYR
2013-07-24,3.764,3.764,3.731,3.764,15240,MYR
2013-07-25,3.748,3.748,3.748,3.748,600,MYR
2013-07-29,3.772,3.772,3.756,3.772,33000,MYR
2013-07-30,3.756,3.756,3.756,3.756,7800,MYR
2013-07-31,3.723,3.723,3.723,3.723,6000,MYR
2013-08-01,3.659,3.715,3.659,3.699,35160,MYR
2013-08-02,3.707,3.723,3.707,3.723,15960,MYR
2013-08-05,3.723,3.723,3.715,3.715,34920,MYR
2013-08-06,3.707,3.723,3.707,3.723,41880,MYR
2013-08-07,3.723,3.723,3.723,3.723,9600,MYR
2013-08-12,3.723,3.748,3.723,3.748,8280,MYR
2013-08-13,3.723,3.723,3.723,3.723,2880,MYR
2013-08-14,3.731,3.739,3.731,3.739,9480,MYR
2013-08-15,3.723,3.739,3.723,3.739,15480,MYR
2013-08-16,3.739,3.748,3.731,3.748,15840,MYR
2013-08-19,3.82,3.95,3.82,3.909,124920,MYR
2013-08-20,3.893,3.901,3.845,3.877,46200,MYR
2013-08-21,3.845,3.877,3.845,3.877,29760,MYR
2013-08-22,3.837,3.837,3.804,3.837,36720,MYR
2013-08-23,3.82,3.877,3.82,3.828,28200,MYR
2013-08-26,3.845,3.869,3.845,3.845,18480,MYR
2013-08-27,3.828,3.845,3.723,3.731,91200,MYR
2013-08-28,3.723,3.723,3.642,3.723,63600,MYR
2013-08-29,3.723,3.804,3.723,3.804,26400,MYR
2013-08-30,3.804,3.804,3.772,3.796,28560,MYR
2013-09-02,3.731,3.772,3.731,3.772,2400,MYR
2013-09-03,3.772,3.772,3.772,3.772,15960,MYR
2013-09-04,3.748,3.748,3.739,3.748,10200,MYR
2013-09-05,3.764,3.78,3.764,3.764,34560,MYR
2013-09-06,3.764,3.764,3.764,3.764,9360,MYR
2013-09-09,3.764,3.764,3.764,3.764,4440,MYR
2013-09-10,3.723,3.796,3.723,3.796,19440,MYR
2013-09-12,3.756,3.756,3.756,3.756,3600,MYR
2013-09-13,3.756,3.756,3.748,3.748,28320,MYR
2013-09-17,3.772,3.772,3.772,3.772,8040,MYR
2013-09-18,3.772,3.772,3.772,3.772,9000,MYR
2013-09-19,3.788,3.837,3.788,3.837,25200,MYR
2013-09-20,3.804,3.861,3.804,3.861,9240,MYR
2013-09-24,3.861,3.861,3.861,3.861,2400,MYR
2013-09-25,3.861,3.869,3.861,3.869,11880,MYR
2013-09-26,3.869,3.869,3.845,3.861,23520,MYR
2013-09-27,3.861,3.861,3.861,3.861,2400,MYR
2013-09-30,3.861,3.861,3.845,3.845,2400,MYR
2013-10-01,3.804,3.861,3.804,3.861,6480,MYR
2013-10-02,3.861,3.861,3.828,3.828,1800,MYR
2013-10-03,3.828,3.828,3.828,3.828,2400,MYR
2013-10-04,3.828,3.885,3.828,3.837,8280,MYR
2013-10-07,3.828,3.909,3.812,3.909,23160,MYR
2013-10-09,3.909,3.909,3.909,3.909,8400,MYR
2013-10-10,3.901,3.901,3.901,3.901,3600,MYR
2013-10-11,3.901,3.901,3.853,3.853,7200,MYR
2013-10-14,3.926,3.974,3.885,3.885,33480,MYR
2013-10-16,3.885,4.047,3.885,3.885,86880,MYR
2013-10-17,3.901,3.917,3.885,3.901,45720,MYR
2013-10-18,3.909,4.006,3.909,3.966,42360,MYR
2013-10-21,3.926,4.031,3.926,4.031,15120,MYR
2013-10-22,3.966,4.047,3.966,4.047,76680,MYR
2013-10-23,4.047,4.047,3.958,4.047,47400,MYR
2013-10-24,4.047,4.047,4.047,4.047,59040,MYR
2013-10-25,4.047,4.071,4.039,4.071,52920,MYR
2013-10-28,4.087,4.209,4.087,4.209,143280,MYR
