Date,Open,High,Low,Close,Volume,Currency
2013-02-21,0.28,0.295,0.28,0.295,47000,MYR
2013-02-22,0.28,0.28,0.28,0.28,5000,MYR
2013-02-25,0.285,0.295,0.285,0.295,21100,MYR
2013-02-26,0.28,0.29,0.28,0.29,71000,MYR
2013-02-27,0.285,0.29,0.285,0.29,59000,MYR
2013-03-01,0.29,0.295,0.28,0.295,19000,MYR
2013-03-04,0.285,0.31,0.28,0.31,60000,MYR
2013-03-05,0.3,0.3,0.285,0.285,84000,MYR
2013-03-06,0.29,0.295,0.29,0.295,28400,MYR
2013-03-07,0.285,0.3,0.285,0.3,5500,MYR
2013-03-08,0.3,0.3,0.3,0.3,7000,MYR
2013-03-12,0.3,0.3,0.3,0.3,20000,MYR
2013-03-13,0.295,0.3,0.285,0.3,51100,MYR
2013-03-14,0.29,0.3,0.285,0.285,71700,MYR
2013-03-15,0.285,0.285,0.285,0.285,23000,MYR
2013-03-18,0.3,0.32,0.3,0.32,27300,MYR
2013-03-19,0.29,0.32,0.29,0.32,65800,MYR
2013-03-20,0.285,0.285,0.285,0.285,17000,MYR
2013-03-21,0.29,0.295,0.29,0.295,17200,MYR
2013-03-22,0.3,0.3,0.285,0.295,24300,MYR
2013-03-25,0.28,0.285,0.28,0.285,31200,MYR
2013-03-26,0.28,0.31,0.28,0.31,49100,MYR
2013-03-27,0.29,0.295,0.29,0.295,29300,MYR
2013-03-28,0.29,0.295,0.285,0.295,29000,MYR
2013-03-29,0.295,0.3,0.29,0.295,58000,MYR
2013-04-01,0.3,0.33,0.3,0.33,1000,MYR
2013-04-03,0.285,0.32,0.28,0.285,18200,MYR
2013-04-04,0.285,0.295,0.285,0.295,6100,MYR
2013-04-05,0.285,0.295,0.285,0.295,3000,MYR
2013-04-08,0.285,0.34,0.285,0.34,59100,MYR
2013-04-09,0.34,0.34,0.285,0.3,139100,MYR
2013-04-10,0.305,0.33,0.305,0.33,15800,MYR
2013-04-11,0.3,0.32,0.295,0.295,29300,MYR
