Date,Open,High,Low,Close,Volume,Currency
2013-03-29,0.995,1.01,0.995,1.01,10000,MYR
2013-04-01,0.995,0.995,0.995,0.995,3000,MYR
2013-04-02,0.995,0.995,0.99,0.99,30000,MYR
2013-04-03,0.99,1.02,0.99,1.02,13000,MYR
2013-04-09,0.99,1.02,0.99,1.02,51000,MYR
2013-04-11,0.99,1.03,0.99,1.03,41100,MYR
2013-04-12,0.99,1.02,0.985,1.02,28000,MYR
2013-04-16,1.0,1.04,0.985,1.04,8000,MYR
2013-04-17,0.99,1.02,0.99,1.02,21000,MYR
2013-04-19,0.995,0.995,0.99,0.99,4000,MYR
2013-04-22,0.985,0.99,0.975,0.99,61000,MYR
2013-04-23,0.98,0.98,0.98,0.98,15000,MYR
2013-04-25,0.97,1.0,0.97,1.0,2000,MYR
2013-04-30,1.0,1.01,1.0,1.0,17000,MYR
2013-05-02,0.995,1.01,0.995,1.01,4500,MYR
2013-05-03,0.995,0.995,0.985,0.985,55200,MYR
2013-05-06,1.02,1.02,1.02,1.02,1000,MYR
2013-05-08,1.0,1.04,1.0,1.04,31000,MYR
2013-05-09,1.0,1.05,1.0,1.05,18900,MYR
2013-05-10,1.06,1.09,1.06,1.09,14000,MYR
2013-05-14,1.07,1.1,1.06,1.1,18800,MYR
2013-05-15,1.09,1.12,1.08,1.12,30500,MYR
2013-05-16,1.11,1.14,1.11,1.14,71500,MYR
2013-05-17,1.1,1.17,1.1,1.17,14100,MYR
2013-05-21,1.21,1.21,1.21,1.21,1000,MYR
2013-05-27,1.21,1.21,1.21,1.21,36000,MYR
2013-05-28,1.21,1.21,1.21,1.21,12100,MYR
2013-05-31,1.13,1.13,1.12,1.12,7000,MYR
2013-06-04,1.17,1.17,1.17,1.17,2000,MYR
2013-06-05,1.17,1.19,1.17,1.19,6500,MYR
2013-06-06,1.15,1.15,1.13,1.13,20500,MYR
2013-06-07,1.11,1.13,1.11,1.13,9900,MYR
2013-06-10,1.17,1.17,1.17,1.17,7000,MYR
2013-06-11,1.14,1.14,1.14,1.14,20000,MYR
2013-06-12,1.14,1.14,1.14,1.14,9300,MYR
2013-06-14,1.17,1.19,1.17,1.19,5000,MYR
2013-06-17,1.15,1.15,1.14,1.14,5000,MYR
2013-06-18,1.15,1.16,1.15,1.16,23500,MYR
2013-06-20,1.12,1.17,1.12,1.17,8000,MYR
2013-06-21,1.11,1.17,1.11,1.17,2000,MYR
2013-06-24,1.11,1.11,1.11,1.11,11600,MYR
2013-06-26,1.2,1.2,1.16,1.19,8000,MYR
2013-07-05,1.2,1.2,1.2,1.2,2000,MYR
2013-07-08,1.15,1.15,1.15,1.15,2000,MYR
2013-07-10,1.2,1.25,1.2,1.24,86500,MYR
2013-07-11,1.24,1.24,1.21,1.23,59500,MYR
2013-07-12,1.2,1.21,1.2,1.2,8000,MYR
2013-07-15,1.21,1.21,1.2,1.2,5700,MYR
2013-07-16,1.2,1.2,1.2,1.2,14000,MYR
2013-07-17,1.22,1.22,1.22,1.22,1000,MYR
2013-07-18,1.24,1.24,1.23,1.23,32200,MYR
2013-07-19,1.23,1.24,1.23,1.24,19400,MYR
2013-07-22,1.22,1.22,1.22,1.22,4400,MYR
2013-07-23,1.23,1.23,1.23,1.23,6000,MYR
2013-07-24,1.23,1.23,1.22,1.23,35300,MYR
2013-07-25,1.22,1.22,1.22,1.22,5000,MYR
2013-07-26,1.27,1.27,1.27,1.27,1000,MYR
2013-07-30,1.28,1.28,1.26,1.26,28600,MYR
2013-07-31,1.23,1.3,1.23,1.25,21700,MYR
2013-08-01,1.32,1.38,1.26,1.28,12000,MYR
2013-08-02,1.28,1.3,1.28,1.3,27900,MYR
2013-08-07,1.24,1.36,1.24,1.36,2000,MYR
2013-08-13,1.32,1.32,1.32,1.32,8000,MYR
2013-08-14,1.32,1.32,1.32,1.32,1000,MYR
2013-08-15,1.27,1.28,1.27,1.28,7300,MYR
2013-08-16,1.28,1.28,1.26,1.26,4000,MYR
2013-08-19,1.23,1.23,1.23,1.23,4000,MYR
2013-08-22,1.23,1.23,1.23,1.23,6000,MYR
2013-08-23,1.24,1.24,1.24,1.24,2000,MYR
2013-08-27,1.23,1.25,1.14,1.25,167000,MYR
2013-08-28,1.18,1.18,1.16,1.16,48200,MYR
2013-08-29,1.16,1.16,1.16,1.16,5000,MYR
2013-08-30,1.17,1.17,1.17,1.17,1000,MYR
2013-09-09,1.25,1.25,1.25,1.25,1700,MYR
2013-09-11,1.18,1.24,1.15,1.24,4300,MYR
2013-09-13,1.2,1.2,1.2,1.2,5000,MYR
2013-09-17,1.2,1.2,1.2,1.2,14000,MYR
2013-09-18,1.2,1.24,1.2,1.24,10400,MYR
2013-09-23,1.2,1.25,1.2,1.25,3800,MYR
2013-09-27,1.18,1.18,1.18,1.18,1000,MYR
2013-10-03,1.15,1.2,1.15,1.2,11000,MYR
2013-10-04,1.2,1.2,1.2,1.2,20000,MYR
2013-10-11,1.22,1.22,1.22,1.22,4000,MYR
2013-10-24,1.22,1.22,1.22,1.22,7600,MYR
2013-10-25,1.2,1.32,1.2,1.32,22100,MYR
