Date,Open,High,Low,Close,Volume,Currency
2013-02-27,0.095,0.095,0.09,0.095,1260200,MYR
2013-02-28,0.095,0.1,0.095,0.1,387200,MYR
2013-03-01,0.095,0.095,0.095,0.095,147400,MYR
2013-03-04,0.09,0.095,0.09,0.09,1718700,MYR
2013-03-05,0.09,0.095,0.09,0.095,323600,MYR
2013-03-06,0.095,0.095,0.095,0.095,421900,MYR
2013-03-07,0.095,0.1,0.095,0.095,396400,MYR
2013-03-08,0.1,0.1,0.095,0.1,402600,MYR
2013-03-11,0.1,0.1,0.095,0.1,179900,MYR
2013-03-12,0.1,0.11,0.1,0.11,760500,MYR
2013-03-13,0.105,0.105,0.095,0.095,370500,MYR
2013-03-14,0.1,0.1,0.1,0.1,212000,MYR
2013-03-15,0.095,0.1,0.095,0.1,242000,MYR
2013-03-18,0.1,0.1,0.095,0.095,123000,MYR
2013-03-19,0.1,0.1,0.1,0.1,230500,MYR
2013-03-20,0.1,0.1,0.095,0.1,1353000,MYR
2013-03-21,0.095,0.1,0.095,0.095,702000,MYR
2013-03-22,0.1,0.1,0.095,0.1,160000,MYR
2013-03-25,0.1,0.1,0.1,0.1,128000,MYR
2013-03-26,0.1,0.1,0.095,0.095,358600,MYR
2013-03-27,0.095,0.1,0.095,0.1,185500,MYR
2013-03-28,0.1,0.1,0.1,0.1,400500,MYR
2013-03-29,0.1,0.1,0.1,0.1,201500,MYR
2013-04-01,0.1,0.105,0.1,0.1,175000,MYR
2013-04-02,0.1,0.105,0.1,0.1,350700,MYR
2013-04-03,0.1,0.1,0.1,0.1,266600,MYR
2013-04-04,0.1,0.1,0.1,0.1,221000,MYR
2013-04-05,0.1,0.11,0.1,0.105,1398200,MYR
2013-04-08,0.11,0.11,0.1,0.105,1888000,MYR
2013-04-09,0.105,0.11,0.1,0.105,336000,MYR
2013-04-10,0.105,0.11,0.1,0.11,51500,MYR
2013-04-11,0.11,0.11,0.1,0.105,753800,MYR
2013-04-12,0.105,0.11,0.1,0.11,164100,MYR
2013-04-15,0.105,0.12,0.105,0.11,531100,MYR
2013-04-16,0.11,0.11,0.105,0.11,157300,MYR
2013-04-17,0.11,0.115,0.105,0.11,1377100,MYR
2013-04-18,0.11,0.11,0.105,0.105,426000,MYR
2013-04-19,0.11,0.125,0.11,0.125,3339400,MYR
2013-04-22,0.125,0.135,0.125,0.13,2295000,MYR
2013-04-23,0.135,0.135,0.115,0.135,2032500,MYR
2013-04-24,0.135,0.14,0.13,0.135,983700,MYR
2013-04-25,0.125,0.13,0.12,0.13,3087000,MYR
2013-04-26,0.125,0.13,0.12,0.13,1156900,MYR
2013-04-29,0.12,0.13,0.12,0.125,633300,MYR
2013-04-30,0.125,0.14,0.125,0.14,4528700,MYR
2013-05-02,0.135,0.14,0.13,0.14,965300,MYR
2013-05-03,0.135,0.14,0.13,0.13,1847600,MYR
2013-05-06,0.135,0.15,0.135,0.145,2104000,MYR
2013-05-07,0.145,0.155,0.14,0.155,1291300,MYR
2013-05-08,0.155,0.16,0.145,0.15,3065400,MYR
2013-05-09,0.145,0.145,0.14,0.145,1766500,MYR
2013-05-10,0.14,0.155,0.135,0.155,3284800,MYR
2013-05-13,0.165,0.17,0.155,0.165,3531300,MYR
2013-05-14,0.165,0.165,0.155,0.16,1709500,MYR
2013-05-15,0.155,0.18,0.155,0.18,3565400,MYR
2013-05-16,0.175,0.18,0.165,0.17,3514900,MYR
2013-05-17,0.17,0.17,0.16,0.17,1279000,MYR
2013-05-20,0.17,0.185,0.165,0.185,1885700,MYR
2013-05-21,0.185,0.185,0.175,0.18,1939500,MYR
2013-05-22,0.18,0.18,0.165,0.175,1540000,MYR
2013-05-23,0.175,0.175,0.16,0.165,2522100,MYR
2013-05-27,0.165,0.18,0.165,0.17,992300,MYR
2013-05-28,0.17,0.175,0.17,0.175,712500,MYR
2013-05-29,0.17,0.17,0.16,0.165,1031200,MYR
2013-05-30,0.16,0.16,0.15,0.16,2520800,MYR
2013-05-31,0.155,0.155,0.15,0.15,620900,MYR
2013-06-03,0.14,0.145,0.135,0.14,1438700,MYR
2013-06-04,0.14,0.145,0.135,0.145,1155600,MYR
2013-06-05,0.145,0.145,0.14,0.14,1191000,MYR
2013-06-06,0.14,0.145,0.14,0.14,660800,MYR
2013-06-07,0.14,0.15,0.14,0.15,779700,MYR
2013-06-10,0.15,0.16,0.15,0.16,857500,MYR
2013-06-11,0.16,0.16,0.145,0.145,282000,MYR
2013-06-12,0.145,0.15,0.145,0.15,281000,MYR
2013-06-13,0.145,0.155,0.145,0.15,1309400,MYR
2013-06-14,0.15,0.16,0.15,0.155,720000,MYR
2013-06-17,0.155,0.155,0.15,0.15,544000,MYR
2013-06-18,0.15,0.15,0.15,0.15,1204000,MYR
2013-06-19,0.155,0.155,0.15,0.15,1800000,MYR
2013-06-20,0.145,0.145,0.145,0.145,656100,MYR
2013-06-21,0.145,0.145,0.14,0.145,1168000,MYR
2013-06-24,0.145,0.145,0.13,0.14,1568900,MYR
2013-06-25,0.135,0.135,0.135,0.135,1045400,MYR
2013-06-26,0.14,0.14,0.135,0.135,280600,MYR
2013-06-27,0.135,0.14,0.135,0.135,210600,MYR
2013-06-28,0.135,0.135,0.135,0.135,20000,MYR
2013-07-01,0.135,0.135,0.135,0.135,265000,MYR
2013-07-02,0.135,0.135,0.135,0.135,1000,MYR
2013-07-03,0.135,0.14,0.135,0.14,316500,MYR
2013-07-04,0.135,0.135,0.135,0.135,173300,MYR
2013-07-05,0.135,0.14,0.135,0.135,165700,MYR
2013-07-08,0.135,0.135,0.135,0.135,120000,MYR
2013-07-09,0.14,0.14,0.14,0.14,170000,MYR
2013-07-10,0.14,0.14,0.135,0.135,45800,MYR
2013-07-11,0.14,0.14,0.135,0.135,107000,MYR
2013-07-12,0.14,0.14,0.14,0.14,448000,MYR
2013-07-15,0.145,0.145,0.145,0.145,194000,MYR
2013-07-16,0.15,0.15,0.15,0.15,275000,MYR
2013-07-17,0.15,0.155,0.15,0.155,226000,MYR
2013-07-18,0.155,0.155,0.145,0.155,125000,MYR
2013-07-19,0.145,0.15,0.145,0.15,261000,MYR
2013-07-22,0.145,0.145,0.145,0.145,3000,MYR
2013-07-23,0.15,0.15,0.15,0.15,268000,MYR
2013-07-24,0.145,0.15,0.145,0.15,177000,MYR
2013-07-25,0.15,0.15,0.15,0.15,1000,MYR
2013-07-26,0.15,0.15,0.145,0.145,106000,MYR
2013-07-29,0.145,0.15,0.145,0.145,253000,MYR
2013-07-30,0.15,0.15,0.145,0.15,183000,MYR
2013-07-31,0.145,0.15,0.135,0.145,850100,MYR
2013-08-01,0.145,0.15,0.145,0.15,727000,MYR
2013-08-02,0.15,0.15,0.15,0.15,45000,MYR
2013-08-05,0.15,0.155,0.145,0.155,71800,MYR
2013-08-06,0.15,0.15,0.145,0.145,42000,MYR
2013-08-07,0.145,0.145,0.145,0.145,64000,MYR
2013-08-12,0.145,0.145,0.145,0.145,144000,MYR
2013-08-13,0.14,0.145,0.14,0.145,200200,MYR
2013-08-14,0.145,0.145,0.14,0.145,330200,MYR
2013-08-15,0.14,0.15,0.14,0.145,716200,MYR
2013-08-16,0.145,0.15,0.145,0.15,414300,MYR
2013-08-19,0.15,0.155,0.15,0.15,291000,MYR
2013-08-20,0.145,0.145,0.145,0.145,294000,MYR
2013-08-21,0.145,0.15,0.145,0.145,370500,MYR
2013-08-22,0.145,0.15,0.14,0.145,665100,MYR
2013-08-23,0.145,0.145,0.14,0.14,7000,MYR
2013-08-26,0.14,0.145,0.14,0.14,553900,MYR
2013-08-27,0.135,0.135,0.125,0.135,639100,MYR
2013-08-28,0.13,0.135,0.125,0.135,183000,MYR
2013-08-29,0.135,0.135,0.13,0.135,213600,MYR
2013-08-30,0.135,0.135,0.135,0.135,123600,MYR
2013-09-02,0.135,0.135,0.13,0.135,276000,MYR
2013-09-03,0.13,0.135,0.13,0.135,64500,MYR
2013-09-04,0.135,0.135,0.135,0.135,86100,MYR
2013-09-06,0.135,0.135,0.13,0.13,269200,MYR
2013-09-09,0.13,0.135,0.13,0.135,230400,MYR
2013-09-10,0.13,0.135,0.13,0.13,408000,MYR
2013-09-11,0.135,0.135,0.135,0.135,507000,MYR
2013-09-12,0.135,0.135,0.135,0.135,5000,MYR
2013-09-17,0.14,0.14,0.14,0.14,188300,MYR
2013-09-18,0.135,0.14,0.135,0.14,84000,MYR
2013-09-19,0.14,0.145,0.14,0.145,116000,MYR
2013-09-20,0.14,0.15,0.14,0.15,337200,MYR
2013-09-23,0.15,0.165,0.15,0.16,1549500,MYR
2013-09-24,0.16,0.165,0.155,0.165,829400,MYR
2013-09-25,0.165,0.165,0.16,0.16,652200,MYR
2013-09-26,0.155,0.165,0.155,0.165,691300,MYR
2013-09-27,0.17,0.185,0.17,0.18,5012900,MYR
2013-09-30,0.18,0.185,0.17,0.18,2132400,MYR
2013-10-01,0.17,0.185,0.17,0.18,1567600,MYR
2013-10-02,0.18,0.18,0.175,0.18,1022100,MYR
2013-10-03,0.18,0.235,0.18,0.225,16779500,MYR
2013-10-04,0.215,0.24,0.215,0.225,12496100,MYR
2013-10-07,0.23,0.235,0.215,0.22,6342700,MYR
2013-10-08,0.22,0.23,0.215,0.225,5977100,MYR
2013-10-09,0.225,0.225,0.205,0.22,6259300,MYR
2013-10-10,0.22,0.225,0.21,0.21,8332500,MYR
2013-10-11,0.215,0.215,0.205,0.215,3180100,MYR
2013-10-14,0.21,0.22,0.205,0.215,4223400,MYR
2013-10-16,0.22,0.23,0.215,0.23,7535700,MYR
2013-10-17,0.23,0.235,0.22,0.225,4175700,MYR
2013-10-18,0.22,0.225,0.22,0.225,2274900,MYR
2013-10-21,0.23,0.235,0.225,0.23,3542100,MYR
2013-10-22,0.23,0.23,0.225,0.225,1643200,MYR
2013-10-23,0.225,0.25,0.225,0.24,8838700,MYR
2013-10-24,0.245,0.255,0.24,0.25,3892900,MYR
2013-10-25,0.255,0.255,0.245,0.245,2823200,MYR
2013-10-28,0.25,0.25,0.245,0.245,3059300,MYR
2013-10-29,0.25,0.265,0.245,0.26,5095900,MYR
2013-10-30,0.265,0.29,0.265,0.285,7106500,MYR
2013-10-31,0.285,0.3,0.275,0.28,9207300,MYR
2013-11-01,0.285,0.3,0.285,0.29,4120600,MYR
2013-11-04,0.295,0.345,0.295,0.345,14949800,MYR
2013-11-06,0.35,0.355,0.325,0.335,11792600,MYR
2013-11-07,0.335,0.345,0.325,0.335,6043100,MYR
2013-11-08,0.335,0.345,0.335,0.34,3011000,MYR
2013-11-11,0.345,0.37,0.345,0.355,13571200,MYR
2013-11-12,0.36,0.365,0.32,0.32,9018500,MYR
2013-11-13,0.305,0.305,0.255,0.265,28057000,MYR
2013-11-14,0.265,0.285,0.265,0.27,7989100,MYR
2013-11-15,0.275,0.275,0.265,0.265,4419100,MYR
2013-11-18,0.27,0.275,0.265,0.265,4139500,MYR
2013-11-19,0.27,0.275,0.265,0.27,4418900,MYR
2013-11-20,0.28,0.3,0.28,0.285,12911500,MYR
2013-11-21,0.285,0.285,0.27,0.275,1909500,MYR
2013-11-22,0.275,0.28,0.27,0.28,922700,MYR
2013-11-25,0.28,0.285,0.27,0.275,1839500,MYR
2013-11-26,0.27,0.275,0.265,0.275,2793200,MYR
2013-11-27,0.275,0.275,0.27,0.275,1410000,MYR
2013-11-28,0.27,0.27,0.265,0.265,1125900,MYR
2013-11-29,0.26,0.26,0.255,0.26,1553200,MYR
2013-12-02,0.26,0.265,0.255,0.265,1832700,MYR
2013-12-03,0.265,0.265,0.26,0.26,615700,MYR
2013-12-04,0.265,0.265,0.25,0.25,1497000,MYR
2013-12-05,0.25,0.25,0.235,0.235,2123200,MYR
2013-12-06,0.235,0.24,0.235,0.24,1424600,MYR
2013-12-09,0.24,0.24,0.23,0.23,503000,MYR
2013-12-10,0.235,0.245,0.235,0.245,1685100,MYR
2013-12-11,0.245,0.245,0.235,0.235,794000,MYR
2013-12-12,0.24,0.245,0.235,0.24,463800,MYR
2013-12-13,0.24,0.245,0.235,0.24,396000,MYR
2013-12-16,0.235,0.24,0.23,0.24,1190600,MYR
2013-12-17,0.24,0.24,0.235,0.24,821300,MYR
2013-12-18,0.23,0.235,0.23,0.235,518300,MYR
2013-12-19,0.235,0.24,0.23,0.24,475200,MYR
