Date,Open,High,Low,Close,Volume,Currency
2011-07-15,3.2,3.22,3.2,3.21,133500,MYR
2011-07-18,3.22,3.22,3.18,3.2,110100,MYR
2011-07-19,3.2,3.21,3.18,3.2,636000,MYR
2011-07-20,3.2,3.23,3.19,3.2,1352000,MYR
2011-07-21,3.2,3.2,3.18,3.19,741400,MYR
2011-07-22,3.18,3.2,3.16,3.19,256700,MYR
2011-07-25,3.18,3.2,3.18,3.19,557000,MYR
2011-07-26,3.17,3.21,3.17,3.18,342200,MYR
2011-07-27,3.18,3.2,3.18,3.19,2101500,MYR
2011-07-28,3.2,3.22,3.18,3.18,145200,MYR
2011-07-29,3.17,3.19,3.17,3.19,278600,MYR
2011-08-01,3.17,3.19,3.17,3.19,83000,MYR
2011-08-02,3.19,3.19,3.18,3.19,130900,MYR
2011-08-03,3.15,3.18,3.14,3.18,174000,MYR
2011-08-04,3.17,3.19,3.16,3.17,9300,MYR
2011-08-05,3.11,3.11,3.05,3.11,1276900,MYR
2011-08-08,3.1,3.1,2.98,3.03,1367700,MYR
2011-08-09,2.85,3.04,2.8,3.03,2100500,MYR
2011-08-10,3.07,3.07,3.0,3.01,685800,MYR
2011-08-11,3.0,3.02,2.96,3.01,753100,MYR
2011-08-12,3.01,3.01,2.99,3.0,368700,MYR
2011-08-15,3.0,3.02,2.98,2.98,253500,MYR
2011-08-16,3.03,3.03,2.98,3.03,627700,MYR
2011-08-17,3.0,3.05,3.0,3.05,213000,MYR
2011-08-18,3.04,3.05,3.0,3.05,123800,MYR
2011-08-19,2.92,3.0,2.9,2.95,321000,MYR
2011-08-22,2.9,3.02,2.9,2.99,752000,MYR
2011-08-23,2.98,3.01,2.98,3.0,33000,MYR
2011-08-24,3.0,3.05,2.96,3.0,226900,MYR
2011-08-25,2.92,2.95,2.9,2.95,211300,MYR
2011-08-26,2.93,2.93,2.8,2.9,907800,MYR
2011-08-29,2.9,2.9,2.89,2.9,52800,MYR
2011-09-02,2.96,2.96,2.93,2.93,234900,MYR
2011-09-05,2.91,2.91,2.84,2.85,185200,MYR
2011-09-06,2.85,2.85,2.8,2.8,308000,MYR
2011-09-07,2.81,2.84,2.8,2.82,137400,MYR
2011-09-08,2.83,2.86,2.83,2.86,105000,MYR
2011-09-09,2.88,2.89,2.86,2.86,129000,MYR
2011-09-12,2.84,2.85,2.79,2.84,218000,MYR
2011-09-13,2.82,2.82,2.77,2.82,172400,MYR
2011-09-14,2.82,2.82,2.64,2.7,1275300,MYR
2011-09-15,2.69,2.69,2.59,2.6,909400,MYR
2011-09-19,2.61,2.61,2.53,2.56,629800,MYR
2011-09-20,2.56,2.56,2.52,2.52,343700,MYR
2011-09-21,2.52,2.53,2.45,2.45,445700,MYR
2011-09-22,2.42,2.45,2.37,2.41,935600,MYR
2011-09-23,2.34,2.38,2.32,2.38,645100,MYR
2011-09-26,2.36,2.36,2.22,2.33,638300,MYR
2011-09-27,2.4,2.4,2.34,2.38,208400,MYR
2011-09-28,2.38,2.45,2.36,2.42,439100,MYR
2011-09-29,2.4,2.48,2.4,2.47,187200,MYR
2011-09-30,2.5,2.59,2.48,2.55,1221200,MYR
2011-10-03,2.45,2.45,2.42,2.45,259000,MYR
2011-10-04,2.41,2.44,2.4,2.44,278400,MYR
2011-10-05,2.43,2.52,2.43,2.52,257200,MYR
2011-10-06,2.52,2.54,2.48,2.52,334200,MYR
2011-10-07,2.56,2.56,2.5,2.5,212700,MYR
2011-10-10,2.5,2.54,2.49,2.54,74200,MYR
2011-10-11,2.54,2.64,2.54,2.57,324200,MYR
2011-10-12,2.58,2.67,2.57,2.67,236900,MYR
2011-10-13,2.71,2.72,2.68,2.69,451700,MYR
2011-10-14,2.68,2.69,2.66,2.69,135300,MYR
2011-10-17,2.72,2.75,2.71,2.74,470100,MYR
2011-10-18,2.7,2.7,2.65,2.69,203300,MYR
2011-10-19,2.7,2.7,2.68,2.7,84500,MYR
