Date,Open,High,Low,Close,Volume,Currency
2011-07-12,17.68,17.68,17.3,17.3,431300,MYR
2011-07-13,17.34,17.46,17.28,17.46,455900,MYR
2011-07-14,17.4,17.4,17.32,17.4,91900,MYR
2011-07-15,17.4,17.44,17.3,17.44,295800,MYR
2011-07-18,17.4,17.52,17.3,17.42,167200,MYR
2011-07-19,17.4,17.42,17.3,17.38,670900,MYR
2011-07-20,17.5,17.66,17.3,17.3,513200,MYR
2011-07-21,17.4,17.5,17.4,17.5,728500,MYR
2011-07-22,17.5,17.5,17.44,17.5,411400,MYR
2011-07-25,17.34,17.56,17.34,17.52,74500,MYR
2011-07-26,17.56,17.56,17.44,17.5,153500,MYR
2011-07-27,17.58,17.58,17.46,17.5,810600,MYR
2011-07-28,17.44,17.52,17.2,17.3,258200,MYR
2011-07-29,17.46,17.46,17.1,17.36,475600,MYR
2011-08-01,17.22,17.58,17.22,17.58,33500,MYR
2011-08-02,17.48,17.48,17.26,17.28,13600,MYR
2011-08-03,17.18,17.28,17.16,17.2,202000,MYR
2011-08-04,17.3,17.36,17.1,17.18,185400,MYR
2011-08-05,17.16,17.16,16.9,17.04,1199800,MYR
2011-08-08,17.02,17.2,16.54,17.0,1320500,MYR
2011-08-09,16.5,16.8,16.3,16.64,1136600,MYR
2011-08-10,16.98,17.0,16.84,17.0,823500,MYR
2011-08-11,16.96,17.18,16.76,17.0,411400,MYR
2011-08-12,16.72,17.04,16.72,17.0,683100,MYR
2011-08-15,17.0,17.36,17.0,17.06,48700,MYR
2011-08-16,17.08,17.12,16.68,16.8,1387300,MYR
2011-08-17,17.0,17.2,17.0,17.18,156900,MYR
2011-08-18,17.3,17.5,17.0,17.5,792100,MYR
2011-08-19,17.0,17.2,16.92,17.2,229600,MYR
2011-08-22,17.2,17.2,16.92,17.08,133800,MYR
2011-08-23,17.18,17.22,16.88,17.2,419100,MYR
2011-08-24,17.2,17.22,16.82,16.88,323400,MYR
2011-08-25,16.88,17.18,16.88,17.1,595600,MYR
2011-08-26,17.1,17.1,16.88,16.9,500400,MYR
2011-08-29,16.86,17.0,16.86,16.86,146000,MYR
2011-09-02,17.0,17.18,16.9,17.04,252300,MYR
2011-09-05,17.04,17.18,16.76,16.8,227400,MYR
2011-09-06,16.9,16.9,16.68,16.7,923100,MYR
2011-09-07,16.86,17.1,16.76,16.98,196500,MYR
2011-09-08,17.1,17.36,17.0,17.04,1240800,MYR
2011-09-09,17.0,17.08,16.78,16.94,199700,MYR
2011-09-12,17.12,17.12,16.6,16.62,197100,MYR
2011-09-13,16.96,16.96,16.62,16.78,25000,MYR
2011-09-14,16.9,16.9,16.7,16.88,191800,MYR
2011-09-15,16.94,17.04,16.78,16.9,610500,MYR
2011-09-19,16.7,16.88,16.7,16.72,262600,MYR
2011-09-20,16.78,16.78,16.58,16.58,159900,MYR
2011-09-21,16.6,16.78,16.58,16.62,126800,MYR
2011-09-22,16.56,16.56,16.42,16.42,421200,MYR
2011-09-23,16.42,16.42,16.06,16.3,373500,MYR
2011-09-26,16.1,16.16,15.16,15.78,211300,MYR
2011-09-27,15.9,16.18,15.8,15.9,418300,MYR
2011-09-28,15.92,16.3,15.86,16.3,343000,MYR
2011-09-29,16.1,16.4,16.02,16.38,201100,MYR
2011-09-30,16.38,16.66,16.38,16.62,562300,MYR
2011-10-03,16.62,16.62,15.8,16.48,278400,MYR
2011-10-04,16.4,16.5,15.86,16.06,274100,MYR
2011-10-05,16.38,16.42,15.76,15.76,764600,MYR
2011-10-06,15.8,15.96,15.8,15.94,540800,MYR
2011-10-07,15.94,15.98,15.92,15.94,567900,MYR
2011-10-10,16.0,16.16,15.7,16.16,38000,MYR
2011-10-11,16.2,16.22,16.0,16.22,129900,MYR
