Date,Open,High,Low,Close,Volume,Currency
2013-05-02,0.29,0.29,0.29,0.29,30000,MYR
2013-05-03,0.28,0.28,0.28,0.28,11000,MYR
2013-05-06,0.28,0.28,0.28,0.28,12000,MYR
2013-05-07,0.295,0.295,0.295,0.295,6000,MYR
2013-05-08,0.29,0.29,0.29,0.29,9000,MYR
2013-05-09,0.29,0.29,0.29,0.29,13000,MYR
2013-05-10,0.3,0.32,0.3,0.32,86900,MYR
2013-05-13,0.32,0.345,0.32,0.345,552200,MYR
2013-05-14,0.34,0.34,0.33,0.34,136400,MYR
2013-05-15,0.33,0.33,0.33,0.33,19000,MYR
2013-05-16,0.33,0.35,0.33,0.34,271300,MYR
2013-05-17,0.355,0.355,0.345,0.355,204400,MYR
2013-05-20,0.355,0.375,0.355,0.365,66000,MYR
2013-05-21,0.36,0.39,0.36,0.38,409100,MYR
2013-05-22,0.41,0.43,0.405,0.41,1770400,MYR
2013-05-23,0.41,0.41,0.39,0.395,236000,MYR
2013-05-27,0.38,0.395,0.38,0.39,140000,MYR
2013-05-28,0.39,0.41,0.39,0.41,140500,MYR
2013-05-29,0.42,0.435,0.415,0.425,787500,MYR
2013-05-30,0.42,0.42,0.41,0.41,56000,MYR
2013-05-31,0.42,0.425,0.415,0.42,392800,MYR
2013-06-03,0.41,0.42,0.41,0.415,98000,MYR
2013-06-04,0.41,0.41,0.4,0.4,105000,MYR
2013-06-05,0.41,0.41,0.4,0.4,43000,MYR
2013-06-06,0.4,0.4,0.395,0.395,84000,MYR
2013-06-07,0.395,0.42,0.395,0.42,108100,MYR
2013-06-10,0.41,0.41,0.41,0.41,22000,MYR
2013-06-11,0.42,0.42,0.41,0.41,59500,MYR
2013-06-12,0.4,0.42,0.39,0.42,123300,MYR
2013-06-13,0.395,0.395,0.395,0.395,80000,MYR
2013-06-14,0.395,0.415,0.395,0.41,283900,MYR
2013-06-17,0.4,0.42,0.4,0.42,40200,MYR
2013-06-18,0.41,0.41,0.405,0.405,142700,MYR
2013-06-19,0.41,0.425,0.41,0.425,216000,MYR
2013-06-20,0.415,0.425,0.415,0.425,233200,MYR
2013-06-21,0.415,0.415,0.41,0.415,431000,MYR
2013-06-24,0.4,0.41,0.4,0.41,40000,MYR
2013-06-26,0.4,0.4,0.4,0.4,8000,MYR
2013-06-27,0.395,0.4,0.395,0.4,58300,MYR
2013-06-28,0.395,0.4,0.395,0.4,123000,MYR
2013-07-01,0.39,0.39,0.39,0.39,25300,MYR
2013-07-02,0.4,0.41,0.4,0.41,147200,MYR
2013-07-03,0.415,0.415,0.405,0.405,12000,MYR
2013-07-05,0.405,0.43,0.405,0.42,257300,MYR
2013-07-08,0.41,0.44,0.41,0.44,270700,MYR
2013-07-09,0.445,0.455,0.44,0.455,867000,MYR
2013-07-10,0.455,0.46,0.44,0.44,186100,MYR
2013-07-11,0.43,0.44,0.43,0.435,91000,MYR
2013-07-12,0.44,0.45,0.44,0.45,210000,MYR
2013-07-15,0.44,0.45,0.44,0.445,91800,MYR
2013-07-16,0.44,0.44,0.44,0.44,32000,MYR
2013-07-17,0.44,0.46,0.44,0.46,18200,MYR
2013-07-18,0.45,0.46,0.435,0.44,51000,MYR
2013-07-19,0.44,0.44,0.44,0.44,22000,MYR
2013-07-22,0.445,0.455,0.445,0.45,227700,MYR
2013-07-23,0.44,0.44,0.44,0.44,10000,MYR
2013-07-24,0.44,0.45,0.44,0.445,200000,MYR
2013-07-26,0.43,0.43,0.43,0.43,20000,MYR
2013-07-30,0.43,0.43,0.43,0.43,15000,MYR
2013-07-31,0.42,0.42,0.42,0.42,37000,MYR
2013-08-01,0.41,0.42,0.41,0.42,76000,MYR
2013-08-02,0.42,0.42,0.42,0.42,94600,MYR
2013-08-05,0.42,0.435,0.42,0.435,80500,MYR
2013-08-06,0.43,0.445,0.43,0.44,204700,MYR
2013-08-07,0.44,0.45,0.44,0.445,265900,MYR
2013-08-12,0.44,0.44,0.44,0.44,5000,MYR
2013-08-13,0.44,0.44,0.435,0.44,171900,MYR
2013-08-14,0.44,0.44,0.435,0.435,76000,MYR
2013-08-15,0.405,0.42,0.405,0.42,20000,MYR
2013-08-16,0.41,0.41,0.41,0.41,8000,MYR
2013-08-19,0.42,0.44,0.42,0.425,125200,MYR
2013-08-20,0.425,0.425,0.415,0.415,144900,MYR
2013-08-21,0.415,0.42,0.415,0.415,142000,MYR
2013-08-22,0.405,0.41,0.395,0.41,149000,MYR
2013-08-23,0.41,0.415,0.41,0.41,48000,MYR
2013-08-26,0.405,0.41,0.405,0.41,17000,MYR
2013-08-27,0.405,0.41,0.39,0.39,317000,MYR
2013-08-28,0.39,0.39,0.385,0.385,160600,MYR
2013-08-29,0.4,0.4,0.4,0.4,74000,MYR
2013-08-30,0.4,0.405,0.4,0.4,19000,MYR
2013-09-03,0.39,0.39,0.39,0.39,9600,MYR
2013-09-05,0.4,0.4,0.38,0.38,22000,MYR
2013-09-09,0.38,0.38,0.38,0.38,35000,MYR
2013-09-10,0.39,0.39,0.39,0.39,10000,MYR
2013-09-12,0.385,0.385,0.385,0.385,2000,MYR
2013-09-13,0.385,0.385,0.385,0.385,15000,MYR
2013-09-17,0.38,0.38,0.38,0.38,23000,MYR
2013-09-18,0.37,0.4,0.37,0.4,1100,MYR
2013-09-23,0.385,0.385,0.385,0.385,35000,MYR
2013-09-24,0.385,0.385,0.385,0.385,67000,MYR
2013-09-25,0.39,0.395,0.39,0.395,50000,MYR
2013-09-26,0.395,0.395,0.39,0.39,18000,MYR
2013-09-27,0.4,0.4,0.39,0.39,30000,MYR
2013-10-02,0.395,0.4,0.395,0.4,23000,MYR
2013-10-03,0.395,0.395,0.39,0.39,25700,MYR
2013-10-04,0.395,0.4,0.395,0.4,110400,MYR
2013-10-08,0.41,0.41,0.4,0.405,20000,MYR
2013-10-09,0.41,0.415,0.41,0.415,123000,MYR
2013-10-10,0.405,0.42,0.405,0.415,146500,MYR
2013-10-11,0.41,0.41,0.41,0.41,2000,MYR
2013-10-14,0.42,0.42,0.41,0.42,20000,MYR
2013-10-17,0.42,0.435,0.42,0.435,269200,MYR
2013-10-18,0.44,0.47,0.44,0.46,1455700,MYR
2013-10-21,0.47,0.475,0.46,0.46,479000,MYR
2013-10-22,0.46,0.46,0.435,0.44,197000,MYR
2013-10-23,0.44,0.44,0.425,0.43,175000,MYR
2013-10-24,0.43,0.46,0.43,0.46,374000,MYR
2013-10-25,0.44,0.455,0.435,0.455,171000,MYR
2013-10-28,0.44,0.44,0.43,0.44,68000,MYR
2013-10-29,0.43,0.435,0.425,0.435,26000,MYR
2013-10-30,0.425,0.45,0.425,0.45,46000,MYR
2013-10-31,0.435,0.435,0.435,0.435,30000,MYR
2013-11-01,0.435,0.435,0.435,0.435,10000,MYR
2013-11-04,0.435,0.45,0.435,0.44,92700,MYR
2013-11-06,0.45,0.46,0.45,0.455,369900,MYR
2013-11-07,0.46,0.485,0.455,0.465,1473400,MYR
2013-11-08,0.47,0.525,0.47,0.515,2037300,MYR
2013-11-11,0.52,0.565,0.52,0.535,1339800,MYR
2013-11-12,0.535,0.54,0.52,0.52,636100,MYR
2013-11-13,0.52,0.52,0.5,0.5,339000,MYR
2013-11-14,0.51,0.52,0.51,0.52,31100,MYR
2013-11-15,0.51,0.515,0.505,0.505,220800,MYR
2013-11-18,0.5,0.52,0.495,0.52,55000,MYR
2013-11-19,0.505,0.505,0.5,0.505,159300,MYR
2013-11-20,0.5,0.5,0.48,0.48,124000,MYR
2013-11-21,0.48,0.49,0.47,0.47,229300,MYR
2013-11-25,0.475,0.475,0.475,0.475,20000,MYR
2013-11-26,0.475,0.475,0.475,0.475,15500,MYR
2013-11-27,0.48,0.505,0.48,0.49,199700,MYR
2013-11-28,0.49,0.49,0.485,0.49,66000,MYR
2013-11-29,0.495,0.5,0.485,0.5,24900,MYR
2013-12-02,0.5,0.5,0.495,0.495,13700,MYR
2013-12-03,0.48,0.48,0.475,0.475,63100,MYR
2013-12-04,0.475,0.475,0.47,0.47,40000,MYR
2013-12-05,0.475,0.475,0.475,0.475,58200,MYR
2013-12-06,0.495,0.495,0.475,0.475,15000,MYR
2013-12-09,0.475,0.475,0.475,0.475,18000,MYR
2013-12-10,0.475,0.475,0.465,0.465,28000,MYR
2013-12-11,0.47,0.485,0.47,0.485,38200,MYR
2013-12-12,0.47,0.47,0.465,0.465,10200,MYR
2013-12-13,0.485,0.49,0.485,0.49,11000,MYR
2013-12-16,0.49,0.49,0.47,0.47,14500,MYR
2013-12-18,0.465,0.47,0.455,0.455,81200,MYR
2013-12-19,0.455,0.47,0.455,0.47,42500,MYR
2013-12-20,0.46,0.46,0.46,0.46,37000,MYR
2013-12-23,0.455,0.455,0.455,0.455,3000,MYR
2013-12-24,0.455,0.455,0.455,0.455,2000,MYR
2013-12-26,0.47,0.47,0.455,0.465,19000,MYR
2013-12-27,0.465,0.465,0.465,0.465,5000,MYR
2013-12-31,0.465,0.465,0.46,0.46,31000,MYR
2014-01-02,0.455,0.455,0.45,0.45,29500,MYR
2014-01-03,0.44,0.44,0.44,0.44,36800,MYR
2014-01-06,0.44,0.445,0.44,0.445,12000,MYR
2014-01-07,0.45,0.45,0.45,0.45,60000,MYR
2014-01-08,0.475,0.495,0.47,0.485,172000,MYR
2014-01-09,0.49,0.49,0.475,0.49,52900,MYR
2014-01-10,0.465,0.49,0.465,0.49,2500,MYR
2014-01-13,0.465,0.465,0.465,0.465,60000,MYR
2014-01-15,0.465,0.465,0.465,0.465,12000,MYR
2014-01-16,0.455,0.47,0.455,0.47,35800,MYR
2014-01-20,0.45,0.45,0.445,0.445,45600,MYR
2014-01-22,0.46,0.46,0.455,0.455,130000,MYR
2014-01-23,0.455,0.455,0.455,0.455,170000,MYR
2014-01-27,0.455,0.455,0.455,0.455,160000,MYR
2014-01-28,0.455,0.455,0.455,0.455,65000,MYR
2014-01-29,0.455,0.455,0.455,0.455,2000,MYR
2014-02-04,0.455,0.455,0.455,0.455,19500,MYR
2014-02-05,0.44,0.46,0.44,0.46,100000,MYR
2014-02-06,0.46,0.46,0.46,0.46,30000,MYR
2014-02-07,0.46,0.46,0.46,0.46,40000,MYR
2014-02-11,0.46,0.46,0.46,0.46,67000,MYR
2014-02-12,0.47,0.49,0.47,0.48,104200,MYR
2014-02-13,0.455,0.46,0.455,0.46,30000,MYR
2014-02-14,0.46,0.48,0.46,0.48,57000,MYR
2014-02-17,0.47,0.47,0.47,0.47,14000,MYR
2014-02-18,0.47,0.475,0.47,0.475,242000,MYR
2014-02-19,0.47,0.47,0.47,0.47,4000,MYR
2014-02-20,0.475,0.475,0.47,0.47,49000,MYR
2014-02-21,0.47,0.485,0.47,0.475,76100,MYR
2014-02-24,0.49,0.49,0.475,0.475,9700,MYR
2014-02-25,0.475,0.475,0.47,0.475,35100,MYR
2014-02-26,0.48,0.52,0.475,0.505,1265800,MYR
2014-02-27,0.51,0.515,0.505,0.51,195000,MYR
2014-02-28,0.48,0.505,0.48,0.5,72000,MYR
2014-03-03,0.48,0.485,0.48,0.48,35000,MYR
2014-03-04,0.48,0.49,0.48,0.485,33500,MYR
2014-03-05,0.48,0.485,0.48,0.48,43000,MYR
2014-03-06,0.48,0.48,0.48,0.48,17000,MYR
2014-03-07,0.49,0.5,0.485,0.5,89700,MYR
2014-03-10,0.51,0.51,0.51,0.51,40000,MYR
2014-03-11,0.485,0.485,0.485,0.485,93700,MYR
2014-03-12,0.49,0.505,0.49,0.505,148000,MYR
2014-03-13,0.505,0.51,0.505,0.505,152700,MYR
2014-03-14,0.5,0.505,0.5,0.5,70000,MYR
2014-03-17,0.5,0.505,0.5,0.505,266600,MYR
2014-03-18,0.5,0.5,0.5,0.5,6000,MYR
2014-03-19,0.5,0.51,0.485,0.51,138900,MYR
2014-03-20,0.5,0.515,0.5,0.51,50900,MYR
2014-03-21,0.515,0.515,0.5,0.5,33000,MYR
2014-03-24,0.51,0.535,0.51,0.525,952900,MYR
2014-03-25,0.53,0.595,0.53,0.59,4484400,MYR
