Date,Open,High,Low,Close,Volume,Currency
2013-09-18,2.6,2.6,2.573,2.573,230900,MYR
2013-09-19,2.636,2.836,2.591,2.791,1004300,MYR
2013-09-20,2.818,2.818,2.727,2.773,241300,MYR
2013-09-23,2.755,2.845,2.755,2.809,401100,MYR
2013-09-24,2.818,2.882,2.8,2.873,510700,MYR
2013-09-25,2.864,2.864,2.782,2.8,463100,MYR
2013-09-26,2.818,2.827,2.773,2.827,128800,MYR
2013-09-27,2.782,2.809,2.745,2.773,115000,MYR
2013-09-30,2.764,2.764,2.655,2.655,268000,MYR
2013-10-01,2.646,2.709,2.636,2.709,254700,MYR
2013-10-02,2.709,2.755,2.691,2.691,93100,MYR
2013-10-03,2.718,2.718,2.636,2.682,137700,MYR
2013-10-04,2.655,2.655,2.618,2.655,220200,MYR
2013-10-07,2.636,2.655,2.627,2.655,189500,MYR
2013-10-08,2.627,2.636,2.618,2.636,130000,MYR
2013-10-09,2.627,2.646,2.618,2.646,115600,MYR
2013-10-10,2.646,2.655,2.627,2.646,137300,MYR
2013-10-11,2.655,2.709,2.627,2.636,393500,MYR
2013-10-14,2.664,2.682,2.664,2.682,252000,MYR
2013-10-16,2.691,2.7,2.691,2.7,120500,MYR
2013-10-17,2.718,2.845,2.718,2.809,765000,MYR
2013-10-18,2.818,2.836,2.764,2.818,251900,MYR
2013-10-21,2.809,2.909,2.809,2.9,1131800,MYR
2013-10-22,2.918,2.946,2.9,2.9,629900,MYR
2013-10-23,2.9,2.9,2.854,2.854,221900,MYR
2013-10-24,2.845,2.909,2.845,2.864,271000,MYR
2013-10-25,2.845,2.864,2.827,2.845,180400,MYR
2013-10-28,2.818,2.845,2.818,2.827,167600,MYR
2013-10-29,2.827,2.845,2.818,2.827,163100,MYR
2013-10-30,2.836,2.864,2.827,2.836,201200,MYR
2013-10-31,2.827,2.836,2.809,2.827,220200,MYR
2013-11-01,2.818,2.827,2.8,2.827,261500,MYR
2013-11-04,2.827,2.827,2.791,2.791,220100,MYR
2013-11-06,2.773,2.791,2.745,2.791,113700,MYR
2013-11-07,2.791,2.8,2.782,2.782,129600,MYR
2013-11-08,2.782,2.836,2.773,2.8,292300,MYR
2013-11-11,2.8,2.836,2.8,2.8,222100,MYR
2013-11-12,2.8,2.818,2.782,2.782,211900,MYR
2013-11-13,2.782,2.782,2.727,2.736,70700,MYR
2013-11-14,2.764,2.764,2.709,2.736,86300,MYR
2013-11-15,2.727,2.755,2.718,2.727,24500,MYR
2013-11-18,2.727,2.736,2.727,2.727,40000,MYR
2013-11-19,2.727,2.755,2.709,2.745,19700,MYR
2013-11-20,2.718,2.718,2.718,2.718,4000,MYR
2013-11-21,2.718,2.736,2.718,2.727,50200,MYR
2013-11-22,2.709,2.727,2.709,2.727,42000,MYR
2013-11-25,2.736,2.745,2.718,2.718,107200,MYR
2013-11-26,2.709,2.718,2.709,2.718,19000,MYR
2013-11-27,2.718,2.718,2.718,2.718,15000,MYR
2013-11-28,2.709,2.709,2.682,2.691,25200,MYR
2013-11-29,2.691,2.691,2.646,2.673,36600,MYR
2013-12-02,2.673,2.673,2.564,2.564,24100,MYR
2013-12-03,2.564,2.591,2.527,2.591,84200,MYR
2013-12-04,2.582,2.591,2.536,2.582,94900,MYR
2013-12-05,2.582,2.636,2.564,2.6,52500,MYR
2013-12-06,2.636,2.636,2.6,2.6,16400,MYR
2013-12-09,2.591,2.664,2.573,2.573,17700,MYR
2013-12-10,2.573,2.573,2.573,2.573,18500,MYR
2013-12-11,2.573,2.573,2.554,2.554,35200,MYR
2013-12-12,2.546,2.554,2.536,2.536,94100,MYR
2013-12-13,2.536,2.546,2.527,2.527,30700,MYR
2013-12-16,2.527,2.536,2.527,2.536,28700,MYR
2013-12-17,2.536,2.573,2.536,2.573,32200,MYR
2013-12-18,2.573,2.573,2.536,2.536,20300,MYR
2013-12-19,2.536,2.536,2.473,2.536,83300,MYR
2013-12-20,2.491,2.536,2.473,2.527,39300,MYR
2013-12-23,2.473,2.491,2.473,2.473,29500,MYR
2013-12-24,2.473,2.491,2.454,2.454,82800,MYR
2013-12-26,2.454,2.454,2.446,2.454,32200,MYR
2013-12-27,2.473,2.591,2.473,2.509,59900,MYR
2013-12-30,2.536,2.554,2.536,2.546,31000,MYR
2013-12-31,2.609,2.682,2.591,2.655,687700,MYR
2014-01-02,2.664,2.809,2.664,2.782,497500,MYR
2014-01-03,2.782,3.182,2.782,3.173,3692100,MYR
2014-01-07,3.373,3.409,3.291,3.291,5910400,MYR
