Date,Open,High,Low,Close,Volume,Currency
2013-02-25,0.34,0.349,0.336,0.349,140000,MYR
2013-02-26,0.35,0.35,0.342,0.347,79800,MYR
2013-02-27,0.352,0.352,0.352,0.352,14000,MYR
2013-02-28,0.352,0.354,0.349,0.349,42000,MYR
2013-03-04,0.354,0.354,0.35,0.35,50400,MYR
2013-03-05,0.349,0.354,0.349,0.349,204960,MYR
2013-03-06,0.349,0.354,0.349,0.354,438760,MYR
2013-03-07,0.354,0.354,0.336,0.343,58520,MYR
2013-03-08,0.343,0.343,0.343,0.343,1400,MYR
2013-03-11,0.342,0.342,0.34,0.34,85120,MYR
2013-03-12,0.343,0.35,0.335,0.35,454160,MYR
2013-03-13,0.349,0.352,0.317,0.319,1357159,MYR
2013-03-14,0.324,0.326,0.306,0.324,370440,MYR
2013-03-15,0.317,0.324,0.292,0.308,419440,MYR
2013-03-18,0.296,0.304,0.29,0.301,451920,MYR
2013-03-19,0.301,0.301,0.296,0.297,162400,MYR
2013-03-20,0.313,0.313,0.306,0.308,117600,MYR
2013-03-21,0.31,0.333,0.31,0.328,274680,MYR
2013-03-22,0.324,0.329,0.32,0.32,115080,MYR
2013-03-25,0.326,0.329,0.32,0.322,72800,MYR
2013-03-26,0.322,0.322,0.322,0.322,28000,MYR
2013-03-27,0.372,0.407,0.368,0.404,1923039,MYR
2013-03-28,0.411,0.432,0.4,0.4,2061639,MYR
2013-03-29,0.404,0.411,0.397,0.397,281680,MYR
2013-04-01,0.389,0.4,0.382,0.393,301000,MYR
2013-04-02,0.397,0.418,0.397,0.407,885640,MYR
2013-04-03,0.411,0.411,0.389,0.404,768040,MYR
2013-04-04,0.407,0.418,0.407,0.414,528080,MYR
2013-04-05,0.414,0.443,0.414,0.443,1507519,MYR
2013-04-08,0.443,0.474,0.443,0.471,1544479,MYR
2013-04-09,0.481,0.492,0.467,0.471,974960,MYR
2013-04-10,0.471,0.474,0.457,0.457,570360,MYR
2013-04-11,0.446,0.46,0.446,0.457,389760,MYR
2013-04-12,0.46,0.492,0.46,0.481,1376199,MYR
2013-04-15,0.474,0.481,0.474,0.481,511840,MYR
2013-04-16,0.481,0.485,0.474,0.485,191240,MYR
2013-04-17,0.481,0.52,0.481,0.51,1033760,MYR
2013-04-18,0.506,0.531,0.506,0.517,919800,MYR
2013-04-19,0.513,0.527,0.503,0.527,78400,MYR
2013-04-22,0.524,0.524,0.503,0.503,163240,MYR
2013-04-23,0.51,0.51,0.492,0.496,319480,MYR
2013-04-24,0.496,0.506,0.496,0.503,137200,MYR
2013-04-25,0.503,0.513,0.496,0.496,267960,MYR
2013-04-26,0.496,0.513,0.496,0.496,180320,MYR
2013-04-29,0.496,0.496,0.474,0.474,193200,MYR
2013-04-30,0.474,0.474,0.464,0.467,277200,MYR
2013-05-02,0.46,0.464,0.457,0.464,277200,MYR
2013-05-03,0.464,0.464,0.457,0.46,553560,MYR
2013-05-06,0.489,0.492,0.489,0.492,98000,MYR
2013-05-07,0.503,0.524,0.503,0.524,264320,MYR
2013-05-08,0.524,0.524,0.517,0.517,200200,MYR
