Date,Open,High,Low,Close,Volume,Currency
2014-08-28,0.186,0.203,0.186,0.194,23558100,MYR
2014-08-29,0.19,0.19,0.178,0.182,12705900,MYR
2014-09-02,0.186,0.186,0.178,0.178,12265500,MYR
2014-09-03,0.178,0.19,0.173,0.173,20508000,MYR
2014-09-04,0.182,0.186,0.182,0.182,12273900,MYR
2014-09-05,0.182,0.186,0.178,0.182,3783400,MYR
2014-09-08,0.182,0.19,0.182,0.19,10072100,MYR
2014-09-09,0.19,0.194,0.182,0.186,8887100,MYR
2014-09-10,0.186,0.186,0.182,0.182,8572200,MYR
2014-09-11,0.182,0.186,0.173,0.182,8507400,MYR
2014-09-12,0.178,0.182,0.178,0.178,4733800,MYR
2014-09-15,0.178,0.178,0.173,0.173,2178300,MYR
2014-09-17,0.173,0.182,0.173,0.182,3088000,MYR
2014-09-18,0.182,0.182,0.178,0.182,2136000,MYR
2014-09-19,0.182,0.19,0.178,0.186,12266600,MYR
2014-09-22,0.186,0.186,0.182,0.186,3209100,MYR
2014-09-23,0.186,0.186,0.182,0.182,2719100,MYR
2014-09-24,0.182,0.182,0.182,0.182,1359000,MYR
2014-09-25,0.182,0.186,0.178,0.178,24393100,MYR
2014-09-26,0.173,0.182,0.173,0.173,7211400,MYR
2014-09-29,0.178,0.178,0.169,0.178,6337500,MYR
2014-09-30,0.178,0.178,0.173,0.173,1175900,MYR
2014-10-01,0.173,0.173,0.169,0.169,5387000,MYR
2014-10-02,0.173,0.173,0.165,0.173,3962600,MYR
2014-10-03,0.173,0.173,0.165,0.165,2129100,MYR
2014-10-07,0.169,0.169,0.165,0.165,6240700,MYR
2014-10-08,0.165,0.165,0.153,0.153,8457600,MYR
2014-10-09,0.157,0.161,0.157,0.161,2753100,MYR
2014-10-10,0.157,0.161,0.153,0.161,3757300,MYR
2014-10-13,0.157,0.157,0.149,0.149,3654200,MYR
2014-10-14,0.145,0.149,0.132,0.141,4345100,MYR
2014-10-15,0.149,0.149,0.141,0.145,4141700,MYR
2014-10-16,0.141,0.141,0.136,0.136,3007500,MYR
2014-10-17,0.141,0.149,0.141,0.149,3916600,MYR
2014-10-20,0.149,0.157,0.149,0.149,2813500,MYR
2014-10-21,0.149,0.153,0.145,0.153,1314900,MYR
2014-10-23,0.149,0.153,0.149,0.153,1045100,MYR
2014-10-24,0.149,0.157,0.149,0.149,1197700,MYR
2014-10-27,0.153,0.157,0.153,0.153,2064700,MYR
2014-10-28,0.153,0.153,0.153,0.153,928300,MYR
2014-10-29,0.153,0.153,0.153,0.153,953400,MYR
2014-10-30,0.153,0.157,0.153,0.153,502900,MYR
2014-10-31,0.153,0.165,0.153,0.161,2800800,MYR
2014-11-03,0.165,0.169,0.161,0.161,1973100,MYR
2014-11-04,0.161,0.161,0.157,0.161,551500,MYR
2014-11-05,0.161,0.173,0.161,0.173,4874300,MYR
2014-11-06,0.178,0.178,0.169,0.173,6322300,MYR
2014-11-07,0.178,0.182,0.173,0.182,5937700,MYR
2014-11-10,0.182,0.182,0.173,0.173,6648000,MYR
2014-11-11,0.173,0.173,0.165,0.165,3096000,MYR
2014-11-12,0.165,0.169,0.157,0.165,7339900,MYR
2014-11-13,0.161,0.165,0.161,0.161,2672000,MYR
2014-11-14,0.161,0.161,0.157,0.157,2506600,MYR
2014-11-17,0.157,0.161,0.157,0.157,1462700,MYR
2014-11-18,0.157,0.161,0.157,0.161,1893700,MYR
2014-11-19,0.161,0.169,0.157,0.165,17833300,MYR
2014-11-20,0.165,0.165,0.157,0.157,5637800,MYR
2014-11-21,0.157,0.161,0.157,0.161,1625100,MYR
2014-11-24,0.161,0.169,0.157,0.161,21502100,MYR
2014-11-25,0.161,0.161,0.153,0.161,6591100,MYR
2014-11-26,0.161,0.161,0.157,0.157,1508500,MYR
2014-11-27,0.157,0.161,0.153,0.161,4950700,MYR
2014-11-28,0.161,0.161,0.153,0.161,17981900,MYR
2014-12-01,0.161,0.161,0.145,0.149,10797400,MYR
2014-12-02,0.153,0.153,0.149,0.153,1474400,MYR
2014-12-03,0.153,0.153,0.149,0.149,2595400,MYR
2014-12-04,0.149,0.149,0.145,0.149,2688900,MYR
2014-12-05,0.149,0.149,0.145,0.149,3924700,MYR
2014-12-08,0.149,0.149,0.141,0.141,4793000,MYR
2014-12-09,0.141,0.141,0.136,0.136,2409700,MYR
2014-12-10,0.136,0.141,0.132,0.141,3034400,MYR
2014-12-11,0.136,0.145,0.136,0.145,2876500,MYR
2014-12-12,0.145,0.165,0.136,0.157,28053100,MYR
2014-12-15,0.157,0.157,0.141,0.141,2563300,MYR
2014-12-16,0.141,0.149,0.141,0.141,1884200,MYR
2014-12-17,0.141,0.149,0.141,0.149,1336300,MYR
2014-12-18,0.149,0.157,0.149,0.149,3677400,MYR
2014-12-19,0.153,0.153,0.149,0.149,2491700,MYR
2014-12-22,0.149,0.153,0.149,0.149,4213100,MYR
2014-12-23,0.165,0.165,0.15,0.155,4472600,MYR
2014-12-24,0.15,0.15,0.145,0.145,818800,MYR
2014-12-26,0.14,0.145,0.14,0.14,1071100,MYR
2014-12-29,0.14,0.145,0.135,0.14,1406300,MYR
2014-12-30,0.14,0.14,0.135,0.14,1114700,MYR
2014-12-31,0.14,0.14,0.135,0.135,662100,MYR
2015-01-02,0.15,0.15,0.14,0.145,9830700,MYR
2015-01-05,0.145,0.145,0.135,0.135,4303700,MYR
2015-01-06,0.135,0.135,0.13,0.135,3509400,MYR
2015-01-07,0.13,0.135,0.125,0.125,5860600,MYR
2015-01-08,0.13,0.135,0.125,0.135,3564300,MYR
2015-01-09,0.135,0.145,0.12,0.13,13993100,MYR
2015-01-12,0.125,0.13,0.125,0.13,1348100,MYR
2015-01-13,0.125,0.13,0.125,0.13,5307500,MYR
2015-01-14,0.13,0.13,0.125,0.125,5581100,MYR
2015-01-15,0.125,0.13,0.125,0.13,5548800,MYR
2015-01-16,0.13,0.13,0.125,0.125,10916400,MYR
2015-01-19,0.125,0.13,0.12,0.13,12960100,MYR
2015-01-20,0.125,0.13,0.125,0.125,6838900,MYR
2015-01-21,0.125,0.125,0.12,0.125,2492200,MYR
2015-01-22,0.125,0.125,0.12,0.125,4352800,MYR
2015-01-23,0.125,0.13,0.125,0.13,12738400,MYR
2015-01-26,0.13,0.135,0.13,0.13,7973400,MYR
2015-01-27,0.13,0.145,0.13,0.14,20730700,MYR
2015-01-28,0.14,0.145,0.14,0.145,5252200,MYR
2015-01-29,0.145,0.15,0.135,0.15,11753000,MYR
2015-01-30,0.15,0.15,0.145,0.15,7650200,MYR
2015-02-04,0.145,0.15,0.14,0.145,11480700,MYR
2015-02-05,0.14,0.145,0.135,0.145,3329700,MYR
2015-02-06,0.14,0.14,0.13,0.14,24656200,MYR
2015-02-09,0.14,0.14,0.135,0.14,1305500,MYR
2015-02-10,0.14,0.14,0.135,0.14,3406400,MYR
2015-02-11,0.14,0.14,0.13,0.135,3268200,MYR
2015-02-12,0.135,0.135,0.13,0.13,17007100,MYR
2015-02-13,0.13,0.135,0.13,0.13,4066300,MYR
2015-02-16,0.13,0.13,0.125,0.13,1709000,MYR
2015-02-17,0.13,0.135,0.125,0.135,4668100,MYR
2015-02-18,0.135,0.14,0.13,0.14,4660000,MYR
2015-02-23,0.135,0.14,0.135,0.135,3015300,MYR
2015-02-24,0.135,0.145,0.135,0.14,11674800,MYR
2015-02-25,0.145,0.145,0.14,0.145,3628400,MYR
2015-02-26,0.145,0.145,0.14,0.14,1988800,MYR
2015-02-27,0.14,0.145,0.14,0.145,2391500,MYR
2015-03-02,0.145,0.15,0.14,0.15,7343000,MYR
2015-03-03,0.15,0.175,0.15,0.165,69731696,MYR
2015-03-04,0.165,0.165,0.15,0.16,10540200,MYR
2015-03-05,0.155,0.16,0.15,0.16,11138400,MYR
2015-03-06,0.155,0.16,0.155,0.16,6957000,MYR
2015-03-09,0.155,0.17,0.145,0.17,46487500,MYR
2015-03-10,0.165,0.165,0.16,0.16,20091700,MYR
2015-03-11,0.16,0.17,0.16,0.17,20101900,MYR
2015-03-12,0.17,0.175,0.165,0.17,22851700,MYR
2015-03-13,0.17,0.17,0.16,0.16,16435900,MYR
2015-03-16,0.16,0.17,0.16,0.16,21946200,MYR
2015-03-17,0.17,0.18,0.165,0.17,80671504,MYR
2015-03-18,0.17,0.17,0.16,0.16,13392300,MYR
2015-03-19,0.16,0.165,0.155,0.16,12383600,MYR
2015-03-20,0.16,0.16,0.15,0.16,11758500,MYR
2015-03-23,0.155,0.16,0.145,0.145,47563600,MYR
2015-03-24,0.15,0.155,0.145,0.145,13780900,MYR
2015-03-25,0.15,0.155,0.145,0.155,10051400,MYR
2015-03-26,0.15,0.155,0.145,0.15,12616100,MYR
2015-03-27,0.15,0.155,0.145,0.145,8879100,MYR
2015-03-30,0.15,0.15,0.145,0.145,3407400,MYR
2015-03-31,0.15,0.16,0.145,0.155,40212200,MYR
2015-04-01,0.15,0.16,0.15,0.155,11274600,MYR
2015-04-02,0.155,0.16,0.15,0.16,14454600,MYR
2015-04-03,0.16,0.16,0.155,0.155,7243600,MYR
2015-04-06,0.155,0.16,0.155,0.155,4567100,MYR
2015-04-07,0.155,0.155,0.15,0.15,2823000,MYR
2015-04-08,0.155,0.155,0.15,0.15,3747000,MYR
2015-04-09,0.155,0.155,0.145,0.15,9650900,MYR
2015-04-10,0.15,0.15,0.145,0.145,8093200,MYR
2015-04-13,0.15,0.15,0.145,0.145,2646500,MYR
2015-04-14,0.15,0.15,0.145,0.145,3204500,MYR
2015-04-15,0.15,0.15,0.145,0.15,3668100,MYR
2015-04-16,0.15,0.16,0.145,0.16,18773400,MYR
2015-04-17,0.16,0.16,0.15,0.155,11937700,MYR
2015-04-20,0.155,0.165,0.15,0.165,35889000,MYR
2015-04-21,0.17,0.18,0.165,0.17,65314400,MYR
2015-04-22,0.17,0.17,0.165,0.165,11317700,MYR
2015-04-23,0.17,0.17,0.165,0.17,5698400,MYR
2015-04-24,0.165,0.175,0.165,0.17,17154500,MYR
2015-04-27,0.17,0.17,0.15,0.16,28645100,MYR
2015-04-28,0.155,0.16,0.15,0.155,8640900,MYR
2015-04-29,0.155,0.16,0.155,0.155,6133700,MYR
2015-04-30,0.155,0.16,0.15,0.155,3609900,MYR
2015-05-05,0.155,0.155,0.145,0.145,14752400,MYR
2015-05-06,0.145,0.155,0.145,0.155,10195400,MYR
2015-05-07,0.155,0.155,0.145,0.155,7056800,MYR
2015-05-08,0.15,0.15,0.145,0.15,5372000,MYR
2015-05-11,0.155,0.155,0.145,0.145,23971200,MYR
2015-05-12,0.145,0.145,0.14,0.145,5496300,MYR
2015-05-13,0.145,0.145,0.14,0.145,1671200,MYR
2015-05-14,0.145,0.15,0.14,0.145,7916700,MYR
2015-05-15,0.15,0.15,0.145,0.15,2011700,MYR
2015-05-18,0.15,0.15,0.14,0.145,24426300,MYR
2015-05-19,0.145,0.15,0.14,0.15,7009300,MYR
2015-05-20,0.15,0.15,0.145,0.15,3852000,MYR
2015-05-21,0.145,0.145,0.14,0.145,3588700,MYR
2015-05-22,0.14,0.145,0.14,0.14,18134400,MYR
2015-05-25,0.135,0.135,0.125,0.13,14480200,MYR
2015-05-26,0.13,0.14,0.13,0.135,10976100,MYR
2015-05-27,0.135,0.135,0.13,0.135,1114300,MYR
2015-05-28,0.135,0.135,0.13,0.135,2060900,MYR
2015-05-29,0.135,0.135,0.13,0.135,2349300,MYR
2015-06-01,0.13,0.145,0.125,0.145,27284300,MYR
2015-06-02,0.14,0.15,0.14,0.15,6671200,MYR
2015-06-03,0.145,0.15,0.14,0.15,1736800,MYR
2015-06-04,0.145,0.15,0.14,0.15,1442800,MYR
2015-06-05,0.145,0.145,0.14,0.145,781600,MYR
2015-06-08,0.14,0.145,0.14,0.14,994500,MYR
2015-06-09,0.14,0.145,0.135,0.145,1365500,MYR
2015-06-10,0.14,0.15,0.135,0.145,6430600,MYR
2015-06-11,0.145,0.145,0.135,0.14,2031300,MYR
2015-06-12,0.135,0.145,0.125,0.145,35820500,MYR
2015-06-15,0.135,0.135,0.13,0.135,2065900,MYR
2015-06-16,0.13,0.135,0.13,0.13,3599600,MYR
2015-06-17,0.13,0.135,0.125,0.135,4842000,MYR
2015-06-18,0.13,0.135,0.13,0.135,1652000,MYR
2015-06-19,0.135,0.135,0.13,0.135,10751800,MYR
2015-06-22,0.13,0.135,0.13,0.13,10797100,MYR
2015-06-23,0.14,0.145,0.13,0.135,67468704,MYR
2015-06-24,0.13,0.135,0.125,0.135,70915696,MYR
2015-06-25,0.135,0.135,0.13,0.13,21327800,MYR
2015-06-26,0.13,0.13,0.125,0.13,2832200,MYR
2015-06-29,0.125,0.13,0.12,0.125,23410800,MYR
2015-06-30,0.12,0.13,0.12,0.125,4960600,MYR
2015-07-01,0.125,0.13,0.125,0.13,25579500,MYR
2015-07-02,0.13,0.13,0.125,0.125,22170400,MYR
2015-07-03,0.125,0.135,0.12,0.135,23469100,MYR
2015-07-06,0.13,0.13,0.125,0.13,6470000,MYR
2015-07-07,0.13,0.13,0.125,0.125,916300,MYR
2015-07-08,0.125,0.125,0.12,0.125,5251200,MYR
2015-07-09,0.12,0.13,0.12,0.125,3980400,MYR
2015-07-10,0.125,0.13,0.125,0.13,2540000,MYR
2015-07-13,0.125,0.13,0.125,0.125,7973800,MYR
2015-07-14,0.125,0.13,0.125,0.125,2215100,MYR
2015-07-15,0.125,0.13,0.125,0.13,4822900,MYR
2015-07-16,0.13,0.13,0.125,0.125,330000,MYR
2015-07-20,0.13,0.13,0.125,0.125,725000,MYR
2015-07-21,0.125,0.13,0.125,0.13,1129100,MYR
2015-07-22,0.13,0.13,0.125,0.125,2605000,MYR
2015-07-23,0.125,0.13,0.125,0.13,3579700,MYR
2015-07-24,0.13,0.135,0.13,0.135,7724000,MYR
2015-07-27,0.13,0.135,0.125,0.125,5234100,MYR
2015-07-28,0.13,0.13,0.125,0.13,2565900,MYR
2015-07-29,0.13,0.13,0.125,0.13,1731000,MYR
2015-07-30,0.13,0.13,0.125,0.13,1041300,MYR
2015-07-31,0.13,0.13,0.125,0.125,2024700,MYR
2015-08-03,0.13,0.13,0.125,0.125,695600,MYR
2015-08-04,0.13,0.13,0.125,0.13,1660300,MYR
2015-08-05,0.13,0.13,0.125,0.13,3419800,MYR
2015-08-06,0.13,0.13,0.12,0.125,7270400,MYR
2015-08-07,0.12,0.12,0.115,0.12,12734300,MYR
2015-08-10,0.12,0.12,0.105,0.11,12180600,MYR
2015-08-11,0.11,0.115,0.105,0.11,17197700,MYR
2015-08-12,0.105,0.105,0.09,0.1,22272300,MYR
2015-08-13,0.095,0.1,0.095,0.095,11321000,MYR
2015-08-14,0.095,0.095,0.09,0.09,7059100,MYR
2015-08-17,0.09,0.09,0.08,0.08,12994100,MYR
2015-08-18,0.08,0.09,0.08,0.09,5910200,MYR
2015-08-19,0.09,0.09,0.085,0.085,3555000,MYR
2015-08-20,0.085,0.085,0.08,0.085,4425800,MYR
2015-08-21,0.08,0.085,0.08,0.085,4899500,MYR
2015-08-24,0.08,0.08,0.075,0.08,4276400,MYR
2015-08-25,0.075,0.085,0.075,0.08,9831500,MYR
2015-08-26,0.08,0.085,0.075,0.08,5961600,MYR
2015-08-27,0.08,0.085,0.08,0.085,3757900,MYR
2015-08-28,0.085,0.085,0.08,0.085,11159300,MYR
2015-09-01,0.085,0.085,0.08,0.08,2302200,MYR
2015-09-02,0.08,0.08,0.08,0.08,2345200,MYR
2015-09-03,0.085,0.09,0.085,0.085,7883200,MYR
