Date,Open,High,Low,Close,Volume,Currency
2013-03-29,0.358,0.379,0.358,0.379,18600,MYR
2013-04-03,0.371,0.371,0.371,0.371,46800,MYR
2013-04-04,0.362,0.367,0.358,0.367,24000,MYR
2013-04-05,0.375,0.375,0.375,0.375,4800,MYR
2013-04-08,0.367,0.421,0.367,0.421,480,MYR
2013-04-09,0.408,0.442,0.404,0.442,68400,MYR
2013-04-10,0.4,0.442,0.4,0.4,208920,MYR
2013-04-11,0.425,0.637,0.392,0.433,219720,MYR
2013-04-12,0.442,0.492,0.425,0.446,66240,MYR
2013-04-15,0.446,0.492,0.446,0.475,133200,MYR
2013-04-16,0.458,0.542,0.458,0.517,412680,MYR
2013-04-17,0.517,0.533,0.508,0.508,268800,MYR
2013-04-18,0.512,0.533,0.5,0.508,87600,MYR
2013-04-19,0.508,0.521,0.5,0.512,62880,MYR
2013-04-22,0.5,0.517,0.492,0.517,90600,MYR
2013-04-23,0.496,0.508,0.492,0.508,141840,MYR
2013-04-24,0.512,0.512,0.487,0.496,94800,MYR
2013-04-25,0.496,0.517,0.483,0.517,153720,MYR
2013-04-26,0.504,0.521,0.487,0.521,140400,MYR
2013-04-29,0.525,0.525,0.496,0.496,167880,MYR
2013-04-30,0.508,0.508,0.496,0.504,22800,MYR
2013-05-02,0.508,0.508,0.508,0.508,2640,MYR
2013-05-06,0.521,0.542,0.521,0.542,3600,MYR
2013-05-08,0.504,0.542,0.496,0.512,113760,MYR
2013-05-09,0.5,0.529,0.492,0.512,116400,MYR
2013-05-10,0.5,0.525,0.496,0.517,241440,MYR
2013-05-13,0.542,0.625,0.542,0.562,523800,MYR
2013-05-14,0.575,0.592,0.562,0.592,84000,MYR
2013-05-15,0.588,0.65,0.55,0.592,404040,MYR
2013-05-16,0.592,0.608,0.575,0.604,38400,MYR
2013-05-17,0.583,0.65,0.579,0.617,168600,MYR
2013-05-20,0.592,0.625,0.588,0.6,264000,MYR
2013-05-21,0.604,0.617,0.583,0.592,401040,MYR
2013-05-22,0.6,0.6,0.579,0.6,159720,MYR
2013-05-28,0.596,0.596,0.567,0.592,39600,MYR
2013-05-29,0.567,0.583,0.567,0.575,58920,MYR
2013-05-30,0.567,0.579,0.542,0.567,49800,MYR
2013-05-31,0.567,0.592,0.558,0.592,63600,MYR
2013-06-03,0.588,0.588,0.55,0.588,63840,MYR
2013-06-04,0.558,0.571,0.554,0.571,36240,MYR
2013-06-05,0.55,0.571,0.55,0.571,4800,MYR
2013-06-06,0.525,0.571,0.5,0.554,90000,MYR
2013-06-07,0.554,0.562,0.554,0.562,30000,MYR
2013-06-10,0.562,0.592,0.562,0.592,18000,MYR
2013-06-11,0.567,0.567,0.567,0.567,120,MYR
2013-06-12,0.542,0.558,0.542,0.558,6240,MYR
2013-06-13,0.575,0.575,0.575,0.575,360,MYR
2013-06-19,0.517,0.558,0.517,0.558,3000,MYR
2013-06-20,0.571,0.571,0.571,0.571,360,MYR
2013-06-24,0.5,0.571,0.5,0.571,6600,MYR
2013-06-25,0.583,0.583,0.583,0.583,2400,MYR
2013-06-28,0.542,0.583,0.542,0.575,9840,MYR
2013-07-02,0.508,0.571,0.508,0.537,71760,MYR
2013-07-03,0.546,0.546,0.517,0.537,720,MYR
2013-07-04,0.521,0.583,0.521,0.571,38400,MYR
2013-07-05,0.533,0.613,0.521,0.608,78360,MYR
2013-07-11,0.617,0.617,0.617,0.617,600,MYR
2013-07-23,0.625,0.625,0.625,0.625,1440,MYR
2013-07-26,0.542,0.617,0.533,0.617,58320,MYR
2013-07-30,0.542,0.567,0.542,0.567,14400,MYR
2013-08-01,0.567,0.583,0.542,0.583,90240,MYR
2013-08-02,0.583,0.621,0.583,0.621,4200,MYR
2013-08-12,0.55,0.608,0.542,0.571,119400,MYR
2013-08-14,0.567,0.583,0.567,0.583,49200,MYR
2013-08-15,0.567,0.579,0.558,0.579,44400,MYR
2013-08-16,0.579,0.633,0.579,0.583,17040,MYR
2013-08-19,0.588,0.588,0.588,0.588,240,MYR
2013-08-20,0.542,0.608,0.542,0.608,37200,MYR
2013-08-26,0.55,0.567,0.546,0.558,104160,MYR
2013-08-27,0.517,0.546,0.512,0.537,47400,MYR
2013-08-28,0.533,0.546,0.533,0.546,6360,MYR
2013-08-30,0.5,0.533,0.5,0.5,22920,MYR
2013-09-02,0.525,0.537,0.508,0.533,31800,MYR
2013-09-03,0.542,0.546,0.517,0.546,91440,MYR
2013-09-04,0.525,0.546,0.517,0.546,64080,MYR
2013-09-06,0.525,0.546,0.525,0.546,7800,MYR
2013-09-10,0.542,0.575,0.542,0.575,52800,MYR
2013-09-19,0.529,0.567,0.529,0.542,88800,MYR
2013-09-20,0.562,0.562,0.529,0.562,100200,MYR
2013-09-23,0.55,0.55,0.529,0.542,80880,MYR
2013-09-24,0.529,0.542,0.529,0.542,90000,MYR
2013-09-25,0.533,0.533,0.529,0.533,57840,MYR
2013-09-26,0.529,0.533,0.529,0.533,30240,MYR
2013-09-27,0.537,0.546,0.529,0.533,132000,MYR
2013-09-30,0.529,0.529,0.529,0.529,12000,MYR
2013-10-01,0.546,0.546,0.525,0.546,13800,MYR
2013-10-02,0.529,0.546,0.529,0.546,16560,MYR
2013-10-07,0.55,0.55,0.55,0.55,240,MYR
2013-10-08,0.529,0.55,0.525,0.55,108840,MYR
2013-10-10,0.546,0.567,0.546,0.558,83280,MYR
2013-10-11,0.558,0.575,0.542,0.542,117600,MYR
2013-10-14,0.625,0.625,0.546,0.562,71760,MYR
2013-10-16,0.621,0.621,0.558,0.558,15120,MYR
2013-10-17,0.642,0.642,0.558,0.633,151800,MYR
2013-10-18,0.567,0.608,0.567,0.608,178800,MYR
