Date,Open,High,Low,Close,Volume,Currency
2013-05-03,0.2,0.26,0.2,0.26,3300,MYR
2013-05-09,0.25,0.255,0.25,0.25,143700,MYR
2013-05-10,0.25,0.26,0.25,0.26,236900,MYR
2013-05-13,0.26,0.285,0.26,0.285,78000,MYR
2013-05-14,0.265,0.265,0.265,0.265,10000,MYR
2013-05-15,0.29,0.295,0.28,0.29,172400,MYR
2013-05-16,0.3,0.3,0.265,0.27,63000,MYR
2013-05-17,0.29,0.345,0.29,0.33,3573100,MYR
2013-05-20,0.34,0.38,0.34,0.365,10205600,MYR
2013-05-21,0.37,0.38,0.35,0.365,8853800,MYR
2013-05-22,0.37,0.405,0.365,0.39,15380500,MYR
2013-05-23,0.385,0.4,0.345,0.365,10010900,MYR
2013-05-27,0.365,0.365,0.315,0.32,15830400,MYR
2013-05-28,0.32,0.335,0.3,0.3,11728600,MYR
2013-05-29,0.305,0.31,0.28,0.285,12768300,MYR
2013-05-30,0.285,0.285,0.26,0.27,8170800,MYR
2013-05-31,0.265,0.28,0.26,0.27,9415700,MYR
2013-06-03,0.26,0.26,0.24,0.24,2934900,MYR
2013-06-04,0.245,0.245,0.23,0.235,2637800,MYR
2013-06-05,0.235,0.235,0.225,0.23,2249200,MYR
2013-06-06,0.225,0.225,0.215,0.225,2649000,MYR
2013-06-07,0.225,0.225,0.215,0.22,924400,MYR
2013-06-10,0.22,0.24,0.22,0.225,2302100,MYR
2013-06-11,0.225,0.235,0.225,0.23,844300,MYR
2013-06-12,0.23,0.23,0.22,0.23,1277700,MYR
2013-06-13,0.225,0.225,0.22,0.22,984700,MYR
2013-06-14,0.225,0.225,0.215,0.225,928000,MYR
2013-06-17,0.225,0.23,0.22,0.23,579800,MYR
2013-06-18,0.235,0.25,0.235,0.245,4887100,MYR
2013-06-19,0.245,0.25,0.23,0.235,761800,MYR
2013-06-20,0.23,0.23,0.225,0.23,525000,MYR
2013-06-21,0.225,0.23,0.22,0.23,665100,MYR
2013-06-24,0.225,0.23,0.22,0.22,901600,MYR
2013-06-25,0.225,0.225,0.215,0.215,779300,MYR
2013-06-26,0.22,0.22,0.215,0.22,446400,MYR
2013-06-27,0.22,0.22,0.215,0.215,239600,MYR
2013-06-28,0.215,0.22,0.21,0.215,439600,MYR
2013-07-01,0.215,0.215,0.21,0.21,354700,MYR
2013-07-02,0.21,0.215,0.21,0.215,99800,MYR
2013-07-03,0.215,0.215,0.21,0.215,83000,MYR
2013-07-04,0.215,0.225,0.215,0.22,211200,MYR
2013-07-05,0.22,0.225,0.215,0.225,537200,MYR
2013-07-08,0.22,0.22,0.215,0.22,65100,MYR
2013-07-09,0.225,0.23,0.215,0.23,434800,MYR
2013-07-10,0.23,0.23,0.22,0.225,501000,MYR
2013-07-11,0.22,0.24,0.22,0.23,1308600,MYR
2013-07-12,0.235,0.255,0.235,0.245,5264200,MYR
2013-07-15,0.245,0.25,0.24,0.245,327800,MYR
2013-07-16,0.24,0.25,0.24,0.25,378400,MYR
2013-07-17,0.25,0.255,0.24,0.25,442000,MYR
2013-07-18,0.24,0.25,0.235,0.235,900900,MYR
2013-07-19,0.24,0.24,0.24,0.24,271800,MYR
2013-07-22,0.24,0.24,0.235,0.24,247500,MYR
2013-07-23,0.24,0.24,0.235,0.24,425400,MYR
2013-07-24,0.24,0.24,0.235,0.24,244900,MYR
2013-07-25,0.24,0.24,0.235,0.235,188900,MYR
2013-07-26,0.235,0.235,0.23,0.235,773200,MYR
2013-07-29,0.23,0.235,0.225,0.235,178900,MYR
2013-07-30,0.23,0.23,0.23,0.23,71000,MYR
