Date,Open,High,Low,Close,Volume,Currency
2013-09-24,1.33,1.33,1.33,1.33,8000,MYR
2013-09-25,1.4,1.6,1.4,1.53,64200,MYR
2013-10-08,1.42,1.45,1.42,1.42,10000,MYR
2013-10-09,1.43,1.43,1.43,1.43,5000,MYR
2013-10-10,1.5,1.84,1.5,1.65,68000,MYR
2013-10-11,1.8,2.13,1.5,1.53,40900,MYR
2013-10-14,1.6,1.6,1.6,1.6,5100,MYR
2013-10-16,1.48,1.48,1.26,1.46,2200,MYR
2013-10-17,1.57,1.57,1.44,1.44,12000,MYR
2013-10-18,1.46,1.46,1.44,1.44,10100,MYR
2013-10-21,1.41,1.41,1.41,1.41,4600,MYR
2013-10-22,1.42,1.61,1.42,1.6,57500,MYR
2013-10-23,1.6,1.79,1.6,1.79,6000,MYR
2013-10-30,1.6,1.6,1.6,1.6,1000,MYR
2013-11-01,1.66,1.75,1.66,1.75,5000,MYR
2013-11-08,1.75,1.8,1.75,1.8,21000,MYR
2013-11-14,1.65,1.65,1.65,1.65,10000,MYR
2013-11-20,1.45,1.45,1.45,1.45,2000,MYR
2013-11-21,1.64,1.65,1.64,1.65,5000,MYR
2013-11-25,1.75,1.75,1.75,1.75,13000,MYR
2013-12-18,1.53,1.53,1.53,1.53,1000,MYR
2013-12-27,1.5,1.5,1.5,1.5,2000,MYR
2013-12-30,1.5,1.5,1.5,1.5,2000,MYR
2014-01-02,1.5,1.5,1.5,1.5,2000,MYR
2014-01-08,1.5,1.6,1.5,1.6,5500,MYR
2014-01-09,1.5,1.5,1.5,1.5,1000,MYR
2014-01-10,1.6,1.69,1.6,1.69,28000,MYR
2014-01-16,1.42,1.42,1.42,1.42,5000,MYR
2014-01-23,1.43,1.43,1.43,1.43,5000,MYR
2014-01-29,1.45,1.45,1.45,1.45,5000,MYR
2014-02-06,1.5,1.63,1.5,1.55,7100,MYR
2014-02-19,1.65,1.65,1.6,1.6,10000,MYR
2014-02-21,1.44,1.57,1.44,1.57,15000,MYR
2014-02-24,1.48,1.5,1.48,1.5,6000,MYR
2014-03-04,1.6,1.6,1.6,1.6,11000,MYR
2014-03-05,1.55,1.6,1.55,1.6,18000,MYR
2014-03-06,1.6,1.75,1.6,1.75,26700,MYR
2014-03-07,1.95,1.95,1.95,1.95,100,MYR
2014-03-28,1.7,1.7,1.7,1.7,1200,MYR
2014-04-01,1.57,1.57,1.45,1.45,2000,MYR
2014-04-04,1.58,1.58,1.46,1.46,1100,MYR
2014-04-08,1.58,1.58,1.58,1.58,3000,MYR
2014-04-15,1.57,1.9,1.57,1.8,128400,MYR
2014-04-22,1.8,1.8,1.75,1.75,14000,MYR
2014-04-23,1.65,1.65,1.65,1.65,5000,MYR
2014-04-29,1.65,1.65,1.65,1.65,8100,MYR
2014-05-09,1.65,1.65,1.65,1.65,3000,MYR
2014-05-15,1.65,1.7,1.65,1.7,38000,MYR
2014-05-22,1.6,1.6,1.6,1.6,3000,MYR
2014-05-26,1.5,1.5,1.5,1.5,4900,MYR
2014-05-27,1.52,1.52,1.52,1.52,200,MYR
