Date,Open,High,Low,Close,Volume,Currency
2013-09-25,0.47,0.47,0.47,0.47,20000,MYR
2013-09-27,0.48,0.48,0.48,0.48,39500,MYR
2013-09-30,0.455,0.455,0.45,0.45,134000,MYR
2013-10-01,0.45,0.45,0.45,0.45,72800,MYR
2013-10-02,0.47,0.47,0.47,0.47,50000,MYR
2013-10-03,0.48,0.48,0.48,0.48,45000,MYR
2013-10-07,0.47,0.47,0.47,0.47,1500,MYR
2013-10-10,0.46,0.46,0.46,0.46,2500,MYR
2013-10-14,0.455,0.455,0.455,0.455,1500,MYR
2013-10-16,0.45,0.45,0.45,0.45,30000,MYR
2013-10-17,0.47,0.48,0.47,0.48,40000,MYR
2013-10-18,0.47,0.47,0.47,0.47,3000,MYR
2013-10-25,0.46,0.46,0.46,0.46,30000,MYR
2013-10-30,0.45,0.45,0.45,0.45,40000,MYR
2013-10-31,0.45,0.45,0.44,0.44,21000,MYR
2013-11-04,0.45,0.45,0.45,0.45,10000,MYR
2013-11-11,0.455,0.455,0.455,0.455,10000,MYR
2013-11-12,0.48,0.48,0.475,0.475,11900,MYR
2013-11-26,0.45,0.45,0.45,0.45,4500,MYR
2013-11-28,0.45,0.45,0.45,0.45,16000,MYR
2013-12-10,0.45,0.45,0.45,0.45,6900,MYR
2014-01-03,0.51,0.51,0.51,0.51,69000,MYR
2014-01-08,0.53,0.53,0.53,0.53,15000,MYR
2014-01-09,0.47,0.47,0.47,0.47,1500,MYR
2014-01-10,0.55,0.55,0.55,0.55,13800,MYR
2014-01-20,0.56,0.56,0.56,0.56,5000,MYR
2014-01-21,0.585,0.59,0.585,0.59,24000,MYR
2014-01-22,0.69,0.69,0.66,0.69,13100,MYR
2014-02-11,0.53,0.68,0.53,0.68,16900,MYR
2014-02-14,0.59,0.59,0.59,0.59,5000,MYR
2014-02-17,0.595,0.6,0.595,0.6,20000,MYR
2014-02-20,0.57,0.57,0.555,0.555,3000,MYR
2014-02-24,0.56,0.6,0.53,0.6,113900,MYR
2014-03-04,0.57,0.57,0.57,0.57,10000,MYR
2014-03-10,0.52,0.52,0.52,0.52,10000,MYR
2014-03-12,0.58,0.58,0.58,0.58,10000,MYR
2014-03-21,0.58,0.58,0.58,0.58,15000,MYR
2014-03-25,0.6,0.6,0.6,0.6,10000,MYR
2014-04-09,0.56,0.56,0.54,0.54,41000,MYR
2014-04-10,0.57,0.575,0.57,0.57,208700,MYR
2014-04-14,0.55,0.55,0.55,0.55,52000,MYR
2014-04-17,0.54,0.56,0.54,0.56,265000,MYR
2014-04-22,0.55,0.55,0.55,0.55,4500,MYR
2014-04-24,0.555,0.555,0.555,0.555,3000,MYR
2014-05-08,0.57,0.57,0.57,0.57,10000,MYR
2014-05-28,0.555,0.555,0.555,0.555,1500,MYR
2014-05-30,0.615,0.615,0.615,0.615,20000,MYR
2014-06-06,0.61,0.68,0.61,0.68,39500,MYR
2014-06-13,0.66,0.75,0.66,0.75,19000,MYR
2014-06-27,0.635,0.64,0.635,0.635,23700,MYR
2014-06-30,0.7,0.8,0.7,0.735,85000,MYR
2014-07-02,0.665,0.665,0.66,0.66,7100,MYR
2014-07-03,0.725,0.78,0.725,0.75,23300,MYR
2014-07-04,0.68,0.68,0.68,0.68,11500,MYR
2014-07-10,0.75,0.75,0.75,0.75,28400,MYR
2014-07-14,0.67,0.675,0.66,0.675,60000,MYR
2014-07-16,0.68,0.72,0.68,0.72,81600,MYR
2014-07-17,0.665,0.665,0.66,0.66,20000,MYR
2014-07-21,0.6,0.68,0.6,0.68,120100,MYR
2014-07-22,0.675,0.675,0.675,0.675,20000,MYR
2014-07-23,0.63,0.63,0.63,0.63,26000,MYR
2014-07-24,0.65,0.65,0.65,0.65,10000,MYR
2014-07-30,0.67,0.67,0.67,0.67,1000,MYR
2014-08-04,0.6,0.66,0.6,0.66,1600,MYR
2014-08-06,0.6,0.6,0.6,0.6,2000,MYR
2014-08-11,0.6,0.6,0.6,0.6,10000,MYR
2014-08-12,0.62,0.63,0.62,0.63,25000,MYR
2014-08-13,0.63,0.63,0.63,0.63,12000,MYR
2014-08-18,0.62,0.63,0.62,0.63,68300,MYR
2014-08-19,0.625,0.65,0.615,0.65,36900,MYR
2014-08-22,0.64,0.65,0.62,0.65,100000,MYR
2014-08-26,0.61,0.61,0.61,0.61,10000,MYR
2014-08-27,0.63,0.65,0.63,0.64,125500,MYR
2014-08-28,0.62,0.66,0.62,0.66,70100,MYR
2014-08-29,0.66,0.68,0.64,0.68,160200,MYR
2014-09-03,0.66,0.68,0.64,0.68,94000,MYR
2014-09-04,0.645,0.67,0.645,0.67,130000,MYR
2014-09-05,0.645,0.675,0.645,0.675,90000,MYR
2014-09-08,0.67,0.75,0.67,0.725,192000,MYR
2014-09-09,0.66,0.66,0.66,0.66,20000,MYR
2014-09-12,0.645,0.645,0.645,0.645,50000,MYR
2014-09-15,0.645,0.69,0.645,0.69,31500,MYR
2014-09-19,0.66,0.66,0.66,0.66,10000,MYR
2014-09-24,0.62,0.69,0.62,0.69,68000,MYR
2014-10-01,0.695,0.695,0.695,0.695,308000,MYR
2014-10-02,0.68,0.695,0.68,0.695,1129600,MYR
2014-10-03,0.68,0.71,0.68,0.71,57500,MYR
2014-10-07,0.685,0.685,0.685,0.685,3000,MYR
2014-10-10,0.64,0.64,0.64,0.64,2000,MYR
2014-10-13,0.68,0.68,0.68,0.68,30000,MYR
2014-10-14,0.68,0.68,0.68,0.68,315000,MYR
2014-10-16,0.63,0.68,0.63,0.68,50000,MYR
2014-10-17,0.68,0.68,0.68,0.68,20000,MYR
2014-10-20,0.675,0.675,0.675,0.675,18100,MYR
2014-10-28,0.7,0.7,0.685,0.7,60500,MYR
2014-10-29,0.685,0.685,0.685,0.685,5000,MYR
2014-10-30,0.685,0.685,0.685,0.685,7000,MYR
2014-10-31,0.69,0.69,0.69,0.69,1000,MYR
2014-11-03,0.685,0.685,0.685,0.685,1500,MYR
2014-11-10,0.72,0.72,0.72,0.72,20000,MYR
2014-11-11,0.72,0.72,0.72,0.72,10000,MYR
2014-12-02,0.68,0.69,0.68,0.69,15000,MYR
2014-12-03,0.72,0.72,0.69,0.69,7100,MYR
2014-12-08,0.72,0.73,0.72,0.72,62000,MYR
2014-12-09,0.74,0.74,0.715,0.715,35400,MYR
2014-12-15,0.67,0.67,0.67,0.67,2000,MYR
