Date,Open,High,Low,Close,Volume,Currency
2013-09-27,0.115,0.12,0.115,0.12,151600,MYR
2013-09-30,0.115,0.115,0.115,0.115,294300,MYR
2013-10-01,0.11,0.115,0.11,0.115,476300,MYR
2013-10-02,0.11,0.11,0.11,0.11,763000,MYR
2013-10-03,0.11,0.115,0.11,0.11,274200,MYR
2013-10-04,0.11,0.115,0.11,0.11,328100,MYR
2013-10-07,0.11,0.11,0.11,0.11,79900,MYR
2013-10-08,0.11,0.115,0.11,0.115,79100,MYR
2013-10-09,0.11,0.11,0.11,0.11,119900,MYR
2013-10-10,0.11,0.115,0.11,0.11,294600,MYR
2013-10-11,0.115,0.12,0.115,0.115,1307800,MYR
2013-10-14,0.115,0.12,0.11,0.12,177800,MYR
2013-10-16,0.115,0.125,0.115,0.12,6002000,MYR
2013-10-17,0.12,0.125,0.115,0.115,388500,MYR
2013-10-18,0.115,0.12,0.115,0.115,533900,MYR
2013-10-21,0.115,0.12,0.115,0.115,427600,MYR
2013-10-22,0.115,0.12,0.115,0.115,541600,MYR
2013-10-23,0.115,0.12,0.115,0.12,90600,MYR
2013-10-24,0.115,0.12,0.115,0.12,65900,MYR
2013-10-25,0.115,0.12,0.115,0.115,57400,MYR
2013-10-28,0.115,0.12,0.115,0.12,139700,MYR
2013-10-29,0.115,0.12,0.115,0.12,106000,MYR
2013-10-30,0.115,0.12,0.115,0.115,76500,MYR
2013-10-31,0.12,0.12,0.115,0.115,189100,MYR
2013-11-01,0.115,0.12,0.115,0.12,537000,MYR
2013-11-04,0.115,0.12,0.115,0.12,915800,MYR
2013-11-06,0.115,0.12,0.115,0.12,129800,MYR
2013-11-07,0.115,0.115,0.115,0.115,570100,MYR
2013-11-08,0.115,0.115,0.115,0.115,62200,MYR
2013-11-11,0.115,0.12,0.115,0.12,372200,MYR
2013-11-12,0.115,0.12,0.11,0.11,812100,MYR
2013-11-13,0.115,0.115,0.11,0.11,231000,MYR
2013-11-14,0.115,0.115,0.11,0.11,269700,MYR
2013-11-15,0.11,0.12,0.11,0.12,710300,MYR
2013-11-18,0.115,0.115,0.115,0.115,30000,MYR
2013-11-19,0.108,0.108,0.103,0.103,284500,MYR
2013-11-20,0.103,0.108,0.103,0.103,440700,MYR
2013-11-21,0.103,0.103,0.103,0.103,654200,MYR
2013-11-22,0.103,0.108,0.103,0.108,200000,MYR
2013-11-25,0.103,0.108,0.103,0.108,100000,MYR
2013-11-26,0.103,0.108,0.103,0.108,100000,MYR
2013-11-27,0.108,0.113,0.108,0.113,1877800,MYR
2013-11-28,0.113,0.122,0.108,0.113,10422000,MYR
2013-11-29,0.113,0.113,0.108,0.113,271000,MYR
2013-12-02,0.113,0.113,0.108,0.108,1441800,MYR
2013-12-03,0.108,0.108,0.103,0.103,1080400,MYR
2013-12-04,0.103,0.103,0.103,0.103,629200,MYR
2013-12-05,0.103,0.103,0.103,0.103,70500,MYR
2013-12-06,0.103,0.108,0.103,0.103,278200,MYR
2013-12-09,0.103,0.103,0.098,0.098,218300,MYR
2013-12-10,0.103,0.103,0.098,0.103,942100,MYR
2013-12-11,0.103,0.103,0.103,0.103,170000,MYR
2013-12-12,0.098,0.103,0.098,0.098,108400,MYR
2013-12-13,0.103,0.103,0.098,0.098,45700,MYR
2013-12-16,0.103,0.103,0.103,0.103,299400,MYR
2013-12-17,0.103,0.108,0.103,0.108,58300,MYR
2013-12-18,0.103,0.103,0.098,0.098,326400,MYR
2013-12-19,0.103,0.103,0.103,0.103,382700,MYR
2013-12-20,0.103,0.108,0.103,0.108,162000,MYR
2013-12-23,0.103,0.103,0.103,0.103,10000,MYR
2013-12-24,0.103,0.103,0.103,0.103,110000,MYR
2013-12-26,0.098,0.108,0.098,0.108,12800,MYR
2013-12-27,0.108,0.108,0.108,0.108,5000,MYR
2013-12-30,0.103,0.103,0.103,0.103,139400,MYR
2013-12-31,0.103,0.103,0.103,0.103,162000,MYR
2014-01-02,0.103,0.103,0.103,0.103,167400,MYR
2014-01-03,0.108,0.108,0.103,0.103,49800,MYR
2014-01-06,0.103,0.103,0.098,0.103,589200,MYR
2014-01-07,0.103,0.103,0.103,0.103,21000,MYR
2014-01-08,0.103,0.103,0.103,0.103,167300,MYR
2014-01-09,0.108,0.113,0.108,0.113,1148200,MYR
2014-01-10,0.108,0.108,0.103,0.103,173300,MYR
2014-01-13,0.108,0.108,0.108,0.108,366500,MYR
2014-01-15,0.103,0.108,0.103,0.108,163500,MYR
2014-01-16,0.103,0.108,0.103,0.103,293900,MYR
2014-01-20,0.108,0.108,0.103,0.103,215000,MYR
2014-01-21,0.108,0.108,0.108,0.108,60000,MYR
2014-01-22,0.103,0.103,0.103,0.103,394200,MYR
2014-01-23,0.103,0.108,0.103,0.103,795700,MYR
2014-01-24,0.108,0.108,0.103,0.103,158400,MYR
2014-01-27,0.103,0.108,0.103,0.103,875300,MYR
2014-01-28,0.108,0.108,0.103,0.103,573300,MYR
2014-01-29,0.103,0.103,0.103,0.103,30000,MYR
2014-01-30,0.103,0.108,0.103,0.108,111000,MYR
2014-02-04,0.103,0.103,0.103,0.103,96000,MYR
2014-02-05,0.103,0.108,0.103,0.108,195800,MYR
2014-02-06,0.103,0.103,0.103,0.103,81000,MYR
2014-02-07,0.103,0.103,0.103,0.103,5600,MYR
2014-02-10,0.103,0.108,0.103,0.108,390200,MYR
2014-02-11,0.108,0.117,0.108,0.113,2670100,MYR
2014-02-12,0.113,0.117,0.108,0.113,2492000,MYR
2014-02-13,0.113,0.113,0.108,0.108,80900,MYR
2014-02-14,0.113,0.113,0.108,0.113,411000,MYR
2014-02-17,0.113,0.113,0.108,0.108,545500,MYR
2014-02-18,0.108,0.108,0.108,0.108,69300,MYR
2014-02-19,0.108,0.108,0.108,0.108,110600,MYR
2014-02-20,0.108,0.113,0.108,0.113,164900,MYR
2014-02-21,0.113,0.127,0.113,0.127,12236700,MYR
2014-02-24,0.127,0.131,0.122,0.127,2629700,MYR
2014-02-25,0.127,0.127,0.113,0.113,2115300,MYR
2014-02-26,0.117,0.117,0.113,0.113,1745000,MYR
2014-02-27,0.113,0.113,0.108,0.108,1885700,MYR
2014-02-28,0.108,0.113,0.108,0.108,751000,MYR
2014-03-03,0.108,0.113,0.103,0.103,750100,MYR
2014-03-04,0.103,0.108,0.103,0.103,290700,MYR
2014-03-05,0.108,0.108,0.103,0.103,292100,MYR
2014-03-06,0.108,0.108,0.103,0.103,293500,MYR
2014-03-07,0.108,0.108,0.108,0.108,221300,MYR
2014-03-10,0.103,0.108,0.103,0.108,199500,MYR
