Date,Open,High,Low,Close,Volume,Currency
2013-03-07,2.86,2.95,2.73,2.95,9000,MYR
2013-03-08,2.89,2.94,2.88,2.94,13200,MYR
2013-03-12,2.82,2.94,2.82,2.94,7500,MYR
2013-03-18,2.93,3.0,2.93,3.0,34100,MYR
2013-03-20,2.89,2.98,2.87,2.98,7400,MYR
2013-03-25,2.81,2.98,2.81,2.98,5100,MYR
2013-03-27,2.97,2.98,2.97,2.98,3000,MYR
2013-04-02,2.89,2.98,2.89,2.97,5200,MYR
2013-04-03,2.89,2.97,2.89,2.97,6800,MYR
2013-04-08,3.0,3.08,3.0,3.08,28400,MYR
2013-04-10,3.06,3.1,3.06,3.1,13000,MYR
2013-04-11,2.91,3.1,2.91,3.1,6300,MYR
2013-04-16,3.1,3.1,3.1,3.1,3000,MYR
2013-04-19,3.0,3.09,3.0,3.09,5100,MYR
2013-04-22,3.0,3.1,3.0,3.1,3000,MYR
2013-04-23,3.0,3.1,3.0,3.1,3200,MYR
2013-04-30,3.01,3.08,3.0,3.08,11800,MYR
2013-05-02,2.96,3.1,2.95,3.1,11600,MYR
2013-05-03,3.0,3.08,3.0,3.08,8000,MYR
2013-05-10,3.08,3.15,3.08,3.15,18400,MYR
2013-05-13,3.14,3.16,3.14,3.16,2000,MYR
2013-05-15,3.05,3.16,3.03,3.16,3200,MYR
2013-05-16,3.06,3.14,3.05,3.11,16400,MYR
2013-05-23,3.15,3.25,3.15,3.25,19300,MYR
2013-05-29,3.1,3.22,3.08,3.22,13800,MYR
2013-06-04,3.11,3.22,3.11,3.22,3000,MYR
2013-06-12,3.24,3.3,3.24,3.3,11000,MYR
2013-06-14,3.28,3.3,3.28,3.3,5000,MYR
2013-06-17,3.3,3.4,3.3,3.4,10000,MYR
2013-06-19,3.26,3.4,3.26,3.4,16400,MYR
2013-06-20,3.31,3.4,3.31,3.4,9400,MYR
2013-06-21,3.3,3.4,3.3,3.4,22100,MYR
2013-06-28,3.4,3.5,3.4,3.5,21000,MYR
2013-07-01,3.48,3.6,3.48,3.6,15000,MYR
2013-07-02,3.42,3.42,3.42,3.42,5000,MYR
2013-07-03,3.42,3.42,3.42,3.42,2000,MYR
2013-07-04,3.26,3.42,3.2,3.42,31600,MYR
2013-07-05,3.28,3.6,3.21,3.6,71300,MYR
2013-07-09,3.59,3.59,3.59,3.59,3000,MYR
2013-07-10,3.6,3.6,3.6,3.6,28000,MYR
2013-07-11,3.6,3.6,3.6,3.6,88000,MYR
2013-07-15,3.6,3.6,3.6,3.6,50000,MYR
2013-07-16,3.6,3.6,3.6,3.6,49200,MYR
2013-07-17,3.6,3.6,3.59,3.6,104400,MYR
2013-07-18,3.6,3.6,3.6,3.6,50000,MYR
2013-07-19,3.6,3.6,3.59,3.6,198000,MYR
2013-07-22,3.6,3.62,3.6,3.62,44300,MYR
2013-07-23,3.62,3.62,3.4,3.62,69400,MYR
2013-07-24,3.63,3.63,3.62,3.62,67000,MYR
2013-07-25,3.63,3.63,3.63,3.63,5000,MYR
2013-07-26,3.63,3.63,3.63,3.63,41000,MYR
2013-07-31,3.63,3.63,3.63,3.63,41000,MYR
2013-08-02,3.63,3.63,3.63,3.63,29000,MYR
2013-08-07,3.63,3.63,3.63,3.63,55000,MYR
2013-08-12,3.63,3.63,3.63,3.63,30000,MYR
2013-08-13,3.63,3.63,3.63,3.63,30100,MYR
2013-08-14,3.63,3.63,3.63,3.63,55000,MYR
2013-08-15,3.62,3.62,3.62,3.62,62300,MYR
2013-09-09,3.62,3.63,3.62,3.63,55000,MYR
2013-09-11,3.62,3.62,3.62,3.62,72000,MYR
2013-09-12,3.61,3.61,3.61,3.61,68000,MYR
2013-09-13,3.6,3.6,3.6,3.6,28000,MYR
2013-09-18,3.59,3.59,3.59,3.59,6300,MYR
2013-09-23,3.59,3.6,3.59,3.6,83100,MYR
2013-09-26,3.6,3.7,3.6,3.69,66000,MYR
2013-09-27,3.69,3.69,3.69,3.69,3000,MYR
2013-10-02,3.68,3.68,3.38,3.68,93600,MYR
2013-10-03,3.68,3.68,3.68,3.68,20300,MYR
2013-10-04,3.69,3.69,3.69,3.69,32000,MYR
2013-10-07,3.69,3.69,3.69,3.69,10000,MYR
2013-10-28,3.5,3.69,3.5,3.69,9100,MYR
2013-10-30,3.6,3.8,3.58,3.8,24700,MYR
2013-10-31,3.78,3.79,3.78,3.79,10000,MYR
2013-11-04,3.79,3.79,3.79,3.79,94000,MYR
2013-11-06,3.79,3.79,3.79,3.79,19000,MYR
2013-11-07,3.79,3.79,3.79,3.79,1000,MYR
2013-11-11,3.79,3.79,3.79,3.79,54000,MYR
2013-11-12,3.78,3.78,3.78,3.78,20000,MYR
2013-11-18,3.77,3.78,3.72,3.78,23100,MYR
2013-11-22,3.77,3.77,3.77,3.77,40000,MYR
2013-11-29,3.77,3.77,3.77,3.77,1000,MYR
2013-12-04,3.77,3.77,3.77,3.77,3000,MYR
2013-12-17,3.77,3.78,3.74,3.77,69100,MYR
2013-12-18,3.77,3.77,3.77,3.77,19000,MYR
2013-12-26,3.78,3.78,3.5,3.78,83100,MYR
2013-12-31,3.78,3.8,3.78,3.8,4000,MYR
2014-01-02,3.79,3.8,3.79,3.8,84000,MYR
2014-01-07,3.79,3.8,3.79,3.8,37200,MYR
2014-01-08,3.79,3.8,3.79,3.8,67200,MYR
2014-01-13,3.8,3.8,3.79,3.8,21200,MYR
2014-01-16,3.7,3.78,3.7,3.78,3000,MYR
2014-01-22,3.78,3.78,3.78,3.78,1000,MYR
2014-02-04,3.78,3.78,3.78,3.78,2000,MYR
2014-02-05,3.77,3.78,3.77,3.78,113000,MYR
2014-02-06,3.78,3.79,3.78,3.78,237000,MYR
2014-02-07,3.78,3.78,3.77,3.77,91000,MYR
2014-02-10,3.69,3.75,3.69,3.73,49200,MYR
2014-02-11,3.76,3.85,3.76,3.85,116200,MYR
2014-02-12,3.8,3.98,3.8,3.98,45200,MYR
2014-02-13,3.97,4.15,3.97,4.15,88400,MYR
2014-02-14,4.15,4.32,4.15,4.32,89400,MYR
2014-02-17,4.36,4.4,4.36,4.38,76300,MYR
2014-02-18,4.0,4.46,4.0,4.46,77200,MYR
2014-02-19,4.5,4.53,4.5,4.52,130000,MYR
2014-02-20,4.52,4.52,4.52,4.52,56000,MYR
2014-02-21,4.52,4.52,4.48,4.52,82000,MYR
2014-02-24,4.51,4.52,4.46,4.52,58000,MYR
2014-02-25,4.48,4.52,4.48,4.52,61200,MYR
2014-02-26,4.5,4.5,4.46,4.5,60000,MYR
2014-02-27,4.5,4.5,4.46,4.48,83000,MYR
2014-02-28,4.46,4.48,4.46,4.48,97000,MYR
2014-03-03,4.46,4.47,4.46,4.47,121200,MYR
2014-03-04,4.48,4.48,4.2,4.45,38200,MYR
2014-03-05,4.42,4.43,4.22,4.42,33500,MYR
2014-03-06,4.38,4.4,4.17,4.39,32200,MYR
2014-03-10,4.15,4.37,4.15,4.37,1400,MYR
2014-03-11,4.35,4.38,4.32,4.38,27900,MYR
2014-03-12,4.37,4.37,4.36,4.37,55000,MYR
2014-03-13,4.37,4.37,4.36,4.37,25000,MYR
2014-03-14,4.37,4.37,4.37,4.37,12000,MYR
2014-03-17,4.37,4.37,4.37,4.37,3000,MYR
2014-03-18,4.35,4.35,4.35,4.35,79000,MYR
2014-03-19,4.36,4.37,4.36,4.37,51100,MYR
2014-03-20,4.36,4.37,4.35,4.36,103400,MYR
2014-03-21,4.33,4.51,4.33,4.51,199600,MYR
2014-03-24,4.51,4.53,4.51,4.53,34000,MYR
2014-03-25,4.52,4.52,4.52,4.52,25000,MYR
2014-03-26,4.52,4.53,4.52,4.52,107000,MYR
2014-03-27,4.51,4.51,4.49,4.5,68000,MYR
2014-03-28,4.48,4.51,4.48,4.5,72000,MYR
2014-03-31,4.49,4.49,4.48,4.48,36000,MYR
2014-04-01,4.47,4.51,4.47,4.51,69500,MYR
2014-04-02,4.52,4.55,4.52,4.55,95900,MYR
2014-04-03,4.55,4.55,4.55,4.55,23000,MYR
2014-04-04,4.7,4.7,4.6,4.64,91000,MYR
2014-04-07,4.65,4.65,4.65,4.65,36000,MYR
2014-04-08,4.55,4.64,4.48,4.48,104600,MYR
2014-04-09,4.5,4.55,4.5,4.55,131500,MYR
2014-04-10,4.55,4.55,4.55,4.55,15000,MYR
2014-04-11,4.55,4.56,4.55,4.56,91000,MYR
2014-04-14,4.55,4.56,4.55,4.56,79000,MYR
2014-04-15,4.55,4.57,4.55,4.55,119000,MYR
2014-04-16,4.55,4.55,4.54,4.55,105000,MYR
2014-04-17,4.55,4.56,4.54,4.54,117000,MYR
2014-04-18,4.54,4.55,4.5,4.55,100000,MYR
2014-04-21,4.55,4.55,4.54,4.55,228500,MYR
2014-04-22,4.55,4.56,4.55,4.56,202000,MYR
2014-04-23,4.55,4.56,4.52,4.55,165000,MYR
2014-04-24,4.54,4.55,4.54,4.55,124200,MYR
2014-04-25,4.55,4.57,4.54,4.56,274800,MYR
2014-04-28,4.55,4.57,4.55,4.57,274200,MYR
2014-04-29,4.54,4.56,4.54,4.56,160100,MYR
2014-04-30,4.55,4.57,4.55,4.57,120900,MYR
2014-05-02,4.53,4.54,4.53,4.54,220500,MYR
2014-05-05,4.54,4.54,4.53,4.54,209700,MYR
2014-05-06,4.53,4.53,4.52,4.53,136500,MYR
2014-05-07,4.53,4.54,4.53,4.54,117700,MYR
2014-05-08,4.51,4.55,4.51,4.55,165500,MYR
2014-05-09,4.55,4.56,4.54,4.56,197400,MYR
2014-05-12,4.55,4.56,4.55,4.56,191500,MYR
2014-05-14,4.55,4.59,4.55,4.57,223700,MYR
2014-05-15,4.56,4.57,4.56,4.57,193700,MYR
2014-05-16,4.57,4.6,4.57,4.59,201900,MYR
2014-05-19,4.59,4.61,4.59,4.61,152700,MYR
2014-05-20,4.61,4.61,4.6,4.61,264400,MYR
2014-05-21,4.61,4.62,4.61,4.61,243700,MYR
2014-05-22,4.6,4.62,4.6,4.62,198300,MYR
2014-05-23,4.61,4.62,4.61,4.62,113300,MYR
2014-05-26,4.61,4.62,4.61,4.62,212000,MYR
2014-05-27,4.62,4.63,4.62,4.63,142000,MYR
2014-05-28,4.65,4.66,4.64,4.66,185200,MYR
2014-05-29,4.66,4.68,4.66,4.68,62300,MYR
2014-05-30,4.67,4.68,4.67,4.68,181000,MYR
2014-06-02,4.67,4.69,4.67,4.69,112400,MYR
2014-06-03,4.69,4.7,4.68,4.7,199800,MYR
2014-06-04,4.69,4.72,4.69,4.72,63300,MYR
2014-06-05,4.72,4.72,4.68,4.72,110000,MYR
2014-06-06,4.74,4.74,4.72,4.74,97000,MYR
2014-06-09,4.74,4.78,4.74,4.78,185400,MYR
2014-06-10,4.78,4.82,4.78,4.82,137300,MYR
2014-06-11,4.83,4.89,4.82,4.86,137000,MYR
2014-06-12,4.85,4.85,4.83,4.84,139000,MYR
2014-06-13,4.84,4.85,4.83,4.85,172400,MYR
2014-06-16,4.84,4.86,4.84,4.86,149800,MYR
2014-06-17,4.86,4.88,4.86,4.87,132500,MYR
2014-06-18,4.88,4.88,4.85,4.88,206200,MYR
2014-06-19,4.88,4.88,4.85,4.88,102200,MYR
2014-06-20,4.88,4.92,4.85,4.92,196000,MYR
2014-06-23,4.92,4.95,4.91,4.95,147500,MYR
2014-06-24,4.96,4.96,4.94,4.95,120000,MYR
2014-06-25,4.95,4.96,4.94,4.96,72200,MYR
2014-06-26,4.96,4.96,4.93,4.95,155500,MYR
2014-06-27,4.95,4.96,4.95,4.95,177000,MYR
2014-06-30,4.96,4.97,4.95,4.96,149700,MYR
2014-07-01,4.96,4.97,4.95,4.97,106200,MYR
2014-07-02,4.97,4.97,4.96,4.96,118600,MYR
2014-07-03,4.96,4.97,4.95,4.96,164300,MYR
2014-07-04,4.96,4.97,4.96,4.97,114700,MYR
2014-07-07,4.95,4.99,4.95,4.99,86300,MYR
2014-07-08,4.99,4.99,4.98,4.99,113400,MYR
2014-07-09,4.99,5.16,4.98,5.16,176900,MYR
2014-07-10,5.16,5.21,5.15,5.21,117200,MYR
2014-07-11,5.21,5.3,5.15,5.3,73400,MYR
2014-07-14,5.32,5.48,5.3,5.48,109000,MYR
2014-07-16,5.5,5.5,5.42,5.48,177700,MYR
2014-07-17,5.43,5.55,5.43,5.55,139000,MYR
2014-07-18,5.56,5.56,5.54,5.55,178000,MYR
2014-07-21,5.54,5.6,5.54,5.6,258000,MYR
2014-07-22,5.6,5.68,5.6,5.66,190200,MYR
2014-07-23,5.64,5.86,5.63,5.86,232400,MYR
2014-07-24,5.83,5.86,5.82,5.86,149000,MYR
2014-07-25,5.84,5.98,5.84,5.98,174800,MYR
2014-07-30,5.94,5.96,5.9,5.96,603700,MYR
2014-07-31,5.93,5.93,5.9,5.93,536200,MYR
2014-08-01,5.92,5.93,5.89,5.93,111400,MYR
2014-08-04,5.92,6.0,5.88,6.0,217600,MYR
2014-08-05,5.99,6.0,5.98,6.0,498700,MYR
2014-08-06,5.99,6.02,5.99,6.0,632500,MYR
2014-08-07,6.01,6.02,6.0,6.0,335600,MYR
2014-08-08,5.96,5.99,5.95,5.97,503600,MYR
2014-08-11,6.0,6.01,5.95,5.98,377900,MYR
2014-08-12,5.97,5.98,5.95,5.98,643800,MYR
2014-08-13,5.98,6.0,5.98,5.98,440000,MYR
2014-08-14,5.98,5.99,5.97,5.97,638000,MYR
2014-08-15,5.98,6.01,5.98,5.99,780200,MYR
2014-08-18,5.98,5.99,5.97,5.98,803800,MYR
2014-08-19,6.01,6.01,6.0,6.0,510900,MYR
2014-08-20,6.0,6.02,6.0,6.01,613700,MYR
2014-08-21,5.99,6.0,5.98,6.0,696000,MYR
2014-08-22,6.0,6.0,5.99,6.0,775900,MYR
2014-08-25,6.0,6.0,5.99,5.99,193400,MYR
2014-08-26,5.99,6.03,5.95,6.03,701200,MYR
2014-08-27,6.04,6.04,6.0,6.01,614200,MYR
2014-08-28,6.01,6.01,6.0,6.01,1338800,MYR
2014-08-29,6.01,6.01,6.01,6.01,2192400,MYR
2014-09-02,6.0,6.01,6.0,6.01,3028200,MYR
2014-09-03,6.04,6.04,6.01,6.01,532800,MYR
2014-09-04,6.04,6.04,6.03,6.04,675800,MYR
2014-09-05,6.0,6.01,5.99,6.01,381200,MYR
2014-09-08,6.05,6.05,6.03,6.04,1578700,MYR
2014-09-09,6.04,6.05,6.04,6.04,853500,MYR
2014-09-10,6.05,6.05,6.04,6.05,910500,MYR
2014-09-11,6.05,6.09,6.04,6.09,450300,MYR
2014-09-12,6.09,6.11,6.08,6.1,497200,MYR
2014-09-15,6.11,6.12,6.1,6.12,709700,MYR
2014-09-17,6.12,6.13,6.12,6.13,296700,MYR
2014-09-18,5.9,6.13,5.9,6.11,552300,MYR
2014-09-19,6.15,6.15,6.1,6.15,296000,MYR
2014-09-22,6.13,6.13,6.12,6.13,714900,MYR
2014-09-23,6.15,6.15,6.14,6.14,108000,MYR
2014-09-24,6.15,6.16,6.15,6.16,374400,MYR
2014-09-25,6.16,6.16,6.15,6.16,119000,MYR
2014-09-26,6.16,6.16,6.15,6.16,274000,MYR
2014-09-29,6.16,6.17,6.16,6.16,113900,MYR
2014-09-30,6.16,6.17,6.16,6.17,345500,MYR
2014-10-01,6.17,6.17,6.16,6.17,133700,MYR
2014-10-02,6.17,6.17,6.15,6.17,173000,MYR
2014-10-03,6.16,6.17,6.16,6.17,242000,MYR
2014-10-07,6.18,6.19,6.17,6.19,202800,MYR
2014-10-08,6.17,6.19,6.17,6.19,173000,MYR
2014-10-09,6.19,6.19,6.19,6.19,203300,MYR
2014-10-10,6.19,6.19,6.19,6.19,624000,MYR
2014-10-13,6.17,6.18,6.16,6.18,138200,MYR
2014-10-14,6.18,6.18,6.16,6.18,173000,MYR
2014-10-15,6.18,6.18,6.16,6.17,384600,MYR
2014-10-16,6.16,6.16,6.15,6.16,227900,MYR
2014-10-17,6.14,6.15,6.1,6.15,78000,MYR
2014-10-20,6.14,6.15,6.13,6.15,37300,MYR
2014-10-21,6.14,6.15,6.14,6.15,91000,MYR
2014-10-23,6.15,6.15,6.12,6.12,199500,MYR
2014-10-24,6.15,6.16,6.13,6.16,59500,MYR
2014-10-27,6.15,6.16,6.15,6.16,163000,MYR
2014-10-28,6.16,6.16,6.16,6.16,55000,MYR
2014-10-29,6.16,6.16,6.15,6.15,247000,MYR
2014-10-30,6.16,6.16,6.16,6.16,61000,MYR
2014-10-31,6.15,6.15,6.14,6.14,163000,MYR
2014-11-03,6.15,6.15,6.14,6.14,74500,MYR
2014-11-04,6.13,6.13,6.1,6.1,127600,MYR
2014-11-05,6.13,6.13,6.12,6.13,60800,MYR
2014-11-06,6.12,6.12,6.12,6.12,148000,MYR
2014-11-07,6.12,6.13,6.12,6.13,67200,MYR
2014-11-10,6.13,6.14,6.13,6.13,216600,MYR
2014-11-11,6.13,6.13,6.12,6.13,58500,MYR
2014-11-12,6.12,6.12,6.12,6.12,125000,MYR
2014-11-13,6.12,6.13,6.12,6.13,161300,MYR
2014-11-14,6.13,6.13,6.12,6.13,137100,MYR
2014-11-17,6.13,6.14,6.13,6.13,123800,MYR
2014-11-18,6.13,6.13,6.12,6.13,112000,MYR
2014-11-19,6.13,6.14,6.12,6.13,156000,MYR
2014-11-20,6.13,6.13,6.11,6.13,177100,MYR
2014-11-21,6.13,6.13,6.12,6.12,95200,MYR
2014-11-24,6.13,6.13,6.12,6.13,95000,MYR
2014-11-25,6.13,6.13,6.12,6.13,139300,MYR
2014-11-26,6.13,6.13,6.1,6.12,171500,MYR
2014-11-27,6.13,6.14,6.13,6.13,85000,MYR
2014-11-28,6.12,6.12,6.12,6.12,72500,MYR
2014-12-01,6.12,6.15,6.11,6.15,105800,MYR
2014-12-02,6.13,6.13,6.12,6.13,204800,MYR
2014-12-03,6.15,6.15,6.14,6.15,61100,MYR
2014-12-04,6.15,6.16,6.14,6.16,102500,MYR
2014-12-05,6.14,6.14,6.14,6.14,108800,MYR
2014-12-08,6.14,6.14,6.12,6.13,187800,MYR
2014-12-09,6.13,6.14,6.13,6.14,101100,MYR
2014-12-10,6.16,6.17,6.15,6.16,130500,MYR
2014-12-11,6.16,6.16,6.15,6.15,97500,MYR
2014-12-12,6.15,6.15,6.14,6.15,175100,MYR
2014-12-15,6.14,6.15,6.13,6.15,108000,MYR
2014-12-16,6.15,6.15,6.14,6.15,191800,MYR
2014-12-17,6.15,6.15,6.06,6.14,112000,MYR
2014-12-18,6.14,6.14,6.14,6.14,110100,MYR
2014-12-19,6.12,6.13,6.12,6.12,71900,MYR
2014-12-22,6.14,6.14,6.14,6.14,4000,MYR
2014-12-24,6.14,6.14,6.12,6.13,58500,MYR
2014-12-26,6.12,6.12,6.12,6.12,5000,MYR
