Date,Open,High,Low,Close,Volume,Currency
2014-08-18,0.695,0.7,0.68,0.695,41965900,MYR
2014-08-19,0.695,0.7,0.685,0.695,32644300,MYR
2014-08-20,0.69,0.695,0.68,0.68,18473500,MYR
2014-08-21,0.68,0.685,0.67,0.67,24399200,MYR
2014-08-22,0.675,0.695,0.67,0.685,27367500,MYR
2014-08-25,0.68,0.68,0.67,0.67,11232200,MYR
2014-08-26,0.67,0.675,0.665,0.67,6909800,MYR
2014-08-27,0.675,0.675,0.665,0.665,9715300,MYR
2014-08-28,0.67,0.675,0.66,0.67,8326000,MYR
2014-08-29,0.665,0.675,0.66,0.665,11901300,MYR
2014-09-02,0.665,0.665,0.66,0.66,1949000,MYR
2014-09-03,0.66,0.66,0.65,0.655,3365000,MYR
2014-09-04,0.655,0.665,0.65,0.65,8733100,MYR
2014-09-05,0.65,0.655,0.645,0.645,5682900,MYR
2014-09-08,0.645,0.65,0.635,0.645,4730500,MYR
2014-09-09,0.645,0.66,0.635,0.66,3015000,MYR
2014-09-10,0.66,0.66,0.65,0.65,3788000,MYR
2014-09-11,0.655,0.665,0.65,0.665,3408200,MYR
2014-09-12,0.66,0.665,0.655,0.665,367500,MYR
2014-09-15,0.66,0.665,0.655,0.66,731200,MYR
2014-09-17,0.655,0.66,0.65,0.655,3337600,MYR
2014-09-18,0.66,0.66,0.645,0.65,2254800,MYR
2014-09-19,0.65,0.665,0.65,0.655,4592800,MYR
2014-09-22,0.655,0.655,0.65,0.65,3928000,MYR
2014-09-23,0.655,0.665,0.645,0.65,5761900,MYR
2014-09-24,0.655,0.655,0.65,0.65,1868000,MYR
2014-09-25,0.65,0.655,0.65,0.65,1420700,MYR
2014-09-26,0.65,0.65,0.645,0.645,1415400,MYR
2014-09-29,0.65,0.665,0.645,0.65,7488300,MYR
2014-09-30,0.65,0.65,0.645,0.645,2439400,MYR
2014-10-01,0.65,0.655,0.645,0.645,2824000,MYR
2014-10-02,0.65,0.665,0.64,0.64,11826000,MYR
2014-10-03,0.65,0.65,0.64,0.64,1657500,MYR
2014-10-07,0.645,0.645,0.63,0.63,5684000,MYR
2014-10-08,0.63,0.63,0.62,0.62,2956500,MYR
2014-10-09,0.63,0.645,0.62,0.635,4130000,MYR
