Date,Open,High,Low,Close,Volume,Currency
2014-07-08,1.1,1.11,1.08,1.11,170000,MYR
2014-07-09,1.09,1.09,1.06,1.06,61800,MYR
2014-07-10,1.06,1.08,1.03,1.03,139200,MYR
2014-07-11,1.02,1.03,1.0,1.0,155000,MYR
2014-07-14,1.04,1.06,1.02,1.06,104000,MYR
2014-07-16,1.05,1.06,1.05,1.06,97500,MYR
2014-07-17,1.02,1.02,1.01,1.01,5000,MYR
2014-07-18,1.0,1.06,1.0,1.03,67800,MYR
2014-07-21,1.05,1.05,1.03,1.03,45000,MYR
2014-07-22,1.04,1.04,1.03,1.03,22000,MYR
2014-07-23,1.03,1.03,1.03,1.03,20000,MYR
2014-07-24,1.04,1.06,1.03,1.06,72000,MYR
2014-07-25,1.05,1.05,1.03,1.05,87000,MYR
2014-07-30,1.11,1.11,1.04,1.04,80600,MYR
2014-07-31,1.05,1.05,1.03,1.03,127400,MYR
2014-08-01,1.01,1.03,1.01,1.03,31000,MYR
2014-08-04,1.03,1.03,1.03,1.03,46000,MYR
2014-08-05,1.03,1.03,1.02,1.02,33000,MYR
2014-08-06,1.02,1.02,1.0,1.02,99700,MYR
2014-08-07,1.02,1.02,1.01,1.01,33400,MYR
2014-08-08,1.03,1.03,1.0,1.0,22000,MYR
2014-08-11,1.0,1.03,1.0,1.02,100200,MYR
2014-08-12,1.01,1.01,1.01,1.01,111000,MYR
2014-08-13,1.01,1.01,1.01,1.01,105000,MYR
2014-08-14,1.02,1.02,1.02,1.02,96000,MYR
2014-08-15,1.02,1.03,1.02,1.02,27000,MYR
2014-08-18,1.03,1.03,1.02,1.02,68000,MYR
2014-08-19,1.02,1.07,1.02,1.07,95300,MYR
2014-08-20,1.07,1.07,1.05,1.05,73000,MYR
2014-08-21,1.04,1.05,1.03,1.03,45200,MYR
2014-08-22,1.03,1.05,1.03,1.05,15200,MYR
2014-08-25,1.04,1.04,1.04,1.04,6500,MYR
2014-08-26,1.06,1.07,1.06,1.07,72800,MYR
2014-08-27,1.09,1.09,1.08,1.08,133500,MYR
2014-08-28,1.09,1.09,1.07,1.08,94500,MYR
2014-08-29,1.07,1.08,1.06,1.07,145300,MYR
2014-09-02,1.09,1.1,1.06,1.06,371500,MYR
2014-09-03,1.06,1.06,1.05,1.05,120200,MYR
2014-09-04,1.05,1.07,1.05,1.06,82500,MYR
2014-09-05,1.07,1.07,1.06,1.06,50200,MYR
2014-09-08,1.06,1.08,1.05,1.07,169800,MYR
2014-09-09,1.39,1.39,1.39,1.39,906200,MYR
2014-09-10,1.65,1.65,1.36,1.36,5391700,MYR
2014-09-11,1.37,1.41,1.33,1.39,297800,MYR
2014-09-12,1.39,1.39,1.33,1.36,376400,MYR
2014-09-15,1.38,1.39,1.3,1.32,336600,MYR
2014-09-17,1.32,1.34,1.27,1.27,811700,MYR
2014-09-18,1.28,1.28,1.27,1.27,89800,MYR
