Date,Open,High,Low,Close,Volume,Currency
2014-07-09,0.37,0.38,0.37,0.38,61000,MYR
2014-07-10,0.38,0.38,0.375,0.38,20000,MYR
2014-07-11,0.375,0.375,0.37,0.37,72000,MYR
2014-07-16,0.37,0.37,0.37,0.37,5000,MYR
2014-07-17,0.37,0.37,0.37,0.37,25000,MYR
2014-07-18,0.37,0.37,0.37,0.37,6000,MYR
2014-07-22,0.375,0.375,0.37,0.37,25000,MYR
2014-07-23,0.365,0.385,0.365,0.37,30000,MYR
2014-07-24,0.37,0.37,0.37,0.37,31000,MYR
2014-07-25,0.37,0.375,0.365,0.365,116000,MYR
2014-07-30,0.365,0.365,0.365,0.365,30000,MYR
2014-07-31,0.37,0.375,0.37,0.375,80000,MYR
2014-08-04,0.37,0.37,0.37,0.37,23000,MYR
2014-08-06,0.36,0.37,0.36,0.37,10000,MYR
2014-08-07,0.36,0.365,0.36,0.365,55000,MYR
2014-08-08,0.36,0.36,0.36,0.36,4000,MYR
2014-08-11,0.37,0.37,0.37,0.37,71000,MYR
2014-08-12,0.365,0.37,0.365,0.37,84000,MYR
2014-08-13,0.37,0.385,0.37,0.385,87000,MYR
2014-08-14,0.375,0.375,0.375,0.375,50000,MYR
2014-08-15,0.365,0.42,0.365,0.41,296100,MYR
2014-08-18,0.42,0.42,0.41,0.41,243400,MYR
2014-08-19,0.415,0.42,0.41,0.41,106300,MYR
2014-08-20,0.4,0.4,0.39,0.395,100000,MYR
2014-08-21,0.39,0.395,0.375,0.395,82000,MYR
2014-08-22,0.385,0.385,0.385,0.385,21400,MYR
2014-08-25,0.395,0.395,0.375,0.375,29000,MYR
2014-08-26,0.375,0.38,0.375,0.375,150000,MYR
2014-08-27,0.375,0.39,0.375,0.39,260000,MYR
2014-08-28,0.375,0.39,0.375,0.375,208000,MYR
2014-08-29,0.375,0.375,0.37,0.37,230000,MYR
2014-09-02,0.37,0.385,0.37,0.38,427000,MYR
2014-09-03,0.365,0.375,0.365,0.375,70000,MYR
2014-09-04,0.365,0.365,0.365,0.365,30000,MYR
2014-09-05,0.365,0.365,0.365,0.365,60000,MYR
2014-09-08,0.365,0.365,0.365,0.365,23000,MYR
2014-09-09,0.365,0.365,0.365,0.365,30000,MYR
2014-09-10,0.365,0.37,0.365,0.37,230000,MYR
2014-09-11,0.37,0.37,0.37,0.37,28000,MYR
2014-09-12,0.375,0.375,0.375,0.375,50000,MYR
2014-09-15,0.37,0.37,0.37,0.37,20000,MYR
2014-09-17,0.37,0.37,0.36,0.365,190700,MYR
2014-09-18,0.36,0.36,0.36,0.36,70800,MYR
2014-09-19,0.365,0.365,0.365,0.365,87200,MYR
2014-09-22,0.365,0.365,0.365,0.365,5000,MYR
2014-09-23,0.365,0.365,0.365,0.365,91500,MYR
2014-09-24,0.365,0.365,0.365,0.365,186500,MYR
2014-09-25,0.365,0.365,0.365,0.365,20000,MYR
2014-09-26,0.365,0.365,0.365,0.365,116800,MYR
2014-09-29,0.36,0.36,0.36,0.36,10000,MYR
2014-09-30,0.365,0.365,0.365,0.365,30000,MYR
2014-10-01,0.355,0.355,0.35,0.35,25000,MYR
2014-10-02,0.35,0.35,0.35,0.35,20000,MYR
2014-10-07,0.35,0.35,0.35,0.35,63800,MYR
2014-10-08,0.365,0.365,0.365,0.365,900,MYR
2014-10-10,0.345,0.35,0.34,0.35,39900,MYR
2014-10-13,0.34,0.34,0.34,0.34,10000,MYR
2014-10-14,0.34,0.34,0.335,0.335,65000,MYR
2014-10-15,0.335,0.335,0.335,0.335,17900,MYR
2014-10-16,0.33,0.33,0.325,0.325,21100,MYR
2014-10-17,0.325,0.335,0.325,0.335,10000,MYR
2014-10-20,0.33,0.34,0.325,0.325,147700,MYR
2014-10-23,0.32,0.32,0.32,0.32,10000,MYR
2014-10-24,0.32,0.32,0.32,0.32,78000,MYR
2014-10-27,0.33,0.33,0.325,0.33,16600,MYR
2014-10-28,0.33,0.33,0.33,0.33,10000,MYR
2014-10-29,0.35,0.35,0.35,0.35,120000,MYR
2014-10-31,0.35,0.36,0.35,0.36,52000,MYR
2014-11-03,0.37,0.37,0.34,0.34,85000,MYR
2014-11-04,0.355,0.355,0.355,0.355,10000,MYR
2014-11-05,0.35,0.35,0.35,0.35,40000,MYR
2014-11-06,0.375,0.375,0.36,0.36,15100,MYR
2014-11-07,0.36,0.36,0.36,0.36,10000,MYR
2014-11-13,0.365,0.365,0.365,0.365,3600,MYR
2014-11-14,0.375,0.385,0.365,0.365,91000,MYR
2014-11-21,0.385,0.385,0.385,0.385,102000,MYR
2014-11-26,0.34,0.36,0.34,0.36,20000,MYR
2014-11-28,0.355,0.355,0.355,0.355,10000,MYR
2014-12-01,0.33,0.34,0.31,0.34,60000,MYR
2014-12-08,0.34,0.34,0.34,0.34,1800,MYR
2014-12-15,0.32,0.32,0.3,0.3,10000,MYR
2014-12-16,0.31,0.31,0.3,0.3,27000,MYR
2014-12-18,0.3,0.305,0.3,0.305,28000,MYR
2014-12-23,0.305,0.305,0.3,0.3,55000,MYR
2014-12-26,0.33,0.33,0.33,0.33,2000,MYR
2015-01-05,0.33,0.33,0.33,0.33,10000,MYR
2015-01-09,0.34,0.34,0.33,0.33,5700,MYR
2015-01-12,0.33,0.33,0.33,0.33,20000,MYR
2015-01-13,0.34,0.34,0.335,0.335,10000,MYR
2015-01-14,0.33,0.34,0.33,0.34,20000,MYR
2015-01-15,0.33,0.33,0.33,0.33,46500,MYR
2015-01-16,0.32,0.32,0.31,0.31,95100,MYR
2015-01-20,0.315,0.315,0.315,0.315,1300,MYR
2015-01-22,0.315,0.315,0.315,0.315,18900,MYR
2015-01-23,0.32,0.32,0.32,0.32,10000,MYR
2015-01-28,0.32,0.32,0.32,0.32,10000,MYR
2015-01-30,0.315,0.32,0.31,0.32,74000,MYR
2015-02-04,0.32,0.32,0.31,0.32,168100,MYR
2015-02-05,0.32,0.325,0.32,0.325,175000,MYR
2015-02-06,0.33,0.355,0.33,0.355,188800,MYR
2015-02-09,0.345,0.345,0.345,0.345,1000,MYR
2015-02-11,0.34,0.34,0.34,0.34,3500,MYR
2015-02-12,0.335,0.335,0.33,0.33,11800,MYR
2015-02-13,0.34,0.35,0.34,0.35,45100,MYR
2015-02-16,0.34,0.36,0.34,0.345,211900,MYR
2015-02-18,0.355,0.355,0.355,0.355,49900,MYR
2015-02-23,0.36,0.375,0.36,0.375,59200,MYR
2015-02-24,0.37,0.37,0.37,0.37,5000,MYR
2015-02-25,0.375,0.375,0.36,0.36,79900,MYR
2015-02-26,0.37,0.375,0.36,0.365,177600,MYR
2015-02-27,0.37,0.37,0.37,0.37,63000,MYR
2015-03-02,0.36,0.37,0.36,0.37,50000,MYR
2015-03-03,0.34,0.34,0.34,0.34,1000,MYR
2015-03-04,0.355,0.355,0.34,0.355,34000,MYR
2015-03-05,0.35,0.355,0.35,0.355,25000,MYR
2015-03-06,0.34,0.34,0.33,0.33,10000,MYR
2015-03-10,0.33,0.33,0.33,0.33,20000,MYR
2015-03-11,0.33,0.33,0.33,0.33,5000,MYR
2015-03-12,0.33,0.34,0.33,0.34,35000,MYR
2015-03-13,0.34,0.35,0.34,0.35,25000,MYR
2015-03-17,0.34,0.34,0.34,0.34,30000,MYR
2015-03-18,0.34,0.35,0.34,0.35,75000,MYR
2015-03-20,0.35,0.35,0.34,0.34,30000,MYR
2015-03-23,0.34,0.34,0.34,0.34,1500,MYR
2015-03-27,0.35,0.35,0.35,0.35,35500,MYR
2015-03-31,0.365,0.375,0.35,0.37,86800,MYR
2015-04-01,0.37,0.375,0.37,0.375,60500,MYR
2015-04-02,0.375,0.375,0.37,0.37,52000,MYR
2015-04-08,0.37,0.38,0.37,0.38,26300,MYR
2015-04-13,0.38,0.39,0.38,0.39,38700,MYR
2015-04-14,0.38,0.385,0.38,0.385,8000,MYR
2015-04-17,0.38,0.38,0.35,0.35,52000,MYR
2015-04-21,0.35,0.37,0.35,0.37,7000,MYR
2015-04-22,0.35,0.36,0.35,0.35,25000,MYR
2015-04-23,0.36,0.36,0.36,0.36,43000,MYR
2015-04-28,0.35,0.35,0.34,0.34,30000,MYR
2015-04-30,0.34,0.34,0.34,0.34,15000,MYR
2015-05-14,0.35,0.38,0.35,0.38,117100,MYR
2015-05-18,0.39,0.425,0.39,0.415,1332000,MYR
2015-05-19,0.425,0.43,0.415,0.425,554600,MYR
2015-05-20,0.425,0.425,0.415,0.425,193000,MYR
2015-05-21,0.42,0.425,0.415,0.42,746700,MYR
2015-05-22,0.415,0.425,0.415,0.42,256400,MYR
2015-05-25,0.42,0.42,0.405,0.41,512000,MYR
2015-05-26,0.415,0.485,0.415,0.455,1211600,MYR
2015-05-27,0.455,0.455,0.435,0.44,374900,MYR
2015-05-28,0.445,0.445,0.435,0.44,294200,MYR
2015-05-29,0.435,0.45,0.435,0.45,100000,MYR
2015-06-01,0.455,0.48,0.45,0.475,564200,MYR
2015-06-02,0.48,0.53,0.48,0.505,2130700,MYR
2015-06-03,0.505,0.51,0.5,0.5,851900,MYR
2015-06-04,0.495,0.505,0.495,0.5,247600,MYR
2015-06-05,0.495,0.495,0.485,0.485,445000,MYR
2015-06-08,0.48,0.48,0.47,0.47,327900,MYR
2015-06-09,0.475,0.475,0.47,0.47,160900,MYR
2015-06-10,0.47,0.49,0.47,0.49,444600,MYR
2015-06-11,0.49,0.51,0.485,0.49,1169700,MYR
2015-06-12,0.49,0.495,0.485,0.485,121000,MYR
2015-06-15,0.48,0.48,0.43,0.43,619000,MYR
2015-06-16,0.43,0.43,0.425,0.43,208000,MYR
2015-06-17,0.43,0.43,0.43,0.43,95900,MYR
2015-06-18,0.46,0.46,0.435,0.435,27100,MYR
2015-06-19,0.44,0.47,0.44,0.47,134200,MYR
2015-06-22,0.46,0.46,0.45,0.455,153400,MYR
2015-06-23,0.455,0.455,0.445,0.45,235900,MYR
2015-06-24,0.445,0.445,0.445,0.445,175000,MYR
2015-06-25,0.445,0.445,0.43,0.43,297500,MYR
2015-06-26,0.43,0.43,0.425,0.425,171000,MYR
2015-06-29,0.42,0.42,0.41,0.41,249700,MYR
2015-06-30,0.405,0.415,0.4,0.405,265000,MYR
2015-07-01,0.405,0.42,0.405,0.41,621600,MYR
2015-07-02,0.41,0.41,0.405,0.405,412000,MYR
2015-07-03,0.405,0.405,0.405,0.405,455100,MYR
2015-07-06,0.405,0.405,0.4,0.4,226600,MYR
2015-07-07,0.4,0.42,0.4,0.42,758000,MYR
2015-07-08,0.415,0.415,0.4,0.405,441100,MYR
2015-07-09,0.4,0.41,0.4,0.41,270800,MYR
2015-07-10,0.41,0.41,0.41,0.41,131000,MYR
2015-07-13,0.41,0.435,0.41,0.43,1018800,MYR
2015-07-14,0.435,0.445,0.43,0.445,1216800,MYR
2015-07-15,0.445,0.465,0.43,0.445,1284300,MYR
2015-07-16,0.445,0.445,0.435,0.44,143900,MYR
2015-07-20,0.44,0.46,0.44,0.445,1139300,MYR
2015-07-21,0.445,0.46,0.445,0.45,1209000,MYR
2015-07-22,0.45,0.46,0.445,0.455,991700,MYR
2015-07-23,0.45,0.49,0.45,0.49,3403700,MYR
2015-07-24,0.485,0.485,0.47,0.48,950000,MYR
2015-07-27,0.475,0.48,0.45,0.45,1359700,MYR
2015-07-28,0.455,0.455,0.43,0.43,1566000,MYR
2015-07-29,0.435,0.445,0.43,0.44,437000,MYR
2015-07-30,0.44,0.455,0.44,0.45,780700,MYR
2015-07-31,0.45,0.455,0.445,0.445,269300,MYR
2015-08-03,0.445,0.46,0.445,0.45,604000,MYR
2015-08-04,0.45,0.455,0.45,0.45,171000,MYR
2015-08-05,0.45,0.475,0.45,0.475,907200,MYR
2015-08-06,0.475,0.475,0.455,0.455,893600,MYR
2015-08-07,0.45,0.45,0.43,0.445,1298000,MYR
2015-08-10,0.43,0.435,0.42,0.42,616500,MYR
2015-08-11,0.435,0.435,0.415,0.42,321600,MYR
2015-08-12,0.41,0.41,0.39,0.39,540500,MYR
2015-08-13,0.41,0.41,0.4,0.4,35000,MYR
2015-08-14,0.395,0.395,0.37,0.38,834600,MYR
2015-08-17,0.37,0.37,0.325,0.345,1308700,MYR
2015-08-18,0.345,0.365,0.345,0.365,779000,MYR
2015-08-19,0.38,0.38,0.365,0.37,225100,MYR
2015-08-20,0.365,0.39,0.36,0.39,725000,MYR
2015-08-21,0.38,0.41,0.375,0.41,407700,MYR
2015-08-24,0.395,0.395,0.38,0.38,1179700,MYR
2015-08-25,0.375,0.395,0.375,0.395,203200,MYR
2015-08-26,0.395,0.395,0.39,0.39,119700,MYR
2015-08-27,0.405,0.42,0.4,0.42,507500,MYR
2015-08-28,0.42,0.42,0.4,0.4,131800,MYR
2015-09-01,0.4,0.415,0.4,0.405,388600,MYR
2015-09-02,0.405,0.405,0.4,0.4,144500,MYR
2015-09-03,0.4,0.41,0.4,0.41,9000,MYR
2015-09-04,0.4,0.4,0.395,0.395,548000,MYR
2015-09-07,0.395,0.395,0.395,0.395,50000,MYR
2015-09-08,0.395,0.405,0.395,0.405,16100,MYR
2015-09-09,0.42,0.42,0.42,0.42,108000,MYR
2015-09-10,0.41,0.41,0.41,0.41,87200,MYR
2015-09-11,0.42,0.44,0.42,0.44,703800,MYR
2015-09-14,0.44,0.45,0.44,0.45,301100,MYR
2015-09-15,0.455,0.46,0.445,0.445,261000,MYR
2015-09-17,0.455,0.455,0.445,0.445,84000,MYR
2015-09-18,0.445,0.445,0.44,0.44,31000,MYR
2015-09-21,0.445,0.45,0.44,0.45,23100,MYR
2015-09-22,0.445,0.45,0.445,0.45,40100,MYR
2015-09-23,0.44,0.44,0.43,0.435,669400,MYR
2015-09-25,0.435,0.44,0.435,0.44,20000,MYR
2015-09-29,0.425,0.43,0.425,0.43,77000,MYR
2015-09-30,0.435,0.435,0.43,0.43,20000,MYR
