Date,Open,High,Low,Close,Volume,Currency
2013-02-13,0.64,0.645,0.64,0.645,5500,MYR
2013-02-14,0.64,0.64,0.64,0.64,3300,MYR
2013-02-18,0.635,0.64,0.635,0.635,34200,MYR
2013-02-20,0.635,0.635,0.635,0.635,25000,MYR
2013-02-25,0.64,0.66,0.64,0.66,5100,MYR
2013-02-26,0.605,0.605,0.605,0.605,1000,MYR
2013-02-27,0.61,0.65,0.61,0.65,10000,MYR
2013-02-28,0.65,0.65,0.65,0.65,11100,MYR
2013-03-06,0.64,0.64,0.64,0.64,1500,MYR
2013-03-07,0.64,0.66,0.64,0.66,4700,MYR
2013-03-14,0.63,0.63,0.63,0.63,900,MYR
2013-03-15,0.65,0.65,0.65,0.65,12000,MYR
2013-04-10,0.65,0.65,0.63,0.63,19100,MYR
2013-04-16,0.61,0.61,0.61,0.61,4000,MYR
2013-04-17,0.62,0.62,0.62,0.62,1000,MYR
2013-04-22,0.62,0.62,0.62,0.62,3000,MYR
2013-04-25,0.73,0.73,0.73,0.73,10000,MYR
2013-05-02,0.76,0.76,0.76,0.76,1200,MYR
2013-05-03,0.6,0.6,0.6,0.6,1300,MYR
2013-05-08,0.63,0.63,0.63,0.63,3000,MYR
2013-05-10,0.65,0.65,0.65,0.65,1000,MYR
2013-05-13,0.725,0.73,0.725,0.73,10000,MYR
2013-05-14,0.65,0.65,0.65,0.65,1000,MYR
2013-05-17,0.63,0.63,0.63,0.63,5000,MYR
2013-05-20,0.64,0.7,0.64,0.7,9000,MYR
2013-05-21,0.65,0.65,0.65,0.65,2000,MYR
2013-05-22,0.65,0.69,0.65,0.68,18000,MYR
2013-05-23,0.65,0.69,0.65,0.69,19500,MYR
2013-05-31,0.7,0.7,0.7,0.7,30900,MYR
2013-06-03,0.69,0.7,0.67,0.7,19000,MYR
2013-06-04,0.7,0.7,0.7,0.7,15800,MYR
2013-06-05,0.7,0.7,0.7,0.7,5000,MYR
2013-06-06,0.7,0.7,0.7,0.7,5500,MYR
2013-06-07,0.72,0.72,0.72,0.72,5000,MYR
2013-06-11,0.7,0.75,0.7,0.75,12000,MYR
2013-06-14,0.685,0.685,0.685,0.685,10000,MYR
2013-06-18,0.69,0.695,0.685,0.695,38700,MYR
2013-06-19,0.71,0.72,0.7,0.72,24100,MYR
2013-06-20,0.72,0.72,0.72,0.72,15000,MYR
2013-06-21,0.66,0.685,0.66,0.685,16800,MYR
2013-06-25,0.72,0.72,0.72,0.72,26800,MYR
2013-06-26,0.72,0.72,0.72,0.72,15000,MYR
2013-06-28,0.7,0.7,0.7,0.7,1000,MYR
2013-07-01,0.69,0.69,0.685,0.685,6500,MYR
2013-07-03,0.68,0.72,0.68,0.72,6900,MYR
2013-07-08,0.65,0.65,0.65,0.65,4000,MYR
2013-07-10,0.72,0.725,0.72,0.725,10000,MYR
2013-07-12,0.75,0.75,0.75,0.75,2800,MYR
2013-07-19,0.75,0.75,0.75,0.75,200000,MYR
2013-07-25,0.72,0.75,0.72,0.75,11300,MYR
2013-08-01,0.67,0.67,0.67,0.67,1200,MYR
2013-08-19,0.67,0.67,0.67,0.67,1000,MYR
2013-08-20,0.675,0.675,0.65,0.65,10300,MYR
2013-08-21,0.68,0.68,0.68,0.68,11000,MYR
2013-08-23,0.685,0.685,0.685,0.685,14000,MYR
2013-08-28,0.66,0.66,0.66,0.66,3000,MYR
2013-08-29,0.68,0.68,0.68,0.68,5000,MYR
2013-08-30,0.68,0.68,0.68,0.68,1000,MYR
2013-09-09,0.675,0.68,0.675,0.68,8000,MYR
2013-09-10,0.7,0.7,0.68,0.68,91000,MYR
2013-09-12,0.68,0.69,0.68,0.69,10000,MYR
2013-09-13,0.685,0.685,0.685,0.685,13000,MYR
2013-09-17,0.69,0.69,0.69,0.69,12300,MYR
2013-09-18,0.69,0.69,0.69,0.69,40000,MYR
2013-09-19,0.69,0.69,0.69,0.69,40000,MYR
2013-10-02,0.69,0.7,0.685,0.7,11000,MYR
2013-10-03,0.7,0.7,0.7,0.7,7000,MYR
2013-10-04,0.705,0.705,0.7,0.7,3000,MYR
2013-10-10,0.73,0.76,0.73,0.75,15000,MYR
2013-10-11,0.75,0.75,0.75,0.75,13000,MYR
2013-10-14,0.75,0.75,0.75,0.75,10000,MYR
2013-10-21,0.76,0.76,0.75,0.75,10000,MYR
2013-10-22,0.705,0.705,0.705,0.705,3000,MYR
2013-10-24,0.75,0.75,0.75,0.75,5000,MYR
2013-10-25,0.75,0.75,0.75,0.75,16100,MYR
2013-10-28,0.75,0.75,0.75,0.75,10000,MYR
2013-10-30,0.75,0.99,0.75,0.91,171600,MYR
2013-10-31,0.85,0.85,0.775,0.775,134800,MYR
2013-11-01,0.775,0.775,0.75,0.75,4000,MYR
2013-11-04,0.76,0.76,0.76,0.76,100,MYR
2013-11-07,0.78,0.8,0.78,0.78,20000,MYR
2013-11-08,0.78,0.78,0.78,0.78,1500,MYR
2013-11-11,0.78,0.78,0.78,0.78,5000,MYR
2013-11-14,0.845,0.845,0.845,0.845,63000,MYR
2013-11-15,0.835,0.835,0.8,0.8,19000,MYR
2013-11-18,0.8,0.835,0.8,0.835,13400,MYR
2013-11-20,0.835,0.835,0.785,0.785,8000,MYR
2013-11-25,0.81,0.84,0.81,0.82,28300,MYR
2013-11-26,0.84,0.85,0.84,0.85,14000,MYR
2013-12-02,0.85,0.85,0.85,0.85,5000,MYR
2013-12-09,0.82,0.85,0.82,0.85,16000,MYR
2013-12-13,0.77,0.82,0.77,0.82,7000,MYR
2013-12-18,0.85,0.85,0.845,0.845,16000,MYR
2013-12-19,0.85,0.85,0.85,0.85,22000,MYR
2013-12-23,0.78,0.78,0.78,0.78,1200,MYR
2013-12-31,0.79,0.8,0.79,0.8,6900,MYR
2014-01-15,0.805,0.805,0.805,0.805,2700,MYR
2014-01-16,0.8,0.805,0.8,0.8,23600,MYR
2014-01-20,0.8,0.8,0.8,0.8,5000,MYR
2014-01-21,0.8,0.8,0.8,0.8,5000,MYR
2014-01-23,0.88,0.88,0.8,0.8,3000,MYR
2014-01-27,0.8,0.82,0.8,0.82,32300,MYR
2014-01-29,0.82,0.82,0.82,0.82,2000,MYR
2014-02-10,0.92,0.92,0.91,0.91,27000,MYR
2014-02-13,0.83,0.845,0.83,0.845,11000,MYR
2014-02-14,0.845,0.88,0.845,0.88,3400,MYR
