Date,Open,High,Low,Close,Volume,Currency
2011-09-15,8.2,8.31,8.09,8.23,2637600,MYR
2011-09-19,8.33,8.33,8.08,8.16,854200,MYR
2011-09-20,8.15,8.2,8.13,8.2,526400,MYR
2011-09-21,8.11,8.24,8.11,8.15,500600,MYR
2011-09-22,8.11,8.17,7.83,7.9,3668400,MYR
2011-09-23,7.89,7.89,7.55,7.72,5817600,MYR
2011-09-26,7.6,7.6,7.0,7.13,3985600,MYR
2011-09-27,7.2,7.34,7.1,7.12,6219500,MYR
2011-09-28,7.2,7.21,7.03,7.11,4446200,MYR
2011-09-29,7.07,7.19,6.95,7.16,4991600,MYR
2011-09-30,7.27,7.35,6.97,7.0,5429100,MYR
2011-10-03,6.99,6.99,6.69,6.69,3471900,MYR
2011-10-04,6.61,6.64,6.57,6.57,3288900,MYR
2011-10-05,6.6,6.62,6.53,6.59,2727100,MYR
2011-10-06,6.63,6.86,6.63,6.7,4139100,MYR
2011-10-07,6.75,6.75,6.61,6.64,2315000,MYR
2011-10-10,6.65,6.65,6.53,6.53,3099000,MYR
2011-10-11,6.62,6.8,6.62,6.8,4565000,MYR
2011-10-12,6.77,7.5,6.75,7.5,5395500,MYR
2011-10-13,7.5,7.55,7.31,7.44,4015300,MYR
2011-10-14,7.4,7.77,7.37,7.48,2554700,MYR
2011-10-17,7.58,7.63,7.4,7.4,2010500,MYR
2011-10-18,7.37,7.37,7.09,7.2,4775200,MYR
2011-10-19,7.23,7.26,7.18,7.2,2420700,MYR
2011-10-20,7.18,7.2,7.12,7.14,921700,MYR
2011-10-21,7.16,7.2,7.03,7.13,1783800,MYR
2011-10-24,7.19,7.29,7.17,7.27,1518600,MYR
2011-10-25,7.28,7.38,7.28,7.36,4081400,MYR
2011-10-27,7.37,7.72,7.37,7.64,7282900,MYR
2011-10-28,7.72,7.75,7.48,7.67,3680700,MYR
2011-10-31,7.69,7.71,7.47,7.7,2077700,MYR
2011-11-01,7.59,7.69,7.46,7.46,1473400,MYR
2011-11-02,7.37,7.43,7.36,7.4,1804500,MYR
2011-11-03,7.4,7.4,7.24,7.29,1505100,MYR
2011-11-04,7.35,7.53,7.35,7.53,903200,MYR
2011-11-08,7.56,7.58,7.45,7.48,1352300,MYR
2011-11-09,7.51,7.56,7.44,7.48,524500,MYR
2011-11-10,7.35,7.38,7.34,7.34,781300,MYR
2011-11-11,7.37,7.4,7.27,7.27,401400,MYR
2011-11-14,7.31,7.4,7.31,7.38,559800,MYR
2011-11-15,7.35,7.42,7.35,7.4,501300,MYR
2011-11-16,7.4,7.48,7.39,7.43,1256000,MYR
2011-11-17,7.4,7.46,7.37,7.42,417800,MYR
2011-11-18,7.42,7.44,7.29,7.29,717100,MYR
2011-11-21,7.27,7.43,7.27,7.31,2748400,MYR
2011-11-22,7.3,7.5,7.29,7.37,1065800,MYR
2011-11-23,7.37,7.48,7.32,7.42,1107200,MYR
2011-11-24,7.39,7.49,7.34,7.49,522600,MYR
