Date,Open,High,Low,Close,Volume,Currency
2013-04-17,0.145,0.145,0.145,0.145,10000,MYR
2013-04-19,0.135,0.135,0.135,0.135,50000,MYR
2013-04-22,0.135,0.135,0.13,0.13,80000,MYR
2013-04-23,0.13,0.14,0.13,0.14,41900,MYR
2013-04-24,0.135,0.14,0.135,0.135,88800,MYR
2013-04-25,0.135,0.135,0.135,0.135,29700,MYR
2013-04-26,0.13,0.14,0.13,0.14,90000,MYR
2013-04-30,0.13,0.14,0.13,0.14,82200,MYR
2013-05-02,0.135,0.135,0.135,0.135,42100,MYR
2013-05-03,0.13,0.135,0.13,0.135,125000,MYR
2013-05-07,0.13,0.14,0.13,0.14,172300,MYR
2013-05-10,0.135,0.145,0.135,0.145,142000,MYR
2013-05-13,0.15,0.15,0.15,0.15,5000,MYR
2013-05-14,0.14,0.14,0.14,0.14,116400,MYR
2013-05-15,0.145,0.15,0.145,0.15,148400,MYR
2013-05-16,0.155,0.155,0.15,0.15,85000,MYR
2013-05-17,0.14,0.15,0.14,0.15,143500,MYR
2013-05-20,0.145,0.165,0.145,0.16,609500,MYR
2013-05-21,0.155,0.17,0.155,0.17,703900,MYR
2013-05-22,0.16,0.16,0.15,0.15,68600,MYR
2013-05-23,0.15,0.15,0.15,0.15,63000,MYR
2013-05-27,0.15,0.155,0.15,0.155,75000,MYR
2013-05-28,0.15,0.15,0.15,0.15,63300,MYR
2013-05-29,0.155,0.155,0.145,0.15,121100,MYR
2013-05-30,0.145,0.145,0.145,0.145,30000,MYR
2013-05-31,0.145,0.15,0.145,0.15,100700,MYR
2013-06-03,0.14,0.14,0.14,0.14,5000,MYR
2013-06-04,0.15,0.16,0.15,0.16,6300,MYR
2013-06-05,0.15,0.15,0.14,0.14,105500,MYR
2013-06-06,0.14,0.14,0.14,0.14,2800,MYR
2013-06-07,0.145,0.15,0.145,0.145,117800,MYR
2013-06-10,0.15,0.15,0.15,0.15,144600,MYR
2013-06-11,0.145,0.145,0.145,0.145,30000,MYR
2013-06-12,0.145,0.15,0.145,0.15,95000,MYR
2013-06-13,0.145,0.145,0.145,0.145,56000,MYR
2013-06-14,0.15,0.155,0.15,0.155,166500,MYR
2013-06-17,0.155,0.155,0.155,0.155,44000,MYR
2013-06-18,0.15,0.15,0.15,0.15,49300,MYR
2013-06-19,0.15,0.16,0.15,0.16,447100,MYR
2013-06-20,0.15,0.15,0.15,0.15,10000,MYR
2013-06-24,0.14,0.145,0.14,0.14,263200,MYR
2013-06-25,0.165,0.165,0.165,0.165,500,MYR
2013-06-27,0.145,0.145,0.145,0.145,14700,MYR
2013-06-28,0.145,0.16,0.145,0.16,51300,MYR
2013-07-02,0.15,0.15,0.15,0.15,50000,MYR
2013-07-03,0.15,0.15,0.15,0.15,30000,MYR
2013-07-04,0.15,0.15,0.15,0.15,100000,MYR
2013-07-05,0.145,0.15,0.145,0.15,212000,MYR
2013-07-08,0.145,0.145,0.145,0.145,1300,MYR
2013-07-09,0.15,0.155,0.15,0.155,30000,MYR
2013-07-10,0.15,0.15,0.15,0.15,10000,MYR
2013-07-11,0.15,0.15,0.15,0.15,14600,MYR
2013-07-12,0.15,0.155,0.15,0.155,35000,MYR
2013-07-15,0.15,0.15,0.15,0.15,100000,MYR
2013-07-16,0.155,0.16,0.155,0.16,30000,MYR
2013-07-17,0.145,0.145,0.145,0.145,3700,MYR
2013-07-18,0.155,0.155,0.15,0.15,23000,MYR
2013-07-19,0.16,0.16,0.16,0.16,505000,MYR
2013-07-22,0.16,0.165,0.16,0.165,40000,MYR
2013-07-23,0.165,0.165,0.15,0.15,115000,MYR
2013-07-24,0.16,0.165,0.155,0.16,195000,MYR
2013-07-25,0.165,0.2,0.165,0.19,5193300,MYR
2013-07-26,0.195,0.2,0.175,0.175,4577100,MYR
2013-07-29,0.175,0.175,0.155,0.165,670100,MYR
2013-07-30,0.17,0.17,0.16,0.17,1039300,MYR
2013-07-31,0.16,0.17,0.155,0.155,543500,MYR
2013-08-01,0.155,0.165,0.155,0.16,416000,MYR
2013-08-02,0.16,0.16,0.155,0.16,317000,MYR
2013-08-05,0.16,0.165,0.16,0.165,220100,MYR
2013-08-06,0.165,0.165,0.16,0.16,90900,MYR
2013-08-07,0.16,0.165,0.16,0.16,175200,MYR
2013-08-12,0.17,0.18,0.17,0.175,1886400,MYR
2013-08-13,0.18,0.18,0.17,0.175,245000,MYR
2013-08-14,0.175,0.175,0.175,0.175,154900,MYR
2013-08-15,0.175,0.185,0.175,0.185,684800,MYR
2013-08-16,0.185,0.185,0.175,0.18,3214700,MYR
2013-08-19,0.18,0.18,0.175,0.18,505800,MYR
2013-08-20,0.17,0.17,0.17,0.17,106000,MYR
2013-08-21,0.165,0.17,0.16,0.16,825000,MYR
2013-08-22,0.155,0.155,0.15,0.155,240000,MYR
2013-08-23,0.16,0.165,0.16,0.165,307000,MYR
2013-08-26,0.16,0.16,0.16,0.16,91500,MYR
2013-08-27,0.155,0.155,0.15,0.155,323000,MYR
2013-08-28,0.145,0.155,0.145,0.155,266000,MYR
2013-08-29,0.155,0.155,0.155,0.155,80000,MYR
2013-08-30,0.16,0.16,0.16,0.16,10000,MYR
2013-09-02,0.155,0.155,0.155,0.155,41200,MYR
2013-09-03,0.155,0.155,0.155,0.155,50500,MYR
2013-09-04,0.155,0.16,0.155,0.16,106000,MYR
2013-09-05,0.155,0.16,0.155,0.16,38300,MYR
2013-09-06,0.16,0.16,0.155,0.155,50000,MYR
2013-09-09,0.155,0.155,0.155,0.155,20000,MYR
2013-09-10,0.155,0.155,0.155,0.155,45000,MYR
2013-09-11,0.16,0.16,0.155,0.155,110000,MYR
2013-09-12,0.155,0.155,0.155,0.155,116000,MYR
2013-09-13,0.155,0.155,0.155,0.155,8200,MYR
2013-09-17,0.155,0.16,0.155,0.16,151000,MYR
2013-09-18,0.155,0.16,0.155,0.16,316000,MYR
2013-09-19,0.165,0.165,0.165,0.165,20000,MYR
2013-09-23,0.155,0.165,0.155,0.16,340000,MYR
2013-09-24,0.165,0.165,0.165,0.165,100000,MYR
2013-09-25,0.165,0.165,0.165,0.165,80500,MYR
2013-09-26,0.16,0.16,0.16,0.16,10000,MYR
2013-09-27,0.165,0.175,0.165,0.17,506500,MYR
2013-09-30,0.18,0.18,0.17,0.175,98000,MYR
2013-10-01,0.17,0.175,0.17,0.175,90300,MYR
2013-10-02,0.17,0.18,0.17,0.18,391500,MYR
2013-10-03,0.175,0.18,0.175,0.175,771800,MYR
2013-10-04,0.17,0.17,0.17,0.17,83200,MYR
2013-10-07,0.165,0.18,0.165,0.18,100100,MYR
2013-10-08,0.17,0.17,0.17,0.17,230000,MYR
2013-10-09,0.175,0.195,0.175,0.18,2531700,MYR
2013-10-10,0.175,0.175,0.175,0.175,240000,MYR
2013-10-11,0.175,0.19,0.175,0.18,4981200,MYR
2013-10-14,0.18,0.18,0.18,0.18,934600,MYR
2013-10-16,0.185,0.205,0.18,0.185,9078600,MYR
2013-10-17,0.19,0.19,0.185,0.185,2180100,MYR
2013-10-18,0.185,0.185,0.175,0.18,1534400,MYR
2013-10-21,0.18,0.18,0.175,0.175,1216200,MYR
2013-10-22,0.175,0.18,0.17,0.175,1053800,MYR
2013-10-23,0.175,0.18,0.175,0.175,637300,MYR
2013-10-24,0.175,0.18,0.175,0.175,545000,MYR
2013-10-25,0.18,0.18,0.175,0.18,367600,MYR
2013-10-28,0.18,0.18,0.175,0.175,465700,MYR
2013-10-29,0.175,0.18,0.175,0.18,320000,MYR
2013-10-30,0.18,0.18,0.175,0.175,548600,MYR
2013-10-31,0.18,0.18,0.175,0.175,182100,MYR
