Date,Open,High,Low,Close,Volume,Currency
2013-04-16,2.69,2.75,2.69,2.73,13000,MYR
2013-04-17,2.74,2.75,2.74,2.75,39000,MYR
2013-04-18,2.73,2.74,2.73,2.74,6000,MYR
2013-04-19,2.73,2.74,2.67,2.67,24000,MYR
2013-04-23,2.7,2.7,2.65,2.65,3600,MYR
2013-04-24,2.63,2.63,2.63,2.63,3000,MYR
2013-04-25,2.65,2.73,2.65,2.73,5000,MYR
2013-04-30,2.63,2.72,2.6,2.67,4600,MYR
2013-05-02,2.65,2.71,2.65,2.67,700,MYR
2013-05-06,2.63,2.73,2.62,2.7,5200,MYR
2013-05-07,2.67,2.7,2.67,2.7,13000,MYR
2013-05-08,2.66,2.73,2.66,2.7,8200,MYR
2013-05-10,2.7,2.8,2.7,2.8,50000,MYR
2013-05-13,2.8,2.8,2.78,2.79,134000,MYR
2013-05-14,2.75,2.75,2.75,2.75,1000,MYR
2013-05-15,2.75,2.75,2.75,2.75,2000,MYR
2013-05-16,2.72,2.72,2.72,2.72,13000,MYR
2013-05-17,2.75,2.75,2.75,2.75,4000,MYR
2013-05-20,2.75,2.8,2.75,2.77,86800,MYR
2013-05-21,2.77,2.83,2.77,2.81,119000,MYR
2013-05-23,2.76,2.77,2.75,2.75,48000,MYR
2013-05-27,2.71,2.99,2.71,2.8,5200,MYR
2013-05-28,2.76,2.77,2.76,2.77,16900,MYR
2013-05-29,2.88,2.94,2.88,2.9,62100,MYR
2013-05-30,2.9,2.92,2.82,2.87,10600,MYR
2013-05-31,2.99,2.99,2.86,2.93,6900,MYR
2013-06-03,2.84,2.89,2.84,2.87,10400,MYR
2013-06-04,2.89,2.89,2.82,2.88,4500,MYR
2013-06-05,2.88,2.88,2.88,2.88,900,MYR
2013-06-07,2.9,2.9,2.89,2.89,8000,MYR
2013-06-10,2.82,2.84,2.8,2.84,7700,MYR
2013-06-11,2.85,2.85,2.85,2.85,500,MYR
2013-06-13,2.8,2.8,2.8,2.8,20000,MYR
2013-06-14,2.82,2.82,2.82,2.82,2000,MYR
2013-06-18,2.8,2.94,2.8,2.94,9100,MYR
2013-06-19,2.9,2.98,2.82,2.83,15500,MYR
2013-06-20,2.77,2.86,2.75,2.86,20200,MYR
2013-06-21,2.75,2.75,2.75,2.75,5000,MYR
2013-06-24,2.75,2.75,2.75,2.75,5000,MYR
2013-06-25,2.71,2.79,2.7,2.7,31100,MYR
2013-06-26,2.71,2.71,2.7,2.71,26000,MYR
2013-06-28,2.73,2.73,2.73,2.73,5000,MYR
2013-07-01,2.73,2.74,2.73,2.74,8500,MYR
2013-07-02,2.82,2.82,2.82,2.82,1000,MYR
2013-07-05,2.79,2.79,2.75,2.76,55000,MYR
2013-07-15,2.77,2.9,2.76,2.78,20200,MYR
2013-07-17,2.8,2.8,2.8,2.8,4000,MYR
2013-07-18,2.79,2.79,2.78,2.78,4000,MYR
2013-07-22,2.78,2.8,2.77,2.8,16700,MYR
2013-07-23,2.8,2.82,2.79,2.82,41200,MYR
2013-07-24,2.78,2.8,2.78,2.8,5000,MYR
2013-07-25,2.8,2.9,2.8,2.9,25100,MYR
2013-07-29,2.82,2.82,2.8,2.8,7900,MYR
2013-07-30,2.8,2.8,2.8,2.8,18100,MYR
2013-07-31,2.79,2.79,2.78,2.78,4700,MYR
2013-08-01,2.78,2.8,2.75,2.8,33000,MYR
2013-08-02,2.81,2.81,2.81,2.81,4000,MYR
2013-08-06,2.77,2.77,2.77,2.77,2000,MYR
2013-08-07,2.77,2.78,2.77,2.78,10500,MYR
2013-08-12,2.8,2.82,2.79,2.82,8700,MYR
2013-08-13,2.8,2.8,2.8,2.8,10500,MYR
2013-08-15,2.85,2.85,2.83,2.83,43800,MYR
2013-08-16,2.83,2.9,2.81,2.9,11100,MYR
2013-08-19,2.83,2.86,2.82,2.86,23200,MYR
2013-08-20,2.83,2.83,2.75,2.81,13000,MYR
2013-08-21,2.8,2.9,2.8,2.8,12100,MYR
2013-08-22,2.75,2.78,2.74,2.78,9900,MYR
2013-08-23,2.8,2.8,2.79,2.79,6000,MYR
2013-08-26,2.8,2.8,2.76,2.78,63800,MYR
2013-08-27,2.77,2.77,2.77,2.77,1000,MYR
2013-08-28,2.68,2.68,2.62,2.62,5100,MYR
2013-09-03,2.66,2.8,2.66,2.69,13100,MYR
2013-09-05,2.7,2.7,2.7,2.7,2000,MYR
2013-09-06,2.67,2.67,2.67,2.67,8000,MYR
2013-09-10,2.73,2.76,2.68,2.7,18400,MYR
2013-09-12,2.7,2.7,2.7,2.7,10000,MYR
2013-09-18,2.7,2.73,2.7,2.73,14000,MYR
2013-09-19,2.73,2.73,2.68,2.69,12200,MYR
2013-09-20,2.69,2.8,2.68,2.8,6200,MYR
2013-09-23,2.9,2.9,2.9,2.9,100,MYR
2013-09-25,2.7,2.8,2.7,2.8,21500,MYR
