Date,Open,High,Low,Close,Volume,Currency
2013-02-15,0.22,0.225,0.215,0.215,95000,MYR
2013-02-19,0.225,0.23,0.22,0.22,243800,MYR
2013-02-21,0.21,0.21,0.21,0.21,10000,MYR
2013-02-22,0.21,0.215,0.205,0.215,151500,MYR
2013-02-25,0.215,0.215,0.215,0.215,5000,MYR
2013-02-27,0.215,0.215,0.215,0.215,6000,MYR
2013-02-28,0.215,0.215,0.205,0.205,100000,MYR
2013-03-04,0.2,0.205,0.2,0.205,68000,MYR
2013-03-05,0.2,0.2,0.2,0.2,6000,MYR
2013-03-06,0.205,0.22,0.205,0.22,10100,MYR
2013-03-07,0.21,0.21,0.21,0.21,30000,MYR
2013-03-08,0.21,0.21,0.21,0.21,100,MYR
2013-03-12,0.2,0.2,0.2,0.2,59900,MYR
2013-03-13,0.21,0.21,0.21,0.21,100,MYR
2013-03-18,0.2,0.2,0.2,0.2,7000,MYR
2013-03-19,0.21,0.21,0.21,0.21,100,MYR
2013-03-20,0.2,0.21,0.2,0.2,70000,MYR
2013-03-21,0.2,0.2,0.2,0.2,20000,MYR
2013-03-25,0.21,0.21,0.21,0.21,100,MYR
2013-03-26,0.205,0.205,0.205,0.205,7600,MYR
2013-03-27,0.205,0.205,0.205,0.205,7500,MYR
2013-03-29,0.205,0.205,0.2,0.205,13100,MYR
2013-04-04,0.19,0.19,0.19,0.19,2000,MYR
2013-04-05,0.195,0.22,0.195,0.2,10500,MYR
2013-04-11,0.19,0.19,0.185,0.185,107000,MYR
2013-04-12,0.185,0.185,0.185,0.185,5000,MYR
2013-04-16,0.18,0.18,0.18,0.18,25000,MYR
2013-04-23,0.185,0.185,0.185,0.185,10000,MYR
2013-05-02,0.185,0.185,0.185,0.185,24000,MYR
2013-05-07,0.2,0.2,0.2,0.2,5000,MYR
2013-05-08,0.21,0.22,0.205,0.215,83400,MYR
2013-05-09,0.22,0.22,0.22,0.22,50000,MYR
2013-05-10,0.225,0.225,0.225,0.225,29000,MYR
2013-05-14,0.225,0.24,0.215,0.24,40900,MYR
2013-05-15,0.245,0.245,0.245,0.245,10000,MYR
2013-05-16,0.225,0.225,0.225,0.225,179900,MYR
2013-05-20,0.225,0.235,0.225,0.225,43600,MYR
2013-05-22,0.215,0.245,0.215,0.245,30100,MYR
2013-05-23,0.225,0.235,0.225,0.235,55000,MYR
2013-05-27,0.23,0.23,0.215,0.215,44900,MYR
2013-05-28,0.225,0.23,0.225,0.225,74900,MYR
2013-05-29,0.23,0.28,0.23,0.28,38500,MYR
2013-05-31,0.24,0.245,0.24,0.245,30000,MYR
2013-06-05,0.215,0.23,0.215,0.225,50000,MYR
2013-06-06,0.225,0.225,0.225,0.225,10000,MYR
2013-06-14,0.215,0.215,0.215,0.215,40000,MYR
2013-06-19,0.215,0.215,0.215,0.215,49200,MYR
2013-06-20,0.215,0.215,0.215,0.215,50300,MYR
2013-06-24,0.215,0.215,0.215,0.215,36600,MYR
2013-06-27,0.22,0.24,0.1,0.24,211000,MYR
2013-07-09,0.205,0.205,0.205,0.205,10000,MYR
2013-07-15,0.2,0.22,0.19,0.22,35200,MYR
2013-07-16,0.215,0.22,0.215,0.22,31000,MYR
2013-07-17,0.2,0.2,0.2,0.2,10000,MYR
2013-07-19,0.195,0.195,0.195,0.195,20000,MYR
2013-07-22,0.205,0.215,0.205,0.205,22400,MYR
2013-07-25,0.205,0.205,0.205,0.205,20000,MYR
2013-07-30,0.2,0.2,0.2,0.2,20000,MYR
2013-07-31,0.2,0.2,0.195,0.195,35000,MYR
2013-08-02,0.195,0.23,0.19,0.225,100900,MYR
2013-08-12,0.195,0.205,0.195,0.205,6000,MYR
2013-08-14,0.205,0.21,0.205,0.205,203100,MYR
2013-08-27,0.195,0.195,0.195,0.195,30000,MYR
2013-09-04,0.195,0.195,0.195,0.195,15000,MYR
2013-09-06,0.185,0.2,0.185,0.2,15100,MYR
2013-09-11,0.18,0.18,0.18,0.18,10000,MYR
2013-09-12,0.195,0.195,0.19,0.19,16000,MYR
2013-09-18,0.18,0.2,0.18,0.2,2100,MYR
2013-09-20,0.18,0.185,0.18,0.185,51000,MYR
2013-09-23,0.2,0.2,0.2,0.2,13900,MYR
2013-09-25,0.19,0.19,0.18,0.19,169000,MYR
2013-09-27,0.185,0.185,0.18,0.18,24000,MYR
2013-10-02,0.18,0.195,0.18,0.19,48800,MYR
2013-10-03,0.19,0.205,0.18,0.18,20300,MYR
2013-10-04,0.19,0.19,0.19,0.19,6000,MYR
2013-10-07,0.19,0.19,0.19,0.19,30000,MYR
2013-10-10,0.19,0.19,0.19,0.19,31000,MYR
2013-10-11,0.19,0.19,0.19,0.19,5000,MYR
2013-10-16,0.19,0.19,0.19,0.19,21000,MYR
2013-10-22,0.19,0.19,0.19,0.19,6000,MYR
2013-10-24,0.2,0.2,0.195,0.195,6000,MYR
2013-10-29,0.195,0.195,0.195,0.195,30000,MYR
2013-10-30,0.195,0.195,0.19,0.19,5700,MYR
2013-10-31,0.19,0.19,0.19,0.19,5000,MYR
2013-11-06,0.21,0.21,0.2,0.21,15100,MYR
2013-11-07,0.21,0.22,0.21,0.22,73400,MYR
2013-11-08,0.215,0.24,0.205,0.24,198700,MYR
2013-11-11,0.26,0.26,0.24,0.255,515400,MYR
2013-11-12,0.24,0.25,0.225,0.25,125300,MYR
2013-11-13,0.25,0.25,0.225,0.225,68700,MYR
2013-11-14,0.21,0.235,0.21,0.235,29800,MYR
2013-11-15,0.235,0.235,0.22,0.22,10000,MYR
2013-11-18,0.235,0.24,0.23,0.24,93000,MYR
2013-11-19,0.23,0.23,0.23,0.23,47000,MYR
2013-11-20,0.225,0.245,0.22,0.245,122500,MYR
2013-11-21,0.23,0.24,0.23,0.24,41000,MYR
2013-11-22,0.225,0.23,0.225,0.23,24900,MYR
2013-11-25,0.23,0.23,0.23,0.23,80000,MYR
2013-11-26,0.27,0.295,0.235,0.26,142800,MYR
2013-11-27,0.24,0.24,0.24,0.24,103400,MYR
2013-11-28,0.23,0.23,0.23,0.23,18000,MYR
2013-11-29,0.23,0.23,0.225,0.23,54000,MYR
2013-12-02,0.225,0.26,0.225,0.26,25300,MYR
2013-12-03,0.23,0.23,0.23,0.23,50000,MYR
2013-12-04,0.225,0.225,0.225,0.225,20000,MYR
2013-12-09,0.22,0.22,0.22,0.22,30000,MYR
2013-12-10,0.22,0.22,0.22,0.22,9000,MYR
2013-12-12,0.21,0.23,0.21,0.23,79900,MYR
2013-12-13,0.22,0.22,0.21,0.21,26800,MYR
2013-12-17,0.21,0.21,0.21,0.21,10000,MYR
2013-12-20,0.2,0.21,0.2,0.2,95000,MYR
2013-12-23,0.2,0.205,0.2,0.205,23100,MYR
2013-12-26,0.21,0.21,0.2,0.2,68000,MYR
2013-12-27,0.205,0.21,0.205,0.21,29700,MYR
2013-12-30,0.21,0.22,0.21,0.22,98600,MYR
2013-12-31,0.23,0.23,0.225,0.225,114500,MYR
2014-01-02,0.225,0.225,0.225,0.225,50000,MYR
2014-01-03,0.22,0.22,0.22,0.22,49000,MYR
2014-01-06,0.23,0.23,0.22,0.22,30000,MYR
2014-01-07,0.22,0.23,0.22,0.23,2200,MYR
2014-01-08,0.22,0.22,0.22,0.22,45000,MYR
2014-01-09,0.22,0.22,0.22,0.22,70000,MYR
2014-01-10,0.22,0.23,0.22,0.23,15000,MYR
2014-01-13,0.22,0.22,0.22,0.22,20000,MYR
2014-01-16,0.22,0.22,0.22,0.22,42000,MYR
2014-01-20,0.22,0.22,0.22,0.22,16500,MYR
2014-01-21,0.22,0.225,0.22,0.225,111500,MYR
2014-01-22,0.225,0.225,0.225,0.225,169700,MYR
2014-01-23,0.225,0.23,0.225,0.23,172500,MYR
2014-01-24,0.235,0.245,0.235,0.245,161200,MYR
2014-01-27,0.245,0.245,0.235,0.235,606100,MYR
2014-01-28,0.235,0.235,0.235,0.235,55000,MYR
2014-01-29,0.235,0.245,0.235,0.245,84100,MYR
2014-01-30,0.245,0.275,0.245,0.275,493300,MYR
2014-02-04,0.275,0.32,0.275,0.3,1622400,MYR
2014-02-05,0.3,0.3,0.285,0.285,466000,MYR
2014-02-06,0.285,0.29,0.285,0.285,394200,MYR
2014-02-07,0.29,0.3,0.29,0.3,339100,MYR
2014-02-10,0.295,0.295,0.29,0.295,219300,MYR
2014-02-11,0.3,0.34,0.3,0.335,1925000,MYR
2014-02-12,0.34,0.34,0.31,0.32,319000,MYR
2014-02-13,0.315,0.34,0.315,0.315,554700,MYR
2014-02-14,0.315,0.315,0.305,0.305,221000,MYR
2014-02-17,0.31,0.37,0.31,0.34,1479100,MYR
2014-02-18,0.355,0.375,0.35,0.365,1921300,MYR
2014-02-19,0.37,0.37,0.355,0.37,512100,MYR
2014-02-20,0.365,0.365,0.365,0.365,375000,MYR
2014-02-21,0.365,0.365,0.365,0.365,301000,MYR
2014-02-24,0.36,0.36,0.335,0.35,721000,MYR
2014-02-25,0.35,0.35,0.33,0.33,273000,MYR
2014-02-26,0.33,0.335,0.33,0.33,240000,MYR
2014-02-27,0.33,0.33,0.315,0.32,357600,MYR
2014-02-28,0.315,0.32,0.315,0.315,389600,MYR
2014-03-03,0.31,0.315,0.305,0.31,200000,MYR
