Date,Open,High,Low,Close,Volume,Currency
2013-04-23,0.295,0.3,0.295,0.3,12600,MYR
2013-04-24,0.29,0.29,0.29,0.29,2200,MYR
2013-04-25,0.295,0.295,0.295,0.295,1200,MYR
2013-04-26,0.295,0.32,0.295,0.31,3800,MYR
2013-04-29,0.295,0.3,0.295,0.3,12700,MYR
2013-04-30,0.31,0.31,0.3,0.3,18000,MYR
2013-05-02,0.29,0.29,0.28,0.28,29800,MYR
2013-05-03,0.295,0.295,0.27,0.28,76300,MYR
2013-05-06,0.33,0.33,0.33,0.33,6000,MYR
2013-05-07,0.33,0.33,0.3,0.31,24400,MYR
2013-05-08,0.295,0.295,0.295,0.295,2500,MYR
2013-05-09,0.3,0.3,0.3,0.3,30000,MYR
2013-05-10,0.3,0.34,0.3,0.34,49100,MYR
2013-05-13,0.315,0.335,0.315,0.32,51600,MYR
2013-05-14,0.315,0.325,0.315,0.325,34900,MYR
2013-05-15,0.32,0.355,0.32,0.35,229500,MYR
2013-05-16,0.34,0.355,0.335,0.355,56000,MYR
2013-05-17,0.35,0.39,0.35,0.375,504700,MYR
2013-05-20,0.38,0.395,0.375,0.38,190700,MYR
2013-05-21,0.39,0.45,0.39,0.45,1542300,MYR
2013-05-22,0.475,0.495,0.415,0.43,2138100,MYR
2013-05-23,0.47,0.47,0.395,0.41,250300,MYR
2013-05-27,0.45,0.45,0.385,0.41,69000,MYR
2013-05-28,0.41,0.425,0.385,0.425,284500,MYR
2013-05-29,0.405,0.44,0.405,0.43,404400,MYR
2013-05-30,0.41,0.41,0.405,0.405,18400,MYR
2013-05-31,0.405,0.42,0.405,0.405,83000,MYR
2013-06-03,0.42,0.42,0.395,0.395,125800,MYR
2013-06-04,0.385,0.4,0.375,0.4,202400,MYR
2013-06-05,0.4,0.405,0.4,0.4,35400,MYR
2013-06-06,0.39,0.4,0.39,0.39,51000,MYR
2013-06-07,0.395,0.395,0.385,0.385,97100,MYR
2013-06-10,0.405,0.43,0.4,0.425,67700,MYR
2013-06-11,0.4,0.42,0.39,0.42,7700,MYR
2013-06-12,0.39,0.39,0.375,0.375,63800,MYR
2013-06-13,0.385,0.41,0.38,0.4,25000,MYR
2013-06-14,0.39,0.4,0.37,0.4,7500,MYR
2013-06-17,0.38,0.38,0.38,0.38,9100,MYR
2013-06-19,0.395,0.41,0.395,0.41,4700,MYR
2013-06-20,0.405,0.405,0.405,0.405,3700,MYR
2013-06-24,0.4,0.4,0.39,0.39,90000,MYR
2013-06-25,0.38,0.38,0.38,0.38,19500,MYR
2013-06-26,0.38,0.4,0.38,0.4,41900,MYR
2013-06-27,0.4,0.4,0.4,0.4,20400,MYR
2013-06-28,0.39,0.395,0.39,0.39,64500,MYR
2013-07-01,0.4,0.41,0.4,0.4,38300,MYR
2013-07-02,0.4,0.42,0.4,0.42,64100,MYR
2013-07-03,0.4,0.405,0.4,0.4,74500,MYR
2013-07-04,0.405,0.415,0.405,0.415,157100,MYR
2013-07-05,0.415,0.415,0.405,0.415,57700,MYR
2013-07-08,0.4,0.4,0.4,0.4,1300,MYR
2013-07-09,0.4,0.415,0.4,0.415,11500,MYR
2013-07-10,0.415,0.415,0.405,0.405,30000,MYR
2013-07-11,0.39,0.39,0.39,0.39,6100,MYR
2013-07-12,0.415,0.47,0.415,0.44,634900,MYR
2013-07-15,0.455,0.46,0.44,0.45,47800,MYR
2013-07-16,0.455,0.485,0.435,0.455,562700,MYR
2013-07-17,0.46,0.46,0.44,0.46,367900,MYR
2013-07-18,0.465,0.53,0.465,0.51,1674700,MYR
2013-07-19,0.51,0.545,0.485,0.545,1031600,MYR
2013-07-22,0.555,0.565,0.51,0.535,2084600,MYR
2013-07-23,0.515,0.515,0.5,0.5,108100,MYR
2013-07-24,0.5,0.5,0.47,0.48,204800,MYR
2013-07-25,0.47,0.48,0.47,0.47,131100,MYR
2013-07-26,0.46,0.505,0.46,0.475,419200,MYR
2013-07-29,0.47,0.475,0.465,0.475,50700,MYR
2013-07-30,0.445,0.46,0.445,0.46,47100,MYR
2013-07-31,0.45,0.46,0.44,0.46,78500,MYR
2013-08-01,0.45,0.455,0.44,0.455,194600,MYR
2013-08-02,0.455,0.455,0.45,0.455,8100,MYR
2013-08-05,0.44,0.445,0.44,0.445,30000,MYR
2013-08-06,0.47,0.47,0.44,0.44,172000,MYR
