Date,Open,High,Low,Close,Volume,Currency
2013-04-12,3.78,3.78,3.7,3.7,21000,MYR
2013-04-15,3.68,3.71,3.68,3.69,68100,MYR
2013-04-16,3.69,3.7,3.67,3.69,10200,MYR
2013-04-17,3.69,3.72,3.68,3.7,39800,MYR
2013-04-18,3.69,3.7,3.64,3.67,76500,MYR
2013-04-19,3.69,3.69,3.66,3.66,8200,MYR
2013-04-22,3.67,3.67,3.65,3.67,36800,MYR
2013-04-23,3.67,3.67,3.65,3.65,27000,MYR
2013-04-24,3.66,3.66,3.63,3.63,81300,MYR
2013-04-25,3.63,3.66,3.63,3.63,33900,MYR
2013-04-26,3.64,3.64,3.62,3.62,25100,MYR
2013-04-29,3.62,3.62,3.55,3.62,41300,MYR
2013-04-30,3.56,3.6,3.52,3.52,76800,MYR
2013-05-02,3.52,3.53,3.52,3.53,56900,MYR
2013-05-03,3.53,3.53,3.46,3.46,138200,MYR
2013-05-06,3.66,3.68,3.56,3.68,324100,MYR
2013-05-07,3.69,3.82,3.69,3.82,358900,MYR
2013-05-08,3.82,3.82,3.75,3.81,226800,MYR
2013-05-09,3.76,3.99,3.76,3.96,528100,MYR
2013-05-10,3.98,3.98,3.92,3.92,278900,MYR
2013-05-13,3.92,4.04,3.9,4.0,416000,MYR
2013-05-14,4.0,4.0,3.95,3.96,349000,MYR
2013-05-15,3.93,3.98,3.89,3.91,244700,MYR
2013-05-16,3.92,3.93,3.9,3.9,222800,MYR
2013-05-17,3.91,3.93,3.89,3.93,307200,MYR
2013-05-20,3.95,4.08,3.95,4.03,452400,MYR
2013-05-21,4.05,4.19,4.05,4.19,610400,MYR
2013-05-22,4.19,4.45,4.19,4.32,1142800,MYR
2013-05-23,4.28,4.36,4.18,4.28,359500,MYR
2013-05-27,4.28,4.39,4.28,4.28,247100,MYR
2013-05-28,4.28,4.49,4.28,4.47,5388700,MYR
2013-05-29,4.5,4.78,4.5,4.77,912100,MYR
2013-05-30,4.71,4.8,4.67,4.8,144100,MYR
2013-05-31,4.68,4.86,4.68,4.86,285800,MYR
2013-06-03,4.84,4.84,4.72,4.78,125200,MYR
2013-06-04,4.77,4.77,4.62,4.69,164200,MYR
2013-06-05,4.64,4.74,4.62,4.7,102300,MYR
2013-06-06,4.71,4.71,4.62,4.68,164200,MYR
2013-06-07,4.67,4.87,4.67,4.87,219200,MYR
2013-06-10,4.89,5.22,4.89,5.21,1059200,MYR
