Date,Open,High,Low,Close,Volume,Currency
2013-02-25,0.32,0.32,0.315,0.315,2424300,MYR
2013-02-26,0.315,0.32,0.305,0.31,4266300,MYR
2013-02-27,0.31,0.32,0.31,0.315,2269900,MYR
2013-02-28,0.315,0.315,0.305,0.31,2609700,MYR
2013-03-01,0.31,0.325,0.305,0.325,6914500,MYR
2013-03-04,0.32,0.32,0.31,0.315,3932100,MYR
2013-03-05,0.31,0.315,0.31,0.315,1162300,MYR
2013-03-06,0.315,0.335,0.315,0.335,12805300,MYR
2013-03-07,0.33,0.335,0.325,0.33,2595700,MYR
2013-03-08,0.355,0.365,0.345,0.35,24949900,MYR
2013-03-11,0.355,0.36,0.345,0.35,6519900,MYR
2013-03-12,0.35,0.355,0.345,0.35,4180600,MYR
2013-03-13,0.345,0.35,0.335,0.335,5900100,MYR
2013-03-14,0.34,0.34,0.33,0.34,2761900,MYR
2013-03-15,0.34,0.35,0.335,0.35,5506500,MYR
2013-03-18,0.345,0.345,0.335,0.335,2193700,MYR
2013-03-19,0.335,0.345,0.33,0.345,3080300,MYR
2013-03-20,0.34,0.34,0.335,0.335,1467200,MYR
2013-03-21,0.335,0.345,0.335,0.34,3864300,MYR
2013-03-22,0.34,0.345,0.335,0.335,1936800,MYR
2013-03-25,0.34,0.34,0.335,0.335,1026700,MYR
2013-03-26,0.34,0.36,0.34,0.36,15674800,MYR
2013-03-27,0.36,0.365,0.355,0.36,11936200,MYR
2013-03-28,0.36,0.36,0.35,0.35,2722400,MYR
2013-03-29,0.35,0.36,0.345,0.35,6973300,MYR
2013-04-01,0.35,0.355,0.35,0.355,5949700,MYR
2013-04-02,0.355,0.355,0.35,0.35,2967000,MYR
2013-04-03,0.355,0.355,0.34,0.35,9952700,MYR
2013-04-04,0.345,0.35,0.335,0.34,12031300,MYR
2013-04-05,0.345,0.35,0.34,0.35,4628000,MYR
2013-04-08,0.35,0.36,0.345,0.36,11959000,MYR
2013-04-09,0.355,0.36,0.35,0.36,2901000,MYR
2013-04-10,0.355,0.355,0.35,0.35,2752900,MYR
2013-04-11,0.35,0.355,0.345,0.345,3115100,MYR
2013-04-12,0.345,0.35,0.345,0.345,2741000,MYR
2013-04-15,0.345,0.345,0.335,0.34,5538700,MYR
2013-04-16,0.34,0.34,0.335,0.34,781900,MYR
2013-04-17,0.34,0.345,0.34,0.34,4069900,MYR
2013-04-18,0.34,0.34,0.335,0.335,1498900,MYR
2013-04-19,0.335,0.34,0.335,0.335,1741500,MYR
2013-04-22,0.335,0.34,0.33,0.34,3234400,MYR
2013-04-23,0.34,0.34,0.33,0.33,2117900,MYR
2013-04-24,0.335,0.335,0.33,0.33,734100,MYR
2013-04-25,0.33,0.34,0.33,0.33,4188900,MYR
2013-04-26,0.33,0.34,0.33,0.335,2267300,MYR
2013-04-29,0.33,0.34,0.32,0.34,7658900,MYR
2013-04-30,0.34,0.345,0.335,0.335,3351600,MYR
2013-05-02,0.34,0.345,0.335,0.34,3668500,MYR
2013-05-03,0.34,0.34,0.33,0.335,5879000,MYR
2013-05-06,0.345,0.36,0.345,0.345,8772300,MYR
2013-05-07,0.35,0.365,0.35,0.36,10031500,MYR
2013-05-08,0.36,0.395,0.36,0.385,49539500,MYR
2013-05-09,0.39,0.395,0.375,0.385,26964000,MYR
2013-05-10,0.385,0.395,0.38,0.39,18363000,MYR
2013-05-13,0.39,0.4,0.385,0.385,37911900,MYR
2013-05-14,0.395,0.42,0.395,0.42,53836400,MYR
2013-05-15,0.42,0.425,0.41,0.42,16259300,MYR
2013-05-16,0.415,0.42,0.395,0.41,13701400,MYR
2013-05-17,0.41,0.41,0.4,0.405,9648000,MYR
2013-05-20,0.41,0.425,0.41,0.42,33792500,MYR
2013-05-21,0.42,0.425,0.41,0.415,22909800,MYR
2013-05-22,0.415,0.435,0.415,0.425,64484100,MYR
2013-05-23,0.425,0.425,0.405,0.41,23139900,MYR
2013-05-27,0.41,0.42,0.405,0.42,12496000,MYR
2013-05-28,0.42,0.43,0.415,0.42,39709300,MYR
2013-05-29,0.42,0.44,0.42,0.425,49902000,MYR
2013-05-30,0.425,0.43,0.415,0.415,10364700,MYR
2013-05-31,0.42,0.43,0.42,0.42,16605900,MYR
2013-06-03,0.41,0.415,0.405,0.405,17110800,MYR
2013-06-04,0.41,0.425,0.405,0.42,19361400,MYR
2013-06-05,0.42,0.43,0.42,0.43,24188900,MYR
2013-06-06,0.425,0.44,0.42,0.425,55672100,MYR
2013-06-07,0.43,0.435,0.425,0.435,16373200,MYR
2013-06-10,0.435,0.455,0.435,0.45,58316000,MYR
2013-06-11,0.45,0.45,0.43,0.435,22970300,MYR
2013-06-12,0.435,0.44,0.43,0.43,11335100,MYR
2013-06-13,0.43,0.43,0.415,0.415,20233600,MYR
2013-06-14,0.425,0.43,0.415,0.425,9187800,MYR
2013-06-17,0.42,0.425,0.415,0.415,8986200,MYR
2013-06-18,0.415,0.42,0.41,0.415,9959400,MYR
2013-06-19,0.42,0.42,0.41,0.415,7080600,MYR
2013-06-20,0.41,0.415,0.4,0.405,12110600,MYR
2013-06-21,0.395,0.4,0.385,0.4,13869200,MYR
