Date,Open,High,Low,Close,Volume,Currency
2013-02-25,0.3,0.3,0.3,0.3,93900,MYR
2013-02-26,0.3,0.3,0.3,0.3,60000,MYR
2013-02-27,0.3,0.305,0.3,0.305,55000,MYR
2013-02-28,0.3,0.305,0.3,0.305,60000,MYR
2013-03-01,0.3,0.3,0.295,0.295,221100,MYR
2013-03-04,0.28,0.305,0.28,0.305,12000,MYR
2013-03-05,0.3,0.3,0.275,0.3,249400,MYR
2013-03-06,0.28,0.3,0.28,0.3,103000,MYR
2013-03-11,0.31,0.495,0.305,0.345,5983900,MYR
2013-03-12,0.355,0.355,0.315,0.345,761900,MYR
2013-03-13,0.345,0.345,0.32,0.325,581500,MYR
2013-03-14,0.32,0.32,0.305,0.32,535300,MYR
2013-03-15,0.31,0.31,0.3,0.3,2460500,MYR
2013-03-18,0.3,0.3,0.29,0.3,267200,MYR
2013-03-19,0.295,0.305,0.295,0.305,19800,MYR
2013-03-20,0.295,0.3,0.295,0.295,243600,MYR
2013-03-21,0.3,0.3,0.295,0.295,92000,MYR
2013-03-22,0.295,0.315,0.295,0.315,122400,MYR
2013-03-25,0.31,0.31,0.305,0.31,19400,MYR
2013-03-26,0.315,0.315,0.315,0.315,15000,MYR
2013-03-27,0.31,0.315,0.31,0.315,90000,MYR
2013-03-28,0.305,0.315,0.305,0.31,61000,MYR
2013-03-29,0.31,0.315,0.305,0.315,238000,MYR
2013-04-01,0.305,0.305,0.305,0.305,40000,MYR
2013-04-02,0.31,0.31,0.31,0.31,22300,MYR
2013-04-03,0.305,0.315,0.3,0.315,143400,MYR
2013-04-04,0.305,0.31,0.305,0.31,30000,MYR
2013-04-08,0.3,0.31,0.3,0.31,31000,MYR
2013-04-09,0.3,0.31,0.3,0.31,35600,MYR
2013-04-11,0.305,0.305,0.305,0.305,47000,MYR
2013-04-12,0.305,0.31,0.3,0.31,44300,MYR
2013-04-15,0.3,0.3,0.3,0.3,52000,MYR
2013-04-16,0.31,0.31,0.31,0.31,3000,MYR
2013-04-17,0.305,0.31,0.305,0.305,303000,MYR
2013-04-18,0.305,0.31,0.295,0.305,232400,MYR
2013-04-19,0.31,0.31,0.31,0.31,3000,MYR
2013-04-22,0.3,0.305,0.3,0.305,18000,MYR
2013-04-23,0.3,0.305,0.295,0.305,113000,MYR
2013-04-24,0.295,0.3,0.29,0.3,30000,MYR
2013-04-25,0.29,0.3,0.29,0.3,32000,MYR
2013-04-26,0.28,0.295,0.265,0.295,580000,MYR
2013-04-29,0.29,0.3,0.29,0.3,134400,MYR
2013-04-30,0.29,0.295,0.28,0.295,11000,MYR
2013-05-03,0.27,0.295,0.27,0.295,36000,MYR
2013-05-06,0.305,0.305,0.305,0.305,5000,MYR
2013-05-07,0.29,0.315,0.29,0.315,405000,MYR
2013-05-08,0.3,0.31,0.3,0.31,152000,MYR
2013-05-09,0.3,0.3,0.295,0.3,305000,MYR
2013-05-10,0.3,0.3,0.295,0.3,6500,MYR
2013-05-13,0.305,0.315,0.305,0.315,344400,MYR
2013-05-14,0.315,0.315,0.295,0.31,210100,MYR
2013-05-15,0.305,0.32,0.305,0.32,442100,MYR
2013-05-16,0.32,0.32,0.315,0.32,45000,MYR
2013-05-17,0.32,0.32,0.315,0.32,52000,MYR
2013-05-20,0.32,0.33,0.32,0.33,180500,MYR
2013-05-21,0.325,0.325,0.315,0.315,376600,MYR
2013-05-22,0.32,0.32,0.315,0.315,145000,MYR
2013-05-23,0.315,0.315,0.31,0.31,175000,MYR
2013-05-27,0.31,0.31,0.3,0.305,539500,MYR
2013-05-28,0.305,0.315,0.305,0.31,393500,MYR
2013-05-29,0.31,0.315,0.305,0.305,960000,MYR
2013-05-30,0.29,0.3,0.29,0.3,136000,MYR
2013-05-31,0.3,0.3,0.26,0.26,934000,MYR
