Date,Open,High,Low,Close,Volume,Currency
2013-10-01,0.66,0.66,0.66,0.66,10000,MYR
2013-10-02,0.66,0.66,0.635,0.635,12800,MYR
2013-10-03,0.66,0.66,0.66,0.66,11400,MYR
2013-10-04,0.755,0.76,0.65,0.65,2600,MYR
2013-10-09,0.66,0.66,0.66,0.66,6000,MYR
2013-10-10,0.66,0.66,0.66,0.66,14000,MYR
2013-10-14,0.66,0.685,0.66,0.685,7000,MYR
2013-10-16,0.68,0.68,0.68,0.68,15000,MYR
2013-10-21,0.66,0.66,0.66,0.66,6600,MYR
2013-10-23,0.66,0.66,0.66,0.66,6000,MYR
2013-10-25,0.66,0.66,0.66,0.66,9000,MYR
2013-11-04,0.68,0.68,0.68,0.68,5000,MYR
2013-11-06,0.66,0.66,0.66,0.66,6000,MYR
2013-11-11,0.82,0.82,0.665,0.665,800,MYR
2013-11-13,0.7,0.7,0.7,0.7,10000,MYR
2013-11-19,0.7,0.7,0.7,0.7,10000,MYR
2013-11-20,0.7,0.7,0.7,0.7,11000,MYR
2013-11-22,0.7,0.7,0.7,0.7,7000,MYR
2013-11-26,0.76,0.76,0.76,0.76,24600,MYR
2013-11-28,0.75,0.77,0.75,0.77,48000,MYR
2013-11-29,0.8,0.8,0.8,0.8,1000,MYR
2013-12-10,0.75,0.75,0.75,0.75,10000,MYR
2013-12-11,0.7,0.7,0.7,0.7,5000,MYR
2013-12-12,0.7,0.7,0.7,0.7,16000,MYR
2013-12-13,0.695,0.7,0.675,0.695,51000,MYR
2013-12-16,0.69,0.69,0.69,0.69,5000,MYR
2013-12-17,0.735,0.735,0.68,0.68,25200,MYR
2013-12-20,0.7,0.725,0.7,0.705,49000,MYR
2013-12-23,0.745,0.745,0.745,0.745,100,MYR
2013-12-24,0.7,0.7,0.7,0.7,39000,MYR
2013-12-26,0.7,0.7,0.7,0.7,8800,MYR
2013-12-27,0.7,0.7,0.68,0.7,11500,MYR
2013-12-30,0.75,0.75,0.75,0.75,200,MYR
2013-12-31,0.74,0.85,0.74,0.79,30100,MYR
2014-01-06,0.84,0.84,0.84,0.84,2000,MYR
2014-01-07,0.88,0.89,0.88,0.89,85500,MYR
2014-01-24,0.785,0.79,0.76,0.785,72000,MYR
2014-01-27,0.77,0.77,0.72,0.73,40000,MYR
2014-01-29,0.76,0.83,0.76,0.83,28000,MYR
2014-01-30,0.78,0.83,0.78,0.83,125000,MYR
2014-02-07,0.76,0.76,0.75,0.755,14100,MYR
2014-02-10,0.755,0.755,0.75,0.75,5000,MYR
2014-02-14,0.785,0.8,0.785,0.8,7000,MYR
2014-02-18,0.75,0.765,0.75,0.75,27400,MYR
2014-02-21,0.73,0.73,0.73,0.73,24000,MYR
2014-03-05,0.72,0.72,0.72,0.72,22000,MYR
2014-03-06,0.71,0.71,0.71,0.71,22000,MYR
2014-03-07,0.71,0.71,0.705,0.705,33800,MYR
2014-03-10,0.71,0.71,0.71,0.71,10000,MYR
2014-03-11,0.7,0.75,0.7,0.75,3000,MYR
2014-03-12,0.71,0.71,0.71,0.71,15000,MYR
2014-03-18,0.72,0.72,0.71,0.71,20000,MYR
