Date,Open,High,Low,Close,Volume,Currency
2017-02-10,1.53,1.55,1.52,1.53,7109200,MYR
2017-02-13,1.53,1.57,1.52,1.56,16656800,MYR
2017-02-14,1.57,1.68,1.56,1.68,45815800,MYR
2017-02-15,1.68,1.69,1.61,1.64,18740700,MYR
2017-02-16,1.64,1.71,1.63,1.7,28406400,MYR
2017-02-17,1.69,1.72,1.67,1.71,10291000,MYR
2017-02-20,1.71,1.76,1.71,1.72,10164800,MYR
2017-02-21,1.72,1.8,1.71,1.77,12573900,MYR
2017-02-22,1.78,1.79,1.72,1.74,5622600,MYR
2017-02-23,1.74,1.75,1.71,1.74,5153200,MYR
2017-02-24,1.74,1.8,1.72,1.79,13604200,MYR
2017-02-27,1.79,1.79,1.73,1.74,3009200,MYR
2017-02-28,1.74,1.76,1.7,1.7,6821100,MYR
2017-03-01,1.72,1.75,1.72,1.73,3710500,MYR
2017-03-02,1.74,1.78,1.73,1.75,8096200,MYR
2017-03-03,1.74,1.75,1.7,1.73,6690800,MYR
2017-03-06,1.73,1.75,1.72,1.73,5348600,MYR
2017-03-07,1.73,1.75,1.73,1.75,2320800,MYR
2017-03-08,1.74,1.74,1.71,1.71,1505800,MYR
2017-03-09,1.72,1.73,1.68,1.7,2214300,MYR
2017-03-10,1.68,1.72,1.67,1.7,5715700,MYR
2017-03-13,1.68,1.68,1.63,1.66,8357500,MYR
2017-03-14,1.67,1.7,1.65,1.7,3230900,MYR
2017-03-15,1.68,1.7,1.67,1.68,3730500,MYR
2017-03-16,1.68,1.71,1.66,1.71,6166700,MYR
2017-03-17,1.69,1.71,1.66,1.66,1539100,MYR
2017-03-20,1.68,1.69,1.67,1.67,981500,MYR
2017-03-21,1.66,1.68,1.66,1.66,2013600,MYR
2017-03-22,1.66,1.67,1.64,1.65,522700,MYR
2017-03-23,1.65,1.68,1.65,1.66,755100,MYR
2017-03-24,1.66,1.68,1.65,1.67,1322100,MYR
2017-03-27,1.67,1.69,1.66,1.66,807400,MYR
2017-03-28,1.67,1.67,1.64,1.64,1443500,MYR
2017-03-29,1.65,1.65,1.63,1.64,1027100,MYR
2017-03-30,1.66,1.66,1.64,1.66,1703100,MYR
2017-03-31,1.65,1.68,1.65,1.65,1686300,MYR
2017-04-03,1.65,1.66,1.63,1.66,614600,MYR
2017-04-04,1.65,1.67,1.64,1.65,1235100,MYR
2017-04-05,1.67,1.83,1.67,1.8,21703000,MYR
2017-04-06,1.86,1.91,1.81,1.83,16787100,MYR
2017-04-07,1.84,1.85,1.77,1.78,6201900,MYR
2017-04-10,1.8,1.85,1.79,1.85,2722500,MYR
2017-04-11,1.83,1.86,1.81,1.85,3640700,MYR
2017-04-12,1.85,1.85,1.82,1.84,1070400,MYR
2017-04-13,1.85,1.9,1.83,1.85,3722300,MYR
2017-04-14,1.83,1.86,1.79,1.85,4244500,MYR
2017-04-17,1.84,1.87,1.84,1.87,3383700,MYR
2017-04-18,1.87,1.87,1.86,1.87,2663400,MYR
2017-04-19,1.86,1.88,1.85,1.85,9134900,MYR
2017-04-20,1.86,1.87,1.85,1.87,826100,MYR
2017-04-21,1.88,1.88,1.85,1.86,748100,MYR
2017-04-25,1.86,1.9,1.86,1.89,3878400,MYR
2017-04-26,1.89,1.92,1.88,1.91,2946700,MYR
2017-04-27,1.9,1.95,1.89,1.95,4075700,MYR
2017-04-28,1.96,1.97,1.94,1.96,3779200,MYR
2017-05-02,1.96,1.98,1.93,1.93,5553000,MYR
2017-05-03,1.93,1.95,1.89,1.9,840800,MYR
2017-05-04,1.93,1.93,1.84,1.86,1553600,MYR
2017-05-05,1.85,1.87,1.79,1.87,4059100,MYR
2017-05-08,1.87,1.97,1.87,1.96,6642100,MYR
2017-05-09,1.96,1.99,1.95,1.97,2944400,MYR
2017-05-11,1.99,2.0,1.97,2.0,6847800,MYR
2017-05-12,2.0,2.1,2.0,2.08,6883500,MYR
2017-05-15,2.09,2.13,2.05,2.07,4277500,MYR
2017-05-16,2.07,2.1,2.05,2.05,3255100,MYR
2017-05-17,2.06,2.12,2.06,2.1,6544800,MYR
2017-05-18,2.08,2.11,2.03,2.04,3390900,MYR
2017-05-19,2.05,2.13,2.05,2.11,3767400,MYR
2017-05-22,2.14,2.19,2.14,2.16,4704700,MYR
2017-05-23,2.17,2.3,2.16,2.23,7825300,MYR
2017-05-24,2.24,2.25,2.16,2.16,2505800,MYR
2017-05-25,2.16,2.22,2.16,2.19,1446000,MYR
2017-05-26,2.2,2.2,2.06,2.1,3177100,MYR
2017-05-29,2.12,2.17,2.0,2.05,3884200,MYR
2017-05-30,2.05,2.11,2.05,2.09,5501300,MYR
2017-05-31,2.09,2.1,2.08,2.09,8236000,MYR
2017-06-01,2.09,2.1,2.08,2.1,1522900,MYR
2017-06-02,2.12,2.14,2.09,2.13,3328900,MYR
2017-06-05,2.14,2.25,2.11,2.25,5023600,MYR
2017-06-06,2.23,2.23,2.04,2.08,24134300,MYR
2017-06-07,2.11,2.11,2.06,2.07,7513100,MYR
2017-06-08,2.06,2.09,1.95,1.98,14451800,MYR
2017-06-09,1.99,2.05,1.96,2.04,13740200,MYR
2017-06-13,2.04,2.05,1.97,2.0,4622400,MYR
2017-06-14,2.0,2.02,1.98,2.02,4741500,MYR
2017-06-15,2.01,2.02,1.99,1.99,3380400,MYR
2017-06-16,1.99,2.0,1.97,1.97,1340800,MYR
2017-06-19,1.99,1.99,1.88,1.9,7354300,MYR
2017-06-20,1.91,1.92,1.87,1.87,4718300,MYR
2017-06-21,1.86,1.87,1.8,1.82,3883200,MYR
2017-06-22,1.81,1.92,1.81,1.91,5730100,MYR
2017-06-23,1.91,1.92,1.89,1.92,917100,MYR
2017-06-28,1.92,1.93,1.9,1.92,599100,MYR
2017-06-29,1.92,1.97,1.89,1.95,4510700,MYR
2017-06-30,1.95,2.02,1.95,1.99,5182200,MYR
2017-07-03,2.0,2.0,1.94,1.99,1923600,MYR
2017-07-04,2.0,2.01,1.96,1.96,3473100,MYR
2017-07-05,1.96,2.0,1.96,1.99,1715400,MYR
2017-07-06,1.99,2.02,1.99,2.02,2685700,MYR
2017-07-07,2.01,2.01,1.96,2.0,1270900,MYR
2017-07-10,1.98,1.99,1.94,1.98,2370600,MYR
