Date,Open,High,Low,Close,Volume,Currency
2013-02-25,0.83,0.83,0.83,0.83,3000,MYR
2013-02-27,0.9,0.9,0.9,0.9,5000,MYR
2013-03-01,0.895,0.895,0.895,0.895,10000,MYR
2013-03-04,0.83,0.845,0.83,0.845,8000,MYR
2013-03-05,0.84,0.84,0.84,0.84,6000,MYR
2013-03-07,0.875,0.875,0.875,0.875,6000,MYR
2013-03-08,0.875,0.9,0.85,0.9,10100,MYR
2013-03-11,0.88,0.9,0.88,0.9,30000,MYR
2013-03-12,0.91,0.925,0.905,0.905,60000,MYR
2013-03-13,0.905,0.905,0.895,0.895,45000,MYR
2013-03-14,0.845,0.845,0.84,0.84,10000,MYR
2013-03-15,0.85,0.85,0.85,0.85,1000,MYR
2013-03-18,0.89,0.89,0.89,0.89,5000,MYR
2013-03-19,0.865,0.865,0.865,0.865,70000,MYR
2013-03-20,0.86,0.865,0.86,0.865,5000,MYR
2013-03-21,0.865,0.865,0.855,0.865,8000,MYR
2013-03-25,0.845,0.865,0.845,0.865,16700,MYR
2013-03-26,0.87,0.88,0.85,0.85,9200,MYR
2013-03-27,0.85,0.85,0.85,0.85,500,MYR
2013-03-28,0.87,0.88,0.87,0.88,12000,MYR
2013-03-29,0.88,0.88,0.865,0.865,16000,MYR
2013-04-02,0.86,0.86,0.86,0.86,6000,MYR
2013-04-03,0.85,0.86,0.825,0.84,65600,MYR
2013-04-05,0.83,0.835,0.83,0.835,11000,MYR
2013-04-09,0.86,0.91,0.85,0.9,25000,MYR
2013-04-10,0.88,0.88,0.88,0.88,1000,MYR
2013-04-11,0.88,0.88,0.88,0.88,11000,MYR
2013-04-12,0.88,0.88,0.86,0.87,13000,MYR
2013-04-15,0.86,0.87,0.86,0.87,6000,MYR
2013-04-16,0.87,0.87,0.87,0.87,10000,MYR
2013-04-17,0.88,0.88,0.88,0.88,13000,MYR
2013-04-18,0.88,0.88,0.86,0.86,14000,MYR
2013-04-19,0.86,0.86,0.86,0.86,3000,MYR
