Date,Open,High,Low,Close,Volume,Currency
2013-03-27,0.71,0.71,0.71,0.71,3000,MYR
2013-04-03,0.72,0.72,0.72,0.72,7000,MYR
2013-04-04,0.72,0.76,0.72,0.76,3500,MYR
2013-04-08,0.76,0.78,0.76,0.78,8000,MYR
2013-04-09,0.8,0.8,0.8,0.8,2000,MYR
2013-04-10,0.78,0.79,0.78,0.78,15000,MYR
2013-04-11,0.76,0.78,0.76,0.78,13000,MYR
2013-04-15,0.76,0.76,0.76,0.76,10000,MYR
2013-04-16,0.76,0.76,0.76,0.76,9000,MYR
2013-04-22,0.75,0.75,0.75,0.75,7000,MYR
2013-04-25,0.75,0.75,0.73,0.73,17500,MYR
2013-04-26,0.76,0.87,0.75,0.75,15000,MYR
2013-04-30,0.73,0.74,0.73,0.73,12500,MYR
2013-05-03,0.74,0.74,0.74,0.74,147000,MYR
2013-05-06,0.74,0.74,0.74,0.74,3000,MYR
2013-05-07,0.74,0.74,0.74,0.74,2500,MYR
2013-05-08,0.74,0.74,0.71,0.74,51000,MYR
2013-05-09,0.74,0.74,0.74,0.74,19200,MYR
2013-05-10,0.74,0.76,0.74,0.76,25800,MYR
2013-05-13,0.76,0.78,0.76,0.78,17000,MYR
2013-05-14,0.765,0.765,0.76,0.76,15000,MYR
2013-05-15,0.75,0.75,0.74,0.74,31000,MYR
2013-05-16,0.74,0.74,0.71,0.71,11400,MYR
2013-05-20,0.72,0.72,0.72,0.72,14000,MYR
2013-05-21,0.75,0.75,0.74,0.74,19000,MYR
2013-05-22,0.78,0.79,0.78,0.79,5000,MYR
2013-05-23,0.78,0.8,0.735,0.75,77300,MYR
2013-05-27,0.76,0.76,0.76,0.76,7000,MYR
2013-05-28,0.8,0.8,0.8,0.8,10000,MYR
2013-05-31,0.78,0.82,0.76,0.82,31100,MYR
2013-06-04,0.78,0.8,0.78,0.78,22100,MYR
2013-06-05,0.81,0.81,0.81,0.81,5000,MYR
2013-06-11,0.78,0.78,0.78,0.78,8000,MYR
2013-06-13,0.77,0.77,0.76,0.76,23000,MYR
2013-06-14,0.76,0.76,0.76,0.76,30000,MYR
2013-06-18,0.76,0.76,0.76,0.76,6500,MYR
2013-06-19,0.76,0.76,0.76,0.76,5000,MYR
2013-06-20,0.76,0.76,0.76,0.76,24500,MYR
2013-06-21,0.76,0.76,0.755,0.76,35000,MYR
2013-06-24,0.78,0.78,0.75,0.75,3000,MYR
