Date,Open,High,Low,Close,Volume,Currency
2017-12-04,4.95,4.95,4.77,4.79,23671700,MYR
2017-12-05,4.53,4.73,4.53,4.69,20480700,MYR
2017-12-06,4.57,4.82,4.56,4.81,9799800,MYR
2017-12-07,4.88,5.15,4.85,5.1,5875400,MYR
2017-12-08,5.16,5.38,5.16,5.23,14188200,MYR
2017-12-11,5.24,5.36,5.24,5.32,8852800,MYR
2017-12-12,5.34,5.34,5.3,5.32,10465100,MYR
2017-12-13,5.32,5.34,5.29,5.32,6272000,MYR
2017-12-14,5.26,5.33,5.17,5.21,13245500,MYR
2017-12-15,5.17,5.23,5.16,5.19,23395200,MYR
2017-12-18,5.19,5.25,5.12,5.24,5521300,MYR
2017-12-19,5.24,5.25,5.19,5.24,10424400,MYR
2017-12-20,5.25,5.41,5.22,5.36,8382900,MYR
2017-12-21,5.36,5.39,5.28,5.36,7750300,MYR
2017-12-22,5.38,5.38,5.33,5.37,3595200,MYR
2017-12-26,5.37,5.43,5.36,5.38,8086500,MYR
2017-12-27,5.35,5.43,5.35,5.41,2794900,MYR
2017-12-28,5.41,5.43,5.41,5.41,5531200,MYR
2017-12-29,5.45,5.93,5.41,5.93,18295600,MYR
2018-01-02,5.5,5.51,5.41,5.43,9040300,MYR
2018-01-03,5.47,5.47,5.39,5.43,8627800,MYR
2018-01-04,5.51,5.55,5.43,5.48,9553600,MYR
2018-01-05,5.49,5.57,5.49,5.54,13017100,MYR
2018-01-08,5.54,5.59,5.52,5.54,9821100,MYR
2018-01-09,5.55,5.55,5.48,5.53,10168000,MYR
2018-01-10,5.53,5.57,5.51,5.51,5682400,MYR
2018-01-11,5.48,5.5,5.43,5.45,5714700,MYR
2018-01-12,5.48,5.5,5.43,5.46,4305200,MYR
2018-01-15,5.47,5.49,5.43,5.47,569500,MYR
2018-01-16,5.43,5.44,5.36,5.43,6422700,MYR
2018-01-17,5.37,5.45,5.37,5.43,9453700,MYR
2018-01-18,5.43,5.47,5.42,5.47,13231000,MYR
2018-01-19,5.4,5.47,5.4,5.43,9418400,MYR
2018-01-22,5.43,5.44,5.42,5.43,6230600,MYR
2018-01-23,5.41,5.47,5.41,5.44,6911500,MYR
2018-01-24,5.43,5.47,5.43,5.47,5440900,MYR
2018-01-25,5.46,5.47,5.43,5.44,4810300,MYR
2018-01-26,5.44,5.44,5.42,5.43,8515900,MYR
2018-01-29,5.43,5.45,5.42,5.43,11863900,MYR
2018-01-30,5.4,5.44,5.4,5.43,4286700,MYR
2018-02-02,5.67,5.73,5.46,5.48,9629600,MYR
2018-02-05,5.4,5.45,5.35,5.43,6398100,MYR
2018-02-06,5.34,5.41,5.3,5.4,7646400,MYR
2018-02-07,5.4,5.48,5.39,5.43,6169400,MYR
2018-02-08,5.42,5.47,5.42,5.43,2425600,MYR
2018-02-09,5.39,5.44,5.34,5.43,4017100,MYR
2018-02-12,5.44,5.52,5.44,5.5,3325800,MYR
2018-02-13,5.53,5.53,5.48,5.51,4960600,MYR
2018-02-14,5.48,5.53,5.34,5.34,4216800,MYR
2018-02-15,5.43,5.45,5.4,5.43,1140400,MYR
2018-02-19,5.43,5.52,5.43,5.47,1409800,MYR
2018-02-20,5.43,5.49,5.43,5.48,2186500,MYR
2018-02-21,5.43,5.48,5.43,5.46,5761900,MYR
2018-02-22,5.47,5.48,5.43,5.43,4461200,MYR
2018-02-23,5.45,5.5,5.44,5.45,7491300,MYR
2018-02-26,5.43,5.47,5.43,5.43,5442400,MYR
2018-02-27,5.49,5.52,5.44,5.46,5402300,MYR
2018-02-28,5.47,5.48,5.29,5.29,8282400,MYR
2018-03-01,5.3,5.43,5.3,5.43,3486900,MYR
2018-03-02,5.43,5.51,5.43,5.44,3861600,MYR
2018-03-05,5.45,5.45,5.4,5.45,4438400,MYR
2018-03-06,5.46,5.46,5.4,5.44,4579700,MYR
2018-03-07,5.43,5.43,5.31,5.38,4181100,MYR
2018-03-08,5.35,5.43,5.32,5.4,2162800,MYR
2018-03-09,5.36,5.43,5.32,5.39,1493300,MYR
2018-03-12,5.46,5.52,5.43,5.49,5050000,MYR
2018-03-13,5.5,5.57,5.47,5.53,4291200,MYR
2018-03-14,5.48,5.58,5.48,5.49,5678600,MYR
2018-03-15,5.53,5.56,5.45,5.45,3369900,MYR
2018-03-16,5.5,5.51,5.42,5.42,14234000,MYR
2018-03-19,5.45,5.45,5.43,5.43,4443300,MYR
2018-03-20,5.43,5.53,5.36,5.53,2264400,MYR
2018-03-21,5.53,5.54,5.5,5.52,4370100,MYR
2018-03-22,5.45,5.53,5.45,5.53,1555600,MYR
2018-03-23,5.43,5.57,5.43,5.57,1105400,MYR
2018-03-26,5.53,5.53,5.47,5.51,1679400,MYR
2018-03-27,5.51,5.52,5.5,5.52,1664400,MYR
2018-03-28,5.43,5.51,5.43,5.45,2402400,MYR
2018-03-29,5.45,5.47,5.43,5.43,3647700,MYR
2018-03-30,5.4,5.46,5.4,5.45,2840600,MYR
2018-04-02,5.43,5.48,5.43,5.46,645900,MYR
2018-04-03,5.43,5.48,5.43,5.47,856100,MYR
2018-04-04,5.46,5.47,5.43,5.44,1718900,MYR
2018-04-05,5.44,5.45,5.43,5.43,4827200,MYR
2018-04-06,5.43,5.44,5.39,5.43,2284000,MYR
2018-04-09,5.42,5.51,5.4,5.45,1042300,MYR
2018-04-10,5.43,5.73,5.43,5.73,1879000,MYR
2018-04-11,5.67,5.67,5.5,5.56,3172100,MYR
2018-04-12,5.47,5.57,5.47,5.52,3427800,MYR
2018-04-13,5.48,5.56,5.48,5.52,4335400,MYR
2018-04-16,5.57,5.57,5.49,5.57,1481200,MYR
2018-04-17,5.44,5.57,5.44,5.53,2276100,MYR
2018-04-18,5.48,5.53,5.46,5.53,928300,MYR
2018-04-19,5.54,5.58,5.47,5.53,2502400,MYR
2018-04-20,5.53,5.56,5.43,5.45,4851700,MYR
2018-04-23,5.46,5.5,5.43,5.5,2347100,MYR
2018-04-24,5.46,5.55,5.45,5.47,3780000,MYR
2018-04-25,5.45,5.45,5.43,5.43,3603100,MYR
2018-04-26,5.44,5.51,5.44,5.49,2566300,MYR
2018-04-27,5.44,5.5,5.4,5.49,2009300,MYR
2018-04-30,5.49,5.53,5.43,5.5,3741000,MYR
2018-05-02,5.48,5.51,5.41,5.43,2164500,MYR
2018-05-03,5.43,5.45,5.41,5.44,2754700,MYR
2018-05-04,5.41,5.43,5.41,5.43,2858900,MYR
2018-05-07,5.4,5.41,5.37,5.4,1817200,MYR
2018-05-08,5.37,5.41,5.37,5.38,2852100,MYR
2018-05-14,5.27,5.47,5.26,5.39,4532800,MYR
2018-05-15,5.43,5.5,5.4,5.44,3883600,MYR
2018-05-16,5.46,5.48,5.43,5.47,1197000,MYR
2018-05-17,5.47,5.5,5.46,5.48,5125600,MYR
2018-05-18,5.48,5.49,5.42,5.45,4512000,MYR
2018-05-21,5.45,5.49,5.4,5.49,3423200,MYR
2018-05-22,5.44,5.5,5.44,5.47,2039600,MYR
2018-05-23,5.49,5.49,5.42,5.43,3164800,MYR
2018-05-24,5.39,5.48,5.39,5.44,1979900,MYR
2018-05-25,5.45,5.5,5.43,5.43,3514000,MYR
2018-05-28,5.48,5.48,5.42,5.43,1364700,MYR
2018-05-30,5.37,5.4,5.06,5.35,8753800,MYR
2018-05-31,5.44,5.58,5.31,5.47,15948100,MYR
2018-06-01,5.41,5.43,5.24,5.29,5542000,MYR
2018-06-04,5.26,5.29,5.13,5.19,3196100,MYR
2018-06-05,5.32,5.42,5.24,5.42,3088100,MYR
2018-06-06,5.43,5.44,5.26,5.31,3872700,MYR
2018-06-07,5.29,5.41,5.24,5.31,2900900,MYR
2018-06-08,5.28,5.39,5.17,5.17,4491900,MYR
2018-06-11,5.19,5.41,5.18,5.32,5287100,MYR
2018-06-12,5.39,5.39,5.26,5.28,2305500,MYR
2018-06-13,5.25,5.41,5.24,5.4,9581200,MYR
2018-06-14,5.3,5.44,5.3,5.44,24436200,MYR
2018-06-18,5.3,5.45,5.25,5.42,2074100,MYR
2018-06-19,5.42,5.43,5.35,5.39,4611800,MYR
2018-06-20,5.43,5.43,5.34,5.39,2845700,MYR
2018-06-21,5.39,5.41,5.19,5.29,6689400,MYR
2018-06-22,5.28,5.28,5.16,5.22,6016900,MYR
2018-06-25,5.27,5.33,5.17,5.29,5195600,MYR
2018-06-26,5.24,5.29,5.19,5.23,4709200,MYR
2018-06-27,5.23,5.25,5.21,5.24,3223300,MYR
2018-06-28,5.2,5.33,5.2,5.29,2716700,MYR
2018-06-29,5.24,5.33,5.24,5.27,6478400,MYR
2018-07-02,5.26,5.28,5.24,5.27,2345200,MYR
2018-07-03,5.27,5.29,5.26,5.28,1169800,MYR
2018-07-04,5.27,5.29,5.26,5.29,487700,MYR
2018-07-05,5.28,5.29,5.27,5.29,2981400,MYR
2018-07-06,5.21,5.29,5.14,5.2,6327500,MYR
2018-07-09,5.18,5.26,5.18,5.24,1045100,MYR
2018-07-10,5.24,5.29,5.2,5.29,1161200,MYR
2018-07-11,5.2,5.32,5.18,5.32,1162400,MYR
2018-07-12,5.32,5.32,5.22,5.23,819900,MYR
2018-07-13,5.31,5.31,5.2,5.23,1457100,MYR
2018-07-16,5.23,5.26,5.21,5.26,1028400,MYR
2018-07-17,5.27,5.27,5.13,5.17,1982100,MYR
2018-07-18,5.17,5.21,5.16,5.19,2789300,MYR
2018-07-19,5.23,5.23,5.13,5.13,1350300,MYR
2018-07-20,5.12,5.16,5.09,5.12,2092300,MYR
2018-07-23,5.09,5.16,5.09,5.1,3927600,MYR
2018-07-24,5.14,5.28,5.12,5.27,999200,MYR
2018-07-25,5.19,5.23,5.17,5.19,591500,MYR
2018-07-26,5.2,5.26,5.15,5.19,1622000,MYR
2018-07-27,5.15,5.19,5.15,5.17,1026100,MYR
2018-07-30,5.2,5.21,5.16,5.19,1314300,MYR
2018-07-31,5.17,5.26,5.17,5.19,4869500,MYR
2018-08-01,5.19,5.28,5.18,5.26,1457900,MYR
2018-08-02,5.19,5.24,5.08,5.12,2025900,MYR
2018-08-03,5.13,5.27,5.11,5.2,3260300,MYR
2018-08-06,5.24,5.27,5.2,5.25,1901800,MYR
2018-08-07,5.28,5.28,5.24,5.28,3503200,MYR
2018-08-08,5.28,5.32,5.24,5.25,6241400,MYR
2018-08-09,5.23,5.29,5.23,5.28,2889500,MYR
2018-08-10,5.32,5.34,5.27,5.31,7935700,MYR
