Date,Open,High,Low,Close,Volume,Currency
2013-01-31,0.15,0.165,0.15,0.165,4000,MYR
2013-02-04,0.15,0.17,0.15,0.17,17500,MYR
2013-02-06,0.155,0.165,0.155,0.165,7000,MYR
2013-02-14,0.15,0.16,0.15,0.16,21500,MYR
2013-02-15,0.15,0.16,0.15,0.16,27000,MYR
2013-02-19,0.15,0.16,0.15,0.15,19500,MYR
2013-02-20,0.16,0.16,0.16,0.16,3000,MYR
2013-02-21,0.15,0.15,0.15,0.15,2000,MYR
2013-02-22,0.15,0.165,0.15,0.165,11500,MYR
2013-02-25,0.15,0.165,0.15,0.165,6000,MYR
2013-02-26,0.15,0.165,0.15,0.165,1100,MYR
2013-03-01,0.15,0.165,0.15,0.165,4000,MYR
2013-03-06,0.145,0.16,0.145,0.16,6400,MYR
2013-03-11,0.145,0.145,0.145,0.145,5400,MYR
2013-03-12,0.145,0.15,0.145,0.15,61000,MYR
2013-03-14,0.145,0.145,0.145,0.145,6400,MYR
2013-03-19,0.145,0.145,0.14,0.145,27400,MYR
2013-03-21,0.13,0.145,0.13,0.145,220100,MYR
2013-03-22,0.13,0.135,0.13,0.135,105200,MYR
2013-03-26,0.13,0.135,0.12,0.12,22000,MYR
2013-03-27,0.12,0.12,0.12,0.12,103000,MYR
2013-03-29,0.115,0.115,0.115,0.115,321600,MYR
2013-04-03,0.1,0.1,0.1,0.1,9900,MYR
2013-04-05,0.105,0.12,0.105,0.12,29100,MYR
2013-04-09,0.11,0.11,0.11,0.11,20000,MYR
2013-04-10,0.115,0.125,0.115,0.125,11000,MYR
2013-04-16,0.13,0.13,0.13,0.13,40000,MYR
2013-04-17,0.15,0.15,0.15,0.15,1600,MYR
2013-04-18,0.12,0.14,0.12,0.14,536400,MYR
2013-04-19,0.12,0.135,0.12,0.135,449200,MYR
2013-04-25,0.11,0.11,0.11,0.11,10000,MYR
2013-04-29,0.11,0.13,0.11,0.13,6000,MYR
2013-04-30,0.13,0.13,0.12,0.13,211100,MYR
2013-05-07,0.13,0.13,0.12,0.13,25200,MYR
2013-05-10,0.13,0.13,0.13,0.13,1000,MYR
2013-05-13,0.13,0.13,0.13,0.13,2000,MYR
2013-05-15,0.13,0.13,0.13,0.13,46500,MYR
2013-05-16,0.135,0.14,0.135,0.14,46500,MYR
2013-05-17,0.16,0.175,0.16,0.175,185000,MYR
2013-05-20,0.17,0.18,0.16,0.18,121000,MYR
2013-05-21,0.15,0.15,0.15,0.15,1000,MYR
2013-05-23,0.14,0.14,0.14,0.14,7000,MYR
2013-05-27,0.14,0.14,0.14,0.14,1000,MYR
2013-05-29,0.14,0.14,0.14,0.14,3000,MYR
2013-05-30,0.14,0.18,0.14,0.18,44300,MYR
2013-06-05,0.14,0.14,0.14,0.14,100000,MYR
2013-06-10,0.135,0.135,0.135,0.135,43000,MYR
2013-06-12,0.13,0.13,0.13,0.13,2000,MYR
2013-06-13,0.13,0.13,0.13,0.13,28000,MYR
2013-06-14,0.13,0.15,0.13,0.15,11600,MYR
2013-06-18,0.13,0.13,0.13,0.13,45000,MYR
2013-06-19,0.13,0.13,0.13,0.13,5000,MYR
2013-07-02,0.12,0.15,0.12,0.15,3500,MYR
2013-07-05,0.14,0.14,0.14,0.14,20000,MYR
2013-07-08,0.13,0.165,0.13,0.135,165000,MYR
2013-07-10,0.135,0.135,0.135,0.135,1000,MYR
2013-07-11,0.13,0.135,0.13,0.135,29000,MYR
2013-07-12,0.13,0.13,0.13,0.13,1000,MYR
2013-07-17,0.13,0.16,0.13,0.16,38700,MYR
2013-07-22,0.16,0.16,0.16,0.16,1000,MYR
2013-07-26,0.16,0.16,0.13,0.13,56500,MYR
2013-07-31,0.14,0.14,0.14,0.14,28000,MYR
2013-08-02,0.13,0.13,0.13,0.13,1500,MYR
2013-08-05,0.13,0.13,0.13,0.13,1000,MYR
2013-08-06,0.13,0.13,0.13,0.13,40900,MYR
2013-08-15,0.13,0.13,0.13,0.13,11000,MYR
2013-08-16,0.13,0.13,0.13,0.13,5000,MYR
2013-08-19,0.13,0.13,0.13,0.13,11500,MYR
2013-08-21,0.145,0.16,0.12,0.12,20600,MYR
2013-08-22,0.175,0.175,0.175,0.175,100,MYR
2013-08-23,0.11,0.11,0.11,0.11,100,MYR
2013-08-26,0.175,0.175,0.12,0.12,600,MYR
2013-08-29,0.13,0.13,0.115,0.115,11000,MYR
2013-09-09,0.13,0.13,0.13,0.13,50000,MYR
2013-09-11,0.13,0.13,0.115,0.115,8000,MYR
2013-09-23,0.15,0.15,0.12,0.15,10200,MYR
2013-09-24,0.15,0.225,0.15,0.2,804200,MYR
2013-09-25,0.22,0.22,0.17,0.185,643900,MYR
2013-09-26,0.195,0.195,0.165,0.18,400200,MYR
2013-09-27,0.185,0.185,0.18,0.185,221300,MYR
2013-09-30,0.185,0.185,0.175,0.18,303000,MYR
2013-10-01,0.18,0.18,0.16,0.175,184500,MYR
2013-10-02,0.175,0.175,0.175,0.175,92000,MYR
2013-10-03,0.175,0.18,0.175,0.18,85300,MYR
2013-10-04,0.175,0.18,0.175,0.175,115900,MYR
2013-10-07,0.175,0.175,0.175,0.175,100000,MYR
2013-10-08,0.175,0.175,0.15,0.165,110100,MYR
2013-10-09,0.165,0.165,0.165,0.165,7000,MYR
2013-10-10,0.17,0.18,0.17,0.17,107600,MYR
2013-10-11,0.165,0.165,0.165,0.165,43000,MYR
2013-10-14,0.165,0.165,0.165,0.165,46000,MYR
2013-10-16,0.165,0.165,0.165,0.165,51500,MYR
2013-10-17,0.165,0.165,0.15,0.155,151000,MYR
2013-10-21,0.165,0.17,0.165,0.17,41000,MYR
2013-10-22,0.17,0.17,0.17,0.17,15700,MYR
2013-10-23,0.165,0.165,0.165,0.165,20000,MYR
2013-10-25,0.165,0.165,0.165,0.165,60000,MYR
