Date,Open,High,Low,Close,Volume,Currency
2013-02-27,0.636,0.641,0.636,0.641,11550,MYR
2013-02-28,0.641,0.645,0.632,0.641,34100,MYR
2013-03-01,0.641,0.641,0.623,0.641,40700,MYR
2013-03-04,0.632,0.636,0.632,0.636,5500,MYR
2013-03-05,0.636,0.641,0.627,0.641,7810,MYR
2013-03-06,0.641,0.641,0.641,0.641,2200,MYR
2013-03-07,0.636,0.636,0.632,0.636,7700,MYR
2013-03-08,0.636,0.636,0.609,0.636,63470,MYR
2013-03-11,0.636,0.641,0.636,0.641,16500,MYR
2013-03-12,0.636,0.636,0.636,0.636,7920,MYR
2013-03-13,0.636,0.636,0.627,0.636,16280,MYR
2013-03-14,0.641,0.641,0.641,0.641,22000,MYR
2013-03-18,0.632,0.632,0.614,0.627,42680,MYR
2013-03-19,0.627,0.627,0.618,0.618,3520,MYR
2013-03-20,0.609,0.636,0.609,0.636,20680,MYR
2013-03-21,0.618,0.636,0.618,0.636,13200,MYR
2013-03-22,0.636,0.636,0.636,0.636,3190,MYR
2013-03-25,0.636,0.636,0.627,0.632,35200,MYR
2013-03-26,0.641,0.641,0.627,0.632,6600,MYR
2013-03-28,0.632,0.632,0.618,0.632,23100,MYR
2013-03-29,0.627,0.632,0.627,0.632,28600,MYR
2013-04-01,0.641,0.654,0.632,0.636,91960,MYR
2013-04-02,0.645,0.654,0.641,0.641,56100,MYR
2013-04-03,0.641,0.641,0.636,0.636,50600,MYR
2013-04-04,0.636,0.636,0.632,0.636,59400,MYR
2013-04-05,0.654,0.654,0.636,0.636,12320,MYR
2013-04-08,0.645,0.65,0.636,0.641,20900,MYR
2013-04-09,0.645,0.65,0.636,0.65,64020,MYR
2013-04-10,0.664,0.691,0.664,0.664,82720,MYR
2013-04-11,0.677,0.682,0.664,0.682,66990,MYR
2013-04-12,0.677,0.682,0.668,0.682,44000,MYR
2013-04-15,0.677,0.682,0.677,0.677,44000,MYR
2013-04-16,0.682,0.691,0.632,0.673,124410,MYR
2013-04-17,0.673,0.673,0.654,0.664,37400,MYR
2013-04-18,0.664,0.673,0.654,0.668,44660,MYR
2013-04-19,0.72,0.72,0.695,0.7,80800,MYR
2013-04-22,0.7,0.715,0.695,0.7,35000,MYR
2013-04-23,0.7,0.7,0.685,0.69,13500,MYR
2013-04-24,0.705,0.705,0.69,0.69,10000,MYR
2013-04-26,0.7,0.7,0.7,0.7,1000,MYR
2013-04-29,0.695,0.7,0.68,0.7,16600,MYR
2013-04-30,0.69,0.69,0.67,0.675,25000,MYR
2013-05-02,0.68,0.69,0.67,0.67,24000,MYR
2013-05-03,0.67,0.67,0.635,0.64,36000,MYR
2013-05-06,0.655,0.665,0.655,0.66,52500,MYR
2013-05-07,0.67,0.67,0.655,0.66,11000,MYR
2013-05-08,0.66,0.675,0.655,0.675,37000,MYR
2013-05-10,0.665,0.68,0.655,0.68,41200,MYR
