Date,Open,High,Low,Close,Volume,Currency
2013-09-26,2.337,2.366,2.317,2.317,182700,MYR
2013-09-27,2.346,2.366,2.317,2.317,494100,MYR
2013-09-30,2.346,2.346,2.308,2.317,181700,MYR
2013-10-01,2.308,2.317,2.288,2.317,623000,MYR
2013-10-02,2.317,2.327,2.298,2.298,308900,MYR
2013-10-03,2.298,2.317,2.279,2.288,664400,MYR
2013-10-04,2.298,2.308,2.288,2.288,523400,MYR
2013-10-07,2.317,2.366,2.298,2.356,298700,MYR
2013-10-08,2.346,2.346,2.327,2.327,83200,MYR
2013-10-09,2.337,2.337,2.298,2.298,190400,MYR
2013-10-10,2.308,2.308,2.298,2.298,249800,MYR
2013-10-11,2.317,2.337,2.317,2.337,26000,MYR
2013-10-14,2.337,2.337,2.317,2.317,192000,MYR
2013-10-16,2.317,2.317,2.298,2.298,593200,MYR
2013-10-17,2.298,2.317,2.288,2.288,186100,MYR
2013-10-18,2.288,2.317,2.288,2.298,118400,MYR
2013-10-21,2.308,2.317,2.298,2.298,169700,MYR
2013-10-22,2.308,2.308,2.288,2.288,299400,MYR
2013-10-23,2.298,2.327,2.288,2.327,453200,MYR
2013-10-24,2.327,2.327,2.279,2.288,431800,MYR
2013-10-25,2.288,2.317,2.288,2.308,190900,MYR
2013-10-28,2.308,2.327,2.298,2.327,71200,MYR
2013-10-29,2.327,2.366,2.327,2.366,1068700,MYR
2013-10-30,2.366,2.385,2.356,2.375,161000,MYR
2013-10-31,2.375,2.404,2.366,2.404,773100,MYR
2013-11-01,2.414,2.54,2.404,2.462,2975100,MYR
2013-11-04,2.472,2.549,2.472,2.54,552000,MYR
2013-11-06,2.501,2.549,2.482,2.482,790100,MYR
2013-11-07,2.491,2.511,2.472,2.491,296500,MYR
2013-11-08,2.491,2.491,2.482,2.482,109100,MYR
2013-11-11,2.482,2.52,2.482,2.511,541500,MYR
2013-11-12,2.511,2.511,2.491,2.511,193900,MYR
2013-11-13,2.511,2.52,2.491,2.501,615100,MYR
2013-11-14,2.501,2.501,2.472,2.472,292700,MYR
2013-11-15,2.472,2.491,2.472,2.482,102900,MYR
2013-11-18,2.472,2.472,2.453,2.462,87600,MYR
2013-11-19,2.462,2.462,2.453,2.462,172500,MYR
2013-11-20,2.443,2.443,2.433,2.433,120200,MYR
2013-11-21,2.462,2.462,2.414,2.424,222600,MYR
2013-11-22,2.433,2.443,2.424,2.433,31000,MYR
2013-11-25,2.443,2.443,2.414,2.414,22200,MYR
2013-11-26,2.404,2.424,2.375,2.375,263400,MYR
