Date,Open,High,Low,Close,Volume,Currency
2014-07-08,0.205,0.205,0.195,0.2,195600,MYR
2014-07-09,0.195,0.2,0.19,0.195,232300,MYR
2014-07-10,0.195,0.2,0.195,0.2,168000,MYR
2014-07-11,0.205,0.205,0.195,0.2,487200,MYR
2014-07-14,0.2,0.21,0.2,0.205,1068000,MYR
2014-07-16,0.2,0.2,0.2,0.2,50000,MYR
2014-07-17,0.195,0.2,0.195,0.2,142900,MYR
2014-07-18,0.19,0.2,0.19,0.2,258200,MYR
2014-07-21,0.195,0.21,0.195,0.2,341600,MYR
2014-07-22,0.2,0.205,0.195,0.195,127700,MYR
2014-07-23,0.19,0.2,0.19,0.2,175000,MYR
2014-07-24,0.19,0.19,0.19,0.19,45200,MYR
2014-07-25,0.19,0.195,0.19,0.195,434400,MYR
2014-07-30,0.195,0.2,0.195,0.195,580500,MYR
2014-07-31,0.195,0.215,0.195,0.215,2047900,MYR
2014-08-01,0.21,0.21,0.2,0.2,629000,MYR
2014-08-04,0.2,0.2,0.195,0.195,275000,MYR
2014-08-05,0.2,0.2,0.185,0.19,884600,MYR
2014-08-06,0.19,0.2,0.185,0.185,834200,MYR
2014-08-07,0.19,0.2,0.19,0.19,864000,MYR
2014-08-08,0.19,0.19,0.185,0.19,157800,MYR
2014-08-11,0.185,0.195,0.185,0.185,903400,MYR
2014-08-12,0.185,0.19,0.185,0.185,301000,MYR
2014-08-13,0.19,0.2,0.19,0.19,698400,MYR
2014-08-14,0.19,0.195,0.19,0.195,320100,MYR
2014-08-15,0.195,0.195,0.19,0.195,240000,MYR
2014-08-18,0.19,0.19,0.19,0.19,334400,MYR
2014-08-19,0.195,0.195,0.185,0.19,781000,MYR
2014-08-20,0.19,0.19,0.185,0.19,256100,MYR
2014-08-21,0.18,0.19,0.18,0.185,393000,MYR
2014-08-22,0.18,0.18,0.18,0.18,50000,MYR
2014-08-25,0.185,0.185,0.185,0.185,76000,MYR
2014-08-26,0.19,0.195,0.19,0.19,370000,MYR
2014-08-28,0.185,0.19,0.185,0.19,62200,MYR
2014-08-29,0.185,0.185,0.185,0.185,199900,MYR
2014-09-02,0.19,0.19,0.19,0.19,30000,MYR
2014-09-03,0.185,0.19,0.185,0.19,50000,MYR
2014-09-04,0.185,0.19,0.18,0.19,69000,MYR
2014-09-05,0.18,0.19,0.18,0.19,324000,MYR
2014-09-08,0.185,0.19,0.18,0.185,704000,MYR
2014-09-09,0.185,0.185,0.175,0.185,1171100,MYR
2014-09-10,0.18,0.185,0.18,0.185,1729900,MYR
2014-09-11,0.18,0.18,0.18,0.18,1095800,MYR
2014-09-12,0.175,0.18,0.17,0.18,1578400,MYR
2014-09-15,0.175,0.175,0.165,0.17,235000,MYR
2014-09-17,0.17,0.17,0.17,0.17,570700,MYR
2014-09-18,0.17,0.17,0.16,0.16,180000,MYR
2014-09-19,0.165,0.175,0.16,0.175,1130500,MYR
2014-09-22,0.175,0.185,0.175,0.18,1277900,MYR
2014-09-23,0.18,0.185,0.175,0.18,757800,MYR
2014-09-24,0.185,0.19,0.185,0.185,458400,MYR
2014-09-25,0.18,0.185,0.18,0.185,71900,MYR
2014-09-26,0.18,0.185,0.18,0.185,414800,MYR
2014-09-29,0.185,0.19,0.18,0.185,234600,MYR
2014-09-30,0.18,0.185,0.18,0.18,161000,MYR
2014-10-01,0.18,0.18,0.18,0.18,205000,MYR
2014-10-03,0.175,0.18,0.17,0.18,286400,MYR
2014-10-07,0.175,0.18,0.17,0.17,493000,MYR
2014-10-08,0.16,0.17,0.16,0.165,576800,MYR
2014-10-09,0.165,0.165,0.165,0.165,124700,MYR
2014-10-10,0.16,0.16,0.16,0.16,150000,MYR
2014-10-13,0.16,0.165,0.16,0.16,304000,MYR
2014-10-14,0.155,0.155,0.15,0.15,294300,MYR
2014-10-15,0.155,0.155,0.155,0.155,13000,MYR
2014-10-16,0.15,0.15,0.145,0.15,862100,MYR
2014-10-17,0.15,0.155,0.145,0.145,407400,MYR
2014-10-20,0.155,0.155,0.145,0.145,421000,MYR
2014-10-21,0.15,0.15,0.145,0.15,468500,MYR
2014-10-23,0.15,0.15,0.145,0.15,124200,MYR
2014-10-24,0.15,0.165,0.15,0.155,710800,MYR
2014-10-27,0.16,0.17,0.16,0.17,161600,MYR
2014-10-28,0.165,0.165,0.16,0.16,195000,MYR
2014-10-29,0.17,0.17,0.155,0.165,615700,MYR
2014-10-30,0.155,0.17,0.155,0.165,2595000,MYR
2014-10-31,0.16,0.17,0.16,0.165,3265300,MYR
