Date,Open,High,Low,Close,Volume,Currency
2013-03-04,1.53,1.53,1.51,1.52,567500,MYR
2013-03-05,1.53,1.53,1.52,1.53,301700,MYR
2013-03-06,1.53,1.53,1.52,1.52,660400,MYR
2013-03-07,1.52,1.53,1.52,1.52,122700,MYR
2013-03-08,1.52,1.52,1.51,1.52,1001000,MYR
2013-03-11,1.52,1.52,1.51,1.52,1185300,MYR
2013-03-12,1.52,1.52,1.51,1.52,301500,MYR
2013-03-13,1.52,1.53,1.52,1.52,3430500,MYR
2013-03-14,1.52,1.52,1.51,1.52,812400,MYR
2013-03-15,1.52,1.53,1.51,1.53,5801600,MYR
2013-03-18,1.53,1.55,1.52,1.54,1395200,MYR
2013-03-19,1.53,1.54,1.52,1.52,480900,MYR
2013-03-20,1.52,1.54,1.52,1.53,2943700,MYR
2013-03-21,1.54,1.56,1.51,1.52,2649500,MYR
2013-03-22,1.52,1.53,1.48,1.5,3945700,MYR
2013-03-25,1.5,1.53,1.5,1.52,1273400,MYR
2013-03-26,1.52,1.52,1.5,1.52,1678500,MYR
2013-03-27,1.51,1.52,1.51,1.51,381700,MYR
2013-03-28,1.52,1.54,1.5,1.54,2310400,MYR
2013-03-29,1.53,1.54,1.52,1.52,1348000,MYR
2013-04-01,1.53,1.53,1.51,1.53,1711600,MYR
2013-04-02,1.53,1.56,1.52,1.56,741300,MYR
2013-04-03,1.56,1.56,1.51,1.51,1645000,MYR
2013-04-04,1.52,1.52,1.51,1.51,2577700,MYR
2013-04-05,1.52,1.52,1.51,1.51,1536000,MYR
2013-04-08,1.52,1.52,1.51,1.52,1203700,MYR
2013-04-09,1.51,1.53,1.51,1.53,950300,MYR
2013-04-10,1.52,1.54,1.52,1.54,1743200,MYR
2013-04-11,1.53,1.54,1.53,1.54,516800,MYR
2013-04-12,1.53,1.53,1.53,1.53,218800,MYR
2013-04-15,1.52,1.53,1.52,1.53,1167800,MYR
2013-04-16,1.52,1.53,1.52,1.53,782700,MYR
2013-04-17,1.53,1.56,1.53,1.56,2088400,MYR
2013-04-18,1.57,1.59,1.56,1.58,1458600,MYR
2013-04-19,1.58,1.59,1.57,1.58,384300,MYR
2013-04-22,1.58,1.59,1.57,1.59,527400,MYR
2013-04-23,1.58,1.59,1.57,1.59,818700,MYR
2013-04-24,1.58,1.59,1.58,1.58,494400,MYR
2013-04-25,1.58,1.58,1.57,1.57,1752800,MYR
2013-04-26,1.57,1.6,1.57,1.6,791800,MYR
2013-04-29,1.59,1.59,1.58,1.58,516100,MYR
2013-04-30,1.58,1.6,1.57,1.6,1357300,MYR
2013-05-02,1.59,1.59,1.57,1.58,1893400,MYR
2013-05-03,1.59,1.59,1.57,1.59,722000,MYR
2013-05-06,1.59,1.62,1.58,1.61,966000,MYR
2013-05-07,1.63,1.67,1.63,1.64,1240500,MYR
2013-05-08,1.64,1.66,1.64,1.65,1214100,MYR
2013-05-09,1.64,1.66,1.64,1.64,657200,MYR
2013-05-10,1.64,1.64,1.62,1.62,152800,MYR
2013-05-13,1.63,1.63,1.58,1.6,1296500,MYR
2013-05-14,1.6,1.6,1.58,1.58,1221400,MYR
2013-05-15,1.58,1.62,1.58,1.58,2138800,MYR
2013-05-16,1.58,1.63,1.57,1.6,1591600,MYR
2013-05-17,1.6,1.7,1.6,1.64,2006200,MYR
2013-05-20,1.65,1.66,1.63,1.64,645500,MYR
2013-05-21,1.63,1.65,1.63,1.64,651300,MYR
2013-05-22,1.64,1.65,1.63,1.65,379900,MYR
2013-05-23,1.64,1.65,1.63,1.64,209600,MYR
2013-05-27,1.61,1.63,1.61,1.62,1081400,MYR
2013-05-28,1.62,1.63,1.61,1.62,477300,MYR
2013-05-29,1.63,1.68,1.62,1.65,1576500,MYR
2013-05-30,1.65,1.65,1.59,1.59,3697700,MYR
2013-05-31,1.62,1.64,1.61,1.63,1218900,MYR
2013-06-03,1.63,1.65,1.63,1.63,1766400,MYR
2013-06-04,1.65,1.65,1.63,1.64,2552900,MYR
2013-06-05,1.64,1.64,1.62,1.64,365200,MYR
2013-06-06,1.64,1.64,1.59,1.59,2661100,MYR
2013-06-07,1.59,1.62,1.59,1.6,2668200,MYR
2013-06-10,1.6,1.65,1.6,1.64,1211600,MYR
2013-06-11,1.64,1.64,1.6,1.61,1720400,MYR
2013-06-12,1.61,1.62,1.6,1.62,462000,MYR
2013-06-13,1.61,1.64,1.61,1.63,3890100,MYR
2013-06-14,1.62,1.67,1.62,1.65,1984400,MYR
2013-06-17,1.65,1.65,1.61,1.61,2295200,MYR
2013-06-18,1.62,1.62,1.6,1.6,2786200,MYR
2013-06-19,1.61,1.62,1.6,1.62,2304800,MYR
2013-06-20,1.6,1.63,1.59,1.63,4108800,MYR
2013-06-21,1.62,1.62,1.54,1.55,8194100,MYR
2013-06-24,1.55,1.61,1.53,1.55,6902900,MYR
2013-06-25,1.53,1.56,1.52,1.54,4233600,MYR
2013-06-26,1.54,1.56,1.54,1.55,3287500,MYR
2013-06-27,1.55,1.56,1.54,1.56,3899200,MYR
2013-06-28,1.56,1.56,1.54,1.54,4201700,MYR
2013-07-01,1.54,1.55,1.51,1.54,4110000,MYR
2013-07-02,1.53,1.54,1.53,1.54,3074100,MYR
2013-07-03,1.54,1.54,1.52,1.53,2160700,MYR
2013-07-04,1.53,1.54,1.52,1.53,1609300,MYR
2013-07-05,1.53,1.54,1.52,1.52,1693200,MYR
2013-07-08,1.52,1.52,1.5,1.51,3814000,MYR
2013-07-09,1.51,1.52,1.5,1.51,2919900,MYR
2013-07-10,1.52,1.52,1.51,1.51,2299200,MYR
2013-07-11,1.51,1.52,1.49,1.49,3958500,MYR
2013-07-12,1.49,1.5,1.49,1.5,1206000,MYR
2013-07-15,1.5,1.54,1.49,1.53,1258300,MYR
2013-07-16,1.52,1.53,1.5,1.52,1859200,MYR
2013-07-17,1.52,1.52,1.46,1.48,7984600,MYR
2013-07-18,1.48,1.49,1.43,1.45,6776600,MYR
2013-07-19,1.44,1.45,1.41,1.42,7078000,MYR
2013-07-22,1.43,1.45,1.42,1.43,6657500,MYR
2013-07-23,1.43,1.43,1.39,1.39,7072000,MYR
2013-07-24,1.4,1.4,1.37,1.38,5380000,MYR
2013-07-25,1.38,1.39,1.36,1.37,5213700,MYR
2013-07-26,1.37,1.37,1.35,1.36,4832100,MYR
2013-07-29,1.37,1.38,1.36,1.36,5137900,MYR
2013-07-30,1.36,1.37,1.36,1.36,2249300,MYR
2013-07-31,1.37,1.37,1.33,1.33,4902000,MYR
2013-08-01,1.33,1.35,1.31,1.35,5756100,MYR
2013-08-02,1.36,1.37,1.34,1.35,1778200,MYR
2013-08-05,1.35,1.36,1.34,1.35,2287700,MYR
2013-08-06,1.35,1.35,1.32,1.33,4292000,MYR
2013-08-07,1.33,1.36,1.33,1.36,3020200,MYR
2013-08-12,1.36,1.37,1.34,1.35,1956600,MYR
2013-08-13,1.36,1.36,1.34,1.36,2111500,MYR
2013-08-14,1.36,1.38,1.35,1.36,1139000,MYR
2013-08-15,1.37,1.38,1.37,1.38,2414700,MYR
2013-08-16,1.38,1.38,1.36,1.37,1776500,MYR
2013-08-19,1.37,1.38,1.36,1.37,487700,MYR
2013-08-20,1.37,1.37,1.35,1.36,1813600,MYR
2013-08-21,1.34,1.35,1.3,1.31,2972000,MYR
2013-08-22,1.31,1.31,1.25,1.27,5095800,MYR
2013-08-23,1.27,1.31,1.27,1.3,1531800,MYR
2013-08-26,1.31,1.31,1.27,1.28,1647100,MYR
2013-08-27,1.28,1.28,1.25,1.28,2491800,MYR
2013-08-28,1.26,1.27,1.23,1.26,4087400,MYR
2013-08-29,1.26,1.3,1.26,1.29,2336700,MYR
2013-08-30,1.3,1.31,1.29,1.3,2852700,MYR
2013-09-02,1.3,1.31,1.3,1.31,1354200,MYR
2013-09-03,1.3,1.31,1.29,1.3,1452700,MYR
2013-09-04,1.31,1.31,1.3,1.3,781800,MYR
2013-09-05,1.31,1.33,1.3,1.33,731700,MYR
2013-09-06,1.33,1.34,1.32,1.34,157900,MYR
2013-09-09,1.33,1.36,1.33,1.35,1885300,MYR
2013-09-10,1.36,1.37,1.35,1.37,1801800,MYR
2013-09-11,1.37,1.39,1.37,1.38,1621400,MYR
2013-09-12,1.38,1.39,1.37,1.38,2669000,MYR
2013-09-13,1.37,1.38,1.36,1.36,857200,MYR
2013-09-17,1.36,1.38,1.36,1.38,414200,MYR
2013-09-18,1.38,1.38,1.37,1.37,205700,MYR
2013-09-19,1.38,1.43,1.38,1.42,3094700,MYR
2013-09-20,1.41,1.41,1.38,1.38,2267600,MYR
2013-09-23,1.39,1.41,1.38,1.4,137600,MYR
2013-09-24,1.4,1.41,1.38,1.41,459700,MYR
2013-09-25,1.39,1.4,1.39,1.4,450900,MYR
2013-09-26,1.4,1.43,1.39,1.42,1225000,MYR
2013-09-27,1.42,1.42,1.41,1.42,480700,MYR
2013-09-30,1.41,1.42,1.41,1.42,325900,MYR
2013-10-01,1.42,1.43,1.41,1.41,893800,MYR
2013-10-02,1.42,1.42,1.4,1.4,709700,MYR
2013-10-03,1.4,1.41,1.39,1.4,71300,MYR
2013-10-04,1.4,1.4,1.38,1.39,479400,MYR
2013-10-07,1.38,1.39,1.37,1.38,662300,MYR
2013-10-08,1.37,1.37,1.37,1.37,572300,MYR
2013-10-09,1.38,1.38,1.36,1.37,1043600,MYR
2013-10-10,1.36,1.36,1.35,1.35,1176600,MYR
2013-10-11,1.36,1.36,1.35,1.35,843800,MYR
2013-10-14,1.35,1.36,1.35,1.36,353300,MYR
2013-10-16,1.36,1.38,1.36,1.37,1557100,MYR
2013-10-17,1.37,1.38,1.37,1.38,245200,MYR
2013-10-18,1.39,1.39,1.36,1.38,1144200,MYR
2013-10-21,1.38,1.38,1.37,1.37,493800,MYR
2013-10-22,1.38,1.38,1.37,1.37,971000,MYR
2013-10-23,1.38,1.38,1.37,1.37,724900,MYR
2013-10-24,1.37,1.38,1.34,1.34,1156000,MYR
2013-10-25,1.34,1.35,1.33,1.33,960500,MYR
2013-10-28,1.34,1.35,1.34,1.35,188700,MYR
2013-10-29,1.35,1.36,1.34,1.36,187800,MYR
2013-10-30,1.37,1.37,1.34,1.34,692100,MYR
2013-10-31,1.34,1.34,1.33,1.33,472900,MYR
2013-11-01,1.34,1.35,1.33,1.33,483000,MYR
2013-11-04,1.34,1.35,1.32,1.32,784400,MYR
2013-11-06,1.34,1.34,1.32,1.33,917000,MYR
2013-11-07,1.34,1.35,1.33,1.33,974500,MYR
2013-11-08,1.34,1.34,1.33,1.33,743500,MYR
2013-11-11,1.34,1.34,1.32,1.32,1002700,MYR
2013-11-12,1.32,1.32,1.3,1.31,447800,MYR
2013-11-13,1.31,1.31,1.3,1.3,347200,MYR
2013-11-14,1.3,1.31,1.3,1.3,757500,MYR
2013-11-15,1.3,1.32,1.3,1.3,822000,MYR
2013-11-18,1.3,1.32,1.3,1.31,450500,MYR
2013-11-19,1.31,1.32,1.3,1.32,332600,MYR
2013-11-20,1.31,1.32,1.3,1.32,412300,MYR
2013-11-21,1.32,1.32,1.3,1.3,938100,MYR
2013-11-22,1.3,1.31,1.29,1.3,806800,MYR
2013-11-25,1.3,1.3,1.27,1.29,3329500,MYR
2013-11-26,1.3,1.3,1.27,1.27,1708600,MYR
2013-11-27,1.29,1.29,1.25,1.25,2523100,MYR
2013-11-28,1.25,1.27,1.24,1.25,864600,MYR
2013-11-29,1.26,1.27,1.25,1.27,175800,MYR
2013-12-02,1.27,1.29,1.27,1.29,404300,MYR
2013-12-03,1.28,1.29,1.25,1.27,495900,MYR
2013-12-04,1.28,1.29,1.27,1.29,263500,MYR
2013-12-05,1.29,1.29,1.27,1.27,994900,MYR
2013-12-06,1.28,1.28,1.25,1.25,1556600,MYR
2013-12-09,1.26,1.27,1.25,1.25,339200,MYR
2013-12-10,1.25,1.26,1.25,1.26,532900,MYR
2013-12-11,1.26,1.26,1.25,1.26,5891600,MYR
2013-12-12,1.26,1.26,1.24,1.25,6104400,MYR
2013-12-13,1.25,1.25,1.23,1.25,1238000,MYR
2013-12-16,1.25,1.25,1.25,1.25,152900,MYR
2013-12-17,1.25,1.25,1.24,1.24,316000,MYR
2013-12-18,1.25,1.25,1.22,1.23,1911700,MYR
2013-12-19,1.24,1.24,1.23,1.24,247700,MYR
2013-12-20,1.24,1.27,1.24,1.27,388800,MYR
