Date,Open,High,Low,Close,Volume,Currency
2000-08-08,0.08,0.08,0.071,0.071,25599472,MYR
2000-08-09,0.073,0.073,0.066,0.067,8134412,MYR
2000-08-10,0.065,0.066,0.063,0.063,9968642,MYR
2000-08-11,0.063,0.064,0.062,0.064,8373659,MYR
2000-08-14,0.064,0.064,0.059,0.059,24323486,MYR
2000-08-15,0.059,0.061,0.058,0.06,41310052,MYR
2000-08-16,0.06,0.066,0.06,0.065,28829312,MYR
2000-08-17,0.066,0.07,0.065,0.069,39754944,MYR
2000-08-18,0.069,0.07,0.063,0.063,11563624,MYR
2000-08-21,0.063,0.063,0.062,0.062,3628586,MYR
2000-08-22,0.062,0.063,0.062,0.062,5103945,MYR
2000-08-23,0.062,0.062,0.061,0.061,5662189,MYR
2000-08-24,0.061,0.061,0.059,0.061,8174286,MYR
2000-08-25,0.06,0.061,0.06,0.061,10048391,MYR
2000-08-28,0.061,0.061,0.059,0.06,4426077,MYR
2000-08-29,0.06,0.062,0.06,0.061,2352600,MYR
2000-08-30,0.061,0.061,0.059,0.059,2033603,MYR
2000-09-01,0.059,0.059,0.058,0.058,5263443,MYR
2000-09-04,0.057,0.058,0.055,0.055,2432349,MYR
2000-09-05,0.056,0.057,0.056,0.056,1874105,MYR
2000-09-06,0.056,0.056,0.053,0.055,3189965,MYR
2000-09-07,0.054,0.056,0.053,0.055,2432349,MYR
2000-09-08,0.055,0.057,0.055,0.055,1515234,MYR
2000-09-11,0.055,0.055,0.054,0.054,1435484,MYR
2000-09-12,0.054,0.055,0.054,0.055,1275986,MYR
2000-09-13,0.054,0.057,0.054,0.057,1794356,MYR
2000-09-14,0.057,0.057,0.055,0.056,1475359,MYR
2000-09-15,0.055,0.056,0.055,0.055,1275986,MYR
2000-09-18,0.055,0.055,0.054,0.055,837366,MYR
2000-09-19,0.054,0.054,0.054,0.054,279122,MYR
2000-09-20,0.054,0.054,0.054,0.054,438620,MYR
2000-09-21,0.053,0.054,0.053,0.054,637993,MYR
2000-09-22,0.054,0.054,0.05,0.052,1236112,MYR
2000-09-25,0.052,0.054,0.052,0.052,558244,MYR
2000-09-26,0.052,0.052,0.051,0.051,398746,MYR
2000-09-27,0.05,0.051,0.05,0.051,478495,MYR
2000-09-28,0.051,0.051,0.05,0.05,1594983,MYR
2000-09-29,0.05,0.051,0.05,0.05,956990,MYR
2000-10-02,0.05,0.05,0.047,0.048,837366,MYR
2000-10-03,0.052,0.052,0.049,0.049,478495,MYR
2000-10-04,0.048,0.048,0.048,0.048,797491,MYR
2000-10-05,0.048,0.048,0.048,0.048,558244,MYR
2000-10-06,0.048,0.048,0.047,0.048,358871,MYR
2000-10-09,0.047,0.049,0.047,0.047,677868,MYR
2000-10-10,0.047,0.047,0.046,0.047,637993,MYR
2000-10-11,0.05,0.05,0.047,0.047,637993,MYR
2000-10-12,0.047,0.05,0.046,0.05,1156363,MYR
2000-10-13,0.049,0.05,0.048,0.05,2352600,MYR
2000-10-16,0.051,0.054,0.051,0.054,2432349,MYR
2000-10-17,0.054,0.055,0.052,0.052,1754481,MYR
2000-10-19,0.051,0.051,0.049,0.05,199373,MYR
2000-10-20,0.05,0.051,0.049,0.05,677868,MYR
2000-10-23,0.05,0.051,0.05,0.051,1036739,MYR
2000-10-24,0.052,0.052,0.051,0.052,917115,MYR
2000-10-25,0.052,0.052,0.051,0.051,598119,MYR
2000-10-27,0.052,0.052,0.05,0.05,478495,MYR
2000-10-30,0.05,0.05,0.049,0.049,797491,MYR
2000-10-31,0.048,0.05,0.048,0.05,279122,MYR
2000-11-01,0.048,0.05,0.048,0.05,119624,MYR
2000-11-02,0.048,0.049,0.048,0.049,239247,MYR
2000-11-03,0.049,0.05,0.048,0.05,199373,MYR
2000-11-06,0.05,0.05,0.049,0.049,279122,MYR
2000-11-07,0.048,0.049,0.048,0.049,159498,MYR
2000-11-08,0.048,0.05,0.048,0.05,518369,MYR
2000-11-09,0.048,0.05,0.048,0.05,239247,MYR
2000-11-10,0.05,0.05,0.048,0.048,677868,MYR
2000-11-13,0.048,0.048,0.047,0.048,717742,MYR
2000-11-14,0.056,0.056,0.048,0.05,637993,MYR
2000-11-17,0.048,0.048,0.048,0.048,358871,MYR
2000-11-20,0.048,0.048,0.048,0.048,119624,MYR
2000-11-21,0.048,0.048,0.048,0.048,79749,MYR
2000-11-22,0.05,0.05,0.047,0.049,478495,MYR
2000-11-23,0.047,0.047,0.046,0.047,239247,MYR
2000-11-24,0.048,0.048,0.047,0.048,239247,MYR
2000-11-27,0.048,0.049,0.048,0.048,239247,MYR
2000-11-28,0.049,0.049,0.048,0.048,358871,MYR
2000-11-29,0.047,0.047,0.046,0.047,199373,MYR
2000-11-30,0.047,0.047,0.046,0.047,358871,MYR
2000-12-01,0.046,0.046,0.046,0.046,159498,MYR
2000-12-04,0.048,0.048,0.046,0.047,159498,MYR
2000-12-05,0.048,0.048,0.048,0.048,159498,MYR
2000-12-06,0.046,0.046,0.045,0.045,358871,MYR
2000-12-07,0.044,0.044,0.044,0.044,199373,MYR
2000-12-08,0.047,0.047,0.047,0.047,239247,MYR
2000-12-13,0.046,0.046,0.046,0.046,159498,MYR
2000-12-14,0.043,0.045,0.043,0.045,279122,MYR
2000-12-18,0.045,0.045,0.043,0.044,318997,MYR
2000-12-19,0.038,0.041,0.038,0.04,1116488,MYR
2000-12-20,0.038,0.039,0.038,0.039,279122,MYR
2000-12-21,0.038,0.038,0.037,0.038,598119,MYR
2000-12-22,0.038,0.038,0.038,0.038,438620,MYR
2000-12-26,0.038,0.038,0.036,0.038,119624,MYR
2001-01-02,0.031,0.036,0.031,0.036,79749,MYR
2001-01-03,0.036,0.037,0.035,0.037,159498,MYR
2001-01-05,0.035,0.038,0.035,0.038,318997,MYR
2001-01-08,0.038,0.038,0.037,0.038,358871,MYR
2001-01-09,0.037,0.037,0.037,0.037,39875,MYR
2001-01-10,0.035,0.045,0.035,0.045,558244,MYR
2001-01-11,0.039,0.04,0.039,0.04,2990593,MYR
2001-01-12,0.04,0.041,0.04,0.04,677868,MYR
2001-01-15,0.04,0.041,0.038,0.041,598119,MYR
2001-01-17,0.038,0.039,0.037,0.039,518369,MYR
2001-01-18,0.037,0.039,0.037,0.039,518369,MYR
2001-01-19,0.038,0.04,0.038,0.04,199373,MYR
2001-01-22,0.04,0.041,0.04,0.041,398746,MYR
2001-01-26,0.04,0.04,0.039,0.039,877241,MYR
2001-01-29,0.038,0.038,0.038,0.038,79749,MYR
2001-01-30,0.038,0.039,0.038,0.038,1993728,MYR
2001-01-31,0.038,0.038,0.038,0.038,159498,MYR
2001-02-02,0.038,0.04,0.038,0.04,518369,MYR
2001-02-05,0.038,0.038,0.038,0.038,79749,MYR
2001-02-06,0.038,0.038,0.038,0.038,199373,MYR
2001-02-07,0.038,0.038,0.038,0.038,279122,MYR
2001-02-08,0.036,0.036,0.036,0.036,39875,MYR
2001-02-09,0.036,0.036,0.036,0.036,39875,MYR
2001-02-12,0.038,0.038,0.038,0.038,39875,MYR
2001-02-13,0.036,0.036,0.036,0.036,39875,MYR
2001-02-14,0.037,0.037,0.037,0.037,39875,MYR
2001-02-15,0.036,0.036,0.036,0.036,119624,MYR
2001-02-16,0.035,0.037,0.035,0.037,79749,MYR
2001-02-20,0.036,0.037,0.035,0.037,518369,MYR
2001-02-22,0.036,0.037,0.035,0.037,239247,MYR
2001-02-23,0.035,0.035,0.035,0.035,159498,MYR
2001-02-26,0.035,0.035,0.035,0.035,159498,MYR
2001-02-27,0.035,0.036,0.035,0.036,119624,MYR
2001-02-28,0.035,0.036,0.035,0.036,79749,MYR
2001-03-05,0.035,0.035,0.035,0.035,39875,MYR
2001-03-07,0.034,0.034,0.034,0.034,239247,MYR
2001-03-08,0.034,0.034,0.034,0.034,199373,MYR
2001-03-09,0.033,0.033,0.033,0.033,39875,MYR
2001-03-12,0.032,0.032,0.031,0.031,677868,MYR
2001-03-13,0.03,0.031,0.029,0.03,677868,MYR
2001-03-14,0.03,0.03,0.029,0.03,837366,MYR
2001-03-16,0.03,0.03,0.03,0.03,438620,MYR
2001-03-19,0.029,0.03,0.029,0.03,199373,MYR
2001-03-20,0.03,0.03,0.028,0.028,119624,MYR
2001-03-21,0.029,0.029,0.028,0.028,199373,MYR
2001-03-22,0.028,0.029,0.028,0.029,398746,MYR
2001-03-29,0.028,0.029,0.028,0.029,119624,MYR
2001-03-30,0.029,0.029,0.029,0.029,119624,MYR
2001-04-02,0.029,0.029,0.029,0.029,79749,MYR
2001-04-04,0.026,0.026,0.024,0.026,757617,MYR
2001-04-05,0.025,0.026,0.025,0.026,877241,MYR
2001-04-06,0.026,0.026,0.025,0.025,1036739,MYR
2001-04-09,0.025,0.025,0.025,0.025,119624,MYR
2001-04-10,0.025,0.025,0.025,0.025,199373,MYR
2001-04-11,0.025,0.025,0.025,0.025,318997,MYR
2001-04-12,0.025,0.025,0.025,0.025,199373,MYR
2001-04-13,0.025,0.025,0.025,0.025,677868,MYR
2001-04-16,0.025,0.025,0.025,0.025,199373,MYR
2001-04-18,0.025,0.025,0.025,0.025,39875,MYR
2001-04-19,0.025,0.026,0.025,0.025,558244,MYR
2001-04-20,0.026,0.027,0.026,0.027,79749,MYR
2001-04-23,0.026,0.026,0.026,0.026,39875,MYR
2001-04-25,0.025,0.025,0.025,0.025,239247,MYR
2001-04-26,0.025,0.025,0.025,0.025,79749,MYR
2001-04-27,0.025,0.026,0.025,0.026,159498,MYR
2001-04-30,0.026,0.026,0.026,0.026,199373,MYR
2001-05-02,0.026,0.028,0.026,0.028,558244,MYR
2001-05-03,0.027,0.028,0.026,0.026,318997,MYR
2001-05-04,0.025,0.025,0.025,0.025,79749,MYR
2001-05-08,0.025,0.025,0.024,0.024,318997,MYR
2001-05-11,0.025,0.025,0.025,0.025,199373,MYR
2001-05-15,0.025,0.025,0.025,0.025,119624,MYR
2001-05-17,0.025,0.026,0.025,0.025,318997,MYR
2001-05-18,0.026,0.026,0.026,0.026,39875,MYR
2001-05-21,0.026,0.026,0.026,0.026,199373,MYR
2001-05-22,0.026,0.026,0.026,0.026,199373,MYR
2001-05-23,0.026,0.026,0.026,0.026,159498,MYR
2001-05-24,0.026,0.027,0.026,0.027,79749,MYR
2001-05-25,0.027,0.027,0.026,0.026,279122,MYR
2001-05-28,0.027,0.027,0.027,0.027,79749,MYR
2001-05-30,0.026,0.026,0.026,0.026,159498,MYR
2001-06-07,0.026,0.026,0.026,0.026,79749,MYR
2001-06-11,0.027,0.028,0.027,0.028,199373,MYR
2001-06-12,0.028,0.028,0.028,0.028,239247,MYR
2001-06-13,0.027,0.027,0.027,0.027,119624,MYR
2001-06-14,0.027,0.028,0.027,0.028,159498,MYR
2001-06-15,0.027,0.027,0.027,0.027,119624,MYR
2001-06-20,0.026,0.026,0.026,0.026,239247,MYR
2001-06-21,0.025,0.025,0.025,0.025,39875,MYR
2001-06-22,0.025,0.025,0.025,0.025,119624,MYR
2001-06-26,0.025,0.025,0.025,0.025,39875,MYR
2001-06-28,0.025,0.025,0.025,0.025,39875,MYR
2001-06-29,0.025,0.027,0.025,0.027,79749,MYR
2001-07-02,0.025,0.025,0.025,0.025,39875,MYR
2001-07-03,0.025,0.025,0.025,0.025,279122,MYR
2001-07-04,0.025,0.025,0.025,0.025,79749,MYR
2001-07-05,0.025,0.025,0.025,0.025,598119,MYR
2001-07-06,0.026,0.026,0.026,0.026,119624,MYR
2001-07-09,0.026,0.026,0.026,0.026,79749,MYR
2001-07-10,0.025,0.025,0.025,0.025,79749,MYR
2001-07-11,0.025,0.025,0.025,0.025,79749,MYR
2001-07-12,0.025,0.025,0.025,0.025,79749,MYR
2001-07-13,0.025,0.025,0.025,0.025,79749,MYR
2001-07-16,0.025,0.026,0.025,0.026,637993,MYR
2001-07-17,0.025,0.027,0.025,0.027,239247,MYR
2001-07-18,0.026,0.026,0.026,0.026,1913979,MYR
2001-07-19,0.026,0.026,0.025,0.026,318997,MYR
2001-07-20,0.027,0.027,0.026,0.026,1714606,MYR
2001-07-23,0.026,0.026,0.026,0.026,79749,MYR
2001-07-24,0.025,0.026,0.025,0.026,598119,MYR
2001-07-25,0.026,0.027,0.026,0.027,518369,MYR
2001-07-26,0.027,0.027,0.027,0.027,4346328,MYR
2001-07-27,0.028,0.029,0.027,0.027,877241,MYR
2001-07-30,0.029,0.031,0.029,0.03,3150091,MYR
2001-07-31,0.031,0.031,0.028,0.028,1196237,MYR
2001-08-01,0.028,0.029,0.028,0.029,398746,MYR
2001-08-02,0.03,0.03,0.03,0.03,478495,MYR
2001-08-03,0.03,0.03,0.03,0.03,1076613,MYR
2001-08-06,0.03,0.03,0.03,0.03,39875,MYR
2001-08-07,0.028,0.028,0.028,0.028,79749,MYR
2001-08-08,0.029,0.029,0.029,0.029,39875,MYR
2001-08-09,0.029,0.029,0.029,0.029,79749,MYR
