Date,Open,High,Low,Close,Volume,Currency
2019-01-17,0.63,0.64,0.63,0.64,80000,MYR
2019-01-18,0.64,0.65,0.64,0.65,50000,MYR
2019-01-22,0.65,0.66,0.65,0.66,90000,MYR
2019-01-24,0.66,0.66,0.66,0.66,30000,MYR
2019-01-25,0.64,0.64,0.64,0.64,50000,MYR
2019-01-28,0.63,0.65,0.63,0.65,105000,MYR
2019-02-04,0.65,0.68,0.65,0.68,100000,MYR
2020-01-06,0.665,0.665,0.665,0.665,20000,MYR
2020-08-17,0.68,0.68,0.68,0.68,15000,MYR
2020-09-30,0.66,0.66,0.65,0.65,20000,MYR
2020-12-22,0.68,0.68,0.68,0.68,10000,MYR
2020-12-23,0.68,0.68,0.68,0.68,10000,MYR
2021-01-11,0.0,0.0,0.0,0.68,0,MYR
2021-01-12,0.0,0.0,0.0,0.68,0,MYR
2021-01-13,0.0,0.0,0.0,0.68,0,MYR
2021-01-14,0.0,0.0,0.0,0.68,0,MYR
2021-01-15,0.0,0.0,0.0,0.68,0,MYR
2021-01-18,0.0,0.0,0.0,0.68,0,MYR
2021-01-19,0.0,0.0,0.0,0.68,0,MYR
2021-01-20,0.0,0.0,0.0,0.68,0,MYR
2021-01-21,0.0,0.0,0.0,0.68,0,MYR
2021-01-22,0.0,0.0,0.0,0.68,0,MYR
2021-01-25,0.0,0.0,0.0,0.68,0,MYR
2021-01-26,0.0,0.0,0.0,0.68,0,MYR
2021-01-27,0.68,0.68,0.68,0.68,10000,MYR
2021-01-29,0.0,0.0,0.0,0.68,0,MYR
