Date,Open,High,Low,Close,Volume,Currency
2013-02-27,0.2,0.2,0.2,0.2,248000,MYR
2013-02-28,0.2,0.2,0.2,0.2,4600,MYR
2013-03-05,0.22,0.22,0.2,0.2,20500,MYR
2013-03-06,0.205,0.21,0.205,0.21,4000,MYR
2013-03-07,0.21,0.21,0.21,0.21,9700,MYR
2013-03-08,0.22,0.22,0.205,0.205,200000,MYR
2013-03-12,0.22,0.22,0.21,0.21,100100,MYR
2013-03-13,0.205,0.205,0.205,0.205,6000,MYR
2013-03-14,0.22,0.22,0.205,0.205,11100,MYR
2013-03-15,0.22,0.22,0.21,0.21,5100,MYR
2013-03-19,0.21,0.21,0.21,0.21,5000,MYR
2013-03-21,0.21,0.21,0.21,0.21,1000,MYR
2013-03-22,0.21,0.21,0.21,0.21,2000,MYR
2013-03-27,0.205,0.205,0.205,0.205,44000,MYR
2013-03-28,0.205,0.205,0.205,0.205,2000,MYR
2013-04-02,0.22,0.22,0.22,0.22,10000,MYR
2013-04-03,0.22,0.22,0.21,0.21,110000,MYR
2013-04-05,0.205,0.205,0.205,0.205,10000,MYR
2013-04-08,0.21,0.22,0.205,0.205,16100,MYR
2013-04-09,0.205,0.22,0.205,0.21,327200,MYR
2013-04-10,0.22,0.23,0.21,0.23,101100,MYR
2013-04-11,0.22,0.22,0.22,0.22,20000,MYR
2013-04-12,0.22,0.22,0.22,0.22,30000,MYR
2013-04-25,0.205,0.205,0.205,0.205,600,MYR
2013-04-26,0.21,0.21,0.21,0.21,3000,MYR
2013-04-29,0.205,0.22,0.14,0.21,355100,MYR
2013-04-30,0.21,0.21,0.21,0.21,40000,MYR
2013-05-07,0.21,0.21,0.21,0.21,2000,MYR
2013-05-09,0.21,0.21,0.21,0.21,22500,MYR
2013-05-10,0.225,0.225,0.21,0.21,43000,MYR
2013-05-13,0.21,0.22,0.21,0.22,14700,MYR
2013-05-16,0.22,0.22,0.22,0.22,10000,MYR
2013-05-17,0.22,0.24,0.22,0.22,7400,MYR
2013-05-20,0.22,0.22,0.22,0.22,61200,MYR
2013-05-22,0.225,0.225,0.215,0.215,14000,MYR
2013-05-23,0.225,0.225,0.225,0.225,2200,MYR
2013-05-27,0.24,0.24,0.22,0.23,34100,MYR
2013-05-28,0.24,0.24,0.22,0.22,40400,MYR
2013-05-29,0.22,0.235,0.215,0.215,59000,MYR
2013-05-31,0.22,0.235,0.215,0.22,203700,MYR
2013-06-03,0.235,0.235,0.225,0.225,55700,MYR
2013-06-04,0.22,0.22,0.22,0.22,1800,MYR
2013-06-06,0.235,0.235,0.22,0.22,86500,MYR
2013-06-07,0.235,0.235,0.225,0.225,118000,MYR
2013-06-10,0.225,0.225,0.225,0.225,20000,MYR
2013-06-12,0.225,0.225,0.22,0.22,42500,MYR
2013-06-13,0.235,0.235,0.22,0.22,23000,MYR
2013-06-17,0.22,0.225,0.22,0.225,28600,MYR
2013-06-18,0.22,0.235,0.215,0.225,237000,MYR
2013-06-19,0.23,0.23,0.22,0.22,2000,MYR
2013-06-20,0.225,0.235,0.22,0.225,61200,MYR
2013-06-24,0.225,0.225,0.225,0.225,40000,MYR
2013-06-25,0.225,0.225,0.225,0.225,9000,MYR
2013-06-27,0.23,0.23,0.23,0.23,49200,MYR
2013-07-08,0.225,0.24,0.225,0.24,5000,MYR
2013-07-09,0.23,0.23,0.23,0.23,128700,MYR
2013-07-12,0.23,0.23,0.23,0.23,10000,MYR
2013-07-16,0.24,0.24,0.24,0.24,150000,MYR
2013-07-17,0.23,0.23,0.23,0.23,5000,MYR
2013-07-19,0.25,0.25,0.23,0.235,386400,MYR
2013-07-23,0.25,0.26,0.235,0.26,151100,MYR
2013-07-24,0.25,0.25,0.25,0.25,100000,MYR
2013-07-25,0.25,0.25,0.25,0.25,22000,MYR
2013-07-26,0.26,0.27,0.26,0.26,97100,MYR
2013-07-30,0.23,0.23,0.23,0.23,10000,MYR
2013-08-12,0.23,0.23,0.23,0.23,2000,MYR
2013-08-14,0.24,0.24,0.24,0.24,15000,MYR
2013-08-20,0.235,0.24,0.23,0.24,300500,MYR
2013-08-21,0.24,0.27,0.24,0.27,1100,MYR
