Date,Open,High,Low,Close,Volume,Currency
2013-03-21,0.345,0.352,0.343,0.343,312000,MYR
2013-03-22,0.343,0.347,0.34,0.347,134000,MYR
2013-03-25,0.34,0.34,0.338,0.338,388000,MYR
2013-03-26,0.338,0.338,0.338,0.338,14000,MYR
2013-03-27,0.338,0.343,0.338,0.34,132000,MYR
2013-03-28,0.338,0.338,0.335,0.338,29000,MYR
2013-03-29,0.34,0.343,0.338,0.34,248000,MYR
2013-04-01,0.343,0.343,0.34,0.343,100000,MYR
2013-04-02,0.34,0.343,0.335,0.343,312000,MYR
2013-04-03,0.335,0.343,0.335,0.343,300000,MYR
2013-04-04,0.338,0.34,0.338,0.34,28000,MYR
2013-04-08,0.338,0.345,0.338,0.345,387000,MYR
2013-04-09,0.345,0.352,0.345,0.35,590000,MYR
2013-04-11,0.345,0.345,0.343,0.343,98000,MYR
2013-04-12,0.34,0.34,0.34,0.34,42000,MYR
2013-04-15,0.34,0.34,0.338,0.338,101000,MYR
2013-04-16,0.335,0.338,0.333,0.333,207000,MYR
2013-04-17,0.333,0.333,0.333,0.333,138000,MYR
2013-04-18,0.333,0.333,0.33,0.33,84000,MYR
2013-04-19,0.325,0.335,0.325,0.335,143000,MYR
2013-04-22,0.333,0.338,0.33,0.338,62200,MYR
2013-04-24,0.338,0.34,0.338,0.338,34400,MYR
2013-04-25,0.338,0.338,0.338,0.338,54000,MYR
2013-04-26,0.333,0.338,0.333,0.338,110000,MYR
2013-04-29,0.338,0.338,0.323,0.338,1034000,MYR
2013-04-30,0.335,0.338,0.328,0.338,41000,MYR
2013-05-02,0.328,0.338,0.328,0.338,214000,MYR
2013-05-03,0.328,0.333,0.32,0.333,122000,MYR
2013-05-06,0.335,0.335,0.333,0.333,94000,MYR
2013-05-07,0.333,0.333,0.33,0.333,163600,MYR
2013-05-08,0.335,0.34,0.333,0.333,331000,MYR
2013-05-09,0.333,0.335,0.333,0.333,206000,MYR
2013-05-10,0.335,0.352,0.333,0.345,2934800,MYR
2013-05-13,0.35,0.36,0.35,0.35,1667000,MYR
2013-05-14,0.352,0.352,0.34,0.343,567000,MYR
2013-05-15,0.343,0.357,0.343,0.357,2038200,MYR
2013-05-16,0.355,0.355,0.345,0.345,660000,MYR
2013-05-17,0.347,0.347,0.34,0.347,662200,MYR
2013-05-20,0.347,0.357,0.345,0.357,1035000,MYR
2013-05-21,0.355,0.357,0.35,0.352,904400,MYR
2013-05-22,0.355,0.355,0.345,0.35,1249000,MYR
2013-05-23,0.345,0.347,0.34,0.343,652600,MYR
2013-05-27,0.34,0.343,0.34,0.343,66000,MYR
2013-05-28,0.343,0.347,0.343,0.343,321200,MYR
2013-05-29,0.343,0.343,0.335,0.34,1764400,MYR
2013-05-30,0.34,0.34,0.338,0.338,98000,MYR
2013-05-31,0.338,0.34,0.338,0.338,156000,MYR
2013-06-03,0.338,0.338,0.338,0.338,140000,MYR
2013-06-04,0.335,0.335,0.333,0.335,409800,MYR
2013-06-05,0.335,0.335,0.33,0.33,168000,MYR
2013-06-06,0.33,0.33,0.325,0.33,96000,MYR
2013-06-07,0.328,0.33,0.328,0.33,60000,MYR
2013-06-10,0.333,0.333,0.325,0.325,324000,MYR
2013-06-11,0.33,0.33,0.328,0.328,128000,MYR
2013-06-12,0.328,0.33,0.328,0.33,29800,MYR
2013-06-13,0.333,0.333,0.325,0.325,76200,MYR
2013-06-14,0.325,0.328,0.323,0.325,154000,MYR
2013-06-17,0.325,0.325,0.325,0.325,100000,MYR
