Date,Open,High,Low,Close,Volume,Currency
2013-09-27,0.435,0.435,0.435,0.435,40000,MYR
2013-09-30,0.435,0.435,0.435,0.435,145000,MYR
2013-10-01,0.43,0.435,0.43,0.435,51300,MYR
2013-10-02,0.43,0.435,0.43,0.435,73000,MYR
2013-10-03,0.43,0.43,0.415,0.42,140700,MYR
2013-10-04,0.415,0.42,0.41,0.42,137300,MYR
2013-10-07,0.415,0.42,0.415,0.415,45000,MYR
2013-10-08,0.42,0.42,0.42,0.42,5000,MYR
2013-10-09,0.42,0.42,0.415,0.415,33700,MYR
2013-10-10,0.43,0.45,0.43,0.435,136700,MYR
2013-10-11,0.43,0.445,0.43,0.445,68200,MYR
2013-10-14,0.435,0.435,0.43,0.43,51000,MYR
2013-10-16,0.43,0.43,0.43,0.43,30000,MYR
2013-10-17,0.425,0.44,0.425,0.44,37500,MYR
2013-10-18,0.435,0.435,0.435,0.435,72000,MYR
2013-10-21,0.435,0.435,0.43,0.43,45000,MYR
2013-10-22,0.43,0.43,0.43,0.43,30000,MYR
2013-10-23,0.435,0.435,0.425,0.43,107300,MYR
2013-10-24,0.435,0.44,0.435,0.44,65000,MYR
2013-10-25,0.435,0.44,0.435,0.44,97700,MYR
2013-10-28,0.44,0.49,0.44,0.485,1471700,MYR
2013-10-29,0.485,0.515,0.485,0.485,3470500,MYR
2013-10-30,0.49,0.49,0.47,0.475,329200,MYR
2013-10-31,0.47,0.47,0.46,0.47,799100,MYR
2013-11-01,0.465,0.475,0.46,0.475,301500,MYR
2013-11-04,0.47,0.475,0.465,0.465,398200,MYR
2013-11-06,0.465,0.47,0.465,0.47,69000,MYR
2013-11-07,0.47,0.475,0.47,0.475,86400,MYR
2013-11-08,0.48,0.5,0.48,0.49,1149000,MYR
2013-11-11,0.495,0.495,0.485,0.495,748800,MYR
2013-11-12,0.48,0.48,0.47,0.475,83100,MYR
2013-11-13,0.47,0.47,0.46,0.47,371800,MYR
2013-11-14,0.47,0.475,0.465,0.47,165100,MYR
2013-11-15,0.47,0.475,0.47,0.47,279000,MYR
2013-11-18,0.465,0.47,0.465,0.465,93400,MYR
2013-11-19,0.465,0.465,0.465,0.465,15900,MYR
2013-11-20,0.465,0.465,0.45,0.45,158500,MYR
2013-11-21,0.46,0.46,0.425,0.425,403800,MYR
2013-11-22,0.445,0.455,0.44,0.445,64000,MYR
2013-11-25,0.445,0.445,0.445,0.445,30000,MYR
2013-11-26,0.44,0.44,0.44,0.44,33000,MYR
2013-11-27,0.445,0.445,0.44,0.445,108000,MYR
2013-11-28,0.44,0.44,0.44,0.44,10000,MYR
2013-11-29,0.435,0.435,0.435,0.435,20000,MYR
2013-12-02,0.435,0.435,0.435,0.435,56000,MYR
2013-12-03,0.435,0.445,0.435,0.445,51000,MYR
2013-12-04,0.45,0.45,0.45,0.45,1000,MYR
2013-12-05,0.45,0.45,0.45,0.45,24000,MYR
2013-12-06,0.45,0.45,0.45,0.45,98000,MYR
2013-12-09,0.445,0.455,0.445,0.455,26000,MYR
2013-12-10,0.45,0.45,0.45,0.45,55000,MYR
2013-12-11,0.45,0.45,0.45,0.45,10000,MYR
2013-12-12,0.44,0.44,0.44,0.44,11500,MYR
2013-12-13,0.445,0.445,0.445,0.445,193500,MYR
2013-12-16,0.445,0.445,0.445,0.445,50000,MYR
2013-12-17,0.45,0.45,0.45,0.45,29000,MYR
2013-12-18,0.45,0.465,0.45,0.455,522500,MYR
2013-12-19,0.46,0.46,0.455,0.455,100000,MYR
2013-12-20,0.45,0.455,0.45,0.455,55700,MYR
2013-12-23,0.445,0.445,0.445,0.445,27000,MYR
2013-12-24,0.445,0.445,0.43,0.43,193000,MYR
2013-12-26,0.435,0.445,0.435,0.435,45000,MYR
2013-12-30,0.435,0.46,0.435,0.46,14400,MYR
2013-12-31,0.455,0.455,0.44,0.445,60000,MYR
2014-01-02,0.455,0.455,0.44,0.45,99200,MYR
2014-01-03,0.44,0.46,0.44,0.46,63600,MYR
2014-01-06,0.455,0.46,0.455,0.46,101100,MYR
2014-01-07,0.45,0.45,0.45,0.45,3000,MYR
2014-01-08,0.46,0.46,0.45,0.45,55000,MYR
2014-01-09,0.455,0.455,0.455,0.455,11000,MYR
2014-01-10,0.455,0.455,0.45,0.455,78700,MYR
2014-01-13,0.46,0.475,0.455,0.47,749600,MYR
2014-01-15,0.47,0.47,0.47,0.47,50000,MYR
2014-01-16,0.455,0.47,0.455,0.47,210300,MYR
2014-01-20,0.465,0.47,0.465,0.465,111600,MYR
2014-01-21,0.47,0.47,0.465,0.465,80000,MYR
2014-01-22,0.47,0.47,0.465,0.465,146000,MYR
2014-01-23,0.465,0.465,0.465,0.465,55000,MYR
2014-01-24,0.47,0.475,0.465,0.47,152000,MYR
2014-01-27,0.455,0.465,0.455,0.465,103000,MYR
2014-01-28,0.465,0.475,0.465,0.475,140000,MYR
2014-01-29,0.47,0.48,0.47,0.475,590500,MYR
2014-01-30,0.465,0.47,0.465,0.47,37000,MYR
2014-02-04,0.45,0.47,0.45,0.47,84000,MYR
2014-02-05,0.48,0.48,0.48,0.48,393700,MYR
2014-02-06,0.48,0.515,0.48,0.5,1991600,MYR
2014-02-07,0.5,0.505,0.495,0.5,255500,MYR
2014-02-10,0.505,0.535,0.505,0.505,1365000,MYR
2014-02-11,0.51,0.52,0.495,0.52,973200,MYR
2014-02-12,0.52,0.525,0.51,0.52,1385000,MYR
2014-02-13,0.525,0.525,0.51,0.515,356000,MYR
2014-02-14,0.51,0.535,0.505,0.51,3284200,MYR
2014-02-17,0.51,0.515,0.51,0.515,679300,MYR
2014-02-18,0.515,0.515,0.505,0.51,761500,MYR
2014-02-19,0.505,0.505,0.5,0.5,448200,MYR
2014-02-20,0.505,0.505,0.495,0.495,540300,MYR
2014-02-21,0.5,0.515,0.5,0.51,376300,MYR
2014-02-24,0.5,0.51,0.5,0.51,180000,MYR
2014-02-25,0.505,0.505,0.5,0.5,260000,MYR
2014-02-26,0.5,0.515,0.5,0.505,496500,MYR
2014-02-27,0.51,0.51,0.5,0.5,54500,MYR
2014-02-28,0.5,0.5,0.495,0.495,144500,MYR
2014-03-03,0.475,0.48,0.47,0.475,82000,MYR
2014-03-04,0.475,0.48,0.475,0.48,244000,MYR
2014-03-05,0.48,0.48,0.475,0.475,260000,MYR
2014-03-06,0.475,0.48,0.475,0.48,91000,MYR
2014-03-07,0.475,0.48,0.475,0.48,36000,MYR
2014-03-10,0.48,0.48,0.475,0.475,50000,MYR
2014-03-11,0.48,0.48,0.48,0.48,607000,MYR
2014-03-12,0.47,0.48,0.47,0.48,59000,MYR
2014-03-17,0.47,0.47,0.455,0.455,512000,MYR
2014-03-18,0.455,0.455,0.455,0.455,10000,MYR
2014-03-19,0.465,0.465,0.465,0.465,15000,MYR
2014-03-20,0.46,0.46,0.455,0.455,45000,MYR
2014-03-21,0.45,0.45,0.44,0.44,293000,MYR
2014-03-24,0.445,0.45,0.445,0.445,138000,MYR
2014-03-25,0.44,0.45,0.44,0.45,59000,MYR
2014-03-26,0.45,0.455,0.45,0.45,83500,MYR
2014-03-27,0.45,0.45,0.435,0.435,116000,MYR
2014-03-28,0.45,0.455,0.45,0.455,100500,MYR
2014-03-31,0.455,0.455,0.45,0.45,15500,MYR
2014-04-01,0.45,0.45,0.45,0.45,60000,MYR
2014-04-02,0.455,0.465,0.455,0.46,105500,MYR
2014-04-03,0.47,0.475,0.47,0.475,40300,MYR
2014-04-07,0.46,0.46,0.46,0.46,50000,MYR
2014-04-08,0.45,0.46,0.45,0.46,95000,MYR
2014-04-09,0.46,0.46,0.455,0.455,70000,MYR
2014-04-10,0.455,0.465,0.455,0.465,36000,MYR
2014-04-11,0.46,0.47,0.46,0.46,174100,MYR
2014-04-14,0.46,0.46,0.46,0.46,30000,MYR
2014-04-15,0.46,0.475,0.46,0.475,96500,MYR
2014-04-16,0.46,0.46,0.46,0.46,50000,MYR
2014-04-17,0.46,0.465,0.45,0.45,232000,MYR
2014-04-18,0.455,0.46,0.455,0.46,195500,MYR
2014-04-21,0.465,0.475,0.465,0.475,133000,MYR
2014-04-22,0.475,0.475,0.46,0.46,238000,MYR
2014-04-23,0.465,0.475,0.465,0.465,459600,MYR
2014-04-24,0.47,0.47,0.46,0.465,287000,MYR
2014-04-25,0.465,0.47,0.465,0.465,119000,MYR
2014-04-28,0.465,0.465,0.46,0.46,265000,MYR
2014-04-29,0.455,0.455,0.45,0.45,180000,MYR
2014-04-30,0.455,0.46,0.455,0.46,15000,MYR
2014-05-02,0.46,0.46,0.455,0.455,51700,MYR
2014-05-05,0.45,0.455,0.45,0.455,16000,MYR
2014-05-09,0.455,0.46,0.455,0.46,9500,MYR
2014-05-12,0.455,0.455,0.455,0.455,19000,MYR
2014-05-14,0.46,0.475,0.46,0.475,128100,MYR
2014-05-15,0.48,0.485,0.475,0.475,231000,MYR
2014-05-16,0.475,0.475,0.475,0.475,10000,MYR
2014-05-19,0.475,0.475,0.475,0.475,50000,MYR
2014-05-20,0.475,0.475,0.475,0.475,55000,MYR
2014-05-21,0.475,0.48,0.475,0.475,144000,MYR
2014-05-22,0.46,0.475,0.46,0.47,132700,MYR
2014-05-23,0.465,0.475,0.465,0.47,75000,MYR
2014-05-26,0.47,0.47,0.465,0.465,20000,MYR
2014-05-27,0.465,0.48,0.465,0.48,83600,MYR
2014-05-28,0.48,0.49,0.48,0.485,71500,MYR
2014-05-29,0.475,0.475,0.475,0.475,50000,MYR
2014-05-30,0.475,0.475,0.475,0.475,50000,MYR
2014-06-02,0.465,0.465,0.46,0.46,87000,MYR
2014-06-03,0.465,0.495,0.465,0.47,613000,MYR
2014-06-04,0.47,0.47,0.46,0.46,12400,MYR
2014-06-05,0.47,0.48,0.465,0.465,359000,MYR
2014-06-06,0.47,0.47,0.47,0.47,14800,MYR
2014-06-09,0.465,0.465,0.46,0.46,17000,MYR
2014-06-10,0.47,0.47,0.465,0.47,14000,MYR
2014-06-11,0.46,0.465,0.46,0.465,33500,MYR
2014-06-12,0.465,0.47,0.465,0.47,46500,MYR
2014-06-13,0.46,0.465,0.46,0.465,105000,MYR
2014-06-16,0.46,0.465,0.46,0.465,23000,MYR
2014-06-17,0.465,0.47,0.465,0.47,42100,MYR
2014-06-18,0.46,0.46,0.46,0.46,19000,MYR
2014-06-19,0.47,0.495,0.47,0.495,3300300,MYR
2014-06-20,0.5,0.505,0.495,0.5,1118400,MYR
2014-06-23,0.5,0.5,0.495,0.5,516000,MYR
2014-06-24,0.51,0.515,0.505,0.505,481200,MYR
2014-06-25,0.505,0.505,0.5,0.5,416000,MYR
2014-06-26,0.5,0.51,0.5,0.5,353500,MYR
2014-06-27,0.505,0.535,0.505,0.515,4496500,MYR
2014-06-30,0.52,0.52,0.515,0.515,522800,MYR
2014-07-01,0.515,0.515,0.51,0.515,439500,MYR
2014-07-02,0.515,0.515,0.495,0.5,493800,MYR
2014-07-03,0.5,0.52,0.495,0.52,1876100,MYR
2014-07-04,0.56,0.625,0.56,0.61,25118000,MYR
2014-07-07,0.63,0.635,0.605,0.605,8814300,MYR
2014-07-08,0.605,0.635,0.59,0.63,7617800,MYR
2014-07-09,0.625,0.645,0.615,0.625,5661600,MYR
2014-07-10,0.625,0.625,0.615,0.62,1567300,MYR
2014-07-11,0.615,0.615,0.6,0.605,1605700,MYR
2014-07-14,0.615,0.63,0.61,0.615,2025700,MYR
2014-07-16,0.62,0.62,0.605,0.61,1206900,MYR
2014-07-17,0.61,0.61,0.6,0.605,789900,MYR
2014-07-18,0.595,0.605,0.58,0.6,1580700,MYR
2014-07-21,0.605,0.61,0.595,0.595,1197500,MYR
2014-07-22,0.595,0.62,0.59,0.61,1976100,MYR
2014-07-23,0.63,0.67,0.63,0.66,10601700,MYR
2014-07-24,0.665,0.67,0.64,0.645,1845000,MYR
2014-07-25,0.645,0.645,0.63,0.64,1109800,MYR
2014-07-30,0.64,0.66,0.635,0.645,1781400,MYR
2014-07-31,0.645,0.645,0.62,0.645,3128800,MYR
2014-08-01,0.625,0.635,0.625,0.63,1090500,MYR
