Date,Open,High,Low,Close,Volume,Currency
2013-09-27,1.005,1.005,0.995,0.995,111200,MYR
2013-09-30,1.0,1.005,1.0,1.0,66400,MYR
2013-10-01,1.005,1.005,1.005,1.005,22000,MYR
2013-10-02,1.005,1.005,0.995,1.0,123400,MYR
2013-10-03,1.005,1.01,1.005,1.01,10000,MYR
2013-10-04,1.01,1.02,1.01,1.02,11400,MYR
2013-10-10,1.005,1.005,1.0,1.0,22000,MYR
2013-10-14,1.0,1.0,1.0,1.0,6000,MYR
2013-10-16,1.0,1.0,1.0,1.0,31000,MYR
2013-10-17,1.0,1.0,1.0,1.0,8000,MYR
2013-10-21,0.995,1.005,0.995,1.005,57000,MYR
2013-10-22,1.005,1.005,1.005,1.005,12000,MYR
2013-10-24,1.005,1.005,1.0,1.005,29600,MYR
2013-10-25,1.005,1.005,1.005,1.005,20000,MYR
2013-10-28,1.0,1.055,1.0,1.05,87200,MYR
2013-10-29,1.05,1.05,1.01,1.01,16000,MYR
2013-10-30,1.015,1.05,1.015,1.05,22000,MYR
2013-10-31,1.05,1.06,1.05,1.05,43800,MYR
2013-11-01,1.05,1.05,1.05,1.05,10000,MYR
2013-11-04,1.055,1.055,1.05,1.05,18000,MYR
2013-11-06,1.05,1.05,1.045,1.045,10800,MYR
2013-11-07,1.045,1.05,1.045,1.05,16000,MYR
2013-11-08,1.05,1.05,1.045,1.045,16000,MYR
2013-11-12,1.045,1.045,1.045,1.045,19000,MYR
2013-11-13,1.045,1.05,1.045,1.045,28200,MYR
2013-11-14,1.055,1.055,1.055,1.055,4000,MYR
2013-11-15,1.055,1.09,1.055,1.055,46400,MYR
2013-11-18,1.055,1.07,1.055,1.06,105000,MYR
2013-11-19,1.07,1.075,1.06,1.06,162400,MYR
2013-11-20,1.06,1.06,1.06,1.06,24400,MYR
2013-11-21,1.05,1.05,1.05,1.05,32000,MYR
2013-11-22,1.065,1.065,1.05,1.05,34600,MYR
2013-11-25,1.055,1.06,1.055,1.06,34200,MYR
2013-11-26,1.06,1.065,1.06,1.065,49000,MYR
2013-11-27,1.04,1.04,1.025,1.025,22000,MYR
2013-11-28,1.035,1.035,1.03,1.03,14000,MYR
2013-11-29,1.03,1.035,1.03,1.035,36000,MYR
2013-12-03,1.035,1.035,1.035,1.035,8000,MYR
2013-12-05,1.035,1.035,1.035,1.035,34000,MYR
2013-12-06,1.04,1.04,1.03,1.035,97000,MYR
2013-12-09,1.055,1.055,1.045,1.05,21000,MYR
2013-12-10,1.05,1.05,1.03,1.03,3000,MYR
2013-12-11,1.035,1.035,1.035,1.035,1000,MYR
2013-12-12,1.025,1.025,1.025,1.025,4000,MYR
2013-12-13,1.035,1.105,1.035,1.075,349600,MYR
2013-12-16,1.095,1.1,1.075,1.075,189000,MYR
2013-12-17,1.075,1.08,1.065,1.07,37000,MYR
2013-12-18,1.055,1.07,1.05,1.07,24800,MYR
2013-12-19,1.055,1.055,1.045,1.045,16000,MYR
2013-12-20,1.05,1.05,1.045,1.045,42200,MYR
2013-12-23,1.045,1.05,1.045,1.05,21000,MYR
2013-12-24,1.045,1.045,1.04,1.04,17600,MYR
2013-12-27,1.04,1.04,1.03,1.03,78600,MYR
2013-12-30,1.035,1.05,1.035,1.05,97400,MYR
2013-12-31,1.05,1.05,1.04,1.045,160600,MYR
2014-01-02,1.05,1.055,1.045,1.055,109600,MYR
2014-01-03,1.05,1.05,1.045,1.045,127200,MYR
2014-01-06,1.05,1.06,1.05,1.06,56400,MYR
2014-01-07,1.06,1.06,1.05,1.05,128000,MYR
2014-01-08,1.055,1.055,1.055,1.055,22000,MYR
2014-01-09,1.055,1.055,1.05,1.055,34000,MYR
2014-01-10,1.055,1.055,1.05,1.05,63400,MYR
2014-01-13,1.055,1.055,1.04,1.045,72200,MYR
2014-01-15,1.045,1.045,1.04,1.04,99800,MYR
2014-01-16,1.04,1.04,1.035,1.04,50000,MYR
2014-01-20,1.035,1.04,1.035,1.04,20000,MYR
2014-01-21,1.035,1.045,1.035,1.04,34000,MYR
2014-01-22,1.045,1.045,1.04,1.045,48000,MYR
2014-01-23,1.04,1.04,1.04,1.04,16800,MYR
2014-01-24,1.03,1.03,1.03,1.03,22000,MYR
2014-01-27,1.025,1.03,1.025,1.025,20800,MYR
2014-01-28,1.025,1.025,1.025,1.025,6000,MYR
2014-01-29,1.025,1.025,1.025,1.025,5000,MYR
2014-02-04,1.025,1.025,1.025,1.025,8000,MYR
2014-02-06,1.045,1.045,1.04,1.045,30200,MYR
2014-02-07,1.04,1.04,1.04,1.04,20000,MYR
2014-02-10,1.045,1.045,1.04,1.04,87000,MYR
2014-02-11,1.045,1.045,1.045,1.045,4000,MYR
2014-02-14,1.045,1.055,1.04,1.05,41600,MYR
2014-02-17,1.05,1.05,1.045,1.045,39600,MYR
2014-02-18,1.05,1.065,1.05,1.06,125800,MYR
2014-02-19,1.075,1.165,1.075,1.125,696800,MYR
2014-02-20,1.125,1.125,1.1,1.1,196800,MYR
2014-02-21,1.1,1.1,1.1,1.1,37400,MYR
2014-02-24,1.145,1.145,1.125,1.135,279200,MYR
2014-02-25,1.125,1.135,1.1,1.135,301200,MYR
2014-02-26,1.13,1.13,1.125,1.125,25000,MYR
2014-02-27,1.105,1.11,1.105,1.105,40000,MYR
2014-02-28,1.1,1.1,1.065,1.095,91200,MYR
2014-03-03,1.075,1.075,1.065,1.075,28000,MYR
2014-03-04,1.08,1.08,1.08,1.08,26000,MYR
2014-03-05,1.07,1.09,1.07,1.09,61800,MYR
2014-03-06,1.09,1.09,1.09,1.09,12400,MYR
2014-03-07,1.1,1.11,1.1,1.11,83800,MYR
2014-03-10,1.115,1.145,1.11,1.14,171000,MYR
2014-03-11,1.135,1.135,1.125,1.125,29600,MYR
2014-03-12,1.125,1.14,1.125,1.14,79600,MYR
