Date,Open,High,Low,Close,Volume,Currency
2013-10-02,0.33,0.33,0.25,0.25,5200,MYR
2013-10-04,0.32,0.32,0.32,0.32,100,MYR
2013-10-07,0.27,0.27,0.24,0.24,37300,MYR
2013-10-08,0.27,0.36,0.25,0.34,40100,MYR
2013-10-09,0.265,0.275,0.265,0.27,58400,MYR
2013-10-10,0.28,0.35,0.26,0.3,95100,MYR
2013-10-14,0.26,0.26,0.26,0.26,3000,MYR
2013-10-16,0.26,0.26,0.26,0.26,28000,MYR
2013-10-17,0.26,0.26,0.26,0.26,19000,MYR
2013-10-22,0.25,0.25,0.25,0.25,7800,MYR
2013-10-23,0.255,0.255,0.255,0.255,1000,MYR
2013-10-28,0.26,0.26,0.26,0.26,15000,MYR
2013-10-29,0.26,0.285,0.26,0.265,6200,MYR
2013-10-31,0.25,0.25,0.25,0.25,1000,MYR
2013-11-01,0.26,0.26,0.26,0.26,30000,MYR
2013-11-04,0.28,0.28,0.28,0.28,30000,MYR
2013-11-06,0.265,0.265,0.265,0.265,30000,MYR
2013-11-07,0.25,0.25,0.25,0.25,2800,MYR
2013-11-08,0.28,0.285,0.28,0.285,10100,MYR
2013-11-11,0.255,0.265,0.255,0.265,47600,MYR
2013-11-12,0.27,0.275,0.27,0.275,22300,MYR
2013-11-13,0.275,0.275,0.255,0.255,14000,MYR
2013-11-14,0.26,0.265,0.255,0.26,22000,MYR
2013-11-18,0.255,0.255,0.255,0.255,56000,MYR
2013-11-19,0.255,0.27,0.255,0.27,20100,MYR
2013-11-20,0.26,0.26,0.26,0.26,30000,MYR
2013-11-21,0.255,0.26,0.255,0.255,54000,MYR
2013-11-25,0.295,0.295,0.27,0.27,20500,MYR
2013-11-27,0.28,0.38,0.28,0.38,161900,MYR
2013-11-28,0.34,0.35,0.305,0.35,274000,MYR
2013-11-29,0.305,0.305,0.3,0.305,28000,MYR
2013-12-04,0.305,0.305,0.305,0.305,14400,MYR
2013-12-05,0.305,0.305,0.305,0.305,2000,MYR
2013-12-06,0.305,0.305,0.305,0.305,7200,MYR
2013-12-09,0.3,0.3,0.3,0.3,17300,MYR
2013-12-10,0.3,0.3,0.3,0.3,10000,MYR
2013-12-12,0.31,0.31,0.31,0.31,3000,MYR
2013-12-13,0.31,0.31,0.31,0.31,10000,MYR
2013-12-23,0.29,0.29,0.285,0.285,7000,MYR
2013-12-24,0.285,0.285,0.285,0.285,500,MYR
2013-12-26,0.3,0.3,0.3,0.3,5000,MYR
2013-12-27,0.3,0.3,0.3,0.3,22600,MYR
2013-12-30,0.3,0.32,0.3,0.32,36500,MYR
2014-01-02,0.31,0.32,0.31,0.32,21700,MYR
2014-01-03,0.32,0.33,0.315,0.33,27200,MYR
2014-01-06,0.305,0.33,0.305,0.31,11500,MYR
2014-01-07,0.305,0.34,0.305,0.31,95600,MYR
2014-01-08,0.32,0.49,0.32,0.37,465700,MYR
2014-01-09,0.36,0.37,0.36,0.365,117800,MYR
2014-01-10,0.37,0.4,0.365,0.39,220500,MYR
2014-01-13,0.42,0.5,0.415,0.42,493500,MYR
2014-01-15,0.41,0.46,0.41,0.415,97000,MYR
2014-01-16,0.4,0.42,0.4,0.4,19700,MYR
2014-01-21,0.43,0.45,0.41,0.43,66700,MYR
2014-01-22,0.48,0.48,0.41,0.44,17000,MYR
2014-01-23,0.44,0.46,0.42,0.45,87700,MYR
2014-01-24,0.425,0.46,0.425,0.46,28700,MYR
2014-01-27,0.425,0.455,0.425,0.455,10100,MYR
2014-01-28,0.43,0.455,0.43,0.455,8200,MYR
2014-02-06,0.41,0.45,0.41,0.41,16500,MYR
2014-02-07,0.45,0.455,0.405,0.405,18900,MYR
