Date,Open,High,Low,Close,Volume,Currency
2013-02-25,4.926,4.936,4.916,4.926,475900,MYR
2013-02-26,4.483,5.025,4.483,5.025,201200,MYR
2013-02-27,4.926,5.054,4.926,5.054,111200,MYR
2013-02-28,5.074,5.074,5.054,5.064,161200,MYR
2013-03-01,5.064,5.064,5.054,5.054,19400,MYR
2013-03-04,5.025,5.103,5.025,5.103,583400,MYR
2013-03-05,5.025,5.025,5.025,5.025,1680800,MYR
2013-03-06,5.025,5.074,5.025,5.074,32400,MYR
2013-03-07,5.074,5.123,5.025,5.123,166000,MYR
2013-03-08,5.025,5.123,5.025,5.025,104500,MYR
2013-03-11,5.143,5.143,5.025,5.025,12400,MYR
2013-03-12,5.025,5.222,5.025,5.123,437200,MYR
2013-03-13,5.025,5.084,5.025,5.084,77100,MYR
2013-03-14,5.054,5.113,5.025,5.113,40300,MYR
2013-03-15,5.172,5.172,5.044,5.084,289900,MYR
2013-03-18,5.054,5.054,5.025,5.025,43500,MYR
2013-03-19,5.084,5.084,5.074,5.084,31400,MYR
2013-03-20,5.084,5.084,5.025,5.084,106600,MYR
2013-03-21,5.025,5.025,5.025,5.025,2300,MYR
2013-03-22,5.035,5.094,5.025,5.094,18700,MYR
2013-03-25,5.094,5.094,5.025,5.074,185500,MYR
2013-03-26,5.025,5.025,5.025,5.025,500,MYR
2013-03-27,5.044,5.094,5.035,5.044,217400,MYR
2013-03-28,5.074,5.074,5.074,5.074,5000,MYR
2013-03-29,5.054,5.054,5.044,5.044,92300,MYR
2013-04-01,5.044,5.113,5.044,5.094,54600,MYR
2013-04-02,5.074,5.182,5.074,5.182,106600,MYR
2013-04-03,5.044,5.074,5.044,5.074,88800,MYR
2013-04-04,5.074,5.084,5.074,5.084,120100,MYR
2013-04-05,5.084,5.123,5.074,5.103,165000,MYR
2013-04-08,5.103,5.123,5.094,5.113,900600,MYR
2013-04-09,5.123,5.163,5.123,5.153,1240400,MYR
2013-04-10,5.153,5.468,5.153,5.468,404300,MYR
2013-04-11,5.419,5.438,5.35,5.429,282200,MYR
2013-04-12,5.419,5.497,5.399,5.468,777400,MYR
2013-04-15,5.468,5.468,5.409,5.409,374000,MYR
2013-04-16,5.419,5.419,5.399,5.419,209200,MYR
2013-04-17,5.399,5.636,5.399,5.616,350700,MYR
2013-04-18,5.537,5.616,5.537,5.547,423600,MYR
2013-04-19,5.537,5.547,5.517,5.527,210000,MYR
2013-04-22,5.616,5.616,5.419,5.468,76500,MYR
2013-04-23,5.468,5.468,5.458,5.468,38700,MYR
2013-04-24,5.448,5.448,5.419,5.419,17000,MYR
2013-04-25,5.419,5.419,5.419,5.419,2500,MYR
2013-04-26,5.419,5.497,5.419,5.468,256000,MYR
2013-04-29,5.419,5.468,5.399,5.419,421800,MYR
2013-04-30,5.301,5.409,5.271,5.35,677700,MYR
2013-05-02,5.35,5.419,5.35,5.37,492200,MYR
2013-05-03,5.37,5.379,5.291,5.37,769400,MYR
2013-05-06,5.714,5.714,5.419,5.636,380200,MYR
2013-05-07,5.616,5.763,5.606,5.744,538600,MYR
2013-05-08,5.744,5.803,5.744,5.803,237800,MYR
2013-05-09,5.754,5.763,5.537,5.763,117900,MYR
2013-05-10,5.714,5.911,5.714,5.862,282100,MYR
2013-05-13,5.951,5.961,5.813,5.911,189900,MYR
2013-05-14,5.961,6.207,5.961,6.148,324800,MYR
2013-05-15,6.148,6.601,6.148,6.552,754800,MYR
2013-05-16,6.552,6.847,6.552,6.778,2109200,MYR
2013-05-17,6.808,6.818,6.769,6.798,806900,MYR
2013-05-20,6.798,6.906,6.769,6.887,1000800,MYR
2013-05-21,6.887,6.916,6.857,6.906,462300,MYR
2013-05-22,6.887,6.887,6.503,6.699,388300,MYR
2013-05-23,6.788,6.788,6.404,6.503,68900,MYR
2013-05-27,6.503,6.778,6.483,6.759,100800,MYR
2013-05-28,6.621,6.759,6.621,6.67,503900,MYR
2013-05-29,6.778,6.847,6.778,6.847,644400,MYR
2013-05-30,6.601,6.847,6.601,6.778,257400,MYR
2013-05-31,6.778,6.847,6.778,6.847,718600,MYR
2013-06-03,6.788,6.788,6.65,6.65,28600,MYR
2013-06-04,6.65,6.65,6.542,6.542,532100,MYR
2013-06-05,6.552,6.798,6.552,6.601,751200,MYR
2013-06-06,6.65,6.65,6.503,6.503,167300,MYR
2013-06-07,6.552,6.562,6.463,6.552,386600,MYR
2013-06-10,6.552,6.798,6.552,6.739,606100,MYR
2013-06-11,6.749,6.896,6.699,6.739,743700,MYR
2013-06-12,6.739,6.739,6.64,6.68,278500,MYR
2013-06-13,6.699,6.709,6.571,6.581,924600,MYR
2013-06-14,6.66,6.66,6.601,6.64,146900,MYR
2013-06-17,6.591,6.64,6.522,6.611,268400,MYR
2013-06-18,6.699,6.699,6.601,6.67,1063700,MYR
2013-06-19,6.512,6.749,6.512,6.709,599200,MYR
2013-06-20,6.699,6.709,6.68,6.709,630300,MYR
2013-06-21,6.67,6.68,6.66,6.67,909000,MYR
2013-06-24,6.611,6.63,6.483,6.483,638200,MYR
2013-06-25,6.493,6.493,6.207,6.246,340300,MYR
2013-06-26,6.434,6.434,6.236,6.305,130900,MYR
