Date,Open,High,Low,Close,Volume,Currency
2011-07-29,6.12,6.16,6.1,6.13,5133800,MYR
2011-08-01,6.15,6.22,6.15,6.21,3055300,MYR
2011-08-02,6.25,6.25,6.08,6.12,4438300,MYR
2011-08-03,6.12,6.12,6.05,6.05,4666400,MYR
2011-08-04,6.07,6.12,6.05,6.06,5817200,MYR
2011-08-05,6.0,6.09,5.98,6.05,6678800,MYR
2011-08-08,6.03,6.05,5.93,5.94,5709800,MYR
2011-08-09,5.79,5.88,5.7,5.7,13996600,MYR
2011-08-10,5.88,5.93,5.78,5.8,9672300,MYR
2011-08-11,5.73,5.91,5.7,5.86,4346000,MYR
2011-08-12,5.93,5.94,5.88,5.91,3909700,MYR
2011-08-15,5.93,6.03,5.92,6.03,1623600,MYR
2011-08-16,6.05,6.07,5.88,5.88,4242200,MYR
2011-08-17,5.88,5.91,5.86,5.88,3902200,MYR
2011-08-18,5.87,5.87,5.7,5.73,11572800,MYR
2011-08-19,5.68,5.68,5.53,5.55,13298700,MYR
2011-08-22,5.5,5.51,5.4,5.49,6913300,MYR
2011-08-23,5.5,5.52,5.41,5.43,9285200,MYR
2011-08-24,5.5,5.5,5.4,5.4,7530400,MYR
2011-08-25,5.44,5.45,5.3,5.32,6702700,MYR
2011-08-26,5.33,5.33,5.22,5.24,4009600,MYR
2011-08-29,5.26,5.31,5.24,5.25,2132000,MYR
2011-09-02,5.29,5.32,5.26,5.29,8905700,MYR
2011-09-05,5.27,5.28,5.16,5.16,5143800,MYR
2011-09-06,5.17,5.17,5.1,5.1,7609300,MYR
2011-09-07,5.12,5.15,5.11,5.12,5032700,MYR
2011-09-08,5.15,5.35,5.14,5.3,2674000,MYR
2011-09-09,5.3,5.37,5.25,5.29,2050700,MYR
2011-09-12,5.25,5.25,5.13,5.14,3032300,MYR
2011-09-13,5.19,5.24,5.18,5.21,2668600,MYR
2011-09-14,5.2,5.27,5.07,5.12,5615500,MYR
2011-09-15,5.15,5.19,5.01,5.01,5421800,MYR
2011-09-19,5.08,5.09,5.04,5.09,2211100,MYR
2011-09-20,5.09,5.12,5.04,5.1,1777300,MYR
2011-09-21,5.12,5.16,5.06,5.12,3428100,MYR
2011-09-22,5.1,5.1,5.0,5.0,4057500,MYR
2011-09-23,5.0,5.04,4.93,5.02,3980400,MYR
2011-09-26,5.02,5.04,4.89,4.99,3145000,MYR
2011-09-27,5.03,5.17,4.99,5.06,3531400,MYR
2011-09-28,5.08,5.1,4.99,5.04,6232200,MYR
2011-09-29,5.04,5.19,5.03,5.18,3027500,MYR
2011-09-30,5.18,5.19,5.05,5.17,3703100,MYR
2011-10-03,5.15,5.15,5.0,5.01,2719600,MYR
2011-10-04,5.0,5.08,4.97,5.0,1923600,MYR
2011-10-05,5.02,5.09,5.01,5.05,2017400,MYR
2011-10-06,5.1,5.22,5.06,5.22,2980500,MYR
2011-10-07,5.29,5.45,5.26,5.38,7788000,MYR
2011-10-10,5.33,5.34,5.23,5.29,1567700,MYR
2011-10-11,5.33,5.35,5.22,5.27,2170400,MYR
2011-10-12,5.27,5.33,5.21,5.33,2740800,MYR
2011-10-13,5.33,5.33,5.23,5.28,5210800,MYR
2011-10-14,5.27,5.27,5.17,5.2,3658700,MYR
2011-10-17,5.23,5.64,5.22,5.57,7937700,MYR
2011-10-18,5.48,5.48,5.32,5.35,3208100,MYR
2011-10-19,5.38,5.55,5.34,5.55,3976700,MYR
2011-10-20,5.48,5.55,5.38,5.55,4199100,MYR
2011-10-21,5.55,5.56,5.39,5.46,1463900,MYR
2011-10-24,5.49,5.61,5.49,5.59,3197800,MYR
2011-10-25,5.6,5.78,5.56,5.78,4138700,MYR
2011-10-27,5.7,6.0,5.67,5.83,10817800,MYR
2011-10-28,5.85,5.91,5.74,5.86,5247300,MYR
2011-10-31,5.75,5.98,5.7,5.98,6264300,MYR
2011-11-01,5.9,5.95,5.81,5.81,2282600,MYR
2011-11-02,5.79,5.88,5.68,5.86,3824400,MYR
2011-11-03,5.86,5.86,5.68,5.72,2196900,MYR
2011-11-04,5.8,5.88,5.79,5.88,2237400,MYR
2011-11-08,5.91,5.94,5.87,5.87,3189500,MYR
2011-11-09,5.93,5.93,5.8,5.92,1589700,MYR
2011-11-10,5.75,5.81,5.74,5.79,1348700,MYR
2011-11-11,5.81,5.84,5.75,5.75,1642100,MYR
2011-11-14,5.74,5.9,5.74,5.86,1009400,MYR
2011-11-15,5.86,5.86,5.79,5.85,1126900,MYR
2011-11-16,5.88,5.88,5.74,5.74,1608900,MYR
2011-11-17,5.71,5.84,5.65,5.65,1420300,MYR
2011-11-18,5.66,5.71,5.53,5.53,3309800,MYR
2011-11-21,5.52,5.55,5.41,5.45,3307600,MYR
2011-11-22,5.41,5.54,5.35,5.54,1445800,MYR
2011-11-23,5.54,5.54,5.37,5.37,2531700,MYR
2011-11-24,5.39,5.43,5.34,5.4,1307200,MYR
2011-11-25,5.42,5.42,5.34,5.34,2556900,MYR
2011-11-29,5.38,5.49,5.37,5.44,3082400,MYR
2011-11-30,5.44,5.72,5.44,5.65,5960100,MYR
2011-12-01,5.78,5.86,5.66,5.68,7054000,MYR
2011-12-02,5.75,5.81,5.63,5.64,8073100,MYR
2011-12-05,5.66,5.78,5.66,5.72,2703700,MYR
2011-12-06,5.69,5.71,5.64,5.65,1814000,MYR
2011-12-07,5.64,5.65,5.42,5.46,5821700,MYR
2011-12-08,5.48,5.56,5.44,5.52,1838900,MYR
2011-12-09,5.51,5.55,5.51,5.53,1922900,MYR
2011-12-12,5.53,5.57,5.48,5.5,2283100,MYR
2011-12-13,5.45,5.54,5.45,5.47,2481400,MYR
2011-12-14,5.43,5.51,5.42,5.45,1689600,MYR
2011-12-15,5.4,5.45,5.36,5.44,3342300,MYR
2011-12-16,5.46,5.53,5.44,5.44,3569900,MYR
2011-12-19,5.43,5.51,5.4,5.45,1681300,MYR
2011-12-20,5.45,5.55,5.44,5.5,2490300,MYR
2011-12-21,5.52,5.72,5.44,5.72,3452400,MYR
2011-12-22,5.64,5.79,5.54,5.79,2959700,MYR
2011-12-23,5.74,5.87,5.74,5.84,3455000,MYR
2011-12-27,5.84,5.85,5.78,5.8,2863800,MYR
2011-12-28,5.78,5.81,5.77,5.79,2417500,MYR
2011-12-29,5.78,5.82,5.73,5.79,3161300,MYR
2011-12-30,5.79,5.92,5.78,5.9,8555800,MYR
2012-01-03,5.82,6.0,5.81,5.95,4039100,MYR
2012-01-04,5.95,6.01,5.88,5.97,2912700,MYR
2012-01-05,5.97,6.0,5.88,5.97,2859100,MYR
2012-01-06,5.98,6.01,5.95,5.96,2492800,MYR
2012-01-09,5.97,6.09,5.96,6.09,2582700,MYR
2012-01-10,6.08,6.08,6.05,6.07,3165000,MYR
2012-01-11,6.19,6.19,6.12,6.16,10266500,MYR
2012-01-12,6.16,6.23,6.14,6.23,6721800,MYR
2012-01-13,6.23,6.4,6.23,6.23,7317000,MYR
2012-01-16,6.23,6.23,6.09,6.12,2151700,MYR
2012-01-17,6.08,6.23,6.06,6.23,3913900,MYR
2012-01-18,6.18,6.18,6.07,6.1,5450700,MYR
2012-01-19,6.1,6.14,6.06,6.1,5227900,MYR
2012-01-20,6.13,6.13,6.08,6.1,1645600,MYR
2012-01-25,6.14,6.16,6.08,6.1,1337300,MYR
2012-01-26,6.1,6.14,6.08,6.14,1856900,MYR
2012-01-27,6.13,6.13,6.06,6.1,2428300,MYR
2012-01-30,6.08,6.13,5.96,5.97,3159500,MYR
2012-01-31,5.97,6.0,5.86,6.0,4499700,MYR
2012-02-02,6.0,6.0,5.88,6.0,3108300,MYR
2012-02-03,6.0,6.06,5.92,5.99,3251600,MYR
2012-02-08,5.97,6.38,5.92,6.38,8012800,MYR
2012-02-09,6.17,6.38,6.12,6.3,5017400,MYR
2012-02-10,6.27,6.27,6.09,6.11,2292700,MYR
2012-02-13,6.08,6.19,6.08,6.19,1684300,MYR
2012-02-14,6.15,6.18,6.07,6.13,2860100,MYR
2012-02-15,6.12,6.15,6.1,6.13,1525500,MYR
