Date,Open,High,Low,Close,Volume,Currency
2013-10-03,0.46,0.46,0.46,0.46,24600,MYR
2013-10-04,0.46,0.46,0.46,0.46,10000,MYR
2013-10-08,0.46,0.46,0.46,0.46,20000,MYR
2013-10-09,0.44,0.44,0.435,0.435,40000,MYR
2013-10-14,0.41,0.45,0.4,0.43,524000,MYR
2013-10-16,0.425,0.445,0.42,0.42,306000,MYR
2013-10-21,0.44,0.44,0.44,0.44,10000,MYR
2013-10-22,0.44,0.46,0.44,0.46,12000,MYR
2013-10-30,0.455,0.46,0.455,0.46,90000,MYR
2013-11-01,0.46,0.46,0.46,0.46,6000,MYR
2013-11-07,0.46,0.46,0.46,0.46,1000,MYR
2013-11-08,0.46,0.46,0.46,0.46,3000,MYR
2013-11-13,0.45,0.45,0.45,0.45,120000,MYR
2013-11-14,0.46,0.46,0.45,0.45,55000,MYR
2013-11-19,0.445,0.445,0.445,0.445,5000,MYR
2013-11-25,0.45,0.45,0.44,0.45,283800,MYR
2013-11-28,0.45,0.45,0.445,0.45,120000,MYR
2013-11-29,0.46,0.48,0.46,0.48,7000,MYR
2013-12-02,0.5,0.5,0.5,0.5,9000,MYR
2013-12-03,0.48,0.48,0.48,0.48,11000,MYR
2013-12-05,0.45,0.45,0.45,0.45,10000,MYR
2013-12-10,0.46,0.46,0.46,0.46,30000,MYR
2013-12-12,0.46,0.46,0.46,0.46,1000,MYR
2013-12-16,0.46,0.46,0.46,0.46,14700,MYR
2013-12-20,0.46,0.48,0.46,0.47,193000,MYR
2013-12-23,0.43,0.47,0.405,0.45,242500,MYR
2013-12-24,0.44,0.46,0.44,0.45,29500,MYR
2013-12-26,0.46,0.46,0.46,0.46,5000,MYR
2013-12-27,0.46,0.46,0.46,0.46,120000,MYR
2013-12-30,0.47,0.47,0.47,0.47,226000,MYR
2013-12-31,0.47,0.47,0.47,0.47,49000,MYR
2014-01-03,0.47,0.5,0.47,0.5,175000,MYR
2014-01-06,0.5,0.5,0.45,0.48,139900,MYR
2014-01-08,0.48,0.48,0.48,0.48,20000,MYR
2014-01-09,0.49,0.49,0.48,0.48,25000,MYR
2014-01-10,0.495,0.495,0.495,0.495,3000,MYR
2014-01-13,0.49,0.5,0.49,0.49,52000,MYR
2014-01-15,0.49,0.5,0.49,0.5,127800,MYR
2014-01-20,0.5,0.5,0.5,0.5,60000,MYR
2014-01-22,0.49,0.53,0.49,0.53,25000,MYR
