Date,Open,High,Low,Close,Volume,Currency
2013-03-14,1.37,1.37,1.36,1.37,20000,MYR
2013-03-15,1.33,1.4,1.33,1.4,700,MYR
2013-03-22,1.33,1.36,1.33,1.36,4600,MYR
2013-03-26,1.34,1.36,1.34,1.36,3200,MYR
2013-03-28,1.36,1.36,1.36,1.36,3200,MYR
2013-03-29,1.37,1.37,1.37,1.37,3600,MYR
2013-04-02,1.37,1.37,1.37,1.37,6600,MYR
2013-04-03,1.37,1.37,1.34,1.37,5000,MYR
2013-04-09,1.39,1.4,1.39,1.4,11600,MYR
2013-04-10,1.4,1.45,1.4,1.42,6000,MYR
2013-04-15,1.38,1.38,1.38,1.38,5000,MYR
2013-04-18,1.4,1.4,1.38,1.38,3200,MYR
2013-04-19,1.38,1.4,1.38,1.38,2600,MYR
2013-04-24,1.38,1.38,1.37,1.38,20900,MYR
2013-04-26,1.4,1.4,1.4,1.4,3200,MYR
2013-05-03,1.38,1.38,1.38,1.38,4800,MYR
2013-05-06,1.38,1.38,1.38,1.38,3000,MYR
2013-05-08,1.4,1.4,1.4,1.4,14800,MYR
2013-05-10,1.38,1.38,1.38,1.38,7500,MYR
2013-05-13,1.38,1.38,1.38,1.38,2000,MYR
2013-05-15,1.39,1.39,1.39,1.39,1600,MYR
2013-05-16,1.39,1.39,1.39,1.39,100,MYR
2013-05-20,1.38,1.38,1.38,1.38,1400,MYR
2013-05-22,1.45,1.45,1.45,1.45,10000,MYR
2013-05-28,1.45,1.45,1.45,1.45,2000,MYR
2013-05-30,1.45,1.45,1.4,1.45,6500,MYR
2013-06-10,1.36,1.45,1.36,1.45,11600,MYR
2013-06-24,1.38,1.38,1.38,1.38,1600,MYR
2013-06-26,1.43,1.43,1.43,1.43,2000,MYR
2013-06-27,1.48,1.5,1.48,1.5,3200,MYR
2013-06-28,1.46,1.5,1.46,1.5,10000,MYR
2013-07-01,1.55,1.55,1.55,1.55,100,MYR
2013-07-15,1.46,1.46,1.46,1.46,2000,MYR
2013-07-17,1.46,1.46,1.46,1.46,1000,MYR
2013-07-23,1.46,1.46,1.46,1.46,7800,MYR
2013-07-29,1.46,1.46,1.46,1.46,1000,MYR
2013-07-30,1.46,1.46,1.46,1.46,2000,MYR
2013-08-12,1.46,1.46,1.46,1.46,3200,MYR
2013-08-14,1.46,1.46,1.46,1.46,1000,MYR
2013-08-15,1.46,1.46,1.46,1.46,1600,MYR
2013-08-19,1.48,1.48,1.48,1.48,1600,MYR
2013-08-22,1.48,1.48,1.48,1.48,3000,MYR
2013-08-23,1.46,1.46,1.46,1.46,4000,MYR
2013-08-26,1.46,1.46,1.46,1.46,3000,MYR
2013-08-27,1.44,1.44,1.4,1.4,6600,MYR
2013-08-28,1.38,1.38,1.38,1.38,8900,MYR
2013-08-29,1.38,1.48,1.38,1.38,15400,MYR
2013-08-30,1.38,1.38,1.38,1.38,5000,MYR
2013-09-02,1.38,1.38,1.38,1.38,3000,MYR
2013-09-03,1.38,1.38,1.38,1.38,5000,MYR
2013-09-11,1.54,1.54,1.54,1.54,2000,MYR
2013-09-19,1.39,1.54,1.39,1.54,3600,MYR
2013-09-20,1.42,1.53,1.42,1.53,6700,MYR
2013-09-23,1.45,1.45,1.45,1.45,1600,MYR
2013-09-24,1.55,1.55,1.55,1.55,5000,MYR
2013-10-04,1.54,1.54,1.54,1.54,700,MYR
2013-10-08,1.48,1.48,1.48,1.48,3900,MYR
2013-10-11,1.48,1.48,1.48,1.48,2500,MYR
2013-10-14,1.49,1.49,1.49,1.49,2000,MYR
2013-10-16,1.48,1.48,1.48,1.48,1000,MYR
2013-10-17,1.49,1.49,1.49,1.49,1600,MYR
2013-10-21,1.5,1.5,1.5,1.5,10000,MYR
2013-10-22,1.5,1.5,1.5,1.5,1400,MYR
2013-10-24,1.5,1.5,1.5,1.5,3000,MYR
2013-10-28,1.53,1.53,1.5,1.51,11000,MYR
2013-10-29,1.49,1.53,1.49,1.53,4600,MYR
2013-11-01,1.55,1.58,1.55,1.58,18900,MYR
2013-11-04,1.57,1.59,1.57,1.59,34000,MYR
2013-11-06,1.57,1.59,1.57,1.57,53200,MYR
2013-11-07,1.58,1.58,1.57,1.57,8000,MYR
2013-11-08,1.59,1.59,1.56,1.56,17400,MYR
2013-11-11,1.57,1.57,1.55,1.56,9000,MYR
2013-11-12,1.56,1.6,1.56,1.57,22100,MYR
2013-11-13,1.58,1.58,1.57,1.57,10900,MYR
2013-11-14,1.56,1.59,1.55,1.58,22000,MYR
2013-11-15,1.57,1.58,1.57,1.58,11000,MYR
2013-11-18,1.58,1.58,1.55,1.55,19900,MYR
2013-11-19,1.59,1.59,1.59,1.59,6900,MYR
2013-11-20,1.59,1.59,1.59,1.59,5000,MYR
2013-11-21,1.59,1.6,1.59,1.59,18200,MYR
2013-11-22,1.59,1.6,1.59,1.6,19800,MYR
2013-11-26,1.61,1.61,1.58,1.58,14000,MYR
2013-11-27,1.58,1.6,1.58,1.6,20000,MYR
2013-11-28,1.6,1.6,1.59,1.6,20000,MYR
2013-11-29,1.59,1.6,1.59,1.6,3000,MYR
2013-12-02,1.61,1.62,1.6,1.62,8000,MYR
2013-12-03,1.55,1.55,1.53,1.53,10000,MYR
2013-12-05,1.5,1.5,1.5,1.5,10000,MYR
2013-12-09,1.45,1.5,1.45,1.5,1000,MYR
2013-12-12,1.42,1.42,1.42,1.42,1600,MYR
2013-12-16,1.4,1.4,1.4,1.4,100,MYR
2013-12-17,1.4,1.4,1.29,1.4,3300,MYR
2013-12-26,1.5,1.5,1.5,1.5,5000,MYR
2013-12-27,1.55,1.55,1.55,1.55,200,MYR
2014-01-02,1.42,1.42,1.42,1.42,1600,MYR
2014-01-03,1.45,1.45,1.45,1.45,1500,MYR
2014-01-06,1.5,1.5,1.5,1.5,2000,MYR
2014-01-07,1.5,1.5,1.45,1.45,15100,MYR
2014-01-09,1.5,1.6,1.5,1.6,6000,MYR
2014-01-21,1.5,1.5,1.4,1.4,8200,MYR
2014-01-22,1.45,1.5,1.45,1.46,14600,MYR
2014-01-27,1.46,1.5,1.45,1.45,3400,MYR
2014-01-28,1.45,1.45,1.45,1.45,2000,MYR
2014-02-04,1.48,1.48,1.48,1.48,200,MYR
2014-02-05,1.48,1.5,1.45,1.45,7000,MYR
2014-02-07,1.48,1.5,1.48,1.5,4000,MYR
2014-02-10,1.45,1.45,1.45,1.45,11000,MYR
2014-02-11,1.45,1.45,1.45,1.45,14300,MYR
2014-02-12,1.45,1.45,1.45,1.45,1600,MYR
2014-02-13,1.45,1.45,1.45,1.45,5200,MYR
2014-02-18,1.45,1.45,1.45,1.45,8100,MYR
2014-02-19,1.45,1.45,1.45,1.45,1000,MYR
2014-02-26,1.47,1.5,1.47,1.5,5500,MYR
2014-03-07,1.48,1.48,1.48,1.48,3000,MYR
2014-03-20,1.5,1.54,1.5,1.54,1800,MYR
2014-03-24,1.58,1.58,1.58,1.58,3000,MYR
2014-03-25,1.48,1.48,1.48,1.48,2000,MYR
2014-03-26,1.5,1.5,1.5,1.5,10000,MYR
2014-03-31,1.46,1.46,1.46,1.46,1800,MYR
2014-04-02,1.46,1.46,1.46,1.46,17100,MYR
2014-04-03,1.5,1.5,1.5,1.5,2000,MYR
2014-04-04,1.5,1.5,1.5,1.5,4000,MYR
2014-04-07,1.49,1.49,1.48,1.48,4000,MYR
2014-04-09,1.5,1.5,1.48,1.48,2600,MYR
2014-04-10,1.5,1.5,1.5,1.5,3200,MYR
2014-04-11,1.52,1.6,1.52,1.58,18700,MYR
2014-04-14,1.51,1.58,1.51,1.57,25800,MYR
2014-04-15,1.58,1.6,1.55,1.55,12300,MYR
2014-04-16,1.55,1.55,1.55,1.55,1000,MYR
2014-04-17,1.55,1.55,1.55,1.55,9200,MYR
2014-04-18,1.56,1.56,1.56,1.56,4800,MYR
2014-04-21,1.57,1.57,1.57,1.57,3000,MYR
2014-04-22,1.59,1.59,1.59,1.59,7000,MYR
2014-04-30,1.55,1.58,1.53,1.58,11000,MYR
