Date,Open,High,Low,Close,Volume,Currency
2013-02-26,0.23,0.23,0.23,0.23,10200,MYR
2013-02-27,0.23,0.235,0.225,0.23,52300,MYR
2013-02-28,0.25,0.25,0.235,0.25,251000,MYR
2013-03-01,0.26,0.26,0.24,0.24,15800,MYR
2013-03-04,0.26,0.26,0.255,0.26,52500,MYR
2013-03-06,0.26,0.26,0.26,0.26,6200,MYR
2013-03-07,0.24,0.28,0.24,0.25,11800,MYR
2013-03-08,0.25,0.26,0.25,0.25,3700,MYR
2013-03-11,0.28,0.28,0.28,0.28,21000,MYR
2013-03-12,0.28,0.35,0.28,0.35,10100,MYR
2013-03-19,0.26,0.31,0.26,0.3,45300,MYR
2013-03-20,0.28,0.3,0.28,0.3,10200,MYR
2013-03-25,0.27,0.3,0.27,0.3,2100,MYR
2013-03-27,0.3,0.31,0.285,0.285,55000,MYR
2013-03-28,0.28,0.305,0.28,0.305,1800,MYR
2013-03-29,0.31,0.31,0.31,0.31,15000,MYR
2013-04-01,0.305,0.315,0.28,0.305,40800,MYR
2013-04-02,0.285,0.285,0.285,0.285,10000,MYR
2013-04-03,0.285,0.3,0.28,0.3,45500,MYR
2013-04-05,0.28,0.3,0.28,0.28,11900,MYR
2013-04-08,0.28,0.28,0.28,0.28,900,MYR
2013-04-09,0.3,0.35,0.3,0.32,262500,MYR
2013-04-10,0.33,0.37,0.33,0.365,263500,MYR
2013-04-11,0.355,0.365,0.33,0.36,87100,MYR
2013-04-16,0.33,0.36,0.325,0.355,40200,MYR
2013-04-18,0.345,0.38,0.32,0.34,190500,MYR
2013-04-19,0.35,0.38,0.31,0.33,544500,MYR
2013-04-22,0.345,0.345,0.33,0.345,5500,MYR
2013-04-23,0.32,0.37,0.32,0.37,800,MYR
2013-04-24,0.345,0.35,0.32,0.35,92200,MYR
2013-04-25,0.34,0.355,0.335,0.355,262500,MYR
2013-04-26,0.35,0.5,0.33,0.34,182000,MYR
2013-04-29,0.335,0.335,0.305,0.33,221800,MYR
2013-04-30,0.31,0.31,0.3,0.3,3200,MYR
2013-05-02,0.285,0.33,0.285,0.33,61000,MYR
2013-05-03,0.32,0.32,0.305,0.32,158300,MYR
2013-05-06,0.315,0.32,0.305,0.32,137500,MYR
2013-05-07,0.31,0.31,0.31,0.31,600,MYR
2013-05-08,0.3,0.345,0.3,0.315,45700,MYR
2013-05-09,0.33,0.33,0.32,0.32,50000,MYR
2013-05-10,0.31,0.325,0.31,0.325,45200,MYR
2013-05-13,0.32,0.33,0.32,0.33,55600,MYR
2013-05-14,0.33,0.375,0.33,0.375,185800,MYR
2013-05-15,0.36,0.365,0.355,0.365,149400,MYR
2013-05-16,0.34,0.37,0.34,0.345,35500,MYR
2013-05-17,0.34,0.355,0.34,0.35,8100,MYR
2013-05-20,0.35,0.35,0.35,0.35,10000,MYR
2013-05-21,0.33,0.345,0.33,0.345,32500,MYR
2013-05-22,0.35,0.385,0.35,0.36,154900,MYR
2013-05-23,0.35,0.355,0.33,0.33,10600,MYR
2013-05-27,0.325,0.325,0.325,0.325,53800,MYR
2013-05-28,0.325,0.33,0.325,0.33,30400,MYR
2013-05-29,0.33,0.33,0.325,0.325,53500,MYR
2013-05-30,0.325,0.325,0.325,0.325,100,MYR
2013-06-04,0.32,0.34,0.315,0.34,17200,MYR
2013-06-05,0.34,0.355,0.34,0.355,10200,MYR
2013-06-06,0.325,0.34,0.32,0.34,32000,MYR
2013-06-07,0.355,0.38,0.345,0.345,35000,MYR
2013-06-10,0.36,0.36,0.36,0.36,20000,MYR
2013-06-11,0.34,0.34,0.335,0.335,15000,MYR
2013-06-12,0.33,0.335,0.33,0.33,125000,MYR
2013-06-13,0.33,0.33,0.325,0.325,82800,MYR
2013-06-17,0.32,0.32,0.32,0.32,15000,MYR
2013-06-19,0.315,0.32,0.315,0.32,19200,MYR
2013-06-20,0.35,0.4,0.325,0.325,75300,MYR
2013-06-21,0.32,0.32,0.32,0.32,29400,MYR
2013-06-24,0.36,0.36,0.315,0.32,700,MYR
2013-06-25,0.29,0.29,0.285,0.285,15000,MYR
2013-06-26,0.29,0.34,0.29,0.335,89800,MYR
2013-06-27,0.3,0.335,0.3,0.335,53400,MYR
2013-06-28,0.33,0.35,0.33,0.35,21800,MYR
2013-07-01,0.31,0.31,0.31,0.31,16500,MYR
2013-07-02,0.34,0.345,0.34,0.34,20100,MYR
2013-07-03,0.33,0.33,0.33,0.33,11300,MYR
2013-07-04,0.32,0.32,0.32,0.32,12600,MYR
2013-07-05,0.34,0.34,0.33,0.33,26200,MYR
2013-07-08,0.33,0.33,0.32,0.32,19000,MYR
2013-07-09,0.315,0.34,0.315,0.33,66800,MYR
2013-07-10,0.32,0.33,0.32,0.33,72000,MYR
2013-07-11,0.33,0.345,0.33,0.335,24800,MYR
2013-07-12,0.32,0.32,0.32,0.32,8000,MYR
2013-07-15,0.32,0.32,0.32,0.32,15000,MYR
2013-07-16,0.32,0.32,0.31,0.32,30600,MYR
2013-07-17,0.32,0.33,0.32,0.33,30200,MYR
2013-07-18,0.32,0.335,0.32,0.335,152000,MYR
2013-07-19,0.335,0.335,0.32,0.33,87500,MYR
2013-07-22,0.32,0.32,0.32,0.32,6000,MYR
2013-07-23,0.32,0.375,0.32,0.375,489400,MYR
2013-07-24,0.37,0.37,0.345,0.345,71600,MYR
2013-07-25,0.36,0.36,0.34,0.34,600,MYR
2013-07-26,0.34,0.37,0.34,0.37,67900,MYR
2013-07-29,0.36,0.435,0.355,0.435,547000,MYR
2013-07-30,0.4,0.43,0.395,0.415,108300,MYR
2013-07-31,0.4,0.42,0.4,0.4,356700,MYR
2013-08-01,0.42,0.42,0.39,0.41,51600,MYR
2013-08-02,0.405,0.42,0.4,0.415,27400,MYR
2013-08-05,0.39,0.39,0.39,0.39,20000,MYR
2013-08-06,0.39,0.405,0.385,0.405,41200,MYR
2013-08-13,0.375,0.405,0.375,0.4,23200,MYR
2013-08-14,0.405,0.42,0.4,0.4,28300,MYR
2013-08-15,0.39,0.41,0.39,0.41,35800,MYR
2013-08-16,0.4,0.41,0.4,0.4,38000,MYR
2013-08-19,0.4,0.42,0.4,0.405,126800,MYR
2013-08-20,0.4,0.42,0.39,0.42,113400,MYR
2013-08-21,0.41,0.445,0.41,0.445,82800,MYR
2013-08-22,0.4,0.4,0.385,0.395,87600,MYR
2013-08-23,0.39,0.435,0.39,0.435,29900,MYR
2013-08-26,0.4,0.415,0.4,0.4,180200,MYR
2013-08-27,0.39,0.395,0.39,0.39,223300,MYR
2013-08-28,0.32,0.37,0.31,0.36,82100,MYR
2013-08-29,0.365,0.37,0.355,0.37,157000,MYR
2013-08-30,0.34,0.41,0.34,0.41,26300,MYR
2013-09-02,0.49,0.49,0.49,0.49,100,MYR
2013-09-04,0.42,0.42,0.4,0.4,8000,MYR
2013-09-05,0.37,0.47,0.37,0.47,28100,MYR
2013-09-06,0.385,0.39,0.385,0.385,30100,MYR
2013-09-09,0.4,0.405,0.395,0.405,11900,MYR
2013-09-10,0.395,0.425,0.39,0.425,10800,MYR
2013-09-11,0.39,0.41,0.39,0.41,20500,MYR
2013-09-12,0.4,0.4,0.4,0.4,100,MYR
2013-09-13,0.395,0.445,0.395,0.445,600,MYR
2013-09-18,0.44,0.44,0.405,0.405,300,MYR
2013-09-20,0.385,0.45,0.385,0.45,600,MYR
2013-09-23,0.4,0.425,0.4,0.425,33200,MYR
2013-09-25,0.4,0.435,0.39,0.435,700,MYR
2013-09-26,0.435,0.435,0.435,0.435,2500,MYR
2013-09-27,0.41,0.41,0.4,0.4,27400,MYR
2013-09-30,0.39,0.4,0.39,0.4,2900,MYR
2013-10-01,0.39,0.4,0.39,0.4,28000,MYR
2013-10-02,0.395,0.4,0.395,0.4,101400,MYR
2013-10-03,0.395,0.4,0.395,0.4,50000,MYR
2013-10-04,0.39,0.405,0.39,0.405,600,MYR
2013-10-07,0.405,0.43,0.395,0.4,15700,MYR
2013-10-08,0.39,0.39,0.39,0.39,7000,MYR
2013-10-09,0.395,0.395,0.39,0.39,7600,MYR
2013-10-10,0.43,0.43,0.43,0.43,100,MYR
2013-10-11,0.42,0.58,0.42,0.445,110000,MYR
2013-10-14,0.445,0.45,0.445,0.45,50000,MYR
2013-10-17,0.435,0.435,0.435,0.435,15000,MYR
2013-10-18,0.405,0.445,0.405,0.445,1700,MYR
2013-10-21,0.4,0.415,0.4,0.41,76500,MYR
2013-10-22,0.4,0.4,0.4,0.4,100,MYR
2013-10-23,0.41,0.44,0.39,0.415,10200,MYR
2013-10-25,0.415,0.45,0.39,0.42,38100,MYR
2013-10-28,0.415,0.415,0.4,0.4,66700,MYR
2013-10-29,0.395,0.415,0.39,0.415,16400,MYR
2013-10-30,0.415,0.415,0.415,0.415,5000,MYR
2013-10-31,0.4,0.405,0.395,0.4,24100,MYR
2013-11-01,0.4,0.4,0.4,0.4,100,MYR
2013-11-06,0.37,0.41,0.37,0.41,5100,MYR
2013-11-11,0.36,0.42,0.36,0.42,129400,MYR
2013-11-12,0.45,0.45,0.45,0.45,100,MYR
2013-11-14,0.39,0.42,0.39,0.42,5100,MYR
2013-11-15,0.4,0.4,0.39,0.4,2100,MYR
2013-11-18,0.38,0.4,0.38,0.4,1100,MYR
2013-11-19,0.38,0.38,0.38,0.38,35000,MYR
2013-11-20,0.38,0.38,0.38,0.38,20000,MYR
2013-11-21,0.37,0.37,0.37,0.37,10000,MYR
2013-11-22,0.4,0.41,0.385,0.385,101200,MYR
2013-11-25,0.46,0.46,0.46,0.46,100,MYR
2013-11-27,0.375,0.375,0.375,0.375,100,MYR
2013-12-03,0.36,0.39,0.36,0.39,15100,MYR
2013-12-04,0.39,0.39,0.34,0.39,10200,MYR
2013-12-09,0.365,0.365,0.365,0.365,10000,MYR
