Date,Open,High,Low,Close,Volume,Currency
2011-09-14,1.7,1.7,1.68,1.69,77400,MYR
2011-09-15,1.68,1.7,1.68,1.69,124320,MYR
2011-09-19,1.69,1.7,1.69,1.69,115920,MYR
2011-09-20,1.67,1.67,1.67,1.67,178200,MYR
2011-09-21,1.7,1.74,1.69,1.74,113760,MYR
2011-09-22,1.71,1.71,1.67,1.7,131640,MYR
2011-09-23,1.67,1.67,1.62,1.67,193560,MYR
2011-09-26,1.64,1.65,1.57,1.62,1668720,MYR
2011-09-27,1.62,1.66,1.62,1.65,153480,MYR
2011-09-28,1.66,1.67,1.61,1.65,919920,MYR
2011-09-29,1.63,1.67,1.63,1.66,574320,MYR
2011-09-30,1.64,1.67,1.62,1.62,316800,MYR
2011-10-03,1.62,1.63,1.62,1.62,135720,MYR
2011-10-04,1.61,1.63,1.6,1.62,490080,MYR
2011-10-05,1.61,1.63,1.61,1.62,251880,MYR
2011-10-06,1.62,1.63,1.6,1.6,768120,MYR
2011-10-07,1.6,1.64,1.6,1.62,391440,MYR
2011-10-10,1.6,1.61,1.6,1.61,6960,MYR
2011-10-11,1.62,1.63,1.62,1.63,305640,MYR
2011-10-12,1.62,1.65,1.62,1.65,257640,MYR
2011-10-13,1.67,1.67,1.65,1.67,328200,MYR
2011-10-14,1.67,1.67,1.64,1.65,851040,MYR
2011-10-17,1.65,1.68,1.65,1.66,530160,MYR
2011-10-18,1.67,1.67,1.65,1.65,183840,MYR
2011-10-19,1.65,1.68,1.65,1.68,185160,MYR
2011-10-20,1.66,1.66,1.65,1.66,100320,MYR
2011-10-21,1.69,1.71,1.69,1.7,571800,MYR
2011-10-24,1.7,1.71,1.7,1.71,209520,MYR
2011-10-25,1.72,1.73,1.7,1.73,146160,MYR
2011-10-27,1.72,1.74,1.72,1.73,436800,MYR
2011-10-28,1.73,1.75,1.71,1.75,107880,MYR
2011-10-31,1.74,1.75,1.74,1.75,143880,MYR
2011-11-01,1.71,1.73,1.71,1.73,82920,MYR
2011-11-02,1.71,1.72,1.69,1.71,180000,MYR
2011-11-03,1.71,1.71,1.7,1.7,169800,MYR
2011-11-04,1.73,1.73,1.7,1.72,25200,MYR
2011-11-08,1.71,1.71,1.7,1.7,26640,MYR
2011-11-09,1.73,1.73,1.71,1.71,87600,MYR
2011-11-10,1.69,1.71,1.69,1.69,30960,MYR
2011-11-11,1.69,1.72,1.69,1.71,18600,MYR
2011-11-14,1.73,1.78,1.73,1.77,619560,MYR
2011-11-15,1.78,1.79,1.77,1.77,604800,MYR
2011-11-16,1.8,1.8,1.77,1.77,107400,MYR
2011-11-17,1.77,1.8,1.77,1.78,588360,MYR
2011-11-18,1.78,1.78,1.73,1.75,218040,MYR
2011-11-21,1.75,1.76,1.74,1.76,30000,MYR
2011-11-22,1.75,1.77,1.75,1.77,44280,MYR
2011-11-23,1.75,1.76,1.75,1.76,144960,MYR
2011-11-24,1.75,1.76,1.75,1.75,34800,MYR
2011-11-25,1.77,1.77,1.75,1.77,149400,MYR
2011-11-29,1.77,1.77,1.76,1.77,534600,MYR
2011-11-30,1.77,1.78,1.76,1.78,1544280,MYR
2011-12-01,1.79,1.79,1.75,1.77,416400,MYR
2011-12-02,1.77,1.77,1.73,1.75,1250880,MYR
2011-12-05,1.76,1.76,1.74,1.74,1005240,MYR
2011-12-06,1.74,1.74,1.73,1.73,169200,MYR
2011-12-07,1.77,1.77,1.74,1.74,204360,MYR
2011-12-08,1.77,1.77,1.73,1.74,529560,MYR
2011-12-09,1.74,1.77,1.73,1.76,559680,MYR
2011-12-12,1.75,1.77,1.75,1.77,331440,MYR
2011-12-13,1.75,1.77,1.75,1.75,82200,MYR
2011-12-14,1.75,1.77,1.75,1.77,1449240,MYR
2011-12-15,1.77,1.77,1.75,1.77,85680,MYR
2011-12-16,1.77,1.77,1.76,1.76,68400,MYR
2011-12-19,1.76,1.77,1.76,1.76,101400,MYR
2011-12-20,1.77,1.77,1.75,1.77,38520,MYR
2011-12-21,1.76,1.76,1.75,1.76,1085040,MYR
2011-12-22,1.75,1.76,1.75,1.76,552120,MYR
2011-12-23,1.75,1.77,1.75,1.76,11955600,MYR
2011-12-27,1.76,1.76,1.75,1.76,1313760,MYR
2011-12-28,1.76,1.77,1.75,1.76,2731200,MYR
2011-12-29,1.76,1.77,1.75,1.76,2688120,MYR
2011-12-30,1.77,1.78,1.77,1.77,440760,MYR
2012-01-03,1.77,1.84,1.77,1.82,1581960,MYR
2012-01-04,1.84,1.88,1.84,1.87,1403400,MYR
2012-01-05,1.87,1.99,1.86,1.98,2131680,MYR
2012-01-06,1.98,2.01,1.96,2.0,4636080,MYR
2012-01-09,2.0,2.0,1.98,1.99,1111800,MYR
2012-01-10,2.01,2.06,1.99,2.0,2689200,MYR
2012-01-11,2.0,2.08,2.0,2.05,1186200,MYR
2012-01-12,2.08,2.08,2.04,2.05,1867200,MYR
2012-01-13,2.05,2.06,2.02,2.03,1925520,MYR
2012-01-16,2.02,2.02,1.98,2.0,2207400,MYR
2012-01-17,2.0,2.0,1.99,2.0,758280,MYR
2012-01-18,1.99,1.99,1.98,1.98,187200,MYR
2012-01-19,1.96,1.98,1.96,1.98,330840,MYR
2012-01-20,1.98,1.98,1.97,1.97,46680,MYR
2012-01-25,1.98,1.98,1.98,1.98,559800,MYR
2012-01-26,2.0,2.03,2.0,2.01,370800,MYR
2012-01-27,2.01,2.04,2.01,2.02,592680,MYR
2012-01-30,2.02,2.02,1.98,2.01,473640,MYR
2012-01-31,2.0,2.0,1.99,2.0,228840,MYR
2012-02-02,2.01,2.08,1.98,2.08,2385000,MYR
2012-02-03,2.08,2.08,2.03,2.03,796320,MYR
2012-02-08,2.04,2.08,2.02,2.06,695760,MYR
2012-02-09,2.06,2.07,2.05,2.06,365280,MYR
2012-02-10,2.05,2.08,2.04,2.08,1337400,MYR
2012-02-13,2.08,2.08,2.02,2.06,411240,MYR
2012-02-14,2.06,2.08,2.04,2.07,751200,MYR
2012-02-15,2.07,2.18,2.06,2.17,4902120,MYR
2012-02-16,2.17,2.27,2.17,2.23,5737560,MYR
2012-02-17,2.23,2.27,2.2,2.27,2145720,MYR
2012-02-20,2.27,2.35,2.27,2.33,2368800,MYR
2012-02-21,2.33,2.37,2.27,2.29,1735680,MYR
2012-02-22,2.29,2.33,2.29,2.33,1489680,MYR
2012-02-23,2.33,2.33,2.27,2.3,1549200,MYR
2012-02-24,2.3,2.31,2.23,2.24,902040,MYR
2012-02-27,2.24,2.31,2.24,2.3,684000,MYR
2012-02-28,2.27,2.29,2.25,2.25,7687200,MYR
2012-02-29,2.25,2.27,2.25,2.27,434520,MYR
2012-03-01,2.26,2.28,2.25,2.28,338160,MYR
2012-03-02,2.28,2.33,2.27,2.33,499440,MYR
2012-03-05,2.35,2.37,2.33,2.36,1679520,MYR
2012-03-06,2.36,2.38,2.36,2.36,556560,MYR
2012-03-07,2.33,2.37,2.32,2.37,544200,MYR
2012-03-08,2.38,2.4,2.37,2.39,1120920,MYR
2012-03-09,2.4,2.47,2.4,2.42,2796720,MYR
2012-03-12,2.43,2.45,2.43,2.43,798240,MYR
2012-03-13,2.42,2.43,2.41,2.41,413760,MYR
