Date,Open,High,Low,Close,Volume,Currency
2013-03-04,2.02,2.02,2.01,2.01,10000,MYR
2013-03-05,2.03,2.09,2.02,2.09,287300,MYR
2013-03-06,2.09,2.13,2.09,2.13,207500,MYR
2013-03-07,2.12,2.16,2.12,2.16,340000,MYR
2013-03-11,2.11,2.11,2.11,2.11,3000,MYR
2013-03-13,2.09,2.09,2.09,2.09,9900,MYR
2013-03-14,2.12,2.12,2.1,2.1,357000,MYR
2013-03-15,2.1,2.11,2.1,2.11,22000,MYR
2013-03-19,2.14,2.17,2.11,2.17,256000,MYR
2013-03-21,2.1,2.1,2.1,2.1,5000,MYR
2013-03-22,2.11,2.13,2.11,2.13,25000,MYR
2013-03-25,2.14,2.19,2.14,2.19,396100,MYR
2013-03-26,2.18,2.22,2.18,2.22,126500,MYR
2013-03-27,2.15,2.27,2.15,2.27,133700,MYR
2013-03-28,2.24,2.24,2.23,2.24,73600,MYR
2013-03-29,2.24,2.27,2.24,2.27,40900,MYR
2013-04-01,2.27,2.27,2.17,2.27,24000,MYR
2013-04-03,2.18,2.23,2.18,2.21,56000,MYR
2013-04-04,2.2,2.21,2.2,2.21,122000,MYR
2013-04-05,2.2,2.21,2.18,2.2,127600,MYR
2013-04-08,2.2,2.27,2.2,2.26,247000,MYR
2013-04-09,2.26,2.34,2.26,2.34,520300,MYR
2013-04-10,2.29,2.3,2.29,2.3,74000,MYR
2013-04-11,2.3,2.3,2.24,2.26,29000,MYR
2013-04-12,2.26,2.26,2.23,2.26,17000,MYR
2013-04-15,2.28,2.28,2.28,2.28,14000,MYR
2013-04-16,2.28,2.28,2.28,2.28,22900,MYR
2013-04-17,2.28,2.3,2.28,2.28,58200,MYR
2013-04-18,2.29,2.33,2.29,2.31,67400,MYR
2013-04-19,2.31,2.32,2.3,2.3,12000,MYR
2013-04-22,2.3,2.31,2.3,2.31,32100,MYR
2013-04-23,2.32,2.32,2.32,2.32,38000,MYR
2013-04-24,2.3,2.3,2.28,2.28,182000,MYR
2013-04-25,2.33,2.33,2.29,2.33,66600,MYR
2013-04-26,2.32,2.32,2.32,2.32,52300,MYR
2013-04-29,2.24,2.35,2.23,2.35,226500,MYR
2013-04-30,2.21,2.29,2.21,2.29,2800,MYR
2013-05-02,2.34,2.34,2.3,2.32,49000,MYR
2013-05-03,2.3,2.32,2.3,2.32,7000,MYR
2013-05-06,2.32,2.36,2.32,2.36,73000,MYR
2013-05-07,2.36,2.36,2.34,2.36,16800,MYR
2013-05-08,2.34,2.34,2.29,2.29,23000,MYR
2013-05-09,2.34,2.37,2.34,2.37,71200,MYR
2013-05-10,2.39,2.6,2.39,2.56,323100,MYR
2013-05-13,2.58,2.65,2.51,2.52,128100,MYR
2013-05-14,2.54,2.54,2.51,2.52,64400,MYR
2013-05-15,2.54,2.56,2.52,2.55,18500,MYR
2013-05-16,2.55,2.55,2.43,2.47,867800,MYR
2013-05-17,2.47,2.47,2.44,2.45,372200,MYR
2013-05-20,2.44,2.54,2.44,2.53,298800,MYR
2013-05-21,2.55,2.55,2.53,2.54,488100,MYR
2013-05-22,2.54,2.55,2.53,2.55,110500,MYR
2013-05-23,2.55,2.55,2.48,2.55,157300,MYR
2013-05-27,2.52,2.52,2.48,2.49,304500,MYR
2013-05-28,2.5,2.51,2.46,2.47,608800,MYR
2013-05-29,2.47,2.52,2.47,2.51,32300,MYR
2013-05-30,2.5,2.55,2.5,2.55,352400,MYR
2013-05-31,2.54,2.57,2.53,2.57,505500,MYR
2013-06-03,2.56,2.59,2.56,2.58,119500,MYR
2013-06-04,2.59,2.59,2.51,2.52,609500,MYR
2013-06-05,2.53,2.53,2.52,2.52,14300,MYR
2013-06-06,2.53,2.59,2.52,2.59,8700,MYR
