Date,Open,High,Low,Close,Volume,Currency
2013-04-29,0.241,0.241,0.237,0.237,13157800,MYR
2013-04-30,0.241,0.241,0.237,0.237,9553700,MYR
2013-05-02,0.237,0.241,0.237,0.237,13273500,MYR
2013-05-03,0.241,0.241,0.233,0.233,10300600,MYR
2013-05-06,0.237,0.25,0.237,0.25,12015300,MYR
2013-05-07,0.25,0.25,0.246,0.25,10580700,MYR
2013-05-08,0.254,0.254,0.246,0.25,13946200,MYR
2013-05-09,0.25,0.268,0.25,0.254,15579500,MYR
2013-05-10,0.254,0.263,0.254,0.263,16088800,MYR
2013-05-13,0.259,0.259,0.25,0.259,20650100,MYR
2013-05-14,0.259,0.289,0.254,0.285,62049500,MYR
2013-05-15,0.289,0.311,0.281,0.307,63116800,MYR
2013-05-16,0.307,0.333,0.298,0.329,69259000,MYR
2013-05-17,0.329,0.342,0.325,0.329,63972400,MYR
2013-05-20,0.333,0.351,0.333,0.351,44739500,MYR
2013-05-21,0.351,0.351,0.32,0.32,94208096,MYR
2013-05-22,0.316,0.338,0.307,0.325,62104000,MYR
2013-05-23,0.32,0.325,0.307,0.307,39788800,MYR
2013-05-27,0.311,0.316,0.303,0.307,20947300,MYR
2013-05-28,0.307,0.32,0.246,0.259,199954000,MYR
2013-05-29,0.259,0.272,0.254,0.259,62851000,MYR
2013-05-30,0.254,0.259,0.246,0.25,38669700,MYR
2013-05-31,0.25,0.25,0.228,0.237,26541400,MYR
2013-06-03,0.228,0.228,0.215,0.215,34436600,MYR
2013-06-04,0.219,0.233,0.215,0.233,48260900,MYR
2013-06-05,0.228,0.237,0.219,0.224,33894300,MYR
2013-06-06,0.219,0.224,0.211,0.215,19795600,MYR
2013-06-07,0.215,0.219,0.215,0.215,20069600,MYR
2013-06-10,0.219,0.224,0.215,0.215,13699300,MYR
2013-06-11,0.215,0.219,0.206,0.206,25815500,MYR
2013-06-12,0.206,0.211,0.202,0.202,5762200,MYR
2013-06-13,0.202,0.206,0.193,0.202,14495900,MYR
2013-06-14,0.206,0.211,0.197,0.202,18487200,MYR
2013-06-17,0.202,0.206,0.197,0.197,15176600,MYR
2013-06-18,0.202,0.206,0.197,0.197,7571000,MYR
2013-06-19,0.202,0.206,0.197,0.202,10530900,MYR
2013-06-20,0.202,0.202,0.193,0.193,15193800,MYR
2013-06-21,0.189,0.193,0.184,0.189,8139800,MYR
2013-06-24,0.193,0.193,0.18,0.184,3870700,MYR
2013-06-25,0.18,0.189,0.175,0.189,17971000,MYR
2013-06-26,0.189,0.193,0.18,0.184,11415800,MYR
2013-06-27,0.184,0.189,0.184,0.184,7327500,MYR
2013-06-28,0.184,0.202,0.184,0.197,16478800,MYR
2013-07-01,0.197,0.202,0.189,0.202,14730000,MYR
2013-07-02,0.202,0.202,0.197,0.197,5192100,MYR
2013-07-03,0.193,0.197,0.189,0.189,7164900,MYR
2013-07-04,0.189,0.193,0.184,0.189,4263800,MYR
2013-07-05,0.189,0.197,0.189,0.193,15104700,MYR
2013-07-08,0.193,0.197,0.189,0.197,4945100,MYR
2013-07-09,0.193,0.224,0.193,0.215,49857200,MYR
2013-07-10,0.219,0.224,0.202,0.206,20630300,MYR
2013-07-11,0.206,0.206,0.197,0.206,5447700,MYR
2013-07-12,0.206,0.206,0.197,0.197,4523100,MYR
2013-07-15,0.197,0.202,0.193,0.197,10238900,MYR
2013-07-16,0.197,0.206,0.197,0.197,14211600,MYR
2013-07-17,0.197,0.202,0.197,0.197,4470900,MYR
2013-07-18,0.197,0.202,0.197,0.197,3037100,MYR
2013-07-19,0.202,0.211,0.202,0.202,22012100,MYR
2013-07-22,0.202,0.206,0.197,0.197,7756600,MYR
2013-07-23,0.197,0.215,0.197,0.206,27672300,MYR
2013-07-24,0.206,0.211,0.202,0.206,4097200,MYR
2013-07-25,0.206,0.211,0.202,0.206,18799900,MYR
2013-07-26,0.206,0.206,0.197,0.202,2902000,MYR
2013-07-29,0.202,0.202,0.193,0.197,8998200,MYR
2013-07-30,0.197,0.197,0.193,0.197,7216700,MYR
2013-07-31,0.197,0.202,0.197,0.202,17263900,MYR
2013-08-01,0.197,0.202,0.197,0.202,3048700,MYR
2013-08-02,0.202,0.202,0.197,0.197,4514700,MYR
2013-08-05,0.197,0.202,0.193,0.193,6256300,MYR
2013-08-06,0.197,0.206,0.197,0.202,16357500,MYR
2013-08-07,0.202,0.202,0.197,0.202,730300,MYR
2013-08-12,0.197,0.202,0.197,0.197,5077600,MYR
2013-08-13,0.197,0.211,0.197,0.206,39005500,MYR
2013-08-14,0.206,0.211,0.202,0.202,11547200,MYR
2013-08-15,0.206,0.211,0.202,0.202,1854400,MYR
2013-08-16,0.202,0.206,0.202,0.206,4036200,MYR
2013-08-19,0.206,0.219,0.202,0.215,48316000,MYR
2013-08-20,0.215,0.215,0.202,0.202,11040200,MYR
2013-08-21,0.202,0.202,0.197,0.202,1876000,MYR
2013-08-22,0.197,0.202,0.197,0.202,7286200,MYR
2013-08-23,0.202,0.206,0.197,0.197,22540600,MYR
2013-08-26,0.202,0.202,0.197,0.202,4761800,MYR
2013-08-27,0.202,0.206,0.189,0.197,15145100,MYR
2013-08-28,0.189,0.197,0.184,0.193,9224900,MYR
2013-08-29,0.193,0.202,0.193,0.193,20323600,MYR
2013-08-30,0.197,0.202,0.193,0.202,5101700,MYR
2013-09-02,0.197,0.202,0.193,0.197,10684000,MYR
2013-09-03,0.197,0.197,0.193,0.197,2617600,MYR
2013-09-04,0.202,0.202,0.193,0.202,24671800,MYR
2013-09-05,0.197,0.202,0.193,0.197,10045500,MYR
2013-09-06,0.193,0.202,0.193,0.193,6438500,MYR
2013-09-09,0.193,0.202,0.193,0.202,20176300,MYR
2013-09-10,0.202,0.202,0.197,0.202,13626500,MYR
2013-09-11,0.202,0.202,0.197,0.197,14713800,MYR
2013-09-12,0.202,0.202,0.197,0.202,11536300,MYR
2013-09-13,0.197,0.202,0.197,0.202,18369600,MYR
2013-09-17,0.202,0.206,0.197,0.206,19588500,MYR
2013-09-18,0.202,0.206,0.197,0.202,15381200,MYR
2013-09-19,0.202,0.202,0.197,0.202,15983400,MYR
2013-09-20,0.202,0.206,0.197,0.206,22562200,MYR
2013-09-23,0.202,0.211,0.202,0.211,25630900,MYR
2013-09-24,0.206,0.206,0.202,0.206,9907000,MYR
2013-09-25,0.202,0.206,0.197,0.202,14082100,MYR
2013-09-26,0.202,0.211,0.197,0.206,35370100,MYR
2013-09-27,0.206,0.211,0.202,0.206,19207200,MYR
2013-09-30,0.206,0.206,0.202,0.202,8577800,MYR
2013-10-01,0.206,0.215,0.202,0.206,43375300,MYR
2013-10-02,0.211,0.215,0.202,0.202,28553800,MYR
2013-10-03,0.206,0.211,0.202,0.206,17011000,MYR
2013-10-04,0.206,0.211,0.206,0.206,11190800,MYR
2013-10-07,0.211,0.211,0.202,0.202,35521200,MYR
2013-10-08,0.202,0.211,0.202,0.206,18876200,MYR
2013-10-09,0.206,0.211,0.202,0.206,18279100,MYR
2013-10-10,0.202,0.211,0.202,0.211,16179400,MYR
2013-10-11,0.211,0.211,0.202,0.206,40199800,MYR
2013-10-14,0.206,0.211,0.202,0.206,21616000,MYR
2013-10-16,0.206,0.211,0.206,0.206,16544200,MYR
2013-10-17,0.206,0.206,0.202,0.206,15458800,MYR
2013-10-18,0.206,0.206,0.202,0.206,23795100,MYR
2013-10-21,0.206,0.206,0.202,0.206,30925800,MYR
2013-10-22,0.206,0.206,0.202,0.206,11717800,MYR
2013-10-23,0.206,0.206,0.202,0.206,17092100,MYR
2013-10-24,0.202,0.206,0.202,0.206,23803100,MYR
2013-10-25,0.206,0.215,0.202,0.211,43822800,MYR
2013-10-28,0.206,0.215,0.206,0.215,15580600,MYR
2013-10-29,0.211,0.215,0.206,0.206,14040100,MYR
2013-10-30,0.206,0.211,0.206,0.206,21490000,MYR
2013-10-31,0.206,0.211,0.206,0.211,29845500,MYR
2013-11-01,0.215,0.219,0.211,0.219,32287300,MYR
2013-11-04,0.219,0.233,0.215,0.233,56557200,MYR
2013-11-06,0.233,0.246,0.228,0.246,52425200,MYR
2013-11-07,0.246,0.246,0.233,0.233,56820800,MYR
2013-11-08,0.233,0.233,0.224,0.228,23505700,MYR
2013-11-11,0.228,0.228,0.224,0.228,11101400,MYR
2013-11-12,0.228,0.237,0.228,0.228,62440800,MYR
2013-11-13,0.228,0.233,0.224,0.233,39362300,MYR
2013-11-14,0.233,0.237,0.228,0.237,22187500,MYR
2013-11-15,0.237,0.237,0.233,0.237,9989900,MYR
2013-11-18,0.237,0.241,0.233,0.241,46903400,MYR
2013-11-19,0.241,0.241,0.237,0.241,31322100,MYR
2013-11-20,0.241,0.241,0.228,0.237,53255100,MYR
2013-11-21,0.233,0.233,0.228,0.233,15751600,MYR
2013-11-22,0.233,0.233,0.228,0.233,31527800,MYR
2013-11-25,0.233,0.233,0.228,0.233,38703700,MYR
2013-11-26,0.233,0.233,0.228,0.228,43756300,MYR
2013-11-27,0.233,0.233,0.228,0.233,51154900,MYR
2013-11-28,0.215,0.225,0.21,0.22,36400200,MYR
2013-11-29,0.22,0.22,0.215,0.22,32086100,MYR
2013-12-02,0.22,0.225,0.215,0.225,51497300,MYR
2013-12-03,0.22,0.225,0.215,0.22,35165100,MYR
2013-12-04,0.215,0.22,0.215,0.22,20105800,MYR
2013-12-05,0.22,0.22,0.215,0.22,34759800,MYR
2013-12-06,0.215,0.22,0.21,0.21,58962600,MYR
2013-12-09,0.21,0.22,0.21,0.215,60339100,MYR
2013-12-10,0.215,0.225,0.21,0.22,29782400,MYR
2013-12-11,0.225,0.23,0.22,0.225,40130000,MYR
2013-12-12,0.22,0.235,0.215,0.23,84775504,MYR
2013-12-13,0.23,0.235,0.23,0.23,37118300,MYR
2013-12-16,0.23,0.235,0.23,0.23,40212200,MYR
2013-12-17,0.221,0.226,0.211,0.216,55899800,MYR
2013-12-18,0.216,0.221,0.187,0.192,128840600,MYR
2013-12-19,0.192,0.192,0.173,0.173,64396800,MYR
2013-12-20,0.173,0.173,0.154,0.159,69922096,MYR
2013-12-23,0.149,0.154,0.12,0.125,76368496,MYR
2013-12-24,0.125,0.149,0.125,0.149,51811600,MYR
2013-12-26,0.149,0.149,0.135,0.139,49907900,MYR
2013-12-27,0.139,0.139,0.13,0.135,30401200,MYR
2013-12-30,0.13,0.135,0.13,0.13,8803600,MYR
2013-12-31,0.13,0.135,0.12,0.135,32184000,MYR
2014-01-02,0.135,0.135,0.13,0.13,7006700,MYR
2014-01-03,0.13,0.135,0.125,0.125,17905800,MYR
2014-01-06,0.125,0.139,0.125,0.135,26532700,MYR
2014-01-07,0.135,0.135,0.13,0.135,31546600,MYR
2014-01-08,0.135,0.139,0.13,0.139,17326600,MYR
2014-01-09,0.135,0.139,0.13,0.13,11295800,MYR
2014-01-10,0.135,0.139,0.13,0.139,11335700,MYR
2014-01-13,0.139,0.139,0.135,0.135,3142600,MYR
2014-01-15,0.135,0.144,0.135,0.139,50596800,MYR
2014-01-16,0.139,0.144,0.135,0.139,13210500,MYR
2014-01-20,0.139,0.139,0.135,0.135,13856800,MYR
2014-01-21,0.135,0.139,0.135,0.135,12335600,MYR
2014-01-22,0.139,0.139,0.135,0.139,20429800,MYR
