Date,Open,High,Low,Close,Volume,Currency
2013-03-07,0.72,0.72,0.72,0.72,10000,MYR
2013-03-08,0.715,0.715,0.71,0.71,23000,MYR
2013-03-11,0.625,0.625,0.625,0.625,1000,MYR
2013-03-14,0.625,0.625,0.625,0.625,1000,MYR
2013-04-03,0.58,0.58,0.55,0.555,8000,MYR
2013-04-09,0.51,0.51,0.51,0.51,6000,MYR
2013-04-10,0.51,0.51,0.51,0.51,3000,MYR
2013-04-12,0.7,0.7,0.62,0.635,48500,MYR
2013-04-15,0.7,0.7,0.645,0.7,32300,MYR
2013-04-16,0.73,0.73,0.73,0.73,2000,MYR
2013-04-24,0.66,0.66,0.64,0.64,10000,MYR
2013-04-26,0.6,0.7,0.6,0.7,55300,MYR
2013-04-29,0.7,0.7,0.66,0.66,30400,MYR
2013-04-30,0.7,0.7,0.665,0.7,43000,MYR
2013-05-03,0.65,0.65,0.65,0.65,1000,MYR
2013-05-06,0.7,0.7,0.7,0.7,10000,MYR
2013-05-08,0.7,0.7,0.7,0.7,6000,MYR
2013-05-10,0.67,0.67,0.67,0.67,1300,MYR
2013-05-23,0.665,0.665,0.665,0.665,2000,MYR
2013-05-28,0.65,0.7,0.65,0.66,24100,MYR
2013-06-11,0.61,0.61,0.61,0.61,1000,MYR
2013-06-26,0.6,0.6,0.6,0.6,5000,MYR
2013-06-27,0.6,0.6,0.6,0.6,5000,MYR
2013-06-28,0.6,0.6,0.52,0.52,5100,MYR
2013-07-03,0.52,0.52,0.52,0.52,3000,MYR
2013-07-04,0.52,0.52,0.52,0.52,10000,MYR
2013-07-05,0.5,0.5,0.495,0.495,65000,MYR
2013-07-10,0.65,0.65,0.65,0.65,15000,MYR
2013-07-12,0.5,0.51,0.495,0.51,86900,MYR
2013-07-15,0.53,0.53,0.53,0.53,15000,MYR
2013-07-16,0.53,0.53,0.5,0.5,25000,MYR
2013-07-17,0.52,0.52,0.48,0.48,21000,MYR
2013-07-18,0.51,0.51,0.51,0.51,10000,MYR
2013-07-19,0.49,0.51,0.49,0.5,34000,MYR
2013-07-22,0.5,0.5,0.5,0.5,10000,MYR
2013-07-23,0.5,0.5,0.49,0.49,10000,MYR
2013-07-24,0.505,0.505,0.5,0.5,14000,MYR
2013-07-25,0.5,0.5,0.5,0.5,7000,MYR
2013-07-26,0.5,0.5,0.49,0.49,33000,MYR
2013-07-29,0.5,0.5,0.5,0.5,5000,MYR
2013-07-30,0.5,0.505,0.5,0.5,16000,MYR
2013-08-01,0.5,0.5,0.5,0.5,5000,MYR
2013-08-02,0.5,0.5,0.5,0.5,11000,MYR
2013-08-05,0.5,0.5,0.49,0.49,10000,MYR
2013-08-06,0.505,0.505,0.505,0.505,6000,MYR
2013-08-07,0.5,0.5,0.5,0.5,5000,MYR
2013-08-13,0.51,0.51,0.49,0.49,6000,MYR
2013-08-14,0.5,0.5,0.5,0.5,5000,MYR
2013-08-15,0.5,0.5,0.5,0.5,5000,MYR
2013-08-19,0.5,0.5,0.5,0.5,5000,MYR
2013-08-20,0.5,0.5,0.48,0.48,10000,MYR
2013-08-21,0.5,0.5,0.5,0.5,5000,MYR
2013-08-22,0.5,0.5,0.5,0.5,5000,MYR
2013-08-26,0.5,0.5,0.5,0.5,15000,MYR
2013-08-27,0.41,0.41,0.41,0.41,1000,MYR
2013-08-28,0.42,0.42,0.42,0.42,3000,MYR
2013-08-29,0.45,0.45,0.45,0.45,1000,MYR
2013-09-03,0.45,0.45,0.45,0.45,5000,MYR
2013-09-05,0.45,0.45,0.45,0.45,5000,MYR
2013-09-11,0.45,0.45,0.425,0.425,5400,MYR
2013-09-12,0.45,0.45,0.45,0.45,5000,MYR
2013-09-13,0.45,0.45,0.45,0.45,5000,MYR
2013-09-17,0.45,0.45,0.45,0.45,5000,MYR
2013-09-18,0.45,0.5,0.45,0.5,5000,MYR
2013-09-19,0.5,0.5,0.5,0.5,2000,MYR
2013-09-25,0.5,0.5,0.5,0.5,10000,MYR
2013-09-26,0.5,0.54,0.5,0.54,5000,MYR
2013-10-22,0.53,0.53,0.53,0.53,10000,MYR
2013-10-28,0.5,0.5,0.5,0.5,1000,MYR
2013-10-30,0.54,0.55,0.5,0.55,32500,MYR
2013-11-04,0.54,0.54,0.54,0.54,10000,MYR
2013-11-07,0.51,0.51,0.51,0.51,3000,MYR
2013-11-11,0.68,0.68,0.6,0.62,41000,MYR
2013-11-13,0.58,0.58,0.58,0.58,1000,MYR
2013-11-18,0.52,0.525,0.52,0.52,700,MYR
2013-11-27,0.46,0.46,0.46,0.46,1000,MYR
2013-11-29,0.6,0.6,0.6,0.6,17300,MYR
2013-12-03,0.6,0.6,0.535,0.535,9000,MYR
2013-12-06,0.6,0.6,0.58,0.58,25000,MYR
2013-12-09,0.6,0.6,0.6,0.6,8000,MYR
2013-12-11,0.6,0.6,0.6,0.6,10000,MYR
2013-12-12,0.6,0.6,0.6,0.6,11000,MYR
2013-12-13,0.6,0.6,0.6,0.6,4000,MYR
2014-01-09,0.6,0.6,0.6,0.6,1000,MYR
2014-01-10,0.6,0.6,0.6,0.6,1000,MYR
2014-01-15,0.6,0.6,0.6,0.6,1000,MYR
2014-01-21,0.65,0.65,0.65,0.65,7000,MYR
2014-01-23,0.7,0.7,0.65,0.7,8800,MYR
2014-01-27,0.65,0.65,0.65,0.65,6000,MYR
2014-01-28,0.65,0.65,0.65,0.65,25000,MYR
2014-02-06,0.7,0.7,0.7,0.7,20000,MYR
2014-02-12,0.65,0.65,0.65,0.65,1000,MYR
2014-02-13,0.65,0.65,0.65,0.65,4000,MYR
2014-02-14,0.65,0.65,0.65,0.65,15000,MYR
2014-02-17,0.65,0.65,0.65,0.65,1000,MYR
2014-02-18,0.65,0.65,0.65,0.65,2000,MYR
2014-02-19,0.65,0.65,0.65,0.65,3000,MYR
2014-02-24,0.65,0.65,0.65,0.65,4000,MYR
2014-02-27,0.65,0.68,0.65,0.68,9400,MYR
2014-03-03,0.65,0.7,0.65,0.7,35000,MYR
2014-03-04,0.69,0.69,0.69,0.69,11000,MYR
2014-03-05,0.75,0.8,0.75,0.8,64700,MYR
2014-03-12,0.8,0.8,0.8,0.8,85900,MYR
2014-03-14,0.675,0.675,0.675,0.675,1000,MYR
2014-03-18,0.67,0.67,0.67,0.67,1000,MYR
2014-03-20,0.7,0.7,0.695,0.695,10000,MYR
2014-03-21,0.75,0.81,0.75,0.81,20000,MYR
2014-03-31,0.85,0.85,0.83,0.85,21000,MYR
2014-04-01,0.85,0.85,0.85,0.85,20000,MYR
2014-04-02,0.88,0.9,0.865,0.9,20000,MYR
2014-04-03,0.88,0.93,0.88,0.915,69000,MYR
2014-04-04,0.9,0.905,0.9,0.905,15000,MYR
2014-04-07,0.905,0.905,0.905,0.905,9900,MYR
2014-04-08,0.9,0.92,0.9,0.92,16000,MYR
2014-04-10,0.9,0.9,0.9,0.9,6000,MYR
2014-04-15,0.9,0.9,0.9,0.9,10000,MYR
2014-04-18,0.9,0.9,0.9,0.9,9300,MYR
2014-04-21,0.91,0.91,0.9,0.91,40700,MYR
2014-04-22,0.9,0.9,0.9,0.9,30000,MYR
2014-04-24,0.9,0.9,0.9,0.9,12000,MYR
2014-04-28,0.9,0.91,0.9,0.91,19900,MYR
2014-04-29,0.9,0.9,0.9,0.9,28300,MYR
2014-04-30,0.9,0.9,0.9,0.9,1000,MYR
2014-05-02,0.9,0.91,0.9,0.91,34600,MYR
2014-05-06,0.9,0.9,0.9,0.9,10000,MYR
2014-05-07,0.9,0.9,0.9,0.9,46300,MYR
2014-05-08,0.9,0.9,0.9,0.9,5000,MYR
2014-05-09,0.9,0.9,0.9,0.9,17000,MYR
2014-05-12,0.9,0.9,0.9,0.9,30000,MYR
2014-05-14,0.88,0.9,0.88,0.9,17500,MYR
2014-05-15,0.9,0.9,0.9,0.9,25000,MYR
2014-05-16,0.9,0.9,0.9,0.9,16500,MYR
2014-05-19,0.9,0.9,0.9,0.9,21300,MYR
2014-05-20,0.9,0.91,0.9,0.91,30000,MYR
2014-05-21,0.905,0.905,0.905,0.905,4000,MYR
