Date,Open,High,Low,Close,Volume,Currency
2014-07-18,2.76,2.79,2.75,2.76,639200,MYR
2014-07-21,2.76,2.78,2.64,2.68,1150400,MYR
2014-07-22,2.67,2.69,2.63,2.69,631400,MYR
2014-07-23,2.7,2.75,2.7,2.7,759900,MYR
2014-07-24,2.72,2.72,2.68,2.68,147500,MYR
2014-07-25,2.66,2.7,2.63,2.69,798700,MYR
2014-07-30,2.7,2.73,2.67,2.7,692400,MYR
2014-07-31,2.71,2.74,2.66,2.67,609600,MYR
2014-08-01,2.65,2.71,2.63,2.69,173600,MYR
2014-08-04,2.68,2.7,2.63,2.65,504800,MYR
2014-08-05,2.66,2.69,2.63,2.65,474400,MYR
2014-08-06,2.64,2.64,2.64,2.64,63500,MYR
2014-08-07,2.64,2.65,2.63,2.65,34600,MYR
2014-08-08,2.63,2.64,2.59,2.63,374200,MYR
2014-08-11,2.63,2.63,2.6,2.63,124400,MYR
2014-08-12,2.61,2.64,2.61,2.64,80700,MYR
2014-08-13,2.64,2.67,2.64,2.67,133700,MYR
2014-08-14,2.66,2.67,2.63,2.64,217300,MYR
2014-08-15,2.63,2.72,2.63,2.68,365200,MYR
2014-08-18,2.68,2.68,2.66,2.68,90000,MYR
2014-08-19,2.67,2.67,2.63,2.64,277100,MYR
2014-08-20,2.63,2.69,2.61,2.63,1310500,MYR
2014-08-21,2.63,2.63,2.62,2.63,121500,MYR
2014-08-22,2.63,2.63,2.61,2.63,183000,MYR
2014-08-25,2.62,2.63,2.6,2.63,126200,MYR
2014-08-26,2.63,2.69,2.55,2.6,573300,MYR
2014-08-27,2.6,2.6,2.53,2.56,949700,MYR
2014-08-28,2.56,2.56,2.55,2.56,13000,MYR
2014-08-29,2.55,2.6,2.52,2.59,97100,MYR
2014-09-02,2.57,2.57,2.5,2.53,492600,MYR
2014-09-03,2.53,2.59,2.51,2.55,98000,MYR
2014-09-04,2.59,2.62,2.57,2.6,112400,MYR
2014-09-05,2.6,2.6,2.57,2.59,14200,MYR
2014-09-08,2.59,2.59,2.5,2.55,260000,MYR
2014-09-09,2.53,2.53,2.47,2.48,388800,MYR
2014-09-10,2.49,2.49,2.46,2.47,115500,MYR
2014-09-11,2.47,2.52,2.47,2.48,553600,MYR
2014-09-12,2.48,2.5,2.44,2.45,105100,MYR
2014-09-15,2.42,2.43,2.36,2.4,369200,MYR
2014-09-17,2.43,2.45,2.42,2.44,318900,MYR
2014-09-18,2.45,2.46,2.44,2.44,174800,MYR
2014-09-19,2.43,2.46,2.43,2.44,204000,MYR
2014-09-22,2.43,2.44,2.41,2.43,92500,MYR
2014-09-23,2.43,2.52,2.43,2.47,139500,MYR
2014-09-24,2.47,2.49,2.47,2.48,7000,MYR
2014-09-25,2.48,2.48,2.37,2.45,374600,MYR
2014-09-26,2.47,2.5,2.45,2.49,523700,MYR
2014-09-29,2.49,2.49,2.4,2.48,432100,MYR
2014-09-30,2.49,2.49,2.49,2.49,64000,MYR
2014-10-01,2.46,2.5,2.45,2.48,187500,MYR
2014-10-02,2.43,2.46,2.43,2.45,59100,MYR
2014-10-03,2.43,2.47,2.38,2.44,126500,MYR
2014-10-07,2.41,2.41,2.37,2.38,284100,MYR
2014-10-08,2.35,2.35,2.16,2.24,1095000,MYR
2014-10-09,2.23,2.23,2.18,2.2,201200,MYR
2014-10-10,2.16,2.16,2.05,2.13,2141400,MYR
2014-10-13,2.13,2.13,2.01,2.05,650700,MYR
2014-10-14,2.0,2.03,1.98,2.0,1965100,MYR
2014-10-15,2.0,2.01,2.0,2.01,260900,MYR
2014-10-16,2.0,2.09,2.0,2.07,832600,MYR
2014-10-17,2.09,2.2,2.09,2.17,721100,MYR
2014-10-20,2.17,2.17,2.12,2.13,2242800,MYR
2014-10-21,2.13,2.13,2.04,2.05,684000,MYR
2014-10-23,2.06,2.11,2.06,2.11,1391400,MYR
2014-10-24,2.12,2.13,2.08,2.13,155000,MYR
2014-10-27,2.13,2.14,2.13,2.14,20000,MYR
2014-10-28,2.14,2.19,2.14,2.17,430900,MYR
2014-10-29,2.16,2.17,2.16,2.17,76500,MYR
2014-10-30,2.16,2.32,2.16,2.32,207000,MYR
2014-10-31,2.3,2.42,2.28,2.36,424500,MYR
2014-11-03,2.36,2.36,2.35,2.36,178600,MYR
2014-11-04,2.35,2.35,2.31,2.32,61000,MYR
2014-11-05,2.31,2.31,2.3,2.3,25000,MYR
2014-11-06,2.26,2.27,2.23,2.25,83600,MYR
2014-11-07,2.24,2.25,2.2,2.2,164000,MYR
2014-11-10,2.2,2.2,2.17,2.2,64000,MYR
2014-11-11,2.2,2.2,2.12,2.17,45300,MYR
2014-11-12,2.15,2.17,2.13,2.17,33000,MYR
2014-11-13,2.13,2.13,2.09,2.1,28000,MYR
2014-11-14,2.09,2.17,2.09,2.17,34500,MYR
2014-11-17,2.17,2.17,2.1,2.16,120200,MYR
2014-11-18,2.1,2.1,2.02,2.05,273300,MYR
2014-11-19,2.06,2.06,2.04,2.04,96800,MYR
2014-11-20,2.05,2.06,2.03,2.04,689000,MYR
2014-11-21,2.05,2.1,2.04,2.1,19200,MYR
2014-11-24,2.07,2.14,2.07,2.14,56800,MYR
2014-11-25,2.15,2.16,2.1,2.16,41500,MYR
2014-11-26,2.15,2.2,2.15,2.2,67900,MYR
2014-11-27,2.24,2.27,2.19,2.2,74600,MYR
2014-11-28,2.15,2.24,2.14,2.2,255100,MYR
2014-12-01,2.16,2.16,1.85,1.99,37200,MYR
2014-12-02,2.05,2.05,1.92,1.94,310100,MYR
2014-12-03,1.91,2.03,1.91,1.93,28300,MYR
2014-12-04,1.97,1.97,1.84,1.87,1493600,MYR
2014-12-05,1.87,1.87,1.86,1.87,16000,MYR
2014-12-08,1.87,1.87,1.83,1.85,84800,MYR
2014-12-09,1.8,1.8,1.72,1.8,127900,MYR
2014-12-10,1.8,1.8,1.75,1.76,102600,MYR
2014-12-11,1.74,1.79,1.74,1.79,3000,MYR
2014-12-12,1.74,1.74,1.69,1.71,1089000,MYR
2014-12-15,1.71,1.71,1.58,1.6,155000,MYR
2014-12-16,1.58,1.61,1.55,1.59,715500,MYR
2014-12-17,1.56,1.61,1.56,1.6,616400,MYR
2014-12-18,1.61,1.7,1.61,1.7,157500,MYR
2014-12-19,1.7,1.7,1.68,1.7,92700,MYR
2014-12-22,1.69,1.79,1.68,1.79,90100,MYR
2014-12-23,1.72,1.73,1.71,1.73,92000,MYR
2014-12-24,1.7,1.73,1.69,1.73,61500,MYR
2014-12-26,1.73,1.74,1.73,1.74,10000,MYR
2014-12-29,1.74,1.74,1.71,1.74,5000,MYR
2014-12-30,1.72,1.76,1.72,1.75,23000,MYR
2014-12-31,1.74,1.9,1.74,1.85,280000,MYR
2015-01-02,1.78,1.79,1.76,1.78,56100,MYR
2015-01-05,1.78,1.78,1.78,1.78,5000,MYR
2015-01-06,1.7,1.7,1.7,1.7,43000,MYR
2015-01-07,1.68,1.7,1.68,1.7,13000,MYR
2015-01-08,1.71,1.77,1.71,1.77,9000,MYR
2015-01-09,1.77,1.78,1.75,1.78,25100,MYR
2015-01-12,1.76,1.77,1.76,1.77,5000,MYR
2015-01-13,1.77,1.77,1.74,1.74,23000,MYR
2015-01-14,1.73,1.73,1.69,1.7,55400,MYR
2015-01-15,1.71,1.71,1.66,1.7,186700,MYR
2015-01-16,1.69,1.7,1.66,1.7,168900,MYR
2015-01-19,1.68,1.7,1.67,1.69,40000,MYR
2015-01-20,1.69,1.73,1.69,1.73,18000,MYR
2015-01-22,1.73,1.92,1.72,1.9,2750500,MYR
2015-01-23,1.87,1.9,1.87,1.88,313800,MYR
2015-01-26,1.88,2.0,1.88,1.97,533900,MYR
2015-01-27,1.97,1.97,1.96,1.96,358000,MYR
2015-01-28,1.96,1.96,1.9,1.94,26500,MYR
2015-01-29,1.97,2.0,1.82,1.88,3258900,MYR
2015-01-30,1.93,2.0,1.8,1.9,5952000,MYR
2015-02-04,1.9,1.95,1.86,1.95,4637000,MYR
2015-02-05,1.95,1.96,1.93,1.95,2706000,MYR
2015-02-06,1.95,1.96,1.9,1.95,82200,MYR
2015-02-09,1.95,1.96,1.91,1.96,80000,MYR
2015-02-10,1.97,1.97,1.95,1.97,58700,MYR
2015-02-11,1.92,1.97,1.92,1.97,5500,MYR
2015-02-12,1.97,1.97,1.95,1.97,20600,MYR
2015-02-13,1.96,1.99,1.9,1.99,70600,MYR
2015-02-16,1.99,2.0,1.99,2.0,4000,MYR
2015-02-18,2.0,2.0,2.0,2.0,1000,MYR
2015-02-23,2.0,2.0,2.0,2.0,5000,MYR
2015-02-24,1.96,2.0,1.96,2.0,23400,MYR
2015-02-25,1.99,1.99,1.99,1.99,8000,MYR
2015-02-26,1.99,1.99,1.99,1.99,10000,MYR
2015-02-27,1.99,2.05,1.98,2.05,258200,MYR
2015-03-02,2.05,2.05,2.01,2.01,9500,MYR
2015-03-03,2.01,2.01,1.93,2.01,56600,MYR
2015-03-04,1.98,1.98,1.98,1.98,8700,MYR
2015-03-05,1.95,2.01,1.95,1.98,100000,MYR
2015-03-09,2.02,2.02,2.02,2.02,1000,MYR
2015-03-10,2.03,2.03,2.03,2.03,1000,MYR
2015-03-12,1.98,2.0,1.96,2.0,86000,MYR
2015-03-16,1.9,2.0,1.9,2.0,73300,MYR
2015-03-17,1.93,2.0,1.93,2.0,15900,MYR
2015-03-18,1.95,1.98,1.94,1.98,26000,MYR
2015-03-19,1.99,1.99,1.95,1.98,12000,MYR
2015-03-24,1.94,1.97,1.93,1.97,13400,MYR
2015-03-26,1.92,1.93,1.89,1.9,100500,MYR
2015-03-27,1.87,1.9,1.87,1.9,28000,MYR
2015-03-30,1.92,1.92,1.87,1.9,11800,MYR
2015-03-31,1.8,1.98,1.8,1.98,32800,MYR
2015-04-02,1.88,1.97,1.88,1.93,4000,MYR
2015-04-13,1.88,1.88,1.88,1.88,25000,MYR
2015-04-14,1.93,1.95,1.93,1.95,14000,MYR
2015-04-15,1.95,1.95,1.95,1.95,1000,MYR
2015-04-16,1.9,1.95,1.9,1.95,15000,MYR
2015-04-20,1.91,1.95,1.91,1.95,10500,MYR
2015-04-21,1.9,1.94,1.9,1.94,19200,MYR
2015-04-23,1.9,1.94,1.9,1.94,33900,MYR
2015-04-27,1.88,1.95,1.88,1.95,6000,MYR
2015-04-28,1.88,1.93,1.88,1.93,45100,MYR
2015-04-29,1.93,1.94,1.88,1.94,33900,MYR
2015-04-30,1.88,1.89,1.84,1.89,136400,MYR
2015-05-05,1.89,1.9,1.86,1.9,37700,MYR
2015-05-06,1.9,1.9,1.9,1.9,207800,MYR
2015-05-08,1.86,1.86,1.83,1.84,493000,MYR
2015-05-11,1.82,1.85,1.79,1.85,188100,MYR
2015-05-12,1.79,1.81,1.79,1.8,1253000,MYR
2015-05-13,1.8,1.81,1.8,1.8,796700,MYR
2015-05-14,1.8,1.81,1.8,1.8,637900,MYR
2015-05-15,1.8,1.8,1.8,1.8,66000,MYR
2015-05-18,1.8,1.8,1.8,1.8,97700,MYR
2015-05-19,1.78,1.8,1.78,1.8,412000,MYR
2015-05-20,1.8,1.81,1.8,1.8,14500,MYR
2015-05-21,1.79,1.79,1.77,1.77,443000,MYR
2015-05-22,1.77,1.77,1.76,1.77,305000,MYR
2015-05-25,1.78,1.78,1.77,1.77,27000,MYR
2015-05-26,1.76,1.8,1.76,1.8,6000,MYR
2015-05-27,1.77,1.8,1.76,1.8,36500,MYR
2015-05-28,1.8,1.9,1.78,1.9,56500,MYR
2015-05-29,1.9,2.0,1.9,2.0,49300,MYR
2015-06-03,1.85,1.92,1.85,1.92,22000,MYR
2015-06-05,1.83,1.85,1.8,1.85,80000,MYR
2015-06-09,1.8,1.81,1.8,1.81,19000,MYR
2015-06-10,1.8,1.8,1.8,1.8,246000,MYR
2015-06-11,1.8,1.8,1.8,1.8,18000,MYR
2015-06-12,1.8,1.8,1.8,1.8,45000,MYR
2015-06-15,1.8,1.8,1.78,1.8,75000,MYR
2015-06-16,1.8,1.83,1.77,1.83,13900,MYR
2015-06-17,1.8,1.83,1.8,1.83,109100,MYR
2015-06-18,1.83,1.85,1.77,1.85,2003100,MYR
2015-06-22,1.8,1.8,1.8,1.8,10000,MYR
2015-06-23,1.78,1.85,1.78,1.85,7300,MYR
2015-06-24,1.85,1.85,1.82,1.85,8000,MYR
2015-06-25,1.82,1.83,1.82,1.83,5000,MYR
2015-06-26,1.84,1.88,1.84,1.88,2000,MYR
2015-06-30,1.87,1.99,1.87,1.99,23000,MYR
2015-07-01,1.98,1.98,1.98,1.98,3000,MYR
2015-07-02,1.85,1.85,1.84,1.85,10000,MYR
2015-07-03,1.81,1.81,1.78,1.8,48400,MYR
2015-07-08,1.77,1.79,1.63,1.79,432200,MYR
2015-07-13,1.8,1.8,1.8,1.8,5000,MYR
2015-07-14,1.79,1.8,1.79,1.8,23000,MYR
2015-07-16,1.75,1.8,1.75,1.8,6000,MYR
2015-07-21,1.8,1.8,1.8,1.8,4000,MYR
2015-07-22,1.8,1.8,1.8,1.8,4000,MYR
2015-07-23,1.78,1.8,1.75,1.8,8100,MYR
2015-07-24,1.79,1.8,1.79,1.8,98300,MYR
2015-07-27,1.81,1.81,1.8,1.8,56900,MYR
2015-07-28,1.77,1.79,1.74,1.79,45700,MYR
2015-07-29,1.75,1.77,1.74,1.77,34600,MYR
2015-07-30,1.76,1.76,1.74,1.74,11000,MYR
2015-07-31,1.74,1.8,1.74,1.8,25000,MYR
2015-08-03,1.74,1.77,1.72,1.77,21600,MYR
2015-08-04,1.79,1.79,1.79,1.79,2000,MYR
2015-08-07,1.79,1.79,1.79,1.79,3000,MYR
2015-08-10,1.75,1.75,1.7,1.75,3000,MYR
2015-08-12,1.74,1.74,1.62,1.7,6000,MYR
2015-08-17,1.6,1.69,1.6,1.69,15900,MYR
2015-08-18,1.6,1.7,1.58,1.69,12200,MYR
2015-08-20,1.68,1.81,1.65,1.81,10400,MYR
2015-09-01,1.7,1.77,1.63,1.77,16100,MYR
2015-09-02,1.63,1.73,1.63,1.73,9200,MYR
2015-09-03,1.67,1.72,1.67,1.72,29000,MYR
2015-09-04,1.7,1.72,1.7,1.72,25000,MYR
2015-09-07,1.67,1.74,1.66,1.7,3400,MYR
2015-09-08,1.66,1.7,1.66,1.7,3000,MYR
2015-09-09,1.73,1.73,1.73,1.73,1000,MYR
2015-09-10,1.68,1.7,1.65,1.69,100000,MYR
2015-09-11,1.66,1.66,1.59,1.64,180000,MYR
2015-09-14,1.58,1.64,1.56,1.64,204000,MYR
2015-09-15,1.58,1.62,1.56,1.62,447000,MYR
2015-09-17,1.58,1.58,1.49,1.54,1338600,MYR
2015-09-18,1.51,1.51,1.46,1.5,2351900,MYR
2015-09-21,1.48,1.49,1.47,1.49,709300,MYR
2015-09-22,1.48,1.52,1.48,1.5,179700,MYR
2015-09-23,1.51,1.56,1.5,1.56,220500,MYR
2015-09-25,1.53,1.57,1.52,1.56,77800,MYR
2015-09-28,1.52,1.56,1.51,1.55,199100,MYR
2015-09-29,1.51,1.55,1.51,1.55,112000,MYR
2015-09-30,1.52,1.6,1.52,1.6,224300,MYR
2015-10-01,1.56,1.6,1.56,1.6,27000,MYR
2015-10-02,1.57,1.57,1.55,1.55,134000,MYR
